RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
22.0,0.0,22.0,330.0,0
42.0,0.0,42.0,330.0,0
36.0,0.0,36.0,340.0,0
36.5,0.0,36.5,390.0,0
38.0,0.0,38.0,310.0,0
51.0,0.0,51.0,320.0,0
43.5,0.0,43.5,380.0,0
36.5,0.0,36.5,300.0,0
31.0,0.0,31.0,370.0,0
46.0,0.0,46.0,390.0,0
48.0,0.0,48.0,400.0,0
40.0,0.0,40.0,400.0,0
51.0,0.0,51.0,390.0,0
45.5,0.0,45.5,400.0,0
51.0,0.0,51.0,380.0,0
54.0,0.0,54.0,310.0,0
52.5,0.0,52.5,370.0,0
54.0,0.0,54.0,390.0,0
53.0,0.0,53.0,340.0,0
54.0,0.0,54.0,410.0,0
62.0,0.0,62.0,370.0,0
51.0,0.0,51.0,360.0,0
60.0,0.0,60.0,420.0,0
60.0,0.0,60.0,340.0,0
55.0,0.0,55.0,320.0,0
56.5,0.0,56.5,410.0,0
60.0,0.0,60.0,450.0,0
57.5,0.0,57.5,510.0,0
55.0,0.0,55.0,460.0,0
63.0,0.0,63.0,450.0,0
69.0,0.0,69.0,390.0,0
72.0,0.0,72.0,470.0,0
57.0,0.0,57.0,500.0,0
80.0,0.0,80.0,430.0,0
71.5,0.0,71.5,440.0,0
76.0,0.0,76.0,410.0,0
60.0,0.0,60.0,480.0,0
61.5,0.0,61.5,460.0,0
49.0,0.0,49.0,390.0,0
104.0,0.0,104.0,160.0,0
79.0,0.0,79.0,210.0,0
77.5,0.0,77.5,220.0,0
66.5,0.0,66.5,220.0,0
74.0,0.0,74.0,180.0,0
65.0,0.0,65.0,190.0,0
72.0,0.0,72.0,190.0,0
66.5,0.0,66.5,190.0,0
78.5,0.0,78.5,180.0,0
83.0,0.0,83.0,170.0,0
84.0,0.0,84.0,210.0,0
83.0,0.0,83.0,220.0,0
80.5,0.0,80.5,220.0,0
75.0,0.0,75.0,200.0,0
79.0,0.0,79.0,200.0,0
57.0,0.0,57.0,210.0,0
71.5,0.0,71.5,240.0,0
68.0,0.0,68.0,260.0,0
76.0,0.0,76.0,210.0,0
66.0,0.0,66.0,180.0,0
70.0,0.0,70.0,180.0,0
71.0,0.0,71.0,190.0,0
75.5,0.0,75.5,200.0,0
73.0,0.0,73.0,190.0,0
75.0,0.0,75.0,190.0,0
68.0,0.0,68.0,170.0,0
60.0,0.0,60.0,210.0,0
73.5,0.0,73.5,200.0,0
73.0,0.0,73.0,200.0,0
79.0,0.0,79.0,190.0,0
63.0,0.0,63.0,160.0,0
64.0,0.0,64.0,220.0,0
70.5,0.0,70.5,210.0,0
72.0,0.0,72.0,190.0,0
70.0,0.0,70.0,170.0,0
77.0,0.0,77.0,180.0,0
76.0,0.0,76.0,210.0,0
71.0,0.0,71.0,200.0,0
69.0,0.0,69.0,180.0,0
72.0,0.0,72.0,210.0,0
72.0,0.0,72.0,170.0,0
78.5,0.0,78.5,200.0,0
77.0,0.0,77.0,180.0,0
73.0,0.0,73.0,180.0,0
64.0,0.0,64.0,200.0,0
77.0,0.0,77.0,210.0,0
76.5,0.0,76.5,190.0,0
57.0,0.0,57.0,190.0,0
70.0,0.0,70.0,220.0,0
64.0,0.0,64.0,210.0,0
72.0,0.0,72.0,190.0,0
77.0,0.0,77.0,200.0,0
72.0,0.0,72.0,190.0,0
68.0,0.0,68.0,150.0,0
71.0,0.0,71.0,200.0,0
69.0,0.0,69.0,350.0,0
75.0,0.0,75.0,210.0,0
72.0,0.0,72.0,190.0,0
78.5,0.0,78.5,160.0,0
78.0,0.0,78.0,200.0,0
74.0,0.0,74.0,210.0,0
83.0,0.0,83.0,180.0,0
64.0,0.0,64.0,240.0,0
72.5,0.0,72.5,170.0,0
77.0,0.0,77.0,210.0,0
75.0,0.0,75.0,190.0,0
66.0,0.0,66.0,190.0,0
76.0,0.0,76.0,190.0,0
74.0,0.0,74.0,240.0,0
75.5,0.0,75.5,220.0,0
64.0,0.0,64.0,210.0,0
81.0,0.0,81.0,190.0,0
78.0,0.0,78.0,180.0,0
78.5,0.0,78.5,190.0,0
66.5,0.0,66.5,180.0,0
79.5,0.0,79.5,200.0,0
75.0,0.0,75.0,160.0,0
73.0,0.0,73.0,210.0,0
78.5,0.0,78.5,230.0,0
80.0,0.0,80.0,240.0,0
76.0,0.0,76.0,170.0,0
67.0,0.0,67.0,240.0,0
82.0,0.0,82.0,200.0,0
75.5,0.0,75.5,180.0,0
70.0,0.0,70.0,190.0,0
55.0,0.0,55.0,240.0,0
76.0,0.0,76.0,270.0,0
59.0,0.0,59.0,200.0,0
67.5,0.0,67.5,200.0,0
72.0,0.0,72.0,190.0,0
84.0,0.0,84.0,210.0,0
59.0,0.0,59.0,200.0,0
64.0,0.0,64.0,210.0,0
70.0,0.0,70.0,210.0,0
68.0,0.0,68.0,220.0,0
79.0,0.0,79.0,220.0,0
69.0,0.0,69.0,220.0,0
70.0,0.0,70.0,210.0,0
72.0,0.0,72.0,210.0,0
80.0,0.0,80.0,220.0,0
83.0,0.0,83.0,180.0,0
69.0,0.0,69.0,210.0,0
70.0,0.0,70.0,220.0,0
77.5,0.0,77.5,190.0,0
73.0,0.0,73.0,200.0,0
75.0,0.0,75.0,210.0,0
76.5,0.0,76.5,190.0,0
77.0,0.0,77.0,190.0,0
83.0,0.0,83.0,240.0,0
88.0,0.0,88.0,180.0,0
66.0,0.0,66.0,180.0,0
77.5,0.0,77.5,200.0,0
73.0,0.0,73.0,220.0,0
83.0,0.0,83.0,180.0,0
83.0,0.0,83.0,210.0,0
86.0,0.0,86.0,240.0,0
75.5,0.0,75.5,190.0,0
70.0,0.0,70.0,220.0,0
74.0,0.0,74.0,190.0,0
87.0,0.0,87.0,160.0,0
71.5,0.0,71.5,240.0,0
79.5,0.0,79.5,230.0,0
72.0,0.0,72.0,200.0,0
61.0,0.0,61.0,210.0,0
82.5,0.0,82.5,240.0,0
71.5,0.0,71.5,220.0,0
68.5,0.0,68.5,190.0,0
87.0,0.0,87.0,190.0,0
81.0,0.0,81.0,170.0,0
73.0,0.0,73.0,210.0,0
80.0,0.0,80.0,180.0,0
73.0,0.0,73.0,170.0,0
74.0,0.0,74.0,200.0,0
78.0,0.0,78.0,200.0,0
83.0,0.0,83.0,200.0,0
75.0,0.0,75.0,200.0,0
82.0,0.0,82.0,170.0,0
74.0,0.0,74.0,190.0,0
70.0,0.0,70.0,210.0,0
75.0,0.0,75.0,260.0,0
76.0,0.0,76.0,190.0,0
85.0,0.0,85.0,180.0,0
69.0,0.0,69.0,190.0,0
77.0,0.0,77.0,210.0,0
69.5,0.0,69.5,190.0,0
69.5,0.0,69.5,240.0,0
80.0,0.0,80.0,210.0,0
65.0,0.0,65.0,190.0,0
62.0,0.0,62.0,220.0,0
73.0,0.0,73.0,200.0,0
79.5,0.0,79.5,190.0,0
63.0,0.0,63.0,220.0,0
73.0,0.0,73.0,190.0,0
83.0,0.0,83.0,170.0,0
87.5,0.0,87.5,230.0,0
75.0,0.0,75.0,230.0,0
92.0,0.0,92.0,210.0,0
68.0,0.0,68.0,200.0,0
57.5,0.0,57.5,210.0,0
63.0,0.0,63.0,240.0,0
78.0,0.0,78.0,200.0,0
76.0,0.0,76.0,240.0,0
73.0,0.0,73.0,200.0,0
83.5,0.0,83.5,180.0,0
76.0,0.0,76.0,190.0,0
89.0,0.0,89.0,210.0,0
84.0,0.0,84.0,180.0,0
66.0,0.0,66.0,230.0,0
68.5,0.0,68.5,240.0,0
74.0,0.0,74.0,190.0,0
81.0,0.0,81.0,220.0,0
71.0,0.0,71.0,190.0,0
71.0,0.0,71.0,220.0,0
75.5,0.0,75.5,200.0,0
77.0,0.0,77.0,210.0,0
70.0,0.0,70.0,190.0,0
87.0,0.0,87.0,280.0,0
82.0,0.0,82.0,170.0,0
72.5,0.0,72.5,210.0,0
80.0,0.0,80.0,180.0,0
76.0,0.0,76.0,170.0,0
77.0,0.0,77.0,230.0,0
79.5,0.0,79.5,190.0,0
82.0,0.0,82.0,260.0,0
84.5,0.0,84.5,210.0,0
82.0,0.0,82.0,180.0,0
74.0,0.0,74.0,220.0,0
66.5,0.0,66.5,210.0,0
68.0,0.0,68.0,220.0,0
74.0,0.0,74.0,190.0,0
78.0,0.0,78.0,220.0,0
72.0,0.0,72.0,230.0,0
76.0,0.0,76.0,230.0,0
77.0,0.0,77.0,230.0,0
71.0,0.0,71.0,190.0,0
76.0,0.0,76.0,200.0,0
70.0,0.0,70.0,220.0,0
71.5,0.0,71.5,210.0,0
74.0,0.0,74.0,230.0,0
88.0,0.0,88.0,240.0,0
70.0,0.0,70.0,200.0,0
85.0,0.0,85.0,210.0,0
83.5,0.0,83.5,170.0,0
65.5,0.0,65.5,210.0,0
79.0,0.0,79.0,180.0,0
71.0,0.0,71.0,230.0,0
82.0,0.0,82.0,180.0,0
65.0,0.0,65.0,180.0,0
78.5,0.0,78.5,220.0,0
72.0,0.0,72.0,150.0,0
79.0,0.0,79.0,170.0,0
70.0,0.0,70.0,180.0,0
75.0,0.0,75.0,200.0,0
