RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,150.0,0
3.0,0.0,3.0,170.0,0
6.0,0.0,6.0,250.0,0
8.5,0.0,8.5,300.0,0
12.0,0.0,12.0,220.0,0
10.0,0.0,10.0,190.0,0
6.5,0.0,6.5,310.0,0
17.0,0.0,17.0,250.0,0
10.0,0.0,10.0,240.0,0
10.0,0.0,10.0,290.0,0
10.0,0.0,10.0,270.0,0
2.0,0.0,2.0,310.0,0
18.0,0.0,18.0,290.0,0
10.0,0.0,10.0,260.0,0
8.0,0.0,8.0,310.0,0
11.0,0.0,11.0,300.0,0
7.0,0.0,7.0,310.0,0
6.0,0.0,6.0,350.0,0
10.0,0.0,10.0,350.0,0
16.0,0.0,16.0,230.0,0
7.5,0.0,7.5,300.0,0
10.0,0.0,10.0,300.0,0
6.5,0.0,6.5,340.0,0
9.5,0.0,9.5,350.0,0
11.5,0.0,11.5,360.0,0
7.5,0.0,7.5,440.0,0
13.0,0.0,13.0,440.0,0
9.5,0.0,9.5,390.0,0
10.0,0.0,10.0,400.0,0
10.0,0.0,10.0,400.0,0
5.0,0.0,5.0,370.0,0
10.0,0.0,10.0,440.0,0
9.5,0.0,9.5,520.0,0
10.0,0.0,10.0,520.0,0
12.0,0.0,12.0,420.0,0
9.0,0.0,9.0,460.0,0
11.0,0.0,11.0,430.0,0
10.0,0.0,10.0,410.0,0
10.5,0.0,10.5,400.0,0
8.0,0.0,8.0,460.0,0
10.0,0.0,10.0,460.0,0
9.5,0.0,9.5,450.0,0
9.5,0.0,9.5,450.0,0
10.0,0.0,10.0,470.0,0
11.0,0.0,11.0,460.0,0
10.0,0.0,10.0,460.0,0
9.0,0.0,9.0,440.0,0
10.5,0.0,10.5,440.0,0
10.0,0.0,10.0,400.0,0
10.5,0.0,10.5,430.0,0
9.5,0.0,9.5,430.0,0
8.5,0.0,8.5,470.0,0
10.0,0.0,10.0,480.0,0
10.0,0.0,10.0,490.0,0
10.0,0.0,10.0,490.0,0
10.0,0.0,10.0,480.0,0
10.0,0.0,10.0,460.0,0
10.0,0.0,10.0,440.0,0
10.0,0.0,10.0,480.0,0
10.0,0.0,10.0,480.0,0
10.0,0.0,10.0,470.0,0
10.5,0.0,10.5,430.0,0
10.0,0.0,10.0,470.0,0
9.5,0.0,9.5,490.0,0
9.5,0.0,9.5,450.0,0
10.0,0.0,10.0,450.0,0
10.0,0.0,10.0,460.0,0
12.0,0.0,12.0,460.0,0
10.0,0.0,10.0,510.0,0
8.0,0.0,8.0,510.0,0
10.5,0.0,10.5,490.0,0
12.5,0.0,12.5,490.0,0
5.0,0.0,5.0,450.0,0
12.0,0.0,12.0,480.0,0
10.0,0.0,10.0,440.0,0
8.0,0.0,8.0,500.0,0
10.5,0.0,10.5,500.0,0
9.0,0.0,9.0,440.0,0
10.0,0.0,10.0,400.0,0
10.0,0.0,10.0,510.0,0
10.0,0.0,10.0,510.0,0
10.0,0.0,10.0,410.0,0
10.0,0.0,10.0,480.0,0
