RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
45.0,0.0,45.0,600.0,0
92.5,0.0,92.5,780.0,0
100.0,0.0,100.0,780.0,0
103.5,0.0,103.5,730.0,0
104.0,1.5,102.5,1000.0,0
105.5,1.5,104.0,740.0,0
105.0,0.0,105.0,920.0,0
106.0,0.0,106.0,950.0,0
107.0,0.0,107.0,950.0,0
103.0,27.0,76.0,1200.0,0
126.0,20.0,106.0,1000.0,0
98.5,4.0,94.5,1100.0,0
105.0,11.5,93.5,1000.0,0
109.5,5.5,104.0,1100.0,0
113.0,14.0,99.0,1200.0,0
109.5,30.0,79.5,1300.0,0
114.5,50.5,64.0,1200.0,0
118.5,66.5,52.0,1700.0,0
108.0,30.0,78.0,1100.0,0
111.0,27.5,83.5,1100.0,0
122.5,51.5,71.0,1300.0,0
109.5,83.5,26.0,1600.0,0
122.0,81.0,41.0,1600.0,0
121.0,83.0,38.0,1500.0,0
111.0,78.5,32.5,1800.0,0
105.5,93.5,12.0,1900.0,0
117.5,108.5,9.0,1900.0,0
99.0,95.5,3.5,1700.0,0
95.5,93.5,2.0,1700.0,0
103.5,103.5,0.0,1700.0,0
102.0,102.0,0.0,1900.0,0
108.5,105.5,3.0,1900.0,0
106.0,103.0,3.0,1700.0,0
94.5,94.5,0.0,1800.0,0
96.5,96.5,0.0,1600.0,0
102.5,102.5,0.0,2000.0,0
102.5,101.5,1.0,1800.0,0
108.0,106.0,2.0,1600.0,0
101.0,99.0,2.0,1800.0,0
114.0,112.0,2.0,1800.0,0
100.5,99.0,1.5,1900.0,0
105.5,96.5,9.0,1900.0,0
105.0,102.5,2.5,1700.0,0
105.5,105.5,0.0,2000.0,0
83.0,83.0,0.0,2000.0,0
116.0,116.0,0.0,1600.0,0
94.5,94.5,0.0,1800.0,0
107.5,107.0,0.5,1700.0,0
104.5,104.5,0.0,1900.0,0
113.0,112.0,1.0,1700.0,0
111.0,110.0,1.0,1500.0,0
101.5,101.5,0.0,1700.0,0
110.0,110.0,0.0,1700.0,0
107.5,107.5,0.0,1700.0,0
98.0,98.0,0.0,1800.0,0
107.0,101.5,5.5,1800.0,0
96.5,89.0,7.5,1700.0,0
111.0,108.0,3.0,1700.0,0
101.5,98.5,3.0,1700.0,0
112.0,102.0,10.0,1700.0,0
115.5,113.0,2.5,1700.0,0
108.0,107.5,0.5,1800.0,0
109.0,106.0,3.0,1800.0,0
104.0,104.0,0.0,1700.0,0
100.5,100.5,0.0,2000.0,0
100.5,100.5,0.0,2000.0,0
110.0,108.0,2.0,1900.0,0
120.5,112.5,8.0,1800.0,0
114.5,107.0,7.5,1800.0,0
102.0,101.5,0.5,1600.0,0
105.0,104.5,0.5,1700.0,0
102.0,101.0,1.0,1700.0,0
111.0,110.0,1.0,1800.0,0
111.5,109.0,2.5,1700.0,0
100.0,99.5,0.5,1800.0,0
105.5,103.5,2.0,1600.0,0
116.0,113.5,2.5,1800.0,0
120.0,117.5,2.5,1500.0,0
98.5,98.5,0.0,1600.0,0
106.0,105.5,0.5,1600.0,0
100.5,100.5,0.0,1500.0,0
95.0,95.0,0.0,1600.0,0
105.0,105.0,0.0,1600.0,0
99.0,99.0,0.0,1500.0,0
104.5,104.5,0.0,1500.0,0
103.5,103.5,0.0,1500.0,0
91.5,91.5,0.0,1600.0,0
95.0,95.0,0.0,1500.0,0
107.5,107.5,0.0,1500.0,0
95.5,95.5,0.0,1500.0,0
96.5,96.5,0.0,1600.0,0
101.5,101.5,0.0,1600.0,0
101.5,101.5,0.0,1500.0,0
92.0,92.0,0.0,1500.0,0
110.0,110.0,0.0,1500.0,0
99.0,99.0,0.0,1400.0,0
89.5,89.5,0.0,1500.0,0
107.0,107.0,0.0,1600.0,0
106.0,106.0,0.0,1600.0,0
107.0,107.0,0.0,1500.0,0
113.5,113.5,0.0,1400.0,0
97.5,97.5,0.0,1500.0,0
98.5,98.5,0.0,1500.0,0
103.5,103.5,0.0,1600.0,0
105.0,105.0,0.0,1600.0,0
92.0,92.0,0.0,1600.0,0
93.0,93.0,0.0,1500.0,0
104.5,104.5,0.0,1500.0,0
109.0,109.0,0.0,1500.0,0
95.5,95.5,0.0,1600.0,0
111.5,111.5,0.0,1500.0,0
108.5,108.5,0.0,1500.0,0
102.0,102.0,0.0,1500.0,0
97.5,97.5,0.0,1500.0,0
102.0,102.0,0.0,1500.0,0
109.5,109.5,0.0,1500.0,0
101.5,101.5,0.0,1500.0,0
93.5,93.5,0.0,1500.0,0
102.0,102.0,0.0,1400.0,0
106.5,106.5,0.0,1600.0,0
97.5,97.5,0.0,1600.0,0
101.0,101.0,0.0,1600.0,0
108.5,108.5,0.0,1600.0,0
107.5,107.5,0.0,1400.0,0
109.0,109.0,0.0,1400.0,0
108.5,108.5,0.0,1400.0,0
95.0,95.0,0.0,1500.0,0
101.5,101.5,0.0,1500.0,0
106.5,106.5,0.0,1500.0,0
109.5,109.5,0.0,1500.0,0
91.5,91.5,0.0,1600.0,0
93.0,93.0,0.0,1700.0,0
100.5,100.5,0.0,1700.0,0
81.5,81.5,0.0,1800.0,0
94.5,94.5,0.0,1800.0,0
95.5,95.5,0.0,1600.0,0
88.0,88.0,0.0,1800.0,0
107.0,107.0,0.0,1800.0,0
121.5,121.0,0.5,1500.0,0
96.5,96.5,0.0,1500.0,0
104.0,104.0,0.0,1500.0,0
98.0,98.0,0.0,1700.0,0
85.5,85.5,0.0,1700.0,0
101.0,101.0,0.0,1700.0,0
102.0,102.0,0.0,1600.0,0
93.5,93.5,0.0,1600.0,0
109.0,109.0,0.0,1500.0,0
107.5,107.5,0.0,1500.0,0
105.0,105.0,0.0,1500.0,0
105.0,105.0,0.0,1500.0,0
119.0,119.0,0.0,1500.0,0
95.0,95.0,0.0,1500.0,0
101.0,101.0,0.0,1500.0,0
109.0,109.0,0.0,1500.0,0
95.5,95.5,0.0,1500.0,0
98.5,98.5,0.0,1500.0,0
97.0,97.0,0.0,1700.0,0
101.0,101.0,0.0,1700.0,0
113.0,113.0,0.0,1500.0,0
97.5,97.5,0.0,1500.0,0
95.0,95.0,0.0,1500.0,0
109.5,109.5,0.0,1400.0,0
98.0,98.0,0.0,1500.0,0
98.0,98.0,0.0,1500.0,0
105.0,105.0,0.0,1500.0,0
107.5,107.5,0.0,1500.0,0
119.5,119.0,0.5,1400.0,0
107.0,104.5,2.5,1600.0,0
98.0,98.0,0.0,1500.0,0
101.5,101.5,0.0,1500.0,0
97.5,97.5,0.0,1500.0,0
97.0,97.0,0.0,1600.0,0
98.5,98.5,0.0,1500.0,0
109.0,109.0,0.0,1500.0,0
109.5,109.5,0.0,1500.0,0
92.5,92.5,0.0,1500.0,0
97.0,97.0,0.0,1600.0,0
99.0,99.0,0.0,1600.0,0
110.5,110.5,0.0,1600.0,0
102.5,102.5,0.0,1500.0,0
98.0,98.0,0.0,1500.0,0
106.0,106.0,0.0,1500.0,0
108.0,108.0,0.0,1500.0,0
102.0,102.0,0.0,1500.0,0
99.5,99.5,0.0,1600.0,0
95.0,95.0,0.0,1500.0,0
111.5,111.5,0.0,1400.0,0
116.5,116.5,0.0,1500.0,0
106.5,106.5,0.0,1500.0,0
104.0,104.0,0.0,1400.0,0
111.0,111.0,0.0,1500.0,0
109.5,109.5,0.0,1500.0,0
99.5,99.5,0.0,1500.0,0
87.0,87.0,0.0,1600.0,0
114.0,114.0,0.0,1400.0,0
106.5,106.5,0.0,1500.0,0
107.0,107.0,0.0,1500.0,0
104.5,104.5,0.0,1500.0,0
105.0,105.0,0.0,1600.0,0
100.0,100.0,0.0,1600.0,0
99.0,99.0,0.0,1500.0,0
103.5,103.5,0.0,1600.0,0
104.5,104.5,0.0,1600.0,0
101.0,101.0,0.0,1500.0,0
105.0,105.0,0.0,1600.0,0
100.5,100.5,0.0,1600.0,0
97.0,97.0,0.0,1500.0,0
97.5,97.5,0.0,1500.0,0
96.0,96.0,0.0,1500.0,0
99.0,99.0,0.0,1500.0,0
93.0,93.0,0.0,1500.0,0
107.0,107.0,0.0,1500.0,0
110.0,110.0,0.0,1400.0,0
104.0,104.0,0.0,1500.0,0
99.0,99.0,0.0,1500.0,0
92.0,92.0,0.0,1500.0,0
97.5,97.5,0.0,1600.0,0
110.0,110.0,0.0,1600.0,0
101.5,101.5,0.0,1500.0,0
106.0,106.0,0.0,1500.0,0
104.5,104.5,0.0,1600.0,0
91.5,91.5,0.0,1600.0,0
105.5,105.0,0.5,1600.0,0
104.0,104.0,0.0,1500.0,0
98.5,98.5,0.0,1500.0,0
97.0,97.0,0.0,1500.0,0
105.5,105.5,0.0,1500.0,0
104.5,104.5,0.0,1500.0,0
112.0,112.0,0.0,1400.0,0
97.0,97.0,0.0,1400.0,0
101.5,101.5,0.0,1500.0,0
109.0,109.0,0.0,1400.0,0
106.5,106.5,0.0,1500.0,0
98.0,98.0,0.0,1500.0,0
107.5,107.5,0.0,1400.0,0
113.5,113.5,0.0,1400.0,0
103.0,103.0,0.0,1500.0,0
96.5,96.5,0.0,1500.0,0
112.5,112.5,0.0,1500.0,0
100.5,100.5,0.0,1400.0,0
93.0,93.0,0.0,1500.0,0
102.5,102.5,0.0,1800.0,0
103.5,103.5,0.0,1500.0,0
101.5,101.5,0.0,1600.0,0
106.0,106.0,0.0,1500.0,0
