RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
58.5,0.0,58.5,378.0,0.0
203.0,0.0,203.0,550.0,0.0
304.0,0.0,304.0,718.0,0.0
435.5,66.0,369.5,632.0,0.0
454.5,26.5,428.0,640.0,0.0
418.5,4.5,414.0,584.0,0.0
448.5,2.5,446.0,632.0,0.0
436.5,2.5,434.0,650.0,0.0
428.0,3.5,424.5,630.0,0.0
402.5,51.5,351.0,838.0,0.0
475.0,63.5,411.5,752.0,0.0
456.0,33.0,423.0,774.0,0.0
466.5,43.0,423.5,734.0,0.0
480.0,52.5,427.5,754.0,0.0
497.5,58.5,439.0,790.0,0.0
463.0,86.5,376.5,864.0,0.0
473.0,144.0,329.0,860.0,0.0
491.5,166.0,325.5,950.0,0.0
462.5,103.5,359.0,844.0,0.0
490.5,101.5,389.0,894.0,0.0
511.5,144.0,367.5,1012.0,0.0
480.0,202.5,277.5,1134.0,0.0
511.0,199.5,311.5,1110.0,0.0
489.5,217.5,272.0,1020.0,0.0
462.0,229.5,232.5,1152.0,0.0
462.5,272.5,190.0,1200.0,0.0
512.5,307.5,205.0,1186.0,0.0
451.5,279.0,172.5,1162.0,0.0
451.5,279.5,172.0,1146.0,0.0
457.5,306.5,151.0,1212.0,0.0
472.0,296.5,175.5,1210.0,0.0
488.5,301.0,187.5,1156.0,0.0
482.0,305.5,176.5,1142.0,0.0
447.0,282.5,164.5,1212.0,0.0
459.5,288.0,171.5,1196.0,0.0
456.5,290.0,166.5,1268.0,0.0
483.0,296.0,187.0,1218.0,0.0
470.5,288.0,182.5,1148.0,0.0
448.5,281.5,167.0,1208.0,0.0
513.0,328.0,185.0,1138.0,0.0
440.0,265.0,175.0,1230.0,0.0
474.0,283.0,191.0,1270.0,0.0
476.0,289.5,186.5,1146.0,0.0
489.0,297.0,192.0,1166.0,0.0
446.5,272.5,174.0,1206.0,0.0
457.5,305.0,152.5,1190.0,0.0
477.0,315.5,161.5,1166.0,0.0
470.0,306.5,163.5,1192.0,0.0
483.5,314.5,169.0,1222.0,0.0
489.0,317.0,172.0,1146.0,0.0
471.5,312.5,159.0,1130.0,0.0
477.0,313.0,164.0,1174.0,0.0
470.5,294.0,176.5,1130.0,0.0
469.5,289.0,180.5,1148.0,0.0
464.5,290.0,174.5,1160.0,0.0
475.0,300.0,175.0,1172.0,0.0
480.5,290.5,190.0,1196.0,0.0
470.5,282.0,188.5,1174.0,0.0
439.5,266.5,173.0,1172.0,0.0
482.0,309.5,172.5,1164.0,0.0
501.0,307.0,194.0,1140.0,0.0
502.5,312.0,190.5,1120.0,0.0
482.0,291.0,191.0,1164.0,0.0
483.0,297.0,186.0,1104.0,0.0
450.5,277.5,173.0,1262.0,0.0
452.5,295.0,157.5,1232.0,0.0
489.5,309.0,180.5,1208.0,0.0
527.0,309.5,217.5,1158.0,0.0
492.5,273.0,219.5,1172.0,0.0
469.0,287.0,182.0,1128.0,0.0
487.5,305.0,182.5,1146.0,0.0
