RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,500.0,0
49.5,0.0,49.5,670.0,0
112.0,1.5,110.5,1100.0,0
157.5,2.0,155.5,1200.0,0
151.0,26.0,125.0,1200.0,0
150.0,42.5,107.5,1400.0,0
147.5,64.5,83.0,1300.0,0
165.5,71.0,94.5,1200.0,0
153.5,58.0,95.5,1300.0,0
165.0,70.5,94.5,1300.0,0
160.5,66.5,94.0,1400.0,0
160.5,67.0,93.5,1400.0,0
158.0,68.0,90.0,1300.0,0
165.0,100.5,64.5,1400.0,0
176.5,122.0,54.5,1400.0,0
164.0,101.5,62.5,1600.0,0
155.0,138.0,17.0,1400.0,0
159.5,142.5,17.0,1700.0,0
165.5,152.0,13.5,1700.0,0
165.5,147.5,18.0,1700.0,0
179.5,140.5,39.0,1600.0,0
153.0,127.0,26.0,1700.0,0
164.5,147.5,17.0,2200.0,0
168.5,165.5,3.0,2200.0,0
171.5,167.0,4.5,1800.0,0
167.5,161.0,6.5,1700.0,0
160.5,154.5,6.0,1900.0,0
169.0,166.0,3.0,2000.0,0
169.5,166.0,3.5,2000.0,0
176.5,175.0,1.5,1800.0,0
171.0,171.0,0.0,1900.0,0
174.5,172.5,2.0,1700.0,0
164.0,164.0,0.0,2000.0,0
180.5,176.5,4.0,2200.0,0
170.5,166.0,4.5,2200.0,0
180.5,180.5,0.0,2100.0,0
169.0,169.0,0.0,2000.0,0
176.0,176.0,0.0,1700.0,0
169.0,169.0,0.0,2200.0,0
180.5,179.0,1.5,1900.0,0
170.5,169.0,1.5,2000.0,0
167.0,167.0,0.0,2300.0,0
181.0,180.5,0.5,1900.0,0
163.0,161.5,1.5,1800.0,0
154.0,152.0,2.0,1900.0,0
175.0,175.0,0.0,1700.0,0
171.5,171.5,0.0,1800.0,0
178.0,178.0,0.0,2000.0,0
176.5,176.5,0.0,2000.0,0
173.0,173.0,0.0,2100.0,0
178.5,178.5,0.0,2300.0,0
167.0,167.0,0.0,2300.0,0
175.0,175.0,0.0,1900.0,0
160.5,160.5,0.0,2000.0,0
168.5,168.5,0.0,2000.0,0
181.0,181.0,0.0,2000.0,0
166.0,166.0,0.0,1800.0,0
147.0,147.0,0.0,1900.0,0
161.0,161.0,0.0,2100.0,0
167.0,167.0,0.0,2100.0,0
168.0,166.5,1.5,2100.0,0
151.5,151.0,0.5,2000.0,0
169.0,169.0,0.0,2000.0,0
171.5,171.5,0.0,1700.0,0
153.0,153.0,0.0,2200.0,0
164.5,164.5,0.0,2000.0,0
171.5,171.5,0.0,1900.0,0
177.5,177.5,0.0,1800.0,0
161.0,161.0,0.0,2000.0,0
164.0,164.0,0.0,2000.0,0
160.0,160.0,0.0,2000.0,0
170.0,170.0,0.0,2000.0,0
177.5,177.5,0.0,2000.0,0
164.5,164.5,0.0,2300.0,0
185.0,184.5,0.5,2000.0,0
159.5,159.0,0.5,1900.0,0
161.5,161.5,0.0,1900.0,0
166.0,166.0,0.0,2000.0,0
173.0,172.5,0.5,1800.0,0
173.0,173.0,0.0,2000.0,0
178.5,178.5,0.0,2000.0,0
148.5,148.5,0.0,1900.0,0
180.0,180.0,0.0,1900.0,0
162.5,162.5,0.0,1700.0,0
167.0,167.0,0.0,2000.0,0
179.0,179.0,0.0,2300.0,0
189.0,189.0,0.0,2300.0,0
180.0,180.0,0.0,1800.0,0
167.5,167.5,0.0,2000.0,0
163.0,163.0,0.0,2300.0,0
176.5,176.5,0.0,2300.0,0
190.0,190.0,0.0,1700.0,0
176.0,176.0,0.0,1700.0,0
162.0,162.0,0.0,1900.0,0
159.5,159.5,0.0,1900.0,0
172.0,172.0,0.0,1900.0,0
166.0,166.0,0.0,1900.0,0
151.0,151.0,0.0,2200.0,0
176.5,176.5,0.0,2200.0,0
171.5,171.5,0.0,1900.0,0
