RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,210.0,0
20.0,0.0,20.0,350.0,0
25.5,0.0,25.5,420.0,0
55.0,0.0,55.0,430.0,0
75.5,0.0,75.5,420.0,0
88.0,0.0,88.0,330.0,0
81.5,0.0,81.5,270.0,0
75.0,0.0,75.0,310.0,0
75.0,0.0,75.0,410.0,0
81.5,0.0,81.5,400.0,0
86.5,0.0,86.5,650.0,0
93.5,0.0,93.5,470.0,0
85.5,0.0,85.5,280.0,0
101.0,0.0,101.0,320.0,0
87.0,0.0,87.0,540.0,0
88.5,0.0,88.5,450.0,0
72.5,0.0,72.5,700.0,0
96.0,0.0,96.0,510.0,0
82.5,0.0,82.5,280.0,0
80.0,0.0,80.0,370.0,0
95.0,0.0,95.0,590.0,0
93.5,0.0,93.5,230.0,0
93.0,0.0,93.0,490.0,0
71.0,0.0,71.0,550.0,0
89.5,0.0,89.5,470.0,0
81.0,0.0,81.0,660.0,0
131.0,0.0,131.0,510.0,0
82.5,0.5,82.0,530.0,0
97.0,1.0,96.0,520.0,0
91.0,0.0,91.0,630.0,0
81.0,0.0,81.0,580.0,0
92.0,0.0,92.0,670.0,0
102.5,0.0,102.5,540.0,0
74.0,0.0,74.0,420.0,0
68.5,0.0,68.5,440.0,0
93.0,0.0,93.0,570.0,0
99.5,0.5,99.0,370.0,0
64.0,0.5,63.5,600.0,0
104.0,1.0,103.0,280.0,0
88.0,0.0,88.0,520.0,0
75.0,0.0,75.0,450.0,0
77.5,2.5,75.0,480.0,0
92.0,0.0,92.0,540.0,0
91.5,0.0,91.5,520.0,0
112.5,1.0,111.5,400.0,0
96.0,0.0,96.0,490.0,0
89.0,0.0,89.0,360.0,0
82.5,1.0,81.5,360.0,0
85.0,0.5,84.5,510.0,0
62.0,0.0,62.0,570.0,0
72.5,0.0,72.5,560.0,0
88.0,0.0,88.0,450.0,0
62.5,0.0,62.5,530.0,0
83.0,0.0,83.0,550.0,0
82.5,1.0,81.5,480.0,0
108.5,0.0,108.5,320.0,0
85.5,0.0,85.5,420.0,0
75.0,0.0,75.0,540.0,0
81.5,0.0,81.5,470.0,0
93.5,5.5,88.0,460.0,0
93.5,6.0,87.5,460.0,0
84.0,1.0,83.0,590.0,0
84.0,2.5,81.5,530.0,0
60.5,0.0,60.5,610.0,0
80.5,1.5,79.0,510.0,0
91.5,1.5,90.0,520.0,0
84.0,3.5,80.5,570.0,0
84.5,0.0,84.5,500.0,0
74.0,0.0,74.0,490.0,0
90.5,0.0,90.5,620.0,0
74.0,2.5,71.5,580.0,0
97.0,2.5,94.5,450.0,0
123.5,0.0,123.5,200.0,0
104.5,0.0,104.5,190.0,0
93.0,0.0,93.0,220.0,0
105.0,0.0,105.0,220.0,0
79.5,0.0,79.5,180.0,0
89.0,0.0,89.0,140.0,0
91.0,0.0,91.0,140.0,0
96.0,0.0,96.0,160.0,0
101.5,0.0,101.5,150.0,0
90.5,0.0,90.5,140.0,0
76.5,0.0,76.5,190.0,0
91.5,0.0,91.5,190.0,0
84.5,0.0,84.5,170.0,0
83.5,0.0,83.5,180.0,0
90.0,0.0,90.0,180.0,0
91.5,0.0,91.5,200.0,0
91.0,0.0,91.0,200.0,0
107.5,0.0,107.5,190.0,0
92.5,0.0,92.5,190.0,0
78.5,0.0,78.5,190.0,0
95.5,0.0,95.5,190.0,0
87.0,0.0,87.0,180.0,0
101.0,0.0,101.0,190.0,0
92.0,0.0,92.0,200.0,0
83.0,0.0,83.0,200.0,0
92.0,0.0,92.0,170.0,0
92.0,0.0,92.0,180.0,0
94.5,0.0,94.5,180.0,0
96.5,0.0,96.5,160.0,0
87.5,0.0,87.5,210.0,0
94.0,0.0,94.0,210.0,0
90.0,0.0,90.0,170.0,0
95.0,0.0,95.0,150.0,0
96.5,0.0,96.5,170.0,0
97.0,0.0,97.0,170.0,0
90.5,0.0,90.5,220.0,0
89.0,0.0,89.0,200.0,0
80.5,0.0,80.5,170.0,0
83.5,0.0,83.5,220.0,0
76.5,0.0,76.5,160.0,0
81.0,0.0,81.0,160.0,0
83.5,0.0,83.5,160.0,0
86.0,0.0,86.0,170.0,0
87.5,0.0,87.5,180.0,0
89.5,0.0,89.5,170.0,0
88.0,0.0,88.0,170.0,0
84.0,0.0,84.0,200.0,0
86.0,0.0,86.0,200.0,0
99.0,0.0,99.0,180.0,0
101.5,0.0,101.5,140.0,0
89.5,0.0,89.5,160.0,0
104.5,0.0,104.5,160.0,0
109.5,0.0,109.5,140.0,0
89.5,0.0,89.5,140.0,0
94.0,0.0,94.0,170.0,0
91.5,0.0,91.5,160.0,0
86.0,0.0,86.0,170.0,0
95.5,0.0,95.5,190.0,0
97.5,0.0,97.5,180.0,0
83.0,0.0,83.0,200.0,0
107.0,0.0,107.0,200.0,0
102.0,0.0,102.0,210.0,0
93.5,0.0,93.5,200.0,0
87.0,0.0,87.0,200.0,0
90.5,0.0,90.5,240.0,0
91.0,0.0,91.0,240.0,0
94.5,0.0,94.5,170.0,0
96.5,0.0,96.5,180.0,0
90.0,0.0,90.0,150.0,0
89.0,0.0,89.0,160.0,0
100.5,0.0,100.5,190.0,0
102.0,0.0,102.0,220.0,0
92.5,0.0,92.5,220.0,0
91.0,0.0,91.0,220.0,0
100.5,0.0,100.5,150.0,0
94.0,0.0,94.0,160.0,0
102.0,0.0,102.0,190.0,0
102.5,0.0,102.5,190.0,0
110.0,0.0,110.0,170.0,0
93.0,0.0,93.0,160.0,0
79.0,0.0,79.0,210.0,0
88.5,0.0,88.5,170.0,0
91.0,0.0,91.0,250.0,0
83.5,0.0,83.5,150.0,0
103.5,0.0,103.5,190.0,0
107.0,0.0,107.0,190.0,0
94.5,0.0,94.5,210.0,0
91.0,0.0,91.0,190.0,0
91.0,0.0,91.0,180.0,0
92.0,0.0,92.0,160.0,0
85.5,0.0,85.5,150.0,0
96.5,0.0,96.5,200.0,0
90.5,0.0,90.5,180.0,0
83.0,0.0,83.0,200.0,0
101.0,0.0,101.0,240.0,0
95.5,0.0,95.5,240.0,0
91.5,0.0,91.5,240.0,0
96.0,0.0,96.0,140.0,0
96.0,0.0,96.0,190.0,0
87.5,0.0,87.5,170.0,0
88.0,0.0,88.0,170.0,0
91.5,0.0,91.5,200.0,0
95.5,0.0,95.5,180.0,0
95.5,0.0,95.5,170.0,0
97.0,0.0,97.0,140.0,0
100.0,0.0,100.0,190.0,0
96.5,0.0,96.5,170.0,0
93.5,0.0,93.5,180.0,0
93.0,0.0,93.0,160.0,0
86.0,0.0,86.0,160.0,0
93.5,0.0,93.5,190.0,0
92.0,0.0,92.0,180.0,0
97.5,0.0,97.5,170.0,0
93.5,0.0,93.5,190.0,0
89.0,0.0,89.0,200.0,0
98.5,0.0,98.5,110.0,0
93.0,0.0,93.0,160.0,0
98.0,0.0,98.0,170.0,0
94.5,0.0,94.5,180.0,0
94.0,0.0,94.0,180.0,0
96.5,0.0,96.5,170.0,0
90.0,0.0,90.0,170.0,0
83.0,0.0,83.0,140.0,0
83.5,0.0,83.5,170.0,0
90.5,0.0,90.5,190.0,0
88.0,0.0,88.0,200.0,0
87.0,0.0,87.0,200.0,0
94.5,0.0,94.5,180.0,0
86.0,0.0,86.0,190.0,0
88.0,0.0,88.0,160.0,0
82.0,0.0,82.0,190.0,0
99.0,0.0,99.0,190.0,0
106.0,0.0,106.0,140.0,0
92.0,0.0,92.0,160.0,0
100.5,0.0,100.5,210.0,0
107.0,0.0,107.0,190.0,0
105.0,0.0,105.0,160.0,0
87.5,0.0,87.5,150.0,0
81.0,0.0,81.0,160.0,0
79.0,0.0,79.0,190.0,0
78.0,0.0,78.0,220.0,0
84.0,0.0,84.0,170.0,0
86.0,0.0,86.0,170.0,0
88.0,0.0,88.0,230.0,0
90.0,0.0,90.0,160.0,0
90.0,0.0,90.0,200.0,0
89.5,0.0,89.5,200.0,0
93.0,0.0,93.0,130.0,0
94.5,0.0,94.5,150.0,0
101.0,0.0,101.0,190.0,0
89.5,0.0,89.5,180.0,0
94.0,0.0,94.0,210.0,0
102.0,0.0,102.0,180.0,0
91.5,0.0,91.5,210.0,0
81.5,0.0,81.5,210.0,0
93.5,0.0,93.5,210.0,0
113.0,0.0,113.0,220.0,0
92.0,0.0,92.0,180.0,0
88.5,0.0,88.5,180.0,0
94.5,0.0,94.5,120.0,0
89.0,0.0,89.0,180.0,0
83.5,0.0,83.5,180.0,0
90.5,0.0,90.5,170.0,0
91.5,0.0,91.5,190.0,0
92.0,0.0,92.0,170.0,0
94.0,0.0,94.0,180.0,0
90.5,0.0,90.5,180.0,0
94.5,0.0,94.5,180.0,0
81.0,0.0,81.0,180.0,0
93.0,0.0,93.0,180.0,0
86.0,0.0,86.0,170.0,0
82.5,0.0,82.5,200.0,0
92.0,0.0,92.0,210.0,0
108.5,0.0,108.5,190.0,0
101.0,0.0,101.0,210.0,0
90.0,0.0,90.0,210.0,0
84.5,0.0,84.5,210.0,0
101.0,0.0,101.0,180.0,0
93.5,0.0,93.5,180.0,0
86.0,0.0,86.0,240.0,0
88.5,0.0,88.5,170.0,0
102.5,0.0,102.5,180.0,0
106.0,0.0,106.0,180.0,0
97.0,0.0,97.0,180.0,0
90.0,0.0,90.0,180.0,0
86.5,0.0,86.5,180.0,0
95.0,0.0,95.0,190.0,0
93.0,0.0,93.0,180.0,0
84.0,0.0,84.0,180.0,0
90.0,0.0,90.0,170.0,0
100.0,0.0,100.0,160.0,0
93.5,0.0,93.5,230.0,0
92.0,0.0,92.0,190.0,0
95.0,0.0,95.0,180.0,0
98.0,0.0,98.0,180.0,0
102.5,0.0,102.5,140.0,0
101.5,0.0,101.5,160.0,0
96.0,0.0,96.0,170.0,0
93.5,0.0,93.5,160.0,0
106.5,0.0,106.5,210.0,0
119.0,0.0,119.0,210.0,0
96.5,0.0,96.5,210.0,0
89.0,0.0,89.0,170.0,0
98.5,0.0,98.5,210.0,0
95.5,0.0,95.5,210.0,0
91.0,0.0,91.0,190.0,0
78.5,0.0,78.5,180.0,0
90.5,0.0,90.5,180.0,0
97.5,0.0,97.5,170.0,0
96.5,0.0,96.5,210.0,0
105.5,0.0,105.5,210.0,0
82.0,0.0,82.0,200.0,0
100.0,0.0,100.0,160.0,0
94.5,0.0,94.5,170.0,0
97.0,0.0,97.0,170.0,0
89.0,0.0,89.0,170.0,0
90.0,0.0,90.0,200.0,0
93.5,0.0,93.5,200.0,0
101.5,0.0,101.5,210.0,0
86.0,0.0,86.0,160.0,0
93.5,0.0,93.5,160.0,0
104.0,0.0,104.0,150.0,0
89.0,0.0,89.0,200.0,0
96.0,0.0,96.0,200.0,0
104.0,0.0,104.0,170.0,0
101.5,0.0,101.5,190.0,0
85.0,0.0,85.0,140.0,0
82.0,0.0,82.0,110.0,0
78.0,0.0,78.0,170.0,0
86.5,0.0,86.5,170.0,0
85.5,0.0,85.5,180.0,0
78.0,0.0,78.0,170.0,0
85.5,0.0,85.5,170.0,0
90.5,0.0,90.5,190.0,0
87.0,0.0,87.0,180.0,0
90.0,0.0,90.0,190.0,0
93.5,0.0,93.5,180.0,0
79.0,0.0,79.0,190.0,0
74.5,0.0,74.5,180.0,0
84.5,0.0,84.5,210.0,0
