RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
15.0,0.0,15.0,560.0,0
43.0,0.0,43.0,910.0,0
118.0,15.5,102.5,1200.0,0
145.0,59.0,86.0,1200.0,0
153.0,27.0,126.0,1000.0,0
160.5,4.5,156.0,940.0,0
169.5,3.0,166.5,1000.0,0
165.0,2.0,163.0,1100.0,0
165.5,6.5,159.0,1100.0,0
168.0,2.5,165.5,1000.0,0
142.5,10.5,132.0,1400.0,0
185.0,35.5,149.5,1100.0,0
139.0,34.0,105.0,1500.0,0
193.5,74.5,119.0,1300.0,0
159.0,35.5,123.5,1200.0,0
164.5,43.5,121.0,1300.0,0
163.5,35.5,128.0,1600.0,0
152.5,50.5,102.0,1300.0,0
179.5,96.0,83.5,1700.0,0
173.5,48.0,125.5,1400.0,0
185.0,61.5,123.5,1300.0,0
153.0,60.0,93.0,1800.0,0
212.0,147.0,65.0,1400.0,0
169.5,81.0,88.5,1900.0,0
171.5,125.5,46.0,1900.0,0
177.0,125.5,51.5,2000.0,0
188.0,107.0,81.0,1300.0,0
165.0,102.5,62.5,1600.0,0
216.0,86.5,129.5,1500.0,0
156.0,85.5,70.5,1900.0,0
197.5,107.0,90.5,1300.0,0
157.0,81.5,75.5,1700.0,0
164.0,155.5,8.5,2000.0,0
191.5,167.0,24.5,1900.0,0
160.5,86.0,74.5,1400.0,0
169.0,130.5,38.5,1800.0,0
216.0,186.5,29.5,1800.0,0
160.0,99.0,61.0,1800.0,0
194.5,135.5,59.0,1800.0,0
166.5,153.5,13.0,1900.0,0
187.0,156.5,30.5,1900.0,0
190.5,137.0,53.5,1600.0,0
146.5,107.5,39.0,1900.0,0
178.0,111.0,67.0,1800.0,0
172.5,123.5,49.0,2000.0,0
186.0,132.0,54.0,1900.0,0
184.0,124.5,59.5,1800.0,0
157.0,125.5,31.5,1800.0,0
210.5,155.5,55.0,2000.0,0
214.5,107.5,107.0,1600.0,0
166.0,110.5,55.5,1900.0,0
193.0,168.5,24.5,2000.0,0
180.0,115.0,65.0,1800.0,0
179.5,136.0,43.5,2000.0,0
181.5,108.5,73.0,1900.0,0
182.0,111.0,71.0,1900.0,0
166.0,129.0,37.0,2000.0,0
176.0,142.0,34.0,2000.0,0
198.0,157.5,40.5,1600.0,0
170.5,131.5,39.0,1900.0,0
201.0,130.0,71.0,1700.0,0
181.5,115.5,66.0,1700.0,0
166.0,126.0,40.0,2000.0,0
183.5,137.0,46.5,1600.0,0
174.0,138.5,35.5,1900.0,0
228.0,158.0,70.0,1600.0,0
166.0,95.5,70.5,1900.0,0
221.5,155.0,66.5,1900.0,0
180.5,107.0,73.5,1800.0,0
190.0,122.5,67.5,1900.0,0
179.5,98.5,81.0,1400.0,0
166.0,81.0,85.0,1500.0,0
183.0,120.0,63.0,1700.0,0
185.0,126.0,59.0,1600.0,0
185.5,126.5,59.0,1600.0,0
175.5,120.0,55.5,1600.0,0
200.0,135.5,64.5,1500.0,0
184.0,105.0,79.0,1600.0,0
186.0,122.5,63.5,1600.0,0
205.0,111.5,93.5,1500.0,0
159.5,81.0,78.5,1800.0,0
172.0,121.0,51.0,1800.0,0
187.0,117.5,69.5,1900.0,0
184.5,122.5,62.0,1800.0,0
189.0,108.5,80.5,1800.0,0
189.5,125.5,64.0,1700.0,0
198.5,132.0,66.5,1700.0,0
211.0,124.0,87.0,1800.0,0
195.5,106.5,89.0,1800.0,0
174.0,94.5,79.5,1700.0,0
197.5,123.0,74.5,1700.0,0
193.5,97.5,96.0,1600.0,0
179.5,108.0,71.5,1700.0,0
188.0,138.5,49.5,1800.0,0
186.5,129.5,57.0,1700.0,0
186.0,116.5,69.5,1900.0,0
166.5,149.5,17.0,2000.0,0
203.0,158.0,45.0,1600.0,0
205.0,116.5,88.5,1600.0,0
201.0,93.5,107.5,1600.0,0
164.5,86.0,78.5,1700.0,0
187.0,125.5,61.5,1800.0,0
195.0,134.0,61.0,1600.0,0
201.5,106.0,95.5,1500.0,0
187.5,119.0,68.5,1700.0,0
184.5,116.5,68.0,1800.0,0
178.0,89.0,89.0,1500.0,0
183.0,117.0,66.0,1700.0,0
177.0,141.0,36.0,1900.0,0
168.0,143.0,25.0,1900.0,0
199.0,151.0,48.0,1800.0,0
198.0,131.5,66.5,1900.0,0
196.0,149.0,47.0,1700.0,0
183.5,129.5,54.0,1700.0,0
191.0,128.0,63.0,1600.0,0
197.0,148.0,49.0,1700.0,0
193.5,129.0,64.5,1700.0,0
183.5,135.0,48.5,1700.0,0
166.5,137.0,29.5,1800.0,0
193.0,142.5,50.5,1900.0,0
189.5,132.0,57.5,1800.0,0
183.5,130.5,53.0,1700.0,0
203.5,101.5,102.0,1700.0,0
186.0,76.0,110.0,1500.0,0
178.5,138.0,40.5,1900.0,0
186.0,122.5,63.5,1800.0,0
175.5,99.0,76.5,1600.0,0
183.0,119.0,64.0,1700.0,0
198.0,134.0,64.0,1700.0,0
193.0,126.0,67.0,1600.0,0
180.0,147.0,33.0,1900.0,0
183.5,111.5,72.0,1600.0,0
185.5,119.0,66.5,1700.0,0
167.5,127.5,40.0,1700.0,0
177.0,137.5,39.5,2100.0,0
200.5,133.5,67.0,1700.0,0
192.5,134.5,58.0,1700.0,0
213.0,125.5,87.5,1600.0,0
169.5,106.0,63.5,1600.0,0
170.5,127.0,43.5,1700.0,0
178.0,158.5,19.5,1900.0,0
210.5,145.0,65.5,1700.0,0
199.0,111.5,87.5,1600.0,0
178.5,129.5,49.0,1600.0,0
161.0,122.0,39.0,1700.0,0
191.0,137.5,53.5,1700.0,0
183.0,117.0,66.0,1700.0,0
207.5,110.5,97.0,1600.0,0
194.0,107.0,87.0,1600.0,0
175.0,82.0,93.0,1600.0,0
167.0,107.5,59.5,1700.0,0
159.0,144.5,14.5,1900.0,0
200.5,155.0,45.5,1800.0,0
177.0,130.5,46.5,1900.0,0
170.0,159.5,10.5,1900.0,0
192.5,161.0,31.5,1800.0,0
195.5,111.0,84.5,1700.0,0
180.0,65.0,115.0,1500.0,0
172.0,141.5,30.5,1800.0,0
182.5,145.5,37.0,1600.0,0
183.5,149.5,34.0,1700.0,0
182.0,152.5,29.5,1600.0,0
211.5,147.5,64.0,1500.0,0
183.5,114.5,69.0,1600.0,0
167.0,108.5,58.5,1600.0,0
207.0,118.5,88.5,1800.0,0
182.0,124.5,57.5,1600.0,0
179.5,132.0,47.5,1700.0,0
186.0,142.5,43.5,1600.0,0
201.0,152.5,48.5,1800.0,0
190.0,144.0,46.0,1700.0,0
197.0,136.5,60.5,1600.0,0
177.5,138.0,39.5,1800.0,0
195.0,119.0,76.0,1500.0,0
197.0,91.5,105.5,1800.0,0
181.5,104.5,77.0,1500.0,0
190.5,140.0,50.5,1800.0,0
183.5,125.0,58.5,1900.0,0
170.0,90.5,79.5,1900.0,0
184.5,121.0,63.5,1800.0,0
181.5,139.0,42.5,1800.0,0
202.5,135.0,67.5,1500.0,0
186.5,120.5,66.0,1600.0,0
190.5,129.5,61.0,1600.0,0
192.0,134.0,58.0,1700.0,0
186.0,131.5,54.5,1700.0,0
197.0,139.0,58.0,1700.0,0
192.0,116.5,75.5,1600.0,0
180.5,120.5,60.0,1700.0,0
182.0,123.0,59.0,1700.0,0
182.0,99.5,82.5,1500.0,0
177.0,102.5,74.5,1500.0,0
191.0,127.0,64.0,1700.0,0
165.5,154.5,11.0,1800.0,0
208.0,155.0,53.0,1900.0,0
197.0,110.0,87.0,1500.0,0
186.5,141.5,45.0,1700.0,0
178.0,134.0,44.0,1700.0,0
196.0,133.0,63.0,1900.0,0
186.0,139.5,46.5,1700.0,0
191.0,123.5,67.5,1700.0,0
188.5,126.0,62.5,1600.0,0
186.5,141.5,45.0,1800.0,0
199.0,146.5,52.5,1700.0,0
178.5,106.5,72.0,1600.0,0
192.5,105.5,87.0,1700.0,0
203.5,114.0,89.5,1700.0,0
184.5,124.0,60.5,1700.0,0
176.5,119.5,57.0,1800.0,0
178.0,155.0,23.0,1800.0,0
188.0,163.5,24.5,1700.0,0
168.0,157.5,10.5,1800.0,0
197.0,181.5,15.5,1800.0,0
184.0,121.0,63.0,1800.0,0
165.5,134.0,31.5,1800.0,0
190.0,154.0,36.0,1700.0,0
198.0,137.0,61.0,1700.0,0
190.0,108.5,81.5,1800.0,0
181.5,109.0,72.5,1800.0,0
176.0,104.0,72.0,1800.0,0
208.5,125.5,83.0,1800.0,0
193.5,121.0,72.5,1500.0,0
202.5,97.5,105.0,1500.0,0
187.0,93.0,94.0,1600.0,0
169.0,108.5,60.5,2000.0,0
174.0,140.5,33.5,2000.0,0
197.0,148.0,49.0,1900.0,0
184.5,129.5,55.0,1900.0,0
199.5,135.0,64.5,1600.0,0
188.5,139.0,49.5,1700.0,0
190.5,135.0,55.5,1600.0,0
192.5,148.0,44.5,1800.0,0
189.5,152.0,37.5,1600.0,0
198.0,121.5,76.5,1600.0,0
180.5,109.5,71.0,1800.0,0
207.0,97.5,109.5,1500.0,0
189.5,101.5,88.0,1700.0,0
163.5,116.5,47.0,1500.0,0
194.5,135.0,59.5,1700.0,0
199.0,134.5,64.5,1600.0,0
180.5,104.5,76.0,1600.0,0
181.0,119.5,61.5,1700.0,0
185.5,121.5,64.0,1700.0,0
193.0,119.5,73.5,1800.0,0
199.5,125.0,74.5,1600.0,0
189.5,136.0,53.5,1600.0,0
164.0,137.5,26.5,2000.0,0
181.0,130.5,50.5,2000.0,0
190.0,110.5,79.5,1500.0,0
179.0,127.5,51.5,1700.0,0
184.0,131.0,53.0,1700.0,0
191.0,115.0,76.0,1700.0,0
180.0,113.0,67.0,1500.0,0
184.0,107.0,77.0,1600.0,0
179.0,96.5,82.5,1900.0,0
201.5,166.5,35.0,1800.0,0
188.0,148.0,40.0,1600.0,0
191.0,126.0,65.0,1600.0,0
188.0,117.0,71.0,1600.0,0
180.5,119.5,61.0,1800.0,0
192.5,122.0,70.5,1600.0,0
182.0,110.5,71.5,1600.0,0
174.0,143.0,31.0,1900.0,0
193.5,166.0,27.5,1800.0,0
202.5,135.5,67.0,1600.0,0
194.0,111.0,83.0,1500.0,0
179.5,92.5,87.0,1600.0,0
181.0,98.5,82.5,1600.0,0
185.5,127.0,58.5,1800.0,0
187.0,103.0,84.0,1800.0,0
185.5,97.5,88.0,1600.0,0
184.0,101.0,83.0,1700.0,0
159.0,101.5,57.5,1700.0,0
185.0,135.5,49.5,1600.0,0
199.5,122.0,77.5,1600.0,0
169.0,106.5,62.5,2000.0,0
217.5,152.5,65.0,1600.0,0
180.0,134.5,45.5,1700.0,0
184.0,137.5,46.5,1700.0,0
212.0,128.5,83.5,1800.0,0
195.0,99.5,95.5,1800.0,0
188.0,94.5,93.5,1600.0,0
163.0,95.5,67.5,1800.0,0
201.0,135.0,66.0,1800.0,0
190.0,137.0,53.0,1700.0,0
183.5,110.5,73.0,1700.0,0
175.0,103.5,71.5,1600.0,0
190.0,121.0,69.0,1700.0,0
193.5,129.5,64.0,1700.0,0
199.0,117.5,81.5,1600.0,0
174.0,142.5,31.5,1600.0,0
192.0,146.0,46.0,1700.0,0
189.0,137.5,51.5,1800.0,0
170.5,122.5,48.0,1800.0,0
203.5,123.0,80.5,1500.0,0
211.5,125.5,86.0,1800.0,0
132.5,81.0,51.5,1900.0,0
188.5,160.0,28.5,1700.0,0
172.0,137.5,34.5,2000.0,0
