RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,180.0,0
9.0,0.0,9.0,580.0,0
41.5,0.0,41.5,680.0,0
61.0,0.0,61.0,560.0,0
48.0,0.0,48.0,390.0,0
54.5,0.0,54.5,200.0,0
55.0,0.0,55.0,560.0,0
42.5,0.0,42.5,560.0,0
37.5,0.0,37.5,140.0,0
31.0,0.0,31.0,260.0,0
45.0,0.0,45.0,270.0,0
51.0,0.0,51.0,390.0,0
52.0,0.0,52.0,390.0,0
37.5,0.0,37.5,430.0,0
55.5,0.0,55.5,760.0,0
75.5,0.0,75.5,820.0,0
100.5,0.0,100.5,540.0,0
87.0,0.0,87.0,530.0,0
94.0,0.0,94.0,270.0,0
60.5,0.0,60.5,140.0,0
56.0,0.0,56.0,140.0,0
46.5,0.0,46.5,280.0,0
39.5,0.0,39.5,110.0,0
40.5,0.0,40.5,180.0,0
46.0,0.0,46.0,630.0,0
53.0,0.0,53.0,640.0,0
44.5,0.0,44.5,640.0,0
38.0,0.5,37.5,270.0,0
45.5,0.0,45.5,590.0,0
88.0,0.0,88.0,630.0,0
72.0,0.0,72.0,880.0,0
100.5,0.0,100.5,860.0,0
96.0,0.0,96.0,660.0,0
54.0,0.0,54.0,230.0,0
52.5,0.0,52.5,230.0,0
46.5,1.5,45.0,150.0,0
42.5,2.0,40.5,610.0,0
37.0,0.5,36.5,610.0,0
44.0,0.0,44.0,180.0,0
39.0,0.0,39.0,380.0,0
48.0,2.0,46.0,280.0,0
45.5,1.5,44.0,220.0,0
52.5,0.0,52.5,470.0,0
99.5,0.0,99.5,670.0,0
102.5,0.0,102.5,660.0,0
101.5,0.0,101.5,310.0,0
83.5,0.0,83.5,670.0,0
80.0,0.0,80.0,630.0,0
62.5,0.0,62.5,630.0,0
46.5,0.0,46.5,560.0,0
31.5,1.0,30.5,180.0,0
36.0,0.0,36.0,60.0,0
40.0,0.0,40.0,88.0,0
43.5,0.5,43.0,170.0,0
45.0,0.5,44.5,420.0,0
53.5,0.0,53.5,370.0,0
61.5,0.0,61.5,690.0,0
80.5,0.0,80.5,800.0,0
97.0,0.0,97.0,800.0,0
50.0,0.0,50.0,180.0,0
50.5,0.0,50.5,65.0,0
40.0,1.0,39.0,200.0,0
53.5,0.0,53.5,240.0,0
50.0,0.0,50.0,94.0,0
51.0,0.0,51.0,81.0,0
48.0,0.0,48.0,92.0,0
45.0,0.0,45.0,120.0,0
45.5,0.0,45.5,100.0,0
43.0,0.0,43.0,210.0,0
43.5,5.5,38.0,320.0,0
52.5,0.0,52.5,300.0,0
74.5,0.0,74.5,270.0,0
94.5,0.0,94.5,99.0,0
101.5,0.0,101.5,86.0,0
105.5,0.0,105.5,44.0,0
91.0,0.0,91.0,44.0,0
63.0,0.0,63.0,38.0,0
