RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
11.0,0.0,11.0,1300.0,0
45.0,35.0,10.0,1700.0,0
65.0,53.5,11.5,1900.0,0
47.5,47.5,0.0,2500.0,0
23.0,23.0,0.0,2800.0,0
42.0,42.0,0.0,2800.0,0
45.5,45.5,0.0,2800.0,0
42.0,42.0,0.0,2900.0,0
22.5,22.5,0.0,3000.0,0
42.5,42.5,0.0,3100.0,0
36.5,36.5,0.0,3100.0,0
102.0,102.0,0.0,2900.0,0
125.0,125.0,0.0,510.0,0
93.5,81.0,12.5,1100.0,0
108.5,91.0,17.5,1100.0,0
76.0,52.0,24.0,1100.0,0
32.5,10.5,22.0,1800.0,0
46.0,39.5,6.5,2400.0,0
30.0,30.0,0.0,3000.0,0
34.0,34.0,0.0,3200.0,0
30.0,30.0,0.0,3600.0,0
32.5,32.5,0.0,3600.0,0
34.5,34.5,0.0,3900.0,0
29.0,29.0,0.0,4000.0,0
31.5,31.5,0.0,4000.0,0
44.0,44.0,0.0,4100.0,0
76.5,76.5,0.0,4100.0,0
147.0,147.0,0.0,4200.0,0
100.5,99.0,1.5,4200.0,0
132.5,125.5,7.0,1100.0,0
131.0,131.0,0.0,140.0,0
131.0,131.0,0.0,130.0,0
131.0,131.0,0.0,150.0,0
131.0,131.0,0.0,120.0,0
131.0,131.0,0.0,130.0,0
131.0,131.0,0.0,130.0,0
131.0,131.0,0.0,180.0,0
131.0,131.0,0.0,210.0,0
131.0,131.0,0.0,130.0,0
131.0,131.0,0.0,110.0,0
131.0,131.0,0.0,160.0,0
131.0,131.0,0.0,160.0,0
131.0,131.0,0.0,140.0,0
131.0,131.0,0.0,130.0,0
131.0,131.0,0.0,200.0,0
131.0,131.0,0.0,230.0,0
131.0,131.0,0.0,170.0,0
131.0,131.0,0.0,130.0,0
131.0,131.0,0.0,130.0,0
131.0,131.0,0.0,140.0,0
131.0,131.0,0.0,110.0,0
131.0,131.0,0.0,320.0,0
131.0,131.0,0.0,320.0,0
131.0,131.0,0.0,130.0,0
131.0,131.0,0.0,150.0,0
131.0,131.0,0.0,120.0,0
131.0,131.0,0.0,130.0,0
131.0,131.0,0.0,130.0,0
131.0,131.0,0.0,270.0,0
131.0,131.0,0.0,260.0,0
131.0,131.0,0.0,180.0,0
131.0,131.0,0.0,120.0,0
131.0,131.0,0.0,150.0,0
131.0,131.0,0.0,120.0,0
131.0,131.0,0.0,170.0,0
131.0,131.0,0.0,140.0,0
131.0,131.0,0.0,190.0,0
131.0,131.0,0.0,220.0,0
131.0,131.0,0.0,220.0,0
131.0,131.0,0.0,150.0,0
131.0,131.0,0.0,120.0,0
131.0,131.0,0.0,130.0,0
131.0,131.0,0.0,200.0,0
129.5,129.5,0.0,210.0,0
131.0,131.0,0.0,210.0,0
132.5,132.5,0.0,140.0,0
131.0,131.0,0.0,82.0,0
131.0,131.0,0.0,140.0,0
131.0,131.0,0.0,100.0,0
131.0,131.0,0.0,110.0,0
131.0,131.0,0.0,120.0,0
131.0,131.0,0.0,110.0,0
131.0,131.0,0.0,170.0,0
131.0,131.0,0.0,120.0,0
131.0,131.0,0.0,120.0,0
131.0,131.0,0.0,84.0,0
131.0,131.0,0.0,77.0,0
131.0,131.0,0.0,150.0,0
131.0,131.0,0.0,150.0,0
131.0,131.0,0.0,110.0,0
131.0,131.0,0.0,99.0,0
131.0,131.0,0.0,240.0,0
131.0,131.0,0.0,100.0,0
131.0,131.0,0.0,140.0,0
131.0,131.0,0.0,150.0,0
131.0,131.0,0.0,150.0,0
131.0,131.0,0.0,110.0,0
131.0,131.0,0.0,95.0,0
131.0,131.0,0.0,150.0,0
131.0,131.0,0.0,200.0,0
131.0,131.0,0.0,240.0,0
131.0,131.0,0.0,150.0,0
131.0,131.0,0.0,150.0,0
131.0,131.0,0.0,140.0,0
131.0,131.0,0.0,140.0,0
131.0,131.0,0.0,130.0,0
131.0,131.0,0.0,110.0,0
131.0,131.0,0.0,96.0,0
130.5,130.5,0.0,180.0,0
131.0,131.0,0.0,180.0,0
131.0,131.0,0.0,160.0,0
131.0,131.0,0.0,89.0,0
131.0,131.0,0.0,130.0,0
131.0,131.0,0.0,130.0,0
131.0,131.0,0.0,150.0,0
131.0,131.0,0.0,210.0,0
131.0,131.0,0.0,210.0,0
131.0,131.0,0.0,220.0,0
131.0,131.0,0.0,170.0,0
131.0,131.0,0.0,140.0,0
131.0,131.0,0.0,170.0,0
131.0,131.0,0.0,100.0,0
131.0,131.0,0.0,120.0,0
131.0,131.0,0.0,120.0,0
131.0,131.0,0.0,140.0,0
131.0,131.0,0.0,100.0,0
131.0,131.0,0.0,200.0,0
131.0,131.0,0.0,290.0,0
131.0,131.0,0.0,120.0,0
131.0,131.0,0.0,120.0,0
131.0,131.0,0.0,98.0,0
131.0,131.0,0.0,120.0,0
131.0,131.0,0.0,100.0,0
131.0,131.0,0.0,100.0,0
131.0,131.0,0.0,180.0,0
131.0,131.0,0.0,230.0,0
131.0,131.0,0.0,140.0,0
131.0,131.0,0.0,110.0,0
131.0,131.0,0.0,98.0,0
131.0,131.0,0.0,96.0,0
131.0,131.0,0.0,99.0,0
131.0,131.0,0.0,140.0,0
131.0,131.0,0.0,130.0,0
131.0,131.0,0.0,310.0,0
131.0,131.0,0.0,310.0,0
131.0,131.0,0.0,160.0,0
131.0,131.0,0.0,97.0,0
