RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
26.0,0.0,26.0,320.0,0
42.0,0.0,42.0,510.0,0
81.0,0.0,81.0,410.0,0
70.5,0.0,70.5,380.0,0
73.0,0.0,73.0,460.0,0
72.5,0.0,72.5,300.0,0
72.5,0.0,72.5,300.0,0
69.0,0.0,69.0,330.0,0
82.5,0.0,82.5,310.0,0
84.0,0.0,84.0,270.0,0
96.0,0.0,96.0,350.0,0
78.0,0.0,78.0,340.0,0
82.5,0.0,82.5,320.0,0
83.0,0.0,83.0,300.0,0
74.0,0.0,74.0,460.0,0
80.0,0.0,80.0,450.0,0
79.5,0.0,79.5,350.0,0
97.5,0.0,97.5,380.0,0
84.0,0.0,84.0,420.0,0
89.0,0.0,89.0,400.0,0
85.5,0.0,85.5,400.0,0
90.5,0.0,90.5,470.0,0
103.5,0.0,103.5,460.0,0
81.5,0.0,81.5,400.0,0
90.0,0.0,90.0,590.0,0
89.0,1.0,88.0,480.0,0
89.5,2.5,87.0,580.0,0
89.0,0.0,89.0,440.0,0
92.0,0.0,92.0,500.0,0
61.5,0.0,61.5,460.0,0
87.0,0.0,87.0,510.0,0
91.0,0.0,91.0,490.0,0
87.0,0.0,87.0,540.0,0
80.5,0.0,80.5,540.0,0
78.5,0.0,78.5,520.0,0
91.5,0.0,91.5,510.0,0
90.0,0.0,90.0,450.0,0
86.5,0.0,86.5,450.0,0
94.0,0.0,94.0,590.0,0
80.5,0.0,80.5,590.0,0
84.0,0.0,84.0,490.0,0
84.5,0.0,84.5,480.0,0
86.0,0.0,86.0,490.0,0
95.5,0.0,95.5,520.0,0
98.5,0.0,98.5,420.0,0
100.0,0.0,100.0,420.0,0
101.0,0.0,101.0,490.0,0
86.0,0.0,86.0,480.0,0
95.5,0.0,95.5,480.0,0
95.5,0.0,95.5,580.0,0
86.5,0.0,86.5,580.0,0
90.0,0.0,90.0,490.0,0
94.5,0.0,94.5,450.0,0
90.0,0.0,90.0,550.0,0
95.5,0.0,95.5,410.0,0
95.5,0.0,95.5,420.0,0
83.5,0.0,83.5,470.0,0
82.5,0.0,82.5,590.0,0
102.5,0.0,102.5,510.0,0
93.5,0.0,93.5,490.0,0
95.5,0.0,95.5,500.0,0
105.0,0.0,105.0,500.0,0
96.0,0.0,96.0,320.0,0
87.0,0.0,87.0,500.0,0
85.0,0.0,85.0,500.0,0
91.5,0.0,91.5,420.0,0
88.5,0.0,88.5,440.0,0
80.5,0.0,80.5,540.0,0
75.0,0.0,75.0,510.0,0
104.0,0.0,104.0,570.0,0
77.5,0.0,77.5,620.0,0
87.5,0.0,87.5,390.0,0
83.0,0.0,83.0,380.0,0
101.0,0.0,101.0,380.0,0
