RPS,Fail,Goodput,Latency95,Latency99
5.0,0.0,5.0,230.0,0
14.0,0.0,14.0,340.0,0
34.0,0.0,34.0,520.0,0
80.0,0.0,80.0,370.0,0
72.0,0.0,72.0,440.0,0
69.5,0.0,69.5,480.0,0
72.0,0.0,72.0,250.0,0
65.0,0.0,65.0,380.0,0
63.0,0.0,63.0,400.0,0
80.5,0.0,80.5,380.0,0
81.5,0.0,81.5,170.0,0
77.5,0.0,77.5,360.0,0
90.0,0.0,90.0,270.0,0
81.5,0.0,81.5,240.0,0
96.0,0.0,96.0,190.0,0
79.5,0.0,79.5,380.0,0
74.0,0.0,74.0,400.0,0
81.0,0.0,81.0,360.0,0
98.0,0.0,98.0,300.0,0
79.0,0.0,79.0,340.0,0
87.5,0.0,87.5,380.0,0
94.5,0.0,94.5,230.0,0
64.5,0.0,64.5,490.0,0
77.5,0.0,77.5,470.0,0
81.5,0.0,81.5,500.0,0
97.5,0.0,97.5,470.0,0
106.5,0.0,106.5,480.0,0
99.5,0.0,99.5,360.0,0
94.0,0.5,93.5,410.0,0
90.5,0.5,90.0,430.0,0
84.5,0.0,84.5,360.0,0
86.5,0.0,86.5,320.0,0
76.0,0.0,76.0,340.0,0
105.0,1.0,104.0,390.0,0
101.5,1.5,100.0,390.0,0
79.0,0.5,78.5,390.0,0
91.0,0.0,91.0,400.0,0
85.5,4.0,81.5,490.0,0
81.0,4.5,76.5,490.0,0
97.5,2.0,95.5,560.0,0
88.0,1.5,86.5,480.0,0
95.0,5.0,90.0,470.0,0
85.5,1.5,84.0,430.0,0
78.0,2.5,75.5,410.0,0
90.5,1.0,89.5,360.0,0
95.0,0.0,95.0,390.0,0
96.5,0.0,96.5,350.0,0
86.0,2.0,84.0,330.0,0
89.5,3.0,86.5,470.0,0
85.0,2.5,82.5,470.0,0
78.0,3.5,74.5,450.0,0
82.0,4.5,77.5,360.0,0
86.5,2.5,84.0,390.0,0
86.0,3.0,83.0,370.0,0
81.0,0.0,81.0,490.0,0
72.0,2.0,70.0,570.0,0
89.0,3.0,86.0,490.0,0
88.5,2.5,86.0,480.0,0
100.0,1.0,99.0,410.0,0
102.0,2.0,100.0,380.0,0
79.0,1.0,78.0,590.0,0
89.5,0.5,89.0,560.0,0
95.5,0.0,95.5,340.0,0
90.5,0.0,90.5,450.0,0
77.5,1.0,76.5,430.0,0
97.5,2.5,95.0,500.0,0
87.5,2.0,85.5,390.0,0
86.0,2.0,84.0,390.0,0
94.5,0.0,94.5,580.0,0
