RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,138.0,0.0
75.0,0.0,75.0,452.0,0.0
256.5,0.0,256.5,640.0,0.0
333.0,18.5,314.5,924.0,0.0
379.5,71.5,308.0,988.0,0.0
422.5,90.0,332.5,1120.0,0.0
439.0,41.5,397.5,1086.0,0.0
359.0,96.0,263.0,1344.0,0.0
401.5,163.5,238.0,1438.0,0.0
383.0,122.5,260.5,1270.0,0.0
458.0,162.0,296.0,1202.0,0.0
396.5,153.5,243.0,1428.0,0.0
414.0,148.0,266.0,1456.0,0.0
396.0,208.0,188.0,1362.0,0.0
415.0,206.5,208.5,1400.0,0.0
356.0,206.5,149.5,1494.0,0.0
369.0,220.5,148.5,1634.0,0.0
460.5,188.5,272.0,1270.0,0.0
400.5,199.5,201.0,1290.0,0.0
426.5,232.5,194.0,1582.0,0.0
442.5,217.0,225.5,1468.0,0.0
389.0,204.5,184.5,1528.0,0.0
456.5,272.5,184.0,1698.0,0.0
473.5,208.0,265.5,1398.0,0.0
487.0,173.0,314.0,1482.0,0.0
388.5,188.0,200.5,1466.0,0.0
452.5,269.0,183.5,1646.0,0.0
484.0,293.0,191.0,1330.0,0.0
462.0,250.5,211.5,1632.0,0.0
484.0,242.0,242.0,1378.0,0.0
428.0,213.5,214.5,1540.0,0.0
452.0,225.5,226.5,1498.0,0.0
457.0,205.0,252.0,1558.0,0.0
469.0,260.0,209.0,1284.0,0.0
453.0,237.5,215.5,1382.0,0.0
398.0,230.0,168.0,1562.0,0.0
471.0,235.5,235.5,1456.0,0.0
440.5,275.5,165.0,1480.0,0.0
475.0,299.5,175.5,1578.0,0.0
424.5,246.0,178.5,1514.0,0.0
477.5,285.0,192.5,1472.0,0.0
458.0,280.0,178.0,1466.0,0.0
428.0,245.5,182.5,1412.0,0.0
489.0,272.5,216.5,1514.0,0.0
494.5,205.0,289.5,1368.0,0.0
469.5,255.5,214.0,1462.0,0.0
502.0,243.0,259.0,1442.0,0.0
349.5,197.5,152.0,1506.0,0.0
472.0,274.0,198.0,1542.0,0.0
389.5,209.0,180.5,1576.0,0.0
541.0,249.0,292.0,1468.0,0.0
344.0,166.0,178.0,1598.0,0.0
498.0,331.5,166.5,1612.0,0.0
411.5,256.5,155.0,1618.0,0.0
467.0,264.0,203.0,1464.0,0.0
459.0,237.0,222.0,1560.0,0.0
499.0,214.5,284.5,1502.0,0.0
472.0,263.5,208.5,1458.0,0.0
482.0,207.5,274.5,1436.0,0.0
384.5,222.5,162.0,1534.0,0.0
511.0,215.5,295.5,1516.0,0.0
424.5,221.5,203.0,1452.0,0.0
418.5,242.5,176.0,1728.0,0.0
466.5,255.5,211.0,1562.0,0.0
370.5,189.5,181.0,1608.0,0.0
457.5,292.5,165.0,1480.0,0.0
