RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,620.0,0
66.5,0.0,66.5,1200.0,0
113.0,7.0,106.0,1000.0,0
71.5,3.5,68.0,1200.0,0
96.0,38.0,58.0,1200.0,0
99.0,2.0,97.0,1100.0,0
97.5,1.0,96.5,1100.0,0
110.5,0.0,110.5,1100.0,0
96.5,1.5,95.0,1000.0,0
109.0,1.0,108.0,1000.0,0
113.5,0.5,113.0,1100.0,0
111.0,12.0,99.0,1100.0,0
103.0,38.0,65.0,1900.0,0
99.0,49.0,50.0,1900.0,0
115.5,68.0,47.5,1800.0,0
125.5,38.5,87.0,1100.0,0
91.5,38.0,53.5,1900.0,0
91.5,64.0,27.5,2000.0,0
121.5,65.0,56.5,1900.0,0
114.5,28.0,86.5,1400.0,0
117.0,84.0,33.0,1800.0,0
122.5,41.0,81.5,1600.0,0
122.5,49.0,73.5,1300.0,0
114.0,64.0,50.0,1300.0,0
119.5,78.5,41.0,2000.0,0
138.5,53.5,85.0,1900.0,0
132.5,45.5,87.0,1300.0,0
101.0,46.0,55.0,2000.0,0
133.5,61.0,72.5,1200.0,0
144.5,38.0,106.5,1100.0,0
120.0,48.5,71.5,2000.0,0
132.0,46.0,86.0,2000.0,0
107.0,27.5,79.5,1100.0,0
98.0,45.5,52.5,2000.0,0
129.0,61.0,68.0,1700.0,0
101.0,59.0,42.0,1700.0,0
109.0,59.0,50.0,1900.0,0
105.0,79.0,26.0,2000.0,0
129.0,47.5,81.5,1200.0,0
125.5,41.0,84.5,1300.0,0
120.5,60.5,60.0,1700.0,0
118.5,48.0,70.5,1600.0,0
132.0,79.0,53.0,2000.0,0
122.5,43.0,79.5,1800.0,0
120.0,44.5,75.5,1800.0,0
132.5,74.5,58.0,1400.0,0
102.0,67.0,35.0,1700.0,0
104.0,81.5,22.5,1900.0,0
111.5,71.0,40.5,1900.0,0
102.5,86.0,16.5,1700.0,0
95.0,63.5,31.5,1800.0,0
84.0,67.5,16.5,1900.0,0
130.0,28.0,102.0,1100.0,0
113.0,30.0,83.0,2000.0,0
124.5,71.0,53.5,2000.0,0
112.5,72.0,40.5,2000.0,0
124.0,30.5,93.5,2000.0,0
104.5,30.0,74.5,1700.0,0
130.0,80.5,49.5,2100.0,0
134.5,49.5,85.0,1200.0,0
110.0,73.5,36.5,1600.0,0
118.5,71.0,47.5,1800.0,0
129.0,73.5,55.5,2000.0,0
121.0,76.0,45.0,1900.0,0
98.0,53.0,45.0,1900.0,0
88.5,75.5,13.0,2100.0,0
