RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,240.0,0
37.5,0.0,37.5,410.0,0
65.5,8.0,57.5,1200.0,0
50.5,2.5,48.0,730.0,0
67.5,0.0,67.5,640.0,0
88.5,0.0,88.5,420.0,0
89.5,0.0,89.5,550.0,0
62.0,0.0,62.0,330.0,0
86.5,0.0,86.5,220.0,0
72.0,0.0,72.0,590.0,0
77.5,0.0,77.5,430.0,0
76.5,0.0,76.5,650.0,0
76.0,0.0,76.0,500.0,0
76.0,0.0,76.0,630.0,0
84.5,0.0,84.5,500.0,0
91.5,0.0,91.5,610.0,0
68.0,0.0,68.0,410.0,0
82.5,0.0,82.5,520.0,0
101.0,0.0,101.0,520.0,0
76.5,0.0,76.5,520.0,0
84.5,0.0,84.5,490.0,0
74.5,0.0,74.5,490.0,0
91.5,0.0,91.5,330.0,0
88.0,0.0,88.0,570.0,0
90.0,0.0,90.0,340.0,0
102.0,0.0,102.0,470.0,0
75.5,0.0,75.5,460.0,0
90.5,0.0,90.5,310.0,0
75.0,0.0,75.0,300.0,0
71.0,0.0,71.0,490.0,0
83.0,0.0,83.0,350.0,0
75.0,0.0,75.0,460.0,0
92.0,0.0,92.0,370.0,0
86.5,0.0,86.5,730.0,0
93.0,0.0,93.0,490.0,0
79.5,0.0,79.5,610.0,0
95.5,0.0,95.5,430.0,0
88.5,0.0,88.5,430.0,0
89.5,0.0,89.5,460.0,0
88.5,0.0,88.5,340.0,0
87.0,0.0,87.0,550.0,0
95.0,0.0,95.0,370.0,0
106.0,0.0,106.0,370.0,0
90.0,0.0,90.0,550.0,0
86.0,0.0,86.0,380.0,0
92.5,0.0,92.5,390.0,0
81.5,0.0,81.5,460.0,0
83.0,0.0,83.0,480.0,0
86.0,0.0,86.0,480.0,0
100.5,0.0,100.5,390.0,0
79.0,0.0,79.0,320.0,0
86.0,0.0,86.0,340.0,0
91.0,0.0,91.0,510.0,0
73.0,0.0,73.0,420.0,0
79.0,0.0,79.0,420.0,0
96.0,0.0,96.0,440.0,0
92.0,0.0,92.0,420.0,0
83.0,0.0,83.0,540.0,0
87.5,0.0,87.5,360.0,0
94.5,0.0,94.5,350.0,0
90.0,0.0,90.0,320.0,0
80.0,0.0,80.0,410.0,0
79.0,0.0,79.0,530.0,0
85.0,0.0,85.0,380.0,0
99.5,0.0,99.5,350.0,0
98.5,0.0,98.5,420.0,0
96.0,0.0,96.0,420.0,0
86.0,0.0,86.0,210.0,0
89.5,0.0,89.5,220.0,0
93.0,0.0,93.0,180.0,0
96.5,0.0,96.5,160.0,0
77.5,0.0,77.5,180.0,0
76.0,0.0,76.0,180.0,0
82.0,0.0,82.0,170.0,0
93.5,0.0,93.5,160.0,0
99.5,0.0,99.5,210.0,0
89.5,0.0,89.5,170.0,0
90.5,0.0,90.5,170.0,0
83.0,0.0,83.0,180.0,0
84.0,0.0,84.0,190.0,0
76.5,0.0,76.5,170.0,0
86.5,0.0,86.5,130.0,0
88.0,0.0,88.0,180.0,0
94.0,0.0,94.0,200.0,0
94.5,0.0,94.5,190.0,0
92.5,0.0,92.5,200.0,0
98.5,0.0,98.5,170.0,0
89.5,0.0,89.5,170.0,0
81.0,0.0,81.0,180.0,0
80.0,0.0,80.0,180.0,0
92.0,0.0,92.0,160.0,0
98.5,0.0,98.5,180.0,0
86.0,0.0,86.0,180.0,0
86.5,0.0,86.5,190.0,0
92.0,0.0,92.0,180.0,0
82.0,0.0,82.0,150.0,0
72.5,0.0,72.5,200.0,0
77.0,0.0,77.0,190.0,0
90.0,0.0,90.0,170.0,0
81.0,0.0,81.0,160.0,0
93.5,0.0,93.5,200.0,0
97.0,0.0,97.0,200.0,0
88.0,0.0,88.0,200.0,0
86.0,0.0,86.0,240.0,0
88.5,0.0,88.5,240.0,0
78.0,0.0,78.0,180.0,0
78.5,0.0,78.5,190.0,0
85.5,0.0,85.5,190.0,0
90.0,0.0,90.0,150.0,0
86.0,0.0,86.0,130.0,0
87.0,0.0,87.0,130.0,0
78.5,0.0,78.5,220.0,0
78.5,0.0,78.5,210.0,0
85.5,0.0,85.5,200.0,0
83.0,0.0,83.0,200.0,0
81.0,0.0,81.0,150.0,0
76.5,0.0,76.5,160.0,0
100.0,0.0,100.0,180.0,0
85.5,0.0,85.5,200.0,0
98.5,0.0,98.5,200.0,0
103.0,0.0,103.0,200.0,0
90.0,0.0,90.0,190.0,0
94.5,0.0,94.5,150.0,0
94.0,0.0,94.0,200.0,0
99.5,0.0,99.5,170.0,0
87.5,0.0,87.5,170.0,0
79.5,0.0,79.5,190.0,0
85.0,0.0,85.0,200.0,0
80.5,0.0,80.5,240.0,0
73.5,0.0,73.5,240.0,0
89.0,0.0,89.0,200.0,0
93.5,0.0,93.5,200.0,0
91.0,0.0,91.0,200.0,0
97.5,0.0,97.5,170.0,0
97.5,0.0,97.5,160.0,0
94.5,0.0,94.5,180.0,0
87.0,0.0,87.0,230.0,0
87.0,0.0,87.0,200.0,0
84.5,0.0,84.5,200.0,0
86.0,0.0,86.0,280.0,0
88.5,0.0,88.5,220.0,0
81.5,0.0,81.5,180.0,0
97.5,0.0,97.5,160.0,0
91.0,0.0,91.0,180.0,0
86.5,0.0,86.5,220.0,0
89.5,0.0,89.5,220.0,0
91.0,0.0,91.0,220.0,0
94.0,0.0,94.0,170.0,0
82.0,0.0,82.0,200.0,0
94.5,0.0,94.5,190.0,0
90.5,0.0,90.5,220.0,0
87.0,0.0,87.0,220.0,0
98.0,0.0,98.0,190.0,0
81.5,0.0,81.5,220.0,0
84.0,0.0,84.0,210.0,0
89.0,0.0,89.0,170.0,0
86.0,0.0,86.0,190.0,0
92.5,0.0,92.5,170.0,0
97.5,0.0,97.5,180.0,0
102.0,0.0,102.0,180.0,0
87.5,0.0,87.5,180.0,0
101.0,0.0,101.0,150.0,0
98.5,0.0,98.5,200.0,0
78.5,0.0,78.5,190.0,0
84.0,0.0,84.0,190.0,0
97.5,0.0,97.5,170.0,0
93.0,0.0,93.0,200.0,0
87.5,0.0,87.5,190.0,0
103.0,0.0,103.0,160.0,0
93.5,0.0,93.5,200.0,0
83.0,0.0,83.0,200.0,0
86.0,0.0,86.0,200.0,0
95.5,0.0,95.5,220.0,0
95.5,0.0,95.5,210.0,0
89.5,0.0,89.5,150.0,0
93.0,0.0,93.0,170.0,0
83.5,0.0,83.5,170.0,0
84.5,0.0,84.5,180.0,0
91.0,0.0,91.0,150.0,0
93.5,0.0,93.5,150.0,0
90.5,0.0,90.5,210.0,0
96.0,0.0,96.0,170.0,0
89.5,0.0,89.5,180.0,0
93.0,0.0,93.0,210.0,0
93.5,0.0,93.5,210.0,0
93.0,0.0,93.0,210.0,0
93.0,0.0,93.0,170.0,0
92.5,0.0,92.5,160.0,0
93.5,0.0,93.5,170.0,0
80.5,0.0,80.5,190.0,0
87.5,0.0,87.5,180.0,0
95.5,0.0,95.5,200.0,0
85.5,0.0,85.5,230.0,0
92.0,0.0,92.0,180.0,0
82.5,0.0,82.5,180.0,0
96.0,0.0,96.0,180.0,0
91.5,0.0,91.5,200.0,0
93.5,0.0,93.5,180.0,0
102.5,0.0,102.5,200.0,0
98.0,0.0,98.0,200.0,0
89.5,0.0,89.5,230.0,0
86.5,0.0,86.5,210.0,0
98.0,0.0,98.0,170.0,0
94.5,0.0,94.5,160.0,0
94.0,0.0,94.0,160.0,0
87.0,0.0,87.0,200.0,0
87.0,0.0,87.0,170.0,0
89.0,0.0,89.0,150.0,0
84.5,0.0,84.5,160.0,0
76.0,0.0,76.0,190.0,0
88.5,0.0,88.5,190.0,0
95.5,0.0,95.5,160.0,0
88.0,0.0,88.0,170.0,0
88.5,0.0,88.5,180.0,0
95.5,0.0,95.5,170.0,0
100.5,0.0,100.5,180.0,0
86.0,0.0,86.0,230.0,0
76.5,0.0,76.5,200.0,0
90.5,0.0,90.5,190.0,0
92.5,0.0,92.5,200.0,0
87.0,0.0,87.0,110.0,0
80.0,0.0,80.0,180.0,0
80.5,0.0,80.5,200.0,0
84.0,0.0,84.0,180.0,0
93.5,0.0,93.5,160.0,0
84.5,0.0,84.5,180.0,0
89.0,0.0,89.0,180.0,0
97.0,0.0,97.0,200.0,0
83.5,0.0,83.5,200.0,0
75.5,0.0,75.5,180.0,0
81.5,0.0,81.5,180.0,0
82.0,0.0,82.0,130.0,0
87.5,0.0,87.5,170.0,0
85.5,0.0,85.5,210.0,0
96.5,0.0,96.5,210.0,0
94.5,0.0,94.5,190.0,0
92.5,0.0,92.5,210.0,0
87.0,0.0,87.0,230.0,0
98.0,0.0,98.0,170.0,0
84.0,0.0,84.0,200.0,0
77.5,0.0,77.5,200.0,0
85.5,0.0,85.5,170.0,0
94.0,0.0,94.0,180.0,0
93.0,0.0,93.0,190.0,0
87.5,0.0,87.5,180.0,0
70.5,0.0,70.5,170.0,0
85.0,0.0,85.0,170.0,0
91.0,0.0,91.0,200.0,0
86.5,0.0,86.5,190.0,0
93.0,0.0,93.0,200.0,0
86.0,0.0,86.0,200.0,0
88.5,0.0,88.5,180.0,0
88.5,0.0,88.5,160.0,0
93.5,0.0,93.5,170.0,0
93.0,0.0,93.0,180.0,0
89.5,0.0,89.5,180.0,0
90.5,0.0,90.5,220.0,0
92.0,0.0,92.0,250.0,0
83.0,0.0,83.0,250.0,0
88.5,0.0,88.5,190.0,0
86.0,0.0,86.0,190.0,0
83.0,0.0,83.0,200.0,0
80.5,0.0,80.5,230.0,0
79.5,0.0,79.5,200.0,0
95.5,0.0,95.5,140.0,0
79.5,0.0,79.5,200.0,0
83.5,0.0,83.5,200.0,0
97.0,0.0,97.0,210.0,0
104.5,0.0,104.5,180.0,0
92.0,0.0,92.0,190.0,0
86.0,0.0,86.0,170.0,0
83.5,0.0,83.5,210.0,0
88.0,0.0,88.0,220.0,0
86.5,0.0,86.5,200.0,0
80.0,0.0,80.0,250.0,0
98.5,0.0,98.5,180.0,0
89.0,0.0,89.0,140.0,0
91.5,0.0,91.5,170.0,0
80.0,0.0,80.0,170.0,0
69.0,0.0,69.0,170.0,0
83.0,0.0,83.0,180.0,0
87.5,0.0,87.5,190.0,0
85.0,0.0,85.0,210.0,0
91.5,0.0,91.5,210.0,0
93.5,0.0,93.5,200.0,0
92.0,0.0,92.0,200.0,0
85.5,0.0,85.5,210.0,0
82.5,0.0,82.5,210.0,0
82.5,0.0,82.5,160.0,0
83.0,0.0,83.0,190.0,0
82.5,0.0,82.5,220.0,0
89.0,0.0,89.0,220.0,0
91.0,0.0,91.0,210.0,0
92.5,0.0,92.5,190.0,0
80.5,0.0,80.5,180.0,0
92.5,0.0,92.5,190.0,0
80.5,0.0,80.5,190.0,0
85.0,0.0,85.0,180.0,0
