RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
43.0,0.0,43.0,590.0,0
23.0,0.0,23.0,1300.0,0
110.0,36.0,74.0,2000.0,0
112.5,87.0,25.5,1900.0,0
129.0,62.5,66.5,1500.0,0
140.5,77.0,63.5,1500.0,0
141.0,30.0,111.0,1400.0,0
172.5,68.5,104.0,1200.0,0
165.0,46.0,119.0,1400.0,0
155.0,95.0,60.0,1700.0,0
149.0,68.0,81.0,1400.0,0
132.5,64.0,68.5,1600.0,0
171.0,116.5,54.5,1800.0,0
164.5,94.5,70.0,1800.0,0
145.0,112.0,33.0,1900.0,0
179.0,119.5,59.5,1600.0,0
136.5,52.5,84.0,1600.0,0
142.5,118.5,24.0,1800.0,0
160.5,66.0,94.5,1600.0,0
187.0,134.0,53.0,1800.0,0
145.5,123.5,22.0,1900.0,0
179.0,162.0,17.0,2000.0,0
168.0,124.0,44.0,1900.0,0
153.5,129.0,24.5,1800.0,0
174.5,151.0,23.5,2000.0,0
188.5,162.0,26.5,1800.0,0
164.0,134.5,29.5,2000.0,0
199.0,137.5,61.5,1400.0,0
171.0,136.0,35.0,1800.0,0
190.0,175.0,15.0,2000.0,0
162.0,124.5,37.5,1500.0,0
186.5,143.0,43.5,2100.0,0
168.0,116.0,52.0,1800.0,0
179.0,159.5,19.5,2000.0,0
162.0,123.0,39.0,1800.0,0
188.5,138.0,50.5,2000.0,0
151.5,122.0,29.5,1900.0,0
176.5,168.5,8.0,2000.0,0
198.5,137.5,61.0,1600.0,0
153.5,124.0,29.5,2000.0,0
187.5,149.5,38.0,2000.0,0
163.0,144.0,19.0,1800.0,0
179.5,111.5,68.0,1600.0,0
160.0,105.5,54.5,1600.0,0
185.0,145.0,40.0,1600.0,0
166.0,143.0,23.0,1800.0,0
162.5,145.0,17.5,1700.0,0
179.5,124.0,55.5,1800.0,0
182.5,147.0,35.5,1700.0,0
171.5,92.5,79.0,1800.0,0
190.0,162.5,27.5,1800.0,0
182.0,136.0,46.0,1800.0,0
162.5,122.5,40.0,1700.0,0
188.5,148.5,40.0,2000.0,0
172.0,133.5,38.5,2000.0,0
169.0,140.5,28.5,1800.0,0
153.5,131.0,22.5,1900.0,0
193.0,164.5,28.5,1800.0,0
179.5,127.5,52.0,1800.0,0
193.5,155.0,38.5,1900.0,0
184.5,133.0,51.5,1700.0,0
169.5,139.5,30.0,2000.0,0
160.5,135.5,25.0,1800.0,0
172.5,145.5,27.0,1800.0,0
181.0,144.0,37.0,1700.0,0
201.5,127.0,74.5,1600.0,0
179.0,102.0,77.0,1500.0,0
160.0,123.0,37.0,1900.0,0
196.0,164.0,32.0,1600.0,0
172.0,133.5,38.5,1800.0,0
188.5,157.0,31.5,1800.0,0
183.0,143.0,40.0,1800.0,0
167.5,122.0,45.5,1700.0,0
192.5,154.0,38.5,1600.0,0
178.0,156.0,22.0,1800.0,0
182.0,134.0,48.0,1700.0,0
