RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,480.0,0.0
238.5,0.0,238.5,718.0,0.0
342.0,62.5,279.5,856.0,0.0
408.0,91.0,317.0,1096.0,0.0
520.0,50.5,469.5,1060.0,0.0
338.5,19.5,319.0,1168.0,0.0
390.0,54.5,335.5,1244.0,0.0
457.0,65.5,391.5,1130.0,0.0
458.0,28.0,430.0,1008.0,0.0
441.5,19.0,422.5,1112.0,0.0
463.0,22.0,441.0,1126.0,0.0
416.5,43.5,373.0,1078.0,0.0
467.0,97.0,370.0,1020.0,0.0
479.5,73.5,406.0,1016.0,0.0
478.0,36.5,441.5,1088.0,0.0
454.5,121.0,333.5,1018.0,0.0
497.5,144.0,353.5,1068.0,0.0
479.5,100.0,379.5,1150.0,0.0
457.5,129.5,328.0,1268.0,0.0
477.0,154.0,323.0,1142.0,0.0
456.5,166.0,290.5,1340.0,0.0
493.5,196.5,297.0,1248.0,0.0
472.5,189.5,283.0,1264.0,0.0
492.5,219.0,273.5,1286.0,0.0
495.0,268.0,227.0,1398.0,0.0
437.0,157.0,280.0,1446.0,0.0
456.0,307.5,148.5,1276.0,0.0
487.5,268.5,219.0,1598.0,0.0
489.5,287.0,202.5,1222.0,0.0
451.0,252.0,199.0,1540.0,0.0
479.0,226.5,252.5,1376.0,0.0
472.5,270.5,202.0,1524.0,0.0
488.0,278.0,210.0,1346.0,0.0
501.5,290.5,211.0,1422.0,0.0
511.5,302.5,209.0,1330.0,0.0
527.5,201.5,326.0,1172.0,0.0
522.0,206.0,316.0,1404.0,0.0
509.5,227.0,282.5,1284.0,0.0
484.5,215.5,269.0,1386.0,0.0
454.5,263.5,191.0,1458.0,0.0
499.5,268.0,231.5,1278.0,0.0
482.5,270.0,212.5,1430.0,0.0
474.5,281.0,193.5,1396.0,0.0
463.5,289.5,174.0,1162.0,0.0
485.0,278.5,206.5,1464.0,0.0
494.5,264.5,230.0,1206.0,0.0
484.0,249.5,234.5,1504.0,0.0
477.0,261.0,216.0,1354.0,0.0
477.0,224.0,253.0,1348.0,0.0
473.0,285.0,188.0,1250.0,0.0
500.0,226.0,274.0,1202.0,0.0
470.5,281.0,189.5,1392.0,0.0
481.5,221.0,260.5,1190.0,0.0
456.5,274.5,182.0,1524.0,0.0
522.5,315.5,207.0,1230.0,0.0
465.5,248.5,217.0,1482.0,0.0
518.5,286.0,232.5,1164.0,0.0
482.0,272.5,209.5,1510.0,0.0
508.5,286.0,222.5,1216.0,0.0
471.0,283.5,187.5,1480.0,0.0
513.0,292.5,220.5,1204.0,0.0
501.0,219.0,282.0,1458.0,0.0
485.0,281.0,204.0,1198.0,0.0
505.0,277.5,227.5,1388.0,0.0
511.5,245.5,266.0,1316.0,0.0
515.0,240.5,274.5,1474.0,0.0
504.5,267.5,237.0,1396.0,0.0
492.5,226.5,266.0,1456.0,0.0
519.0,285.5,233.5,1128.0,0.0
527.0,274.0,253.0,1254.0,0.0
484.0,251.5,232.5,1214.0,0.0
465.0,290.0,175.0,1336.0,0.0
533.0,280.5,252.5,1074.0,0.0
513.0,235.0,278.0,1178.0,0.0
543.5,266.5,277.0,1188.0,0.0
501.0,247.0,254.0,1298.0,0.0
454.5,246.0,208.5,1340.0,0.0
463.0,280.5,182.5,1212.0,0.0
528.5,313.0,215.5,1300.0,0.0
471.0,276.5,194.5,1140.0,0.0
481.5,304.5,177.0,1368.0,0.0
495.0,306.5,188.5,1298.0,0.0
530.5,265.0,265.5,1254.0,0.0
519.0,259.0,260.0,1276.0,0.0
510.0,289.5,220.5,1000.0,0.0
463.5,245.0,218.5,1378.0,0.0
481.0,284.0,197.0,1132.0,0.0
502.5,293.5,209.0,1252.0,0.0
498.0,285.5,212.5,1070.0,0.0
512.0,287.0,225.0,1260.0,0.0
513.0,285.0,228.0,1278.0,0.0
515.0,262.5,252.5,1258.0,0.0
500.5,289.0,211.5,976.0,0.0
512.5,281.0,231.5,1258.0,0.0
482.0,252.5,229.5,1292.0,0.0
460.5,266.5,194.0,1252.0,0.0
508.5,307.0,201.5,1242.0,0.0
499.0,281.0,218.0,1264.0,0.0
490.0,271.5,218.5,1340.0,0.0
509.5,278.5,231.0,1088.0,0.0
491.0,263.0,228.0,1274.0,0.0
493.5,290.0,203.5,1206.0,0.0
499.5,283.5,216.0,1292.0,0.0
502.0,249.5,252.5,1278.0,0.0
521.0,253.5,267.5,1258.0,0.0
546.5,228.0,318.5,938.0,0.0
476.0,227.5,248.5,1302.0,0.0
474.0,255.5,218.5,1320.0,0.0
511.5,290.5,221.0,1152.0,0.0
525.0,271.5,253.5,1196.0,0.0
510.5,244.5,266.0,1274.0,0.0
496.5,268.0,228.5,1334.0,0.0
492.0,272.5,219.5,1320.0,0.0
495.0,276.0,219.0,1226.0,0.0
507.0,253.5,253.5,1284.0,0.0
512.5,232.0,280.5,1228.0,0.0
494.5,231.5,263.0,1260.0,0.0
510.0,233.5,276.5,1230.0,0.0
496.0,246.0,250.0,1262.0,0.0
531.0,270.0,261.0,1314.0,0.0
525.5,261.5,264.0,1114.0,0.0
467.0,262.5,204.5,1288.0,0.0
478.5,292.5,186.0,1140.0,0.0
493.0,277.5,215.5,1240.0,0.0
508.0,286.5,221.5,1232.0,0.0
520.5,229.0,291.5,1258.0,0.0
496.5,270.5,226.0,1052.0,0.0
506.5,269.5,237.0,1208.0,0.0
515.0,260.5,254.5,1388.0,0.0
511.5,258.0,253.5,1402.0,0.0
498.5,261.0,237.5,1312.0,0.0
499.5,262.5,237.0,1348.0,0.0
503.0,227.5,275.5,1144.0,0.0
492.5,267.5,225.0,1152.0,0.0
506.0,295.0,211.0,1234.0,0.0
479.5,281.5,198.0,1210.0,0.0
473.5,288.0,185.5,1126.0,0.0
468.0,288.0,180.0,1486.0,0.0
494.5,299.5,195.0,1460.0,0.0
462.5,278.0,184.5,1290.0,0.0
504.5,286.5,218.0,1292.0,0.0
495.5,280.0,215.5,1224.0,0.0
520.5,280.0,240.5,1306.0,0.0
481.5,247.5,234.0,1242.0,0.0
460.0,260.0,200.0,1376.0,0.0
482.5,270.5,212.0,1268.0,0.0
516.5,294.0,222.5,994.0,0.0
514.0,300.0,214.0,964.0,0.0
473.0,244.5,228.5,1302.0,0.0
458.5,265.5,193.0,1450.0,0.0
472.5,307.5,165.0,1244.0,0.0
517.5,306.5,211.0,1348.0,0.0
451.0,257.0,194.0,1196.0,0.0
469.0,281.0,188.0,1492.0,0.0
510.5,261.0,249.5,1440.0,0.0
484.0,242.5,241.5,1134.0,0.0
482.5,234.0,248.5,1392.0,0.0
497.0,241.5,255.5,1386.0,0.0
489.0,284.5,204.5,1186.0,0.0
480.0,263.0,217.0,1276.0,0.0
481.0,265.5,215.5,1144.0,0.0
487.0,289.0,198.0,1230.0,0.0
450.5,290.0,160.5,1234.0,0.0
473.5,280.5,193.0,1392.0,0.0
471.5,272.0,199.5,1448.0,0.0
490.0,302.5,187.5,1262.0,0.0
487.0,257.0,230.0,1344.0,0.0
450.5,229.5,221.0,1178.0,0.0
464.5,278.0,186.5,1438.0,0.0
529.0,291.5,237.5,1430.0,0.0
496.5,270.5,226.0,1156.0,0.0
488.0,273.5,214.5,1418.0,0.0
512.5,296.0,216.5,984.0,0.0
458.5,249.0,209.5,1352.0,0.0
446.0,237.5,208.5,1492.0,0.0
451.0,294.0,157.0,1230.0,0.0
504.0,288.5,215.5,1302.0,0.0
493.0,261.0,232.0,1356.0,0.0
511.0,265.0,246.0,1380.0,0.0
494.5,285.0,209.5,1378.0,0.0
504.0,289.0,215.0,1380.0,0.0
497.0,268.5,228.5,1484.0,0.0
456.5,258.5,198.0,1184.0,0.0
472.0,290.5,181.5,1406.0,0.0
501.5,284.5,217.0,1382.0,0.0
479.0,260.0,219.0,1204.0,0.0
529.5,300.0,229.5,1392.0,0.0
508.0,310.5,197.5,1014.0,0.0
475.0,264.0,211.0,1310.0,0.0
450.0,236.0,214.0,1450.0,0.0
481.5,289.0,192.5,1408.0,0.0
469.0,285.0,184.0,1422.0,0.0
488.0,305.5,182.5,1204.0,0.0
451.0,282.0,169.0,1386.0,0.0
490.0,307.0,183.0,1456.0,0.0
473.5,288.5,185.0,1246.0,0.0
455.5,277.5,178.0,1396.0,0.0
477.5,283.5,194.0,1400.0,0.0
483.0,273.5,209.5,1330.0,0.0
472.0,262.5,209.5,1332.0,0.0
511.5,281.5,230.0,1172.0,0.0
516.0,267.0,249.0,1280.0,0.0
471.5,251.5,220.0,1170.0,0.0
496.5,265.0,231.5,1338.0,0.0
494.5,254.0,240.5,1328.0,0.0
482.5,276.0,206.5,1346.0,0.0
482.5,289.0,193.5,1368.0,0.0
509.0,291.5,217.5,1246.0,0.0
526.0,286.0,240.0,1310.0,0.0
494.5,271.0,223.5,1220.0,0.0
488.0,261.0,227.0,1188.0,0.0
471.0,270.0,201.0,1196.0,0.0
474.0,290.5,183.5,1358.0,0.0
502.5,287.5,215.0,1410.0,0.0
460.0,254.5,205.5,1110.0,0.0
491.5,315.0,176.5,1444.0,0.0
535.5,310.0,225.5,1306.0,0.0
493.5,237.0,256.5,1194.0,0.0
454.5,267.0,187.5,1232.0,0.0
497.5,322.0,175.5,1288.0,0.0
516.5,264.0,252.5,1306.0,0.0
497.5,289.0,208.5,1240.0,0.0
468.0,276.0,192.0,1362.0,0.0
432.0,256.5,175.5,1368.0,0.0
453.5,277.0,176.5,1424.0,0.0
495.0,314.5,180.5,1424.0,0.0
477.5,278.5,199.0,1354.0,0.0
473.0,267.5,205.5,1380.0,0.0
459.5,256.0,203.5,1092.0,0.0
482.0,293.5,188.5,1426.0,0.0
497.5,280.0,217.5,1446.0,0.0
508.5,285.5,223.0,1346.0,0.0
513.5,296.5,217.0,1422.0,0.0
478.0,238.5,239.5,1142.0,0.0
461.5,271.0,190.5,1340.0,0.0
477.0,301.5,175.5,1150.0,0.0
508.0,288.0,220.0,1300.0,0.0
493.0,277.0,216.0,1346.0,0.0
459.0,291.0,168.0,1264.0,0.0
492.0,298.0,194.0,1380.0,0.0
500.5,288.0,212.5,1252.0,0.0
499.0,277.0,222.0,1396.0,0.0
490.0,265.5,224.5,1458.0,0.0
520.0,231.5,288.5,1300.0,0.0
501.0,232.5,268.5,1308.0,0.0
486.5,261.5,225.0,1148.0,0.0
487.0,301.5,185.5,1332.0,0.0
488.0,266.5,221.5,1184.0,0.0
481.5,263.5,218.0,1346.0,0.0
515.0,267.5,247.5,1314.0,0.0
491.5,280.0,211.5,1300.0,0.0
453.5,263.5,190.0,1352.0,0.0
501.0,290.0,211.0,1184.0,0.0
460.0,269.5,190.5,1406.0,0.0
484.5,292.0,192.5,1172.0,0.0
444.5,283.0,161.5,1330.0,0.0
485.0,298.5,186.5,1440.0,0.0
477.0,284.5,192.5,1274.0,0.0
513.0,298.0,215.0,1292.0,0.0
411.5,210.0,201.5,1292.0,0.0
467.0,291.5,175.5,1352.0,0.0
486.0,292.0,194.0,1328.0,0.0
469.0,255.0,214.0,1350.0,0.0
450.5,249.5,201.0,1168.0,0.0
497.5,285.5,212.0,1348.0,0.0
529.0,284.5,244.5,1274.0,0.0
507.5,254.0,253.5,1212.0,0.0
475.5,236.0,239.5,1402.0,0.0
487.5,290.0,197.5,1372.0,0.0
508.5,284.0,224.5,1192.0,0.0
489.0,264.0,225.0,1210.0,0.0
520.5,299.0,221.5,1252.0,0.0
530.5,251.0,279.5,1152.0,0.0
489.5,243.5,246.0,1204.0,0.0
517.5,225.0,292.5,1340.0,0.0
514.0,181.0,333.0,1334.0,0.0
481.5,254.0,227.5,1294.0,0.0
528.5,277.5,251.0,1346.0,0.0
528.0,236.5,291.5,1208.0,0.0
475.5,269.0,206.5,1250.0,0.0
497.0,290.0,207.0,1230.0,0.0
505.0,243.0,262.0,1294.0,0.0
514.5,239.0,275.5,1128.0,0.0
513.0,260.5,252.5,1262.0,0.0
470.0,255.0,215.0,1398.0,0.0
479.0,286.0,193.0,1400.0,0.0
510.5,249.5,261.0,1390.0,0.0
496.5,257.5,239.0,1154.0,0.0
526.5,247.0,279.5,1260.0,0.0
489.5,264.5,225.0,1164.0,0.0
525.5,277.5,248.0,1282.0,0.0
513.0,247.0,266.0,1292.0,0.0
488.0,257.0,231.0,1136.0,0.0
495.0,273.5,221.5,1420.0,0.0
471.0,291.0,180.0,1300.0,0.0
490.0,291.5,198.5,1344.0,0.0
513.5,277.0,236.5,1362.0,0.0
484.5,268.0,216.5,1284.0,0.0
527.0,289.5,237.5,1208.0,0.0
480.0,258.5,221.5,1240.0,0.0
509.0,272.5,236.5,1228.0,0.0
476.5,258.0,218.5,1222.0,0.0
460.0,286.5,173.5,1462.0,0.0
513.0,285.0,228.0,1428.0,0.0
517.0,277.0,240.0,1444.0,0.0
472.0,263.5,208.5,1384.0,0.0
495.0,269.5,225.5,1344.0,0.0
483.0,263.5,219.5,1388.0,0.0
506.5,285.0,221.5,1122.0,0.0
525.0,248.5,276.5,1234.0,0.0
525.0,263.5,261.5,1276.0,0.0
533.0,277.5,255.5,1192.0,0.0
512.5,248.5,264.0,1198.0,0.0
476.5,245.5,231.0,1260.0,0.0
466.0,264.5,201.5,1326.0,0.0
483.0,284.0,199.0,1258.0,0.0
499.0,270.5,228.5,1352.0,0.0
513.0,278.0,235.0,1178.0,0.0
499.5,289.5,210.0,1358.0,0.0
510.0,270.0,240.0,1294.0,0.0
518.5,212.5,306.0,1274.0,0.0
513.5,247.0,266.5,1106.0,0.0
496.5,234.0,262.5,1252.0,0.0
502.5,245.5,257.0,1282.0,0.0
526.0,257.5,268.5,1216.0,0.0
516.5,253.0,263.5,1250.0,0.0
442.5,225.0,217.5,1112.0,0.0
516.0,283.0,233.0,1362.0,0.0
504.5,272.5,232.0,1394.0,0.0
515.5,277.5,238.0,1222.0,0.0
484.5,244.0,240.5,1322.0,0.0
495.0,285.5,209.5,1254.0,0.0
485.5,281.0,204.5,1330.0,0.0
528.5,298.5,230.0,1154.0,0.0
511.0,270.0,241.0,1228.0,0.0
508.0,272.0,236.0,1150.0,0.0
471.0,277.0,194.0,1442.0,0.0
441.5,265.0,176.5,1462.0,0.0
479.0,294.0,185.0,1322.0,0.0
506.5,303.0,203.5,1334.0,0.0
484.5,275.0,209.5,1338.0,0.0
489.0,280.5,208.5,1362.0,0.0
496.0,284.5,211.5,1336.0,0.0
505.0,276.0,229.0,1300.0,0.0
475.5,263.0,212.5,1316.0,0.0
471.0,286.0,185.0,1384.0,0.0
485.0,291.5,193.5,1414.0,0.0
465.0,248.0,217.0,1434.0,0.0
505.5,275.0,230.5,1212.0,0.0
539.0,244.0,295.0,1242.0,0.0
530.0,214.5,315.5,1114.0,0.0
468.5,231.0,237.5,1260.0,0.0
505.5,310.5,195.0,1274.0,0.0
520.0,293.0,227.0,1302.0,0.0
469.0,303.0,166.0,1268.0,0.0
508.5,298.5,210.0,1326.0,0.0
505.5,271.5,234.0,1044.0,0.0
495.5,274.0,221.5,1328.0,0.0
488.0,283.0,205.0,1336.0,0.0
500.0,265.0,235.0,1182.0,0.0
497.0,266.5,230.5,1268.0,0.0
477.0,252.5,224.5,1294.0,0.0
514.0,248.5,265.5,1290.0,0.0
443.5,240.0,203.5,1306.0,0.0
507.0,305.0,202.0,1348.0,0.0
495.0,260.0,235.0,1278.0,0.0
479.5,251.0,228.5,1304.0,0.0
490.0,288.5,201.5,1322.0,0.0
475.0,269.5,205.5,1204.0,0.0
487.0,296.5,190.5,1380.0,0.0
482.0,288.5,193.5,1354.0,0.0
482.0,286.0,196.0,1278.0,0.0
491.0,292.0,199.0,1378.0,0.0
517.5,297.5,220.0,1410.0,0.0
494.5,256.5,238.0,1246.0,0.0
501.0,275.0,226.0,1292.0,0.0
536.0,267.0,269.0,1096.0,0.0
536.0,224.0,312.0,1194.0,0.0
495.0,197.5,297.5,1196.0,0.0
449.0,213.5,235.5,1352.0,0.0
