RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
36.0,0.0,36.0,400.0,0
45.0,0.0,45.0,380.0,0
44.0,0.0,44.0,380.0,0
51.0,0.0,51.0,380.0,0
45.0,0.0,45.0,380.0,0
52.0,0.0,52.0,380.0,0
54.5,0.0,54.5,400.0,0
54.0,0.0,54.0,450.0,0
64.0,0.0,64.0,450.0,0
48.5,0.0,48.5,450.0,0
56.5,0.0,56.5,540.0,0
72.0,0.0,72.0,510.0,0
63.0,0.0,63.0,440.0,0
70.0,0.0,70.0,470.0,0
66.0,0.0,66.0,470.0,0
62.0,0.0,62.0,500.0,0
57.5,0.0,57.5,590.0,0
73.0,0.0,73.0,590.0,0
78.5,0.0,78.5,520.0,0
69.5,0.0,69.5,500.0,0
62.5,0.0,62.5,680.0,0
72.0,0.0,72.0,530.0,0
70.5,0.0,70.5,560.0,0
75.5,0.0,75.5,550.0,0
81.5,0.0,81.5,580.0,0
76.0,0.0,76.0,550.0,0
81.5,0.0,81.5,550.0,0
72.5,0.0,72.5,1100.0,0
84.0,1.0,83.0,490.0,0
82.5,0.0,82.5,950.0,0
88.0,0.0,88.0,540.0,0
82.5,0.0,82.5,620.0,0
92.5,0.0,92.5,600.0,0
80.5,0.0,80.5,620.0,0
85.5,0.0,85.5,620.0,0
95.5,0.0,95.5,640.0,0
90.0,0.0,90.0,640.0,0
89.5,0.0,89.5,900.0,0
96.5,0.0,96.5,910.0,0
105.0,0.0,105.0,770.0,0
99.5,0.0,99.5,740.0,0
110.0,0.0,110.0,760.0,0
89.5,0.0,89.5,740.0,0
97.0,0.0,97.0,700.0,0
101.5,0.0,101.5,710.0,0
110.5,0.0,110.5,820.0,0
83.0,0.0,83.0,710.0,0
101.0,0.0,101.0,720.0,0
96.0,0.0,96.0,690.0,0
93.0,0.0,93.0,660.0,0
106.0,0.0,106.0,710.0,0
97.0,0.0,97.0,680.0,0
93.5,0.0,93.5,680.0,0
99.5,0.0,99.5,750.0,0
98.0,0.0,98.0,740.0,0
99.5,0.0,99.5,760.0,0
105.0,0.0,105.0,630.0,0
110.5,0.0,110.5,670.0,0
94.5,0.0,94.5,780.0,0
91.5,0.0,91.5,780.0,0
103.0,0.0,103.0,820.0,0
91.0,0.0,91.0,680.0,0
115.5,0.0,115.5,720.0,0
101.0,0.0,101.0,700.0,0
100.0,0.0,100.0,740.0,0
84.0,0.0,84.0,730.0,0
120.0,0.0,120.0,650.0,0
98.0,0.0,98.0,700.0,0
89.0,0.0,89.0,690.0,0
104.0,0.0,104.0,690.0,0
102.0,0.0,102.0,690.0,0
95.5,0.0,95.5,720.0,0
99.5,0.0,99.5,700.0,0
100.0,0.0,100.0,700.0,0
97.0,0.0,97.0,740.0,0
100.0,0.0,100.0,690.0,0
98.5,0.0,98.5,700.0,0
97.0,0.0,97.0,690.0,0
98.5,0.0,98.5,640.0,0
99.0,0.0,99.0,710.0,0
101.0,0.0,101.0,710.0,0
103.5,0.0,103.5,710.0,0
96.5,0.0,96.5,760.0,0
101.5,0.0,101.5,750.0,0
99.0,0.0,99.0,710.0,0
91.5,0.0,91.5,710.0,0
101.5,0.0,101.5,680.0,0
100.5,0.0,100.5,750.0,0
100.5,0.0,100.5,800.0,0
99.0,0.0,99.0,740.0,0
96.5,0.0,96.5,740.0,0
107.5,0.0,107.5,720.0,0
96.5,0.0,96.5,680.0,0
100.5,0.0,100.5,740.0,0
102.5,0.0,102.5,740.0,0
101.5,0.0,101.5,660.0,0
95.0,0.0,95.0,680.0,0
99.0,0.0,99.0,790.0,0
102.5,0.0,102.5,740.0,0
99.0,0.0,99.0,700.0,0
