RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,170.0,0
29.0,0.0,29.0,270.0,0
33.0,0.0,33.0,300.0,0
34.0,0.0,34.0,350.0,0
32.0,0.0,32.0,370.0,0
36.5,0.0,36.5,320.0,0
31.0,0.0,31.0,250.0,0
39.0,0.0,39.0,300.0,0
38.0,0.0,38.0,440.0,0
49.0,0.0,49.0,340.0,0
33.0,0.0,33.0,400.0,0
43.0,0.0,43.0,370.0,0
41.0,0.0,41.0,370.0,0
44.0,0.0,44.0,370.0,0
48.0,0.0,48.0,360.0,0
56.0,0.0,56.0,310.0,0
39.0,0.0,39.0,390.0,0
32.5,0.0,32.5,400.0,0
92.0,0.0,92.0,400.0,0
51.5,0.0,51.5,420.0,0
51.5,0.0,51.5,430.0,0
59.5,0.0,59.5,390.0,0
67.0,0.0,67.0,410.0,0
32.5,0.0,32.5,480.0,0
62.0,0.0,62.0,480.0,0
71.5,0.0,71.5,460.0,0
56.0,0.0,56.0,490.0,0
66.0,0.0,66.0,470.0,0
101.5,0.0,101.5,310.0,0
43.0,0.0,43.0,390.0,0
49.5,0.0,49.5,370.0,0
27.0,0.0,27.0,400.0,0
54.5,0.0,54.5,500.0,0
93.0,0.0,93.0,410.0,0
74.0,0.0,74.0,470.0,0
72.0,0.0,72.0,440.0,0
65.5,0.0,65.5,510.0,0
68.0,0.0,68.0,360.0,0
64.0,0.0,64.0,390.0,0
87.5,0.0,87.5,210.0,0
82.5,0.0,82.5,180.0,0
74.0,0.0,74.0,180.0,0
68.5,0.0,68.5,180.0,0
59.5,0.0,59.5,200.0,0
69.0,0.0,69.0,230.0,0
64.0,0.0,64.0,230.0,0
78.5,0.0,78.5,220.0,0
69.5,0.0,69.5,220.0,0
86.0,0.0,86.0,190.0,0
79.5,0.0,79.5,180.0,0
63.0,0.0,63.0,240.0,0
64.0,0.0,64.0,230.0,0
79.0,0.0,79.0,200.0,0
74.0,0.0,74.0,210.0,0
63.5,0.0,63.5,210.0,0
77.5,0.0,77.5,170.0,0
76.0,0.0,76.0,170.0,0
60.0,0.0,60.0,170.0,0
72.0,0.0,72.0,200.0,0
74.0,0.0,74.0,190.0,0
66.5,0.0,66.5,180.0,0
75.0,0.0,75.0,200.0,0
63.5,0.0,63.5,180.0,0
80.5,0.0,80.5,190.0,0
77.0,0.0,77.0,190.0,0
78.0,0.0,78.0,180.0,0
72.0,0.0,72.0,180.0,0
72.0,0.0,72.0,200.0,0
64.5,0.0,64.5,200.0,0
81.0,0.0,81.0,200.0,0
83.0,0.0,83.0,170.0,0
67.0,0.0,67.0,160.0,0
57.5,0.0,57.5,210.0,0
73.5,0.0,73.5,170.0,0
72.0,0.0,72.0,190.0,0
72.0,0.0,72.0,210.0,0
65.0,0.0,65.0,210.0,0
91.0,0.0,91.0,200.0,0
74.5,0.0,74.5,180.0,0
72.0,0.0,72.0,160.0,0
48.0,0.0,48.0,210.0,0
99.0,0.0,99.0,190.0,0
96.5,0.0,96.5,180.0,0
67.0,0.0,67.0,180.0,0
69.5,0.0,69.5,230.0,0
81.0,0.0,81.0,150.0,0
69.0,0.0,69.0,190.0,0
69.5,0.0,69.5,180.0,0
73.0,0.0,73.0,200.0,0
74.0,0.0,74.0,190.0,0
95.0,0.0,95.0,200.0,0
71.0,0.0,71.0,170.0,0
66.0,0.0,66.0,170.0,0
69.0,0.0,69.0,200.0,0
97.0,0.0,97.0,180.0,0
73.5,0.0,73.5,170.0,0
75.0,0.0,75.0,200.0,0
70.0,0.0,70.0,210.0,0
73.0,0.0,73.0,210.0,0
79.0,0.0,79.0,200.0,0
72.5,0.0,72.5,200.0,0
76.5,0.0,76.5,260.0,0
88.0,0.0,88.0,180.0,0
59.5,0.0,59.5,170.0,0
73.0,0.0,73.0,190.0,0
81.5,0.0,81.5,260.0,0
68.0,0.0,68.0,200.0,0
68.0,0.0,68.0,200.0,0
