RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,610.0,0
64.5,0.0,64.5,900.0,0
83.5,0.0,83.5,940.0,0
94.5,0.0,94.5,800.0,0
89.5,0.0,89.5,950.0,0
89.0,11.0,78.0,1200.0,0
121.0,11.0,110.0,990.0,0
98.5,8.5,90.0,1100.0,0
125.0,11.0,114.0,1200.0,0
111.0,0.5,110.5,930.0,0
104.5,0.0,104.5,1100.0,0
95.5,0.5,95.0,1100.0,0
114.5,20.0,94.5,1200.0,0
115.5,1.5,114.0,1100.0,0
107.5,21.5,86.0,1100.0,0
104.0,34.5,69.5,1100.0,0
121.5,27.5,94.0,1100.0,0
128.5,2.5,126.0,1200.0,0
114.0,17.5,96.5,1200.0,0
125.0,22.0,103.0,1200.0,0
115.0,25.5,89.5,1200.0,0
121.0,27.0,94.0,1100.0,0
120.0,21.5,98.5,1100.0,0
124.0,23.0,101.0,1200.0,0
123.0,37.5,85.5,1100.0,0
94.0,37.5,56.5,2000.0,0
102.0,66.5,35.5,2000.0,0
141.0,58.5,82.5,1200.0,0
120.5,53.0,67.5,1700.0,0
105.0,56.0,49.0,1700.0,0
126.5,64.0,62.5,1600.0,0
137.5,34.5,103.0,1200.0,0
110.5,65.0,45.5,1700.0,0
114.0,82.5,31.5,1800.0,0
115.0,83.5,31.5,1800.0,0
147.0,50.0,97.0,1100.0,0
127.0,31.0,96.0,1300.0,0
136.0,55.0,81.0,1900.0,0
110.5,58.0,52.5,1900.0,0
119.0,65.0,54.0,1900.0,0
104.5,53.0,51.5,1700.0,0
133.0,95.0,38.0,1400.0,0
119.5,95.5,24.0,1600.0,0
106.0,69.0,37.0,1700.0,0
124.0,91.5,32.5,1700.0,0
134.0,84.5,49.5,1700.0,0
114.5,38.5,76.0,1600.0,0
108.5,83.0,25.5,1600.0,0
107.0,82.5,24.5,1800.0,0
117.5,64.5,53.0,1700.0,0
124.5,71.5,53.0,1700.0,0
131.0,83.0,48.0,1700.0,0
129.5,82.0,47.5,1600.0,0
122.5,96.5,26.0,1600.0,0
121.0,39.5,81.5,1600.0,0
113.0,43.5,69.5,1600.0,0
128.0,62.5,65.5,1900.0,0
114.5,94.0,20.5,1900.0,0
118.0,100.5,17.5,1900.0,0
117.0,67.0,50.0,1800.0,0
125.5,83.5,42.0,1600.0,0
84.0,52.0,32.0,1800.0,0
117.5,84.5,33.0,1700.0,0
110.5,97.5,13.0,1700.0,0
110.0,81.5,28.5,1300.0,0
104.5,85.5,19.0,1800.0,0
132.0,92.5,39.5,1800.0,0
105.0,79.0,26.0,1800.0,0
112.5,81.5,31.0,1800.0,0
118.0,54.5,63.5,1500.0,0
127.5,66.5,61.0,1600.0,0
114.5,72.0,42.5,1600.0,0
121.5,70.0,51.5,1600.0,0
97.5,47.0,50.5,1300.0,0
122.5,110.0,12.5,1300.0,0
123.5,106.0,17.5,1300.0,0
117.0,98.5,18.5,1300.0,0
103.5,93.5,10.0,1300.0,0
118.5,105.5,13.0,1300.0,0
133.5,112.5,21.0,1200.0,0
120.0,99.5,20.5,1300.0,0
124.5,109.5,15.0,1500.0,0
104.5,99.5,5.0,1300.0,0
110.5,102.0,8.5,1300.0,0
117.0,90.0,27.0,1200.0,0
126.5,95.0,31.5,1300.0,0
116.0,95.0,21.0,1500.0,0
108.0,95.5,12.5,1500.0,0
117.5,109.5,8.0,1400.0,0
111.0,104.0,7.0,1400.0,0
124.5,112.0,12.5,1300.0,0
123.0,93.5,29.5,1200.0,0
126.5,74.5,52.0,1400.0,0
109.0,86.5,22.5,1300.0,0
110.0,90.5,19.5,1300.0,0
133.0,113.0,20.0,1400.0,0
115.5,74.0,41.5,1300.0,0
109.0,57.5,51.5,1300.0,0
116.0,93.5,22.5,1300.0,0
112.5,107.0,5.5,1300.0,0
