RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
100.0,0.0,100.0,452.0,0.0
179.0,0.0,179.0,622.0,0.0
352.5,8.0,344.5,842.0,0.0
418.0,6.0,412.0,882.0,0.0
396.0,28.5,367.5,1018.0,0.0
432.5,19.0,413.5,1068.0,0.0
433.5,20.0,413.5,1066.0,0.0
425.5,56.5,369.0,1052.0,0.0
424.0,74.0,350.0,1022.0,0.0
482.5,66.0,416.5,988.0,0.0
416.5,12.5,404.0,986.0,0.0
434.0,41.0,393.0,1014.0,0.0
481.5,83.5,398.0,914.0,0.0
473.5,54.0,419.5,1058.0,0.0
480.0,28.0,452.0,1050.0,0.0
477.5,46.0,431.5,980.0,0.0
436.5,102.5,334.0,1068.0,0.0
483.0,88.5,394.5,1162.0,0.0
535.5,104.0,431.5,1106.0,0.0
467.5,94.0,373.5,1182.0,0.0
517.0,99.5,417.5,1130.0,0.0
532.5,82.0,450.5,1084.0,0.0
423.5,128.0,295.5,1178.0,0.0
532.5,197.5,335.0,1238.0,0.0
497.0,158.0,339.0,1284.0,0.0
500.5,226.5,274.0,1196.0,0.0
501.0,240.0,261.0,1266.0,0.0
519.0,207.5,311.5,1316.0,0.0
514.0,225.0,289.0,1382.0,0.0
480.5,216.5,264.0,1296.0,0.0
516.5,225.0,291.5,1312.0,0.0
523.0,173.5,349.5,1460.0,0.0
522.0,305.5,216.5,1284.0,0.0
503.0,248.5,254.5,1342.0,0.0
554.0,263.5,290.5,1352.0,0.0
506.5,160.5,346.0,1396.0,0.0
518.0,225.5,292.5,1416.0,0.0
567.0,189.0,378.0,1332.0,0.0
496.0,172.5,323.5,1374.0,0.0
503.0,261.5,241.5,1322.0,0.0
535.0,284.0,251.0,1420.0,0.0
539.0,237.5,301.5,1282.0,0.0
479.0,221.0,258.0,1450.0,0.0
549.0,253.5,295.5,1248.0,0.0
486.0,213.0,273.0,1106.0,0.0
493.5,269.0,224.5,1610.0,0.0
518.5,229.0,289.5,1036.0,0.0
