RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
48.0,0.0,48.0,700.0,0
83.5,0.0,83.5,670.0,0
83.5,0.0,83.5,660.0,0
73.5,0.0,73.5,750.0,0
98.5,0.0,98.5,820.0,0
108.0,0.0,108.0,840.0,0
113.0,0.0,113.0,780.0,0
109.0,0.0,109.0,890.0,0
104.0,0.5,103.5,1000.0,0
104.0,16.0,88.0,1200.0,0
92.0,27.5,64.5,1200.0,0
116.5,3.5,113.0,1000.0,0
119.0,2.0,117.0,1100.0,0
111.5,16.0,95.5,1000.0,0
118.5,6.0,112.5,1100.0,0
119.0,5.0,114.0,1200.0,0
120.5,89.0,31.5,1200.0,0
122.5,25.5,97.0,1100.0,0
123.5,25.5,98.0,1100.0,0
125.5,17.0,108.5,1200.0,0
127.5,5.5,122.0,1000.0,0
127.0,7.0,120.0,1000.0,0
129.5,7.5,122.0,1100.0,0
113.0,38.0,75.0,1300.0,0
98.5,49.0,49.5,1400.0,0
124.5,71.0,53.5,1800.0,0
129.5,68.5,61.0,1200.0,0
116.0,88.0,28.0,1400.0,0
97.5,65.5,32.0,1800.0,0
128.5,114.0,14.5,1500.0,0
140.5,127.5,13.0,1400.0,0
117.5,99.0,18.5,1600.0,0
130.5,102.5,28.0,1300.0,0
125.0,80.0,45.0,1600.0,0
95.0,48.5,46.5,1700.0,0
132.5,115.0,17.5,1300.0,0
105.5,85.5,20.0,1700.0,0
135.5,110.0,25.5,1700.0,0
103.0,86.0,17.0,1500.0,0
124.0,70.5,53.5,1700.0,0
93.5,81.5,12.0,1700.0,0
130.5,116.0,14.5,1400.0,0
119.5,73.0,46.5,1600.0,0
119.5,99.5,20.0,1900.0,0
120.0,106.5,13.5,1900.0,0
119.5,96.0,23.5,1800.0,0
124.5,83.5,41.0,1500.0,0
125.5,86.0,39.5,1800.0,0
117.5,99.5,18.0,1800.0,0
120.0,109.0,11.0,1300.0,0
121.5,99.5,22.0,1800.0,0
136.0,101.5,34.5,1700.0,0
124.5,98.0,26.5,1700.0,0
111.0,78.5,32.5,1600.0,0
116.0,90.0,26.0,1600.0,0
124.5,102.0,22.5,1800.0,0
117.5,91.0,26.5,1500.0,0
124.0,111.0,13.0,1600.0,0
136.5,88.5,48.0,1600.0,0
130.0,65.0,65.0,1500.0,0
128.0,72.5,55.5,1500.0,0
98.5,82.0,16.5,1800.0,0
126.5,96.0,30.5,1600.0,0
126.0,100.5,25.5,1600.0,0
123.5,83.5,40.0,1700.0,0
135.5,62.0,73.5,1500.0,0
127.0,77.0,50.0,1500.0,0
124.5,68.0,56.5,1600.0,0
138.0,90.5,47.5,1700.0,0
132.5,63.0,69.5,1200.0,0
125.5,85.0,40.5,1300.0,0
125.5,106.0,19.5,1300.0,0
111.0,77.5,33.5,1400.0,0
123.0,104.5,18.5,1400.0,0
118.0,78.0,40.0,1300.0,0
117.5,107.5,10.0,1300.0,0
111.5,104.0,7.5,1400.0,0
116.5,115.0,1.5,1400.0,0
130.5,108.0,22.5,1400.0,0
113.5,77.5,36.0,1400.0,0
112.5,101.0,11.5,1400.0,0
124.5,107.5,17.0,1300.0,0
118.0,83.0,35.0,1300.0,0
127.0,97.0,30.0,1200.0,0
