RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,310.0,0
39.5,0.0,39.5,450.0,0
62.0,0.0,62.0,750.0,0
55.5,0.0,55.5,200.0,0
58.0,0.0,58.0,270.0,0
45.5,0.0,45.5,240.0,0
39.0,0.0,39.0,210.0,0
37.5,0.0,37.5,380.0,0
43.5,0.0,43.5,400.0,0
42.0,0.0,42.0,260.0,0
51.5,0.0,51.5,280.0,0
42.0,0.0,42.0,360.0,0
38.0,0.0,38.0,360.0,0
33.5,0.0,33.5,360.0,0
95.0,0.0,95.0,180.0,0
86.5,0.0,86.5,310.0,0
87.0,0.0,87.0,290.0,0
85.5,0.0,85.5,460.0,0
85.5,0.0,85.5,460.0,0
58.0,0.0,58.0,400.0,0
42.5,0.0,42.5,400.0,0
43.0,0.0,43.0,360.0,0
34.0,0.0,34.0,280.0,0
36.5,1.0,35.5,230.0,0
30.5,4.0,26.5,490.0,0
44.0,0.5,43.5,490.0,0
45.0,0.5,44.5,340.0,0
46.5,0.5,46.0,290.0,0
72.0,0.0,72.0,320.0,0
96.5,0.0,96.5,320.0,0
96.5,0.0,96.5,330.0,0
92.0,0.0,92.0,290.0,0
101.0,0.0,101.0,310.0,0
103.0,0.0,103.0,300.0,0
97.5,0.0,97.5,330.0,0
93.5,0.0,93.5,330.0,0
96.5,0.0,96.5,340.0,0
98.5,0.0,98.5,250.0,0
84.0,0.0,84.0,340.0,0
116.5,0.0,116.5,240.0,0
89.5,0.0,89.5,270.0,0
102.0,0.0,102.0,240.0,0
95.0,0.0,95.0,250.0,0
91.5,0.0,91.5,210.0,0
96.5,0.0,96.5,260.0,0
93.0,0.0,93.0,340.0,0
100.5,0.0,100.5,270.0,0
106.5,0.0,106.5,240.0,0
98.0,0.0,98.0,190.0,0
91.0,0.0,91.0,270.0,0
109.0,0.0,109.0,270.0,0
83.5,0.0,83.5,350.0,0
106.0,0.0,106.0,340.0,0
86.0,0.0,86.0,260.0,0
103.5,0.0,103.5,220.0,0
101.5,0.0,101.5,230.0,0
109.5,0.0,109.5,250.0,0
87.0,0.0,87.0,250.0,0
108.0,0.0,108.0,340.0,0
91.5,0.0,91.5,330.0,0
98.0,0.0,98.0,210.0,0
98.5,0.0,98.5,310.0,0
87.0,0.0,87.0,350.0,0
100.5,0.0,100.5,180.0,0
86.5,0.0,86.5,360.0,0
105.5,0.0,105.5,240.0,0
100.5,0.0,100.5,180.0,0
105.0,0.0,105.0,250.0,0
107.5,0.0,107.5,240.0,0
93.5,0.0,93.5,260.0,0
91.5,0.0,91.5,200.0,0
110.0,0.0,110.0,150.0,0
105.0,0.0,105.0,110.0,0
93.0,0.0,93.0,170.0,0
106.0,0.0,106.0,100.0,0
110.5,0.0,110.5,83.0,0
109.0,0.0,109.0,82.0,0
109.5,0.0,109.5,130.0,0
103.5,0.0,103.5,83.0,0
94.5,0.0,94.5,82.0,0
95.0,0.0,95.0,100.0,0
94.5,0.0,94.5,110.0,0
89.0,0.0,89.0,85.0,0
97.0,0.0,97.0,89.0,0
101.0,0.0,101.0,80.0,0
100.0,0.0,100.0,110.0,0
104.0,0.0,104.0,100.0,0
86.0,0.0,86.0,85.0,0
95.0,0.0,95.0,98.0,0
81.0,0.0,81.0,90.0,0
94.5,0.0,94.5,160.0,0
99.5,0.0,99.5,94.0,0
99.5,0.0,99.5,110.0,0
101.5,0.0,101.5,100.0,0
91.5,0.0,91.5,84.0,0
99.0,0.0,99.0,83.0,0
98.5,0.0,98.5,150.0,0
94.0,0.0,94.0,95.0,0
89.5,0.0,89.5,89.0,0
96.0,0.0,96.0,150.0,0
96.0,0.0,96.0,150.0,0
91.5,0.0,91.5,89.0,0
92.0,0.0,92.0,88.0,0
102.0,0.0,102.0,120.0,0
101.5,0.0,101.5,130.0,0
99.0,0.0,99.0,82.0,0
93.5,0.0,93.5,130.0,0
94.5,0.0,94.5,170.0,0
100.5,0.0,100.5,83.0,0
99.0,0.0,99.0,87.0,0
93.5,0.0,93.5,83.0,0
85.0,0.0,85.0,95.0,0
95.0,0.0,95.0,95.0,0
91.5,0.0,91.5,120.0,0
90.5,0.0,90.5,120.0,0
95.5,0.0,95.5,83.0,0
