RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,250.0,0
38.0,0.0,38.0,550.0,0
59.0,0.0,59.0,930.0,0
82.0,0.0,82.0,720.0,0
83.0,0.0,83.0,720.0,0
75.0,0.0,75.0,740.0,0
90.5,0.0,90.5,510.0,0
91.0,0.0,91.0,440.0,0
75.5,0.0,75.5,360.0,0
87.5,0.0,87.5,440.0,0
99.0,0.0,99.0,320.0,0
83.5,0.0,83.5,440.0,0
85.5,0.0,85.5,500.0,0
93.0,0.0,93.0,420.0,0
90.0,0.0,90.0,560.0,0
81.0,0.0,81.0,360.0,0
79.0,0.0,79.0,380.0,0
79.5,0.0,79.5,510.0,0
91.5,0.0,91.5,470.0,0
83.0,0.0,83.0,470.0,0
88.5,0.0,88.5,470.0,0
98.0,0.0,98.0,510.0,0
97.5,0.0,97.5,640.0,0
96.5,0.0,96.5,620.0,0
89.0,0.0,89.0,450.0,0
82.5,4.0,78.5,570.0,0
88.0,1.5,86.5,540.0,0
81.5,1.5,80.0,560.0,0
86.0,0.5,85.5,560.0,0
92.5,0.0,92.5,550.0,0
84.0,0.5,83.5,620.0,0
93.5,0.5,93.0,620.0,0
85.5,0.0,85.5,490.0,0
96.5,1.5,95.0,500.0,0
87.0,2.0,85.0,500.0,0
85.5,0.0,85.5,570.0,0
75.0,0.0,75.0,560.0,0
77.0,0.5,76.5,560.0,0
89.0,3.0,86.0,570.0,0
86.5,3.0,83.5,570.0,0
77.5,0.0,77.5,550.0,0
68.0,0.0,68.0,630.0,0
81.5,3.5,78.0,540.0,0
83.0,3.5,79.5,700.0,0
90.0,3.5,86.5,550.0,0
86.0,0.5,85.5,500.0,0
67.0,0.0,67.0,500.0,0
86.5,0.0,86.5,520.0,0
87.0,0.5,86.5,470.0,0
77.0,6.5,70.5,650.0,0
90.0,2.5,87.5,460.0,0
84.5,2.0,82.5,630.0,0
73.0,0.5,72.5,540.0,0
66.5,1.0,65.5,560.0,0
93.0,3.5,89.5,570.0,0
88.5,3.0,85.5,610.0,0
95.0,4.0,91.0,680.0,0
93.0,1.5,91.5,480.0,0
86.5,1.5,85.0,470.0,0
103.0,0.0,103.0,530.0,0
100.0,0.0,100.0,440.0,0
84.0,0.0,84.0,520.0,0
60.5,0.0,60.5,580.0,0
82.0,0.0,82.0,570.0,0
70.5,0.0,70.5,500.0,0
79.0,1.0,78.0,440.0,0
79.5,0.0,79.5,530.0,0
82.5,0.0,82.5,520.0,0
85.0,0.0,85.0,510.0,0
85.5,1.5,84.0,450.0,0
83.0,1.5,81.5,440.0,0
83.5,0.0,83.5,400.0,0
83.5,0.0,83.5,430.0,0
102.5,0.0,102.5,330.0,0
96.5,0.0,96.5,360.0,0
96.0,0.0,96.0,380.0,0
102.5,0.0,102.5,370.0,0
85.5,0.0,85.5,530.0,0
85.0,0.0,85.0,400.0,0
59.0,0.0,59.0,360.0,0
78.0,0.0,78.0,380.0,0
80.0,0.0,80.0,370.0,0
84.0,0.0,84.0,340.0,0
89.0,0.0,89.0,370.0,0
84.5,0.0,84.5,410.0,0
92.0,0.5,91.5,360.0,0
103.5,1.5,102.0,360.0,0
90.5,0.0,90.5,370.0,0
84.0,0.0,84.0,360.0,0
98.5,0.0,98.5,350.0,0
91.0,0.0,91.0,400.0,0
98.0,0.0,98.0,330.0,0
96.5,0.0,96.5,330.0,0
91.0,0.0,91.0,310.0,0
99.0,0.0,99.0,360.0,0
95.0,0.0,95.0,360.0,0
81.5,0.0,81.5,410.0,0
87.0,0.0,87.0,440.0,0
90.5,2.0,88.5,430.0,0
86.5,2.0,84.5,330.0,0
81.0,0.0,81.0,350.0,0
83.5,0.0,83.5,410.0,0
88.5,0.0,88.5,400.0,0
96.5,0.0,96.5,370.0,0
99.5,0.0,99.5,360.0,0
95.5,0.0,95.5,330.0,0
92.0,0.0,92.0,320.0,0
86.0,0.0,86.0,340.0,0
88.0,0.0,88.0,340.0,0
97.0,0.0,97.0,330.0,0
86.5,0.0,86.5,370.0,0
98.0,0.0,98.0,330.0,0
94.0,0.0,94.0,360.0,0
93.0,0.0,93.0,360.0,0
90.5,0.0,90.5,400.0,0
93.5,0.0,93.5,400.0,0
81.5,0.0,81.5,340.0,0
80.0,0.0,80.0,370.0,0
97.0,0.0,97.0,360.0,0
99.0,0.0,99.0,340.0,0
92.5,0.0,92.5,340.0,0
84.0,0.0,84.0,330.0,0
74.0,0.0,74.0,330.0,0
83.0,0.0,83.0,340.0,0
81.5,0.0,81.5,400.0,0
86.5,0.0,86.5,390.0,0
80.5,0.0,80.5,340.0,0
70.5,1.0,69.5,330.0,0
83.0,1.0,82.0,400.0,0
87.5,0.0,87.5,360.0,0
92.5,0.0,92.5,390.0,0
90.5,0.0,90.5,420.0,0
101.0,0.0,101.0,420.0,0
100.5,0.0,100.5,340.0,0
104.0,0.0,104.0,310.0,0
94.5,0.0,94.5,300.0,0
85.0,0.0,85.0,340.0,0
89.5,0.0,89.5,340.0,0
97.0,0.0,97.0,290.0,0
91.0,0.0,91.0,420.0,0
81.0,0.0,81.0,330.0,0
82.5,0.0,82.5,360.0,0
83.5,0.0,83.5,360.0,0
84.0,0.0,84.0,320.0,0
89.5,0.0,89.5,350.0,0
92.5,0.0,92.5,360.0,0
92.0,0.0,92.0,390.0,0
98.5,0.0,98.5,320.0,0
99.0,0.0,99.0,330.0,0
84.0,0.0,84.0,290.0,0
89.0,0.0,89.0,320.0,0
88.5,0.0,88.5,360.0,0
91.5,0.0,91.5,300.0,0
74.0,0.0,74.0,360.0,0
84.5,0.0,84.5,370.0,0
96.5,0.0,96.5,380.0,0
99.0,0.0,99.0,390.0,0
94.5,0.0,94.5,390.0,0
77.5,0.0,77.5,390.0,0
89.0,0.5,88.5,340.0,0
90.0,0.5,89.5,350.0,0
101.5,0.0,101.5,320.0,0
96.5,0.0,96.5,350.0,0
83.5,0.0,83.5,330.0,0
87.5,0.0,87.5,390.0,0
91.0,0.0,91.0,320.0,0
83.0,0.0,83.0,370.0,0
76.5,0.0,76.5,400.0,0
78.0,3.0,75.0,380.0,0
90.0,3.5,86.5,350.0,0
81.5,0.0,81.5,350.0,0
75.5,0.0,75.5,320.0,0
78.0,0.0,78.0,360.0,0
100.0,0.0,100.0,290.0,0
92.5,0.0,92.5,340.0,0
88.5,0.0,88.5,320.0,0
85.0,0.0,85.0,350.0,0
78.0,0.0,78.0,350.0,0
75.0,0.0,75.0,350.0,0
85.5,0.0,85.5,350.0,0
89.5,0.0,89.5,310.0,0
111.0,0.0,111.0,330.0,0
106.5,0.0,106.5,340.0,0
93.0,0.0,93.0,340.0,0
90.0,0.0,90.0,410.0,0
94.0,0.0,94.0,410.0,0
89.0,0.0,89.0,340.0,0
100.0,0.0,100.0,290.0,0
81.0,0.0,81.0,350.0,0
73.0,0.0,73.0,350.0,0
90.5,0.0,90.5,300.0,0
94.0,0.0,94.0,330.0,0
94.0,0.0,94.0,380.0,0
83.0,0.0,83.0,420.0,0
90.5,0.0,90.5,370.0,0
94.5,0.0,94.5,320.0,0
91.0,0.0,91.0,320.0,0
80.0,0.0,80.0,310.0,0
92.0,0.0,92.0,390.0,0
95.0,0.0,95.0,330.0,0
101.5,0.0,101.5,430.0,0
84.0,0.0,84.0,340.0,0
80.0,0.0,80.0,430.0,0
78.5,0.0,78.5,380.0,0
89.5,0.0,89.5,330.0,0
93.5,0.0,93.5,380.0,0
83.5,0.0,83.5,350.0,0
85.0,0.0,85.0,360.0,0
93.0,0.0,93.0,340.0,0
96.5,0.0,96.5,360.0,0
85.0,0.0,85.0,410.0,0
84.5,0.0,84.5,410.0,0
93.5,0.0,93.5,350.0,0
103.5,0.0,103.5,350.0,0
87.5,0.0,87.5,350.0,0
80.5,0.0,80.5,420.0,0
79.5,0.5,79.0,380.0,0
96.0,0.5,95.5,380.0,0
95.0,0.0,95.0,380.0,0
88.0,0.0,88.0,360.0,0
88.0,0.0,88.0,350.0,0
83.0,0.0,83.0,330.0,0
96.0,0.0,96.0,330.0,0
84.5,0.0,84.5,360.0,0
83.0,0.0,83.0,310.0,0
87.0,0.0,87.0,330.0,0
92.0,0.0,92.0,390.0,0
95.5,0.0,95.5,390.0,0
98.0,0.0,98.0,270.0,0
99.5,0.0,99.5,360.0,0
83.0,0.0,83.0,290.0,0
90.0,0.0,90.0,330.0,0
98.0,0.0,98.0,290.0,0
100.5,0.0,100.5,320.0,0
98.5,0.0,98.5,330.0,0
98.0,0.0,98.0,330.0,0
87.0,0.0,87.0,400.0,0
75.5,0.0,75.5,400.0,0
87.0,0.0,87.0,410.0,0
93.5,0.0,93.5,410.0,0
94.0,0.0,94.0,340.0,0
77.5,0.0,77.5,350.0,0
77.5,0.0,77.5,310.0,0
85.5,0.0,85.5,340.0,0
92.0,0.0,92.0,370.0,0
79.5,0.0,79.5,390.0,0
84.5,0.0,84.5,390.0,0
90.0,0.0,90.0,390.0,0
93.5,0.0,93.5,300.0,0
75.5,0.5,75.0,370.0,0
87.5,0.5,87.0,360.0,0
98.5,0.0,98.5,380.0,0
94.5,0.0,94.5,420.0,0
80.0,2.5,77.5,380.0,0
80.0,3.5,76.5,360.0,0
90.0,0.0,90.0,310.0,0
81.5,0.0,81.5,350.0,0
82.5,0.0,82.5,340.0,0
92.5,0.0,92.5,330.0,0
89.5,0.0,89.5,390.0,0
80.5,0.0,80.5,390.0,0
84.5,0.0,84.5,340.0,0
94.5,0.0,94.5,310.0,0
96.0,0.0,96.0,350.0,0
97.0,0.0,97.0,340.0,0
91.5,0.0,91.5,340.0,0
91.0,0.0,91.0,360.0,0
98.0,0.0,98.0,330.0,0
107.5,0.0,107.5,350.0,0
80.0,0.0,80.0,350.0,0
106.0,0.0,106.0,320.0,0
103.5,0.0,103.5,320.0,0
85.0,0.0,85.0,430.0,0
75.5,1.0,74.5,450.0,0
77.0,1.0,76.0,440.0,0
86.5,0.0,86.5,410.0,0
99.0,0.0,99.0,410.0,0
98.0,0.0,98.0,310.0,0
109.0,0.0,109.0,320.0,0
104.0,0.0,104.0,280.0,0
89.0,0.0,89.0,390.0,0
87.5,0.0,87.5,330.0,0
92.5,0.0,92.5,390.0,0
86.5,0.0,86.5,390.0,0
91.5,0.0,91.5,340.0,0
91.0,0.0,91.0,320.0,0
86.5,0.0,86.5,330.0,0
94.5,0.0,94.5,350.0,0
93.0,0.0,93.0,380.0,0
76.0,0.0,76.0,350.0,0
82.5,0.0,82.5,450.0,0
99.0,0.0,99.0,340.0,0
99.0,0.0,99.0,330.0,0
93.0,0.0,93.0,390.0,0
98.0,0.0,98.0,370.0,0
99.0,0.0,99.0,340.0,0
101.5,0.0,101.5,340.0,0
102.0,0.0,102.0,350.0,0
91.0,0.0,91.0,420.0,0
84.0,0.0,84.0,400.0,0
101.0,0.0,101.0,330.0,0
86.0,0.0,86.0,350.0,0
80.5,0.0,80.5,350.0,0
94.0,0.0,94.0,350.0,0
93.0,0.0,93.0,340.0,0
98.0,0.0,98.0,360.0,0
85.5,0.0,85.5,380.0,0
83.0,0.0,83.0,390.0,0
76.5,0.0,76.5,390.0,0
90.0,0.0,90.0,370.0,0
88.0,0.0,88.0,360.0,0
83.0,0.0,83.0,350.0,0
92.5,0.0,92.5,330.0,0
96.0,0.0,96.0,380.0,0
94.5,0.0,94.5,360.0,0
84.0,0.0,84.0,370.0,0
90.0,0.0,90.0,340.0,0
93.0,0.0,93.0,320.0,0
92.0,0.0,92.0,360.0,0
92.5,0.0,92.5,380.0,0
92.0,0.0,92.0,320.0,0
99.0,0.0,99.0,390.0,0
95.5,0.0,95.5,390.0,0
95.5,0.0,95.5,350.0,0
94.0,0.0,94.0,350.0,0
82.5,0.0,82.5,320.0,0
85.0,0.0,85.0,340.0,0
82.5,0.0,82.5,330.0,0
76.5,0.0,76.5,350.0,0
85.0,1.5,83.5,390.0,0
101.0,1.5,99.5,380.0,0
94.5,0.0,94.5,380.0,0
94.5,0.0,94.5,400.0,0
72.5,1.0,71.5,410.0,0
87.5,3.0,84.5,390.0,0
79.5,0.0,79.5,440.0,0
82.0,0.0,82.0,400.0,0
