RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
1.0,0.0,1.0,620.0,0
99.5,5.0,94.5,1100.0,0
95.0,0.0,95.0,670.0,0
91.5,0.0,91.5,1100.0,0
83.0,12.0,71.0,1000.0,0
105.0,0.0,105.0,1200.0,0
75.0,28.0,47.0,1300.0,0
108.5,35.5,73.0,1200.0,0
110.5,26.5,84.0,1200.0,0
99.0,66.0,33.0,1400.0,0
101.5,71.0,30.5,1800.0,0
90.5,64.0,26.5,1800.0,0
93.5,93.0,0.5,1900.0,0
91.0,74.5,16.5,1400.0,0
114.5,81.0,33.5,1600.0,0
119.0,34.0,85.0,1500.0,0
104.0,76.5,27.5,1800.0,0
93.0,59.5,33.5,2000.0,0
77.5,77.0,0.5,2000.0,0
86.5,79.5,7.0,2000.0,0
85.5,85.5,0.0,1900.0,0
101.5,99.5,2.0,2000.0,0
112.5,95.0,17.5,2000.0,0
91.0,88.5,2.5,1600.0,0
93.0,88.5,4.5,2000.0,0
113.5,89.5,24.0,1700.0,0
92.0,66.5,25.5,1800.0,0
80.0,66.5,13.5,2000.0,0
104.5,99.5,5.0,2000.0,0
117.5,100.0,17.5,1800.0,0
89.5,73.0,16.5,2000.0,0
43.0,43.0,0.0,2200.0,0
69.5,69.5,0.0,2200.0,0
99.0,99.0,0.0,2000.0,0
73.0,73.0,0.0,2000.0,0
82.0,81.5,0.5,2100.0,0
92.0,87.5,4.5,2100.0,0
71.0,70.0,1.0,2000.0,0
90.0,89.5,0.5,2100.0,0
83.5,72.5,11.0,2100.0,0
108.5,80.0,28.5,2000.0,0
70.5,65.0,5.5,2000.0,0
70.5,70.5,0.0,2100.0,0
98.0,78.0,20.0,2100.0,0
117.5,91.5,26.0,1800.0,0
122.5,92.5,30.0,1800.0,0
112.0,62.0,50.0,1600.0,0
110.0,67.0,43.0,1700.0,0
116.5,99.0,17.5,1700.0,0
116.5,104.5,12.0,1900.0,0
123.0,40.5,82.5,1900.0,0
133.0,47.0,86.0,1700.0,0
93.5,54.5,39.0,1900.0,0
