RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1300.0,0
22.5,22.5,0.0,1300.0,0
82.5,23.5,59.0,1100.0,0
120.0,43.0,77.0,1500.0,0
149.5,89.0,60.5,1500.0,0
170.0,62.0,108.0,1100.0,0
122.0,44.5,77.5,1900.0,0
117.5,92.0,25.5,1900.0,0
113.5,108.5,5.0,1800.0,0
134.5,94.0,40.5,1600.0,0
105.0,91.0,14.0,1900.0,0
121.0,116.0,5.0,2400.0,0
149.5,145.0,4.5,2400.0,0
169.5,162.5,7.0,2000.0,0
144.5,142.0,2.5,2000.0,0
166.0,148.0,18.0,2000.0,0
176.0,147.0,29.0,1700.0,0
147.5,135.5,12.0,2000.0,0
133.0,129.5,3.5,2000.0,0
128.0,128.0,0.0,2300.0,0
125.5,125.5,0.0,2300.0,0
144.5,144.5,0.0,2100.0,0
169.0,166.0,3.0,1900.0,0
147.0,144.0,3.0,2100.0,0
148.5,148.0,0.5,2000.0,0
164.5,164.0,0.5,2000.0,0
152.5,151.0,1.5,2100.0,0
157.0,155.5,1.5,2000.0,0
134.0,134.0,0.0,2100.0,0
155.5,155.5,0.0,2400.0,0
171.5,171.5,0.0,2200.0,0
177.0,177.0,0.0,2000.0,0
150.0,149.0,1.0,2200.0,0
144.0,143.0,1.0,2200.0,0
153.0,153.0,0.0,2100.0,0
135.0,135.0,0.0,3000.0,0
143.5,143.5,0.0,3200.0,0
150.0,150.0,0.0,2800.0,0
125.5,125.5,0.0,2800.0,0
144.0,144.0,0.0,2400.0,0
132.0,132.0,0.0,2600.0,0
158.0,158.0,0.0,2700.0,0
145.0,145.0,0.0,2600.0,0
170.5,168.5,2.0,2500.0,0
161.5,158.5,3.0,2100.0,0
126.5,126.5,0.0,2500.0,0
137.5,137.5,0.0,2700.0,0
159.5,159.5,0.0,2700.0,0
127.5,127.5,0.0,2400.0,0
141.5,141.5,0.0,2600.0,0
130.0,130.0,0.0,2700.0,0
140.0,140.0,0.0,2600.0,0
163.5,163.5,0.0,2600.0,0
118.5,118.5,0.0,2900.0,0
142.0,142.0,0.0,2900.0,0
161.0,159.5,1.5,2600.0,0
147.0,145.0,2.0,2700.0,0
152.0,152.0,0.0,2900.0,0
134.0,134.0,0.0,2100.0,0
159.0,159.0,0.0,2700.0,0
139.5,139.5,0.0,2500.0,0
136.0,136.0,0.0,2500.0,0
126.5,126.5,0.0,2800.0,0
177.5,177.0,0.5,2200.0,0
133.0,132.5,0.5,2400.0,0
134.5,134.5,0.0,2700.0,0
132.0,132.0,0.0,2700.0,0
186.5,186.5,0.0,2600.0,0
111.0,111.0,0.0,2400.0,0
157.0,157.0,0.0,2600.0,0
135.0,135.0,0.0,3000.0,0
134.0,134.0,0.0,3000.0,0
146.0,146.0,0.0,3100.0,0
178.0,173.5,4.5,2000.0,0
148.5,144.0,4.5,1900.0,0
158.5,158.5,0.0,2900.0,0
147.0,147.0,0.0,2900.0,0
159.0,159.0,0.0,2400.0,0
129.5,129.5,0.0,2600.0,0
149.5,149.5,0.0,2500.0,0
161.0,159.0,2.0,2600.0,0
154.0,151.0,3.0,2600.0,0
110.5,110.5,0.0,3000.0,0
172.0,172.0,0.0,2600.0,0
161.5,160.0,1.5,2500.0,0
169.0,167.0,2.0,1900.0,0
149.0,148.5,0.5,2200.0,0
142.0,142.0,0.0,2500.0,0
124.0,124.0,0.0,2900.0,0
143.5,143.5,0.0,2900.0,0
160.0,160.0,0.0,2700.0,0
135.5,135.5,0.0,2500.0,0
146.0,146.0,0.0,2600.0,0
174.0,174.0,0.0,2200.0,0
167.0,165.5,1.5,2000.0,0
141.0,139.5,1.5,2100.0,0
136.0,136.0,0.0,2600.0,0
137.0,137.0,0.0,2900.0,0
150.5,150.5,0.0,2900.0,0
161.5,161.5,0.0,2100.0,0
125.5,125.5,0.0,2300.0,0
143.5,143.5,0.0,2500.0,0
179.5,179.5,0.0,2400.0,0
149.0,149.0,0.0,2300.0,0
134.0,134.0,0.0,2400.0,0
167.5,162.5,5.0,2400.0,0
153.0,152.0,1.0,2100.0,0
135.5,135.5,0.0,2600.0,0
154.0,154.0,0.0,2800.0,0
171.5,171.5,0.0,2200.0,0
154.0,154.0,0.0,1900.0,0
138.0,138.0,0.0,2200.0,0
166.5,166.5,0.0,2400.0,0
192.0,186.5,5.5,1900.0,0
127.0,127.0,0.0,2400.0,0
153.5,153.5,0.0,2600.0,0
165.5,165.5,0.0,2500.0,0
165.5,165.5,0.0,2200.0,0
142.0,142.0,0.0,2100.0,0
114.5,114.5,0.0,2800.0,0
153.5,153.5,0.0,2800.0,0
168.5,168.5,0.0,2500.0,0
124.0,124.0,0.0,2500.0,0
141.0,141.0,0.0,2400.0,0
136.5,136.5,0.0,2300.0,0
140.5,140.5,0.0,2400.0,0
135.5,135.5,0.0,2500.0,0
140.0,140.0,0.0,2800.0,0
149.0,149.0,0.0,2500.0,0
151.0,151.0,0.0,2700.0,0
133.5,133.5,0.0,2400.0,0
153.0,153.0,0.0,2900.0,0
147.0,147.0,0.0,2600.0,0
156.0,156.0,0.0,2400.0,0
165.0,165.0,0.0,2700.0,0
138.0,138.0,0.0,2600.0,0
140.5,140.5,0.0,2700.0,0
147.0,147.0,0.0,2700.0,0
141.0,141.0,0.0,2900.0,0
145.0,145.0,0.0,2500.0,0
144.5,144.5,0.0,2500.0,0
134.0,134.0,0.0,2900.0,0
152.5,152.5,0.0,3100.0,0
164.5,164.5,0.0,2800.0,0
155.0,155.0,0.0,2500.0,0
142.5,142.5,0.0,2400.0,0
123.0,123.0,0.0,3100.0,0
143.5,143.5,0.0,3000.0,0
147.0,147.0,0.0,2600.0,0
141.5,141.5,0.0,2900.0,0
148.0,148.0,0.0,2800.0,0
156.5,156.5,0.0,2600.0,0
118.0,118.0,0.0,2700.0,0
159.5,159.5,0.0,2700.0,0
150.0,150.0,0.0,2600.0,0
157.0,157.0,0.0,2400.0,0
135.0,135.0,0.0,2900.0,0
131.5,131.5,0.0,3000.0,0
125.0,125.0,0.0,3000.0,0
123.0,123.0,0.0,2800.0,0
131.5,131.5,0.0,3100.0,0
137.0,137.0,0.0,2700.0,0
148.5,148.5,0.0,2600.0,0
129.0,129.0,0.0,2700.0,0
128.0,128.0,0.0,2900.0,0
136.5,136.5,0.0,3200.0,0
153.0,153.0,0.0,2600.0,0
122.0,122.0,0.0,2800.0,0
115.5,115.5,0.0,3000.0,0
148.0,148.0,0.0,2800.0,0
130.0,130.0,0.0,2600.0,0
173.0,173.0,0.0,2400.0,0
207.5,201.5,6.0,1700.0,0
187.0,161.0,26.0,1700.0,0
199.0,155.5,43.5,1800.0,0
192.5,150.0,42.5,1700.0,0
177.0,142.0,35.0,1700.0,0
158.0,146.5,11.5,2000.0,0
158.0,149.5,8.5,2000.0,0
165.0,159.5,5.5,2000.0,0
172.0,168.5,3.5,2100.0,0
169.0,167.5,1.5,2000.0,0
158.5,157.5,1.0,2000.0,0
153.5,152.5,1.0,2200.0,0
173.0,173.0,0.0,2300.0,0
184.0,182.0,2.0,1900.0,0
191.5,164.5,27.0,1600.0,0
173.5,128.0,45.5,1600.0,0
193.5,155.5,38.0,2000.0,0
209.5,173.0,36.5,1800.0,0
191.0,137.0,54.0,1600.0,0
193.0,138.5,54.5,1800.0,0
190.0,156.5,33.5,1600.0,0
187.5,125.0,62.5,1500.0,0
177.0,107.5,69.5,1800.0,0
180.0,110.0,70.0,1800.0,0
168.0,124.0,44.0,1600.0,0
185.5,131.0,54.5,1600.0,0
187.5,130.5,57.0,1700.0,0
183.5,157.0,26.5,1800.0,0
188.0,149.5,38.5,1800.0,0
202.0,133.5,68.5,1500.0,0
185.5,138.5,47.0,1600.0,0
189.5,146.5,43.0,1500.0,0
203.0,137.5,65.5,1800.0,0
166.0,124.5,41.5,1800.0,0
155.0,149.0,6.0,2000.0,0
163.0,163.0,0.0,2000.0,0
171.5,168.0,3.5,2000.0,0
201.5,164.5,37.0,1800.0,0
184.0,120.0,64.0,1600.0,0
182.5,116.0,66.5,1600.0,0
198.5,128.0,70.5,1600.0,0
182.5,133.5,49.0,1900.0,0
167.5,149.5,18.0,1900.0,0
189.5,147.0,42.5,1500.0,0
164.0,122.0,42.0,1600.0,0
189.0,146.5,42.5,1600.0,0
203.0,153.0,50.0,1600.0,0
180.5,118.0,62.5,1600.0,0
191.5,118.0,73.5,1600.0,0
205.5,129.5,76.0,1600.0,0
179.0,130.0,49.0,1600.0,0
195.5,154.0,41.5,1800.0,0
195.5,162.5,33.0,1600.0,0
186.0,142.5,43.5,1500.0,0
181.0,120.0,61.0,1500.0,0
175.5,116.5,59.0,1600.0,0
167.0,135.0,32.0,1800.0,0
188.5,156.5,32.0,1800.0,0
182.0,154.5,27.5,1600.0,0
198.5,133.0,65.5,1700.0,0
203.0,141.5,61.5,1500.0,0
186.5,140.5,46.0,1700.0,0
186.0,124.5,61.5,1700.0,0
174.5,128.5,46.0,1600.0,0
172.0,142.5,29.5,1600.0,0
179.5,138.5,41.0,1600.0,0
188.5,159.5,29.0,1700.0,0
185.0,146.0,39.0,1600.0,0
193.0,128.5,64.5,1600.0,0
173.0,112.0,61.0,1600.0,0
177.0,144.5,32.5,2000.0,0
186.0,170.0,16.0,2000.0,0
175.0,152.5,22.5,1800.0,0
210.5,186.0,24.5,1900.0,0
167.5,142.5,25.0,1700.0,0
175.0,155.5,19.5,1700.0,0
186.5,174.0,12.5,1800.0,0
198.0,171.5,26.5,1800.0,0
188.0,152.0,36.0,1700.0,0
160.5,130.0,30.5,1900.0,0
165.5,145.5,20.0,1900.0,0
173.5,140.0,33.5,1500.0,0
171.5,131.0,40.5,1800.0,0
206.0,157.0,49.0,1600.0,0
189.5,129.0,60.5,1600.0,0
176.5,128.5,48.0,1700.0,0
171.0,130.0,41.0,1700.0,0
183.5,126.0,57.5,1600.0,0
162.5,114.5,48.0,1700.0,0
191.0,173.5,17.5,1700.0,0
191.0,173.5,17.5,1600.0,0
184.0,168.5,15.5,1600.0,0
172.0,154.0,18.0,1600.0,0
182.5,153.0,29.5,1700.0,0
165.5,136.5,29.0,1800.0,0
153.0,150.0,3.0,1900.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,280.0,0
38.0,0.0,38.0,260.0,0
34.0,0.0,34.0,340.0,0
39.0,0.0,39.0,330.0,0
42.0,0.0,42.0,350.0,0
35.0,0.0,35.0,290.0,0
37.5,0.0,37.5,380.0,0
36.5,0.0,36.5,330.0,0
35.5,0.0,35.5,330.0,0
32.5,0.0,32.5,330.0,0
39.0,0.0,39.0,340.0,0
35.0,0.0,35.0,360.0,0
38.0,0.0,38.0,340.0,0
37.0,0.0,37.0,320.0,0
39.0,0.0,39.0,320.0,0
37.5,0.0,37.5,320.0,0
37.5,0.0,37.5,330.0,0
36.0,0.0,36.0,350.0,0
39.0,0.0,39.0,380.0,0
39.0,0.0,39.0,320.0,0
33.5,0.0,33.5,370.0,0
31.5,0.0,31.5,290.0,0
32.5,0.0,32.5,310.0,0
34.5,0.0,34.5,330.0,0
34.0,0.0,34.0,340.0,0
35.0,0.0,35.0,300.0,0
37.0,0.0,37.0,300.0,0
36.0,0.0,36.0,300.0,0
34.5,0.0,34.5,280.0,0
35.0,0.0,35.0,330.0,0
34.0,0.0,34.0,280.0,0
35.0,0.0,35.0,270.0,0
36.0,0.0,36.0,250.0,0
29.0,0.0,29.0,290.0,0
33.0,0.0,33.0,300.0,0
38.0,0.0,38.0,320.0,0
43.0,0.0,43.0,320.0,0
43.0,0.0,43.0,330.0,0
40.5,0.0,40.5,280.0,0
42.0,0.0,42.0,280.0,0
31.0,0.0,31.0,260.0,0
32.0,0.0,32.0,260.0,0
41.0,0.0,41.0,270.0,0
42.5,0.0,42.5,280.0,0
38.5,0.0,38.5,300.0,0
38.0,0.0,38.0,300.0,0
41.0,0.0,41.0,290.0,0
44.0,0.0,44.0,280.0,0
39.0,0.0,39.0,290.0,0
