RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1000.0,0
44.0,0.0,44.0,1000.0,0
77.5,0.0,77.5,390.0,0
77.0,0.0,77.0,500.0,0
70.0,0.0,70.0,410.0,0
79.0,0.0,79.0,410.0,0
71.5,0.0,71.5,420.0,0
79.0,0.0,79.0,470.0,0
70.0,0.0,70.0,480.0,0
70.0,0.0,70.0,350.0,0
65.0,0.0,65.0,450.0,0
54.0,0.0,54.0,590.0,0
52.5,0.0,52.5,590.0,0
59.5,0.0,59.5,510.0,0
60.5,0.0,60.5,480.0,0
67.5,0.0,67.5,530.0,0
72.0,0.0,72.0,540.0,0
84.5,0.0,84.5,750.0,0
65.5,0.0,65.5,750.0,0
58.0,0.0,58.0,670.0,0
63.0,0.0,63.0,810.0,0
73.5,0.0,73.5,560.0,0
78.5,0.0,78.5,500.0,0
66.5,0.0,66.5,580.0,0
82.0,0.0,82.0,560.0,0
76.0,0.0,76.0,710.0,0
74.0,0.0,74.0,640.0,0
97.0,0.0,97.0,640.0,0
74.0,2.0,72.0,680.0,0
74.5,3.0,71.5,670.0,0
78.5,1.0,77.5,540.0,0
84.5,0.0,84.5,540.0,0
83.0,1.5,81.5,620.0,0
88.5,2.0,86.5,600.0,0
77.0,2.0,75.0,630.0,0
55.5,6.0,49.5,650.0,0
59.0,3.5,55.5,650.0,0
81.0,1.5,79.5,640.0,0
74.0,1.5,72.5,640.0,0
52.0,0.0,52.0,680.0,0
86.5,0.0,86.5,900.0,0
54.0,1.0,53.0,900.0,0
65.0,4.5,60.5,670.0,0
73.0,1.0,72.0,600.0,0
69.0,2.0,67.0,630.0,0
77.0,4.5,72.5,840.0,0
71.5,8.5,63.0,840.0,0
68.5,9.5,59.0,790.0,0
65.0,4.5,60.5,900.0,0
62.0,4.5,57.5,660.0,0
76.0,5.5,70.5,570.0,0
71.5,0.5,71.0,730.0,0
71.5,1.5,70.0,730.0,0
58.5,5.5,53.0,800.0,0
76.0,2.5,73.5,790.0,0
78.5,1.0,77.5,650.0,0
66.0,0.5,65.5,880.0,0
70.0,3.0,67.0,880.0,0
62.5,2.5,60.0,740.0,0
81.0,5.0,76.0,710.0,0
56.5,2.0,54.5,790.0,0
66.0,4.0,62.0,900.0,0
82.5,2.5,80.0,900.0,0
55.5,6.0,49.5,650.0,0
71.0,8.0,63.0,800.0,0
76.0,2.5,73.5,780.0,0
59.5,6.0,53.5,710.0,0
72.5,5.5,67.0,560.0,0
55.0,1.0,54.0,630.0,0
66.0,5.5,60.5,670.0,0
61.0,9.5,51.5,780.0,0
67.0,12.0,55.0,780.0,0
70.5,6.0,64.5,690.0,0
70.5,1.0,69.5,510.0,0
74.5,1.5,73.0,630.0,0
70.5,4.5,66.0,780.0,0
71.5,3.5,68.0,780.0,0
65.0,4.5,60.5,830.0,0
72.5,5.5,67.0,780.0,0
75.5,4.0,71.5,630.0,0
70.5,3.0,67.5,670.0,0
73.5,3.5,70.0,700.0,0
63.5,4.5,59.0,780.0,0
65.5,1.0,64.5,720.0,0
82.0,0.5,81.5,440.0,0
89.5,0.0,89.5,520.0,0
69.0,2.0,67.0,610.0,0
65.0,4.5,60.5,800.0,0
79.0,3.5,75.5,540.0,0
76.0,1.5,74.5,570.0,0
68.5,0.5,68.0,630.0,0
49.0,3.0,46.0,590.0,0
61.5,2.5,59.0,620.0,0
73.5,2.5,71.0,420.0,0
82.0,0.0,82.0,510.0,0
64.5,0.5,64.0,560.0,0
60.5,2.5,58.0,730.0,0
66.0,3.0,63.0,730.0,0
72.0,2.0,70.0,640.0,0
84.0,0.0,84.0,520.0,0
65.5,0.5,65.0,550.0,0
70.5,1.0,69.5,550.0,0
84.5,0.5,84.0,560.0,0
79.5,0.0,79.5,520.0,0
78.0,0.0,78.0,470.0,0
79.0,0.0,79.0,420.0,0
59.5,0.0,59.5,610.0,0
67.5,3.0,64.5,580.0,0
76.5,4.0,72.5,530.0,0
80.5,0.0,80.5,440.0,0
73.5,0.0,73.5,540.0,0
62.0,0.5,61.5,620.0,0
75.0,3.0,72.0,560.0,0
90.5,2.5,88.0,510.0,0
71.0,0.0,71.0,510.0,0
65.5,7.0,58.5,660.0,0
79.5,3.0,76.5,520.0,0
90.0,0.0,90.0,630.0,0
81.0,0.0,81.0,630.0,0
75.0,1.0,74.0,600.0,0
75.0,5.0,70.0,600.0,0
83.0,5.0,78.0,510.0,0
71.0,2.0,69.0,630.0,0
81.5,0.5,81.0,550.0,0
80.0,0.0,80.0,590.0,0
75.5,2.5,73.0,660.0,0
65.0,6.5,58.5,670.0,0
59.0,2.0,57.0,610.0,0
72.0,1.5,70.5,590.0,0
72.5,2.5,70.0,610.0,0
67.5,3.0,64.5,720.0,0
62.5,2.5,60.0,640.0,0
68.0,1.5,66.5,640.0,0
68.0,3.5,64.5,590.0,0
64.0,2.0,62.0,570.0,0
70.5,5.5,65.0,570.0,0
67.0,7.0,60.0,630.0,0
70.0,4.0,66.0,680.0,0
67.0,5.5,61.5,650.0,0
69.5,2.5,67.0,590.0,0
68.5,2.5,66.0,660.0,0
