RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
13.5,0.0,13.5,270.0,0
26.5,0.0,26.5,510.0,0
68.5,0.0,68.5,480.0,0
77.0,0.0,77.0,450.0,0
82.0,0.0,82.0,380.0,0
78.5,0.0,78.5,390.0,0
82.0,0.0,82.0,400.0,0
76.5,0.0,76.5,430.0,0
81.0,0.0,81.0,320.0,0
82.0,0.0,82.0,430.0,0
84.5,0.0,84.5,360.0,0
89.5,0.0,89.5,390.0,0
79.5,0.0,79.5,310.0,0
86.5,0.0,86.5,270.0,0
86.5,0.0,86.5,250.0,0
80.5,0.0,80.5,210.0,0
91.0,0.0,91.0,270.0,0
90.0,0.0,90.0,210.0,0
95.5,0.0,95.5,290.0,0
104.5,0.0,104.5,240.0,0
91.5,0.0,91.5,380.0,0
92.5,0.0,92.5,420.0,0
99.5,0.0,99.5,500.0,0
96.5,0.0,96.5,450.0,0
79.5,0.0,79.5,410.0,0
82.0,0.0,82.0,510.0,0
96.5,0.0,96.5,510.0,0
87.5,0.0,87.5,410.0,0
88.0,0.0,88.0,410.0,0
69.5,1.0,68.5,380.0,0
90.0,2.5,87.5,380.0,0
93.5,2.0,91.5,210.0,0
86.0,1.0,85.0,340.0,0
82.0,0.0,82.0,440.0,0
79.5,0.0,79.5,440.0,0
82.5,0.0,82.5,400.0,0
84.5,3.5,81.0,390.0,0
85.5,2.0,83.5,380.0,0
82.5,2.5,80.0,460.0,0
95.5,2.0,93.5,440.0,0
84.0,0.5,83.5,460.0,0
91.0,1.5,89.5,460.0,0
94.0,0.0,94.0,400.0,0
101.5,0.0,101.5,400.0,0
90.5,0.5,90.0,420.0,0
82.5,0.5,82.0,410.0,0
85.5,4.5,81.0,270.0,0
78.0,4.0,74.0,400.0,0
83.5,4.0,79.5,380.0,0
83.5,5.5,78.0,220.0,0
72.5,4.0,68.5,400.0,0
81.0,3.5,77.5,400.0,0
76.0,1.5,74.5,210.0,0
82.5,0.0,82.5,380.0,0
86.0,0.0,86.0,430.0,0
86.0,1.0,85.0,420.0,0
83.5,1.5,82.0,420.0,0
80.5,0.0,80.5,410.0,0
74.0,0.0,74.0,410.0,0
89.0,3.5,85.5,430.0,0
104.0,0.5,103.5,360.0,0
105.0,3.5,101.5,360.0,0
96.0,0.5,95.5,240.0,0
93.5,0.5,93.0,180.0,0
94.5,0.0,94.5,250.0,0
86.5,0.5,86.0,390.0,0
90.0,1.5,88.5,390.0,0
94.5,0.5,94.0,380.0,0
94.0,0.0,94.0,380.0,0
82.0,0.0,82.0,380.0,0
