RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,440.0,0
5.0,0.0,5.0,1500.0,0
163.5,70.0,93.5,1600.0,0
152.5,9.0,143.5,1000.0,0
139.0,5.0,134.0,1000.0,0
134.0,5.0,129.0,1100.0,0
198.0,17.5,180.5,1100.0,0
122.5,2.0,120.5,1000.0,0
179.0,6.0,173.0,1000.0,0
196.0,5.0,191.0,1000.0,0
132.0,3.5,128.5,1100.0,0
184.5,9.0,175.5,1100.0,0
142.0,0.0,142.0,1000.0,0
174.5,7.5,167.0,1100.0,0
218.5,6.0,212.5,1000.0,0
177.0,13.0,164.0,990.0,0
169.5,4.5,165.0,1100.0,0
206.0,26.0,180.0,1100.0,0
152.0,51.5,100.5,1700.0,0
166.5,71.5,95.0,1400.0,0
157.5,94.0,63.5,1600.0,0
168.0,103.5,64.5,1800.0,0
183.0,114.5,68.5,1800.0,0
208.0,107.5,100.5,1800.0,0
146.5,84.0,62.5,1900.0,0
184.0,109.0,75.0,1600.0,0
149.0,140.0,9.0,1900.0,0
184.0,134.5,49.5,1500.0,0
191.0,146.0,45.0,1800.0,0
187.5,145.5,42.0,1900.0,0
173.5,119.5,54.0,1900.0,0
175.5,123.5,52.0,1600.0,0
191.5,136.5,55.0,1500.0,0
169.5,120.5,49.0,1500.0,0
173.0,114.0,59.0,1700.0,0
196.5,113.5,83.0,1700.0,0
192.5,101.0,91.5,1700.0,0
202.0,103.0,99.0,1600.0,0
190.0,99.5,90.5,1800.0,0
148.5,84.5,64.0,1700.0,0
192.0,83.5,108.5,1600.0,0
159.5,129.5,30.0,2000.0,0
210.0,139.5,70.5,2000.0,0
192.5,114.0,78.5,1600.0,0
190.0,147.0,43.0,1700.0,0
200.5,138.0,62.5,1700.0,0
188.0,87.5,100.5,1400.0,0
160.0,123.0,37.0,1600.0,0
188.0,151.5,36.5,1700.0,0
186.5,127.0,59.5,1700.0,0
166.5,133.0,33.5,2000.0,0
188.0,152.5,35.5,2000.0,0
176.5,114.5,62.0,1600.0,0
188.0,113.0,75.0,1600.0,0
164.5,138.0,26.5,1800.0,0
170.0,130.5,39.5,2000.0,0
175.5,137.0,38.5,2000.0,0
193.5,109.0,84.5,1800.0,0
172.5,118.5,54.0,1800.0,0
186.0,110.5,75.5,1700.0,0
171.5,112.0,59.5,1900.0,0
183.0,118.5,64.5,1900.0,0
162.0,102.5,59.5,1900.0,0
177.0,116.5,60.5,1900.0,0
192.0,113.5,78.5,1700.0,0
191.0,105.5,85.5,1700.0,0
175.0,112.0,63.0,1800.0,0
188.0,75.0,113.0,1600.0,0
183.0,98.5,84.5,1700.0,0
181.0,134.5,46.5,1800.0,0
183.0,94.0,89.0,1600.0,0
167.5,125.5,42.0,1800.0,0
186.5,141.0,45.5,1800.0,0
191.0,143.0,48.0,1900.0,0
195.5,182.0,13.5,1900.0,0
199.0,174.0,25.0,1600.0,0
193.5,149.5,44.0,1800.0,0
188.5,143.5,45.0,1600.0,0
183.5,126.0,57.5,1700.0,0
187.0,121.5,65.5,1600.0,0
181.5,108.0,73.5,1500.0,0
178.5,112.5,66.0,1600.0,0
178.0,120.0,58.0,1700.0,0
191.0,121.5,69.5,1700.0,0
189.5,89.0,100.5,1400.0,0
176.0,70.0,106.0,1500.0,0
183.0,86.5,96.5,1500.0,0
182.0,115.5,66.5,1800.0,0
169.0,138.5,30.5,1800.0,0
187.0,171.0,16.0,1700.0,0
215.5,160.0,55.5,1600.0,0
195.5,96.5,99.0,1600.0,0
179.5,68.0,111.5,1300.0,0
182.5,66.5,116.0,1600.0,0
195.0,85.0,110.0,1600.0,0
197.5,106.5,91.0,1600.0,0
194.0,113.5,80.5,1600.0,0
194.5,107.0,87.5,1500.0,0
170.0,123.0,47.0,1700.0,0
183.0,140.5,42.5,1600.0,0
202.0,124.0,78.0,1800.0,0
194.0,119.5,74.5,1600.0,0
203.0,137.0,66.0,1500.0,0
204.5,124.5,80.0,1600.0,0
173.0,98.5,74.5,1700.0,0
202.0,179.0,23.0,1900.0,0
184.5,147.5,37.0,1700.0,0
178.0,133.5,44.5,1800.0,0
180.0,150.5,29.5,1700.0,0
196.0,161.0,35.0,1600.0,0
209.5,142.0,67.5,1900.0,0
187.0,108.0,79.0,1900.0,0
161.0,144.5,16.5,1900.0,0
199.0,104.0,95.0,1600.0,0
167.0,100.0,67.0,1600.0,0
166.0,117.5,48.5,1900.0,0
189.5,137.5,52.0,2100.0,0
203.5,128.0,75.5,1800.0,0
183.5,139.0,44.5,1800.0,0
197.0,112.0,85.0,1700.0,0
188.0,113.5,74.5,1700.0,0
195.0,116.5,78.5,1500.0,0
203.5,100.5,103.0,1600.0,0
186.5,83.0,103.5,1700.0,0
189.5,100.5,89.0,1700.0,0
178.5,131.0,47.5,1700.0,0
203.0,147.5,55.5,1700.0,0
176.0,109.0,67.0,1600.0,0
189.5,116.5,73.0,1700.0,0
208.5,133.5,75.0,1700.0,0
176.0,117.5,58.5,1800.0,0
190.5,143.0,47.5,1900.0,0
203.5,153.5,50.0,1600.0,0
213.0,105.0,108.0,1500.0,0
195.5,121.5,74.0,1700.0,0
200.0,119.5,80.5,1500.0,0
154.5,62.5,92.0,1700.0,0
171.0,121.0,50.0,1900.0,0
200.0,165.5,34.5,1900.0,0
