RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
17.0,0.0,17.0,200.0,0
12.5,0.0,12.5,440.0,0
28.5,0.0,28.5,430.0,0
73.0,0.0,73.0,450.0,0
65.5,0.0,65.5,430.0,0
83.0,0.0,83.0,490.0,0
78.0,0.0,78.0,220.0,0
78.5,0.0,78.5,360.0,0
78.5,0.0,78.5,540.0,0
80.0,0.0,80.0,300.0,0
87.0,0.0,87.0,210.0,0
92.5,0.0,92.5,340.0,0
100.5,0.0,100.5,220.0,0
81.5,0.0,81.5,210.0,0
90.0,0.0,90.0,280.0,0
87.0,0.0,87.0,230.0,0
81.0,0.0,81.0,200.0,0
92.5,0.0,92.5,300.0,0
83.5,0.0,83.5,460.0,0
84.0,0.0,84.0,430.0,0
80.0,0.0,80.0,470.0,0
91.5,0.0,91.5,330.0,0
72.5,0.0,72.5,380.0,0
99.0,0.0,99.0,560.0,0
102.5,0.0,102.5,470.0,0
101.5,0.0,101.5,470.0,0
79.0,0.0,79.0,680.0,0
99.0,2.5,96.5,650.0,0
85.0,2.0,83.0,300.0,0
72.0,0.0,72.0,480.0,0
74.5,0.0,74.5,490.0,0
88.0,1.0,87.0,540.0,0
91.0,3.5,87.5,470.0,0
76.0,0.0,76.0,610.0,0
85.5,0.0,85.5,530.0,0
96.5,1.0,95.5,520.0,0
98.0,0.0,98.0,440.0,0
86.5,0.0,86.5,460.0,0
95.5,0.0,95.5,430.0,0
89.0,0.0,89.0,570.0,0
67.5,1.0,66.5,440.0,0
78.5,0.0,78.5,540.0,0
96.0,0.0,96.0,540.0,0
88.0,0.0,88.0,460.0,0
81.5,0.0,81.5,420.0,0
86.0,0.0,86.0,460.0,0
87.5,2.0,85.5,630.0,0
75.5,0.0,75.5,630.0,0
96.0,1.5,94.5,440.0,0
90.0,0.5,89.5,480.0,0
92.0,2.0,90.0,440.0,0
81.5,0.5,81.0,500.0,0
85.5,0.0,85.5,510.0,0
74.0,0.0,74.0,440.0,0
92.5,1.0,91.5,550.0,0
92.5,2.0,90.5,540.0,0
90.0,0.0,90.0,500.0,0
88.0,1.0,87.0,400.0,0
84.5,1.0,83.5,570.0,0
80.5,3.0,77.5,610.0,0
76.5,3.0,73.5,410.0,0
75.5,2.5,73.0,380.0,0
102.5,0.0,102.5,420.0,0
105.0,0.0,105.0,470.0,0
106.0,3.5,102.5,390.0,0
91.5,0.0,91.5,390.0,0
83.5,0.0,83.5,380.0,0
93.0,0.0,93.0,560.0,0
105.0,0.0,105.0,480.0,0
102.0,0.0,102.0,480.0,0
82.5,4.0,78.5,720.0,0
95.0,5.0,90.0,470.0,0
83.5,1.5,82.0,460.0,0
105.0,0.0,105.0,450.0,0
103.0,0.0,103.0,450.0,0
87.5,0.0,87.5,170.0,0
88.5,0.0,88.5,200.0,0
90.5,0.0,90.5,160.0,0
102.5,0.0,102.5,180.0,0
101.0,0.0,101.0,160.0,0
93.5,0.0,93.5,150.0,0
96.0,0.0,96.0,150.0,0
88.0,0.0,88.0,170.0,0
83.0,0.0,83.0,180.0,0
94.0,0.0,94.0,220.0,0
92.0,0.0,92.0,180.0,0
80.5,0.0,80.5,230.0,0
86.0,0.0,86.0,220.0,0
97.0,0.0,97.0,160.0,0
88.0,0.0,88.0,220.0,0
89.0,0.0,89.0,220.0,0
98.0,0.0,98.0,180.0,0
90.0,0.0,90.0,180.0,0
96.5,0.0,96.5,240.0,0
93.5,0.0,93.5,230.0,0
87.0,0.0,87.0,210.0,0
84.0,0.0,84.0,230.0,0
90.5,0.0,90.5,220.0,0
74.0,0.0,74.0,180.0,0
80.0,0.0,80.0,180.0,0
88.0,0.0,88.0,190.0,0
101.0,0.0,101.0,190.0,0
85.5,0.0,85.5,210.0,0
88.5,0.0,88.5,220.0,0
91.5,0.0,91.5,180.0,0
89.0,0.0,89.0,200.0,0
101.0,0.0,101.0,140.0,0
80.5,0.0,80.5,220.0,0
76.5,0.0,76.5,220.0,0
86.0,0.0,86.0,210.0,0
91.5,0.0,91.5,240.0,0
90.0,0.0,90.0,240.0,0
93.0,0.0,93.0,200.0,0
92.0,0.0,92.0,210.0,0
86.5,0.0,86.5,210.0,0
95.0,0.0,95.0,190.0,0
84.5,0.0,84.5,210.0,0
83.0,0.0,83.0,250.0,0
96.0,0.0,96.0,170.0,0
91.0,0.0,91.0,200.0,0
88.5,0.0,88.5,250.0,0
83.0,0.0,83.0,240.0,0
86.0,0.0,86.0,230.0,0
87.0,0.0,87.0,220.0,0
85.0,0.0,85.0,220.0,0
85.0,0.0,85.0,230.0,0
98.5,0.0,98.5,140.0,0
91.5,0.0,91.5,160.0,0
89.0,0.0,89.0,140.0,0
86.5,0.0,86.5,210.0,0
94.5,0.0,94.5,210.0,0
101.0,0.0,101.0,210.0,0
104.0,0.0,104.0,200.0,0
92.5,0.0,92.5,180.0,0
83.5,0.0,83.5,180.0,0
88.0,0.0,88.0,160.0,0
94.0,0.0,94.0,260.0,0
94.0,0.0,94.0,190.0,0
85.5,0.0,85.5,200.0,0
105.0,0.0,105.0,210.0,0
101.5,0.0,101.5,190.0,0
97.0,0.0,97.0,170.0,0
92.5,0.0,92.5,190.0,0
