RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,270.0,0
12.5,0.0,12.5,550.0,0
36.0,0.0,36.0,700.0,0
49.5,0.0,49.5,860.0,0
57.0,0.0,57.0,420.0,0
40.0,0.0,40.0,310.0,0
41.0,0.0,41.0,610.0,0
42.0,0.0,42.0,610.0,0
44.0,0.0,44.0,680.0,0
42.0,0.0,42.0,350.0,0
43.0,0.0,43.0,370.0,0
42.5,0.0,42.5,450.0,0
44.5,0.0,44.5,450.0,0
47.0,0.0,47.0,410.0,0
64.0,0.0,64.0,800.0,0
63.5,0.0,63.5,830.0,0
104.5,0.0,104.5,540.0,0
67.5,0.0,67.5,570.0,0
91.0,0.0,91.0,460.0,0
47.5,0.0,47.5,570.0,0
47.0,0.0,47.0,600.0,0
52.5,0.0,52.5,830.0,0
46.0,0.0,46.0,300.0,0
40.5,0.0,40.5,700.0,0
42.5,0.0,42.5,780.0,0
38.5,0.0,38.5,780.0,0
36.5,0.0,36.5,730.0,0
35.5,1.0,34.5,720.0,0
51.0,0.0,51.0,770.0,0
72.5,0.0,72.5,760.0,0
93.0,0.5,92.5,1000.0,0
125.5,0.5,125.0,920.0,0
72.0,0.0,72.0,480.0,0
78.0,0.0,78.0,620.0,0
60.0,0.0,60.0,650.0,0
43.0,0.0,43.0,670.0,0
42.0,1.5,40.5,620.0,0
31.5,2.0,29.5,620.0,0
41.0,0.0,41.0,640.0,0
39.5,0.0,39.5,640.0,0
43.0,2.5,40.5,640.0,0
47.5,1.0,46.5,660.0,0
61.0,0.0,61.0,660.0,0
87.5,0.0,87.5,770.0,0
103.5,0.0,103.5,820.0,0
87.0,0.0,87.0,720.0,0
75.0,0.0,75.0,780.0,0
91.5,0.0,91.5,700.0,0
63.5,0.0,63.5,760.0,0
53.0,0.0,53.0,610.0,0
40.0,1.0,39.0,650.0,0
49.5,0.0,49.5,640.0,0
39.5,1.0,38.5,660.0,0
39.0,1.0,38.0,570.0,0
33.0,1.0,32.0,570.0,0
44.0,0.0,44.0,690.0,0
55.0,0.0,55.0,690.0,0
82.5,0.0,82.5,900.0,0
108.0,0.0,108.0,900.0,0
