RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
110.0,0.0,110.0,474.0,0.0
172.5,0.0,172.5,770.0,0.0
374.5,71.5,303.0,888.0,0.0
414.5,106.5,308.0,964.0,0.0
424.5,21.0,403.5,1098.0,0.0
436.0,17.0,419.0,1068.0,0.0
420.0,14.0,406.0,934.0,0.0
419.0,32.5,386.5,976.0,0.0
437.5,29.5,408.0,1034.0,0.0
477.0,12.5,464.5,906.0,0.0
443.5,6.0,437.5,1004.0,0.0
424.5,49.0,375.5,1124.0,0.0
471.0,59.5,411.5,1028.0,0.0
451.0,59.0,392.0,1154.0,0.0
454.0,161.0,293.0,1216.0,0.0
495.5,144.0,351.5,1228.0,0.0
474.5,115.0,359.5,1162.0,0.0
505.0,84.0,421.0,1094.0,0.0
449.0,116.5,332.5,1250.0,0.0
482.0,153.0,329.0,1182.0,0.0
461.0,204.0,257.0,1234.0,0.0
486.5,140.0,346.5,1206.0,0.0
477.5,157.5,320.0,1280.0,0.0
517.0,222.5,294.5,1300.0,0.0
470.0,200.5,269.5,1376.0,0.0
458.0,192.5,265.5,1530.0,0.0
444.0,209.5,234.5,1534.0,0.0
464.0,244.0,220.0,1430.0,0.0
495.0,266.0,229.0,1546.0,0.0
430.5,273.0,157.5,1554.0,0.0
470.5,274.0,196.5,1458.0,0.0
502.5,299.5,203.0,1294.0,0.0
460.5,258.0,202.5,1396.0,0.0
480.0,291.0,189.0,1396.0,0.0
475.0,296.0,179.0,1478.0,0.0
493.5,289.0,204.5,1452.0,0.0
497.5,285.0,212.5,1410.0,0.0
443.0,246.5,196.5,1470.0,0.0
516.5,252.0,264.5,1456.0,0.0
452.0,243.5,208.5,1356.0,0.0
493.5,278.5,215.0,1444.0,0.0
459.0,240.5,218.5,1162.0,0.0
485.5,268.0,217.5,1514.0,0.0
492.5,237.5,255.0,1474.0,0.0
526.5,246.0,280.5,1204.0,0.0
507.5,201.5,306.0,1248.0,0.0
521.5,209.0,312.5,1350.0,0.0
495.5,228.5,267.0,1328.0,0.0
517.5,231.0,286.5,1428.0,0.0
487.0,231.0,256.0,1364.0,0.0
470.0,267.0,203.0,1384.0,0.0
502.5,244.0,258.5,1456.0,0.0
522.5,212.0,310.5,1242.0,0.0
478.0,195.0,283.0,1334.0,0.0
497.0,211.5,285.5,1366.0,0.0
483.5,251.0,232.5,1426.0,0.0
471.0,222.0,249.0,1402.0,0.0
451.0,250.0,201.0,1452.0,0.0
518.0,221.0,297.0,1568.0,0.0
438.0,215.0,223.0,1522.0,0.0
507.5,275.5,232.0,1476.0,0.0
539.0,242.0,297.0,1310.0,0.0
459.5,240.5,219.0,1210.0,0.0
481.5,249.0,232.5,1444.0,0.0
500.5,233.0,267.5,1376.0,0.0
510.0,232.0,278.0,1330.0,0.0
442.5,191.5,251.0,1290.0,0.0
484.0,299.0,185.0,1428.0,0.0
425.0,261.5,163.5,1396.0,0.0
493.0,239.0,254.0,1528.0,0.0
462.5,199.0,263.5,1578.0,0.0
484.0,168.5,315.5,1020.0,0.0
478.5,247.0,231.5,1218.0,0.0
503.0,233.5,269.5,1276.0,0.0
522.5,224.0,298.5,1146.0,0.0
470.5,218.0,252.5,1356.0,0.0
470.0,254.0,216.0,1404.0,0.0
493.0,295.0,198.0,1374.0,0.0
503.0,259.5,243.5,1356.0,0.0
432.5,221.0,211.5,1304.0,0.0
448.0,271.0,177.0,1320.0,0.0
492.5,290.0,202.5,1324.0,0.0
447.5,254.5,193.0,1350.0,0.0
487.0,297.5,189.5,1354.0,0.0
478.0,279.0,199.0,1340.0,0.0
453.0,267.5,185.5,1356.0,0.0
438.0,256.0,182.0,1254.0,0.0
490.0,282.5,207.5,1368.0,0.0
461.5,262.0,199.5,1348.0,0.0
467.5,284.0,183.5,1244.0,0.0
498.5,283.0,215.5,1304.0,0.0
462.0,270.0,192.0,1166.0,0.0
433.0,266.5,166.5,1354.0,0.0
480.5,299.0,181.5,1412.0,0.0
455.0,253.5,201.5,1436.0,0.0
445.5,268.0,177.5,1414.0,0.0
463.0,290.0,173.0,1432.0,0.0
474.5,283.5,191.0,1390.0,0.0
529.5,260.0,269.5,1354.0,0.0
518.0,242.0,276.0,1276.0,0.0
462.5,238.0,224.5,1224.0,0.0
441.0,267.0,174.0,1390.0,0.0
471.0,283.5,187.5,1246.0,0.0
479.5,240.0,239.5,1378.0,0.0
527.0,290.0,237.0,1086.0,0.0
472.0,281.5,190.5,1314.0,0.0
491.0,284.5,206.5,1340.0,0.0
447.0,255.5,191.5,1260.0,0.0
516.5,253.5,263.0,1286.0,0.0
469.0,210.0,259.0,1224.0,0.0
423.5,248.5,175.0,1404.0,0.0
431.0,273.5,157.5,1376.0,0.0
457.0,257.5,199.5,1208.0,0.0
449.5,289.0,160.5,1340.0,0.0
477.0,298.0,179.0,1384.0,0.0
468.0,281.5,186.5,1352.0,0.0
