RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,440.0,0
38.0,0.0,38.0,620.0,0
67.5,0.0,67.5,700.0,0
70.0,0.0,70.0,690.0,0
74.5,0.0,74.5,680.0,0
88.0,0.0,88.0,590.0,0
85.5,0.0,85.5,650.0,0
89.5,0.0,89.5,700.0,0
85.5,0.0,85.5,660.0,0
91.0,0.5,90.5,880.0,0
87.5,0.0,87.5,990.0,0
89.0,0.0,89.0,970.0,0
75.0,0.5,74.5,1200.0,0
92.0,3.5,88.5,1100.0,0
101.5,0.0,101.5,1100.0,0
108.0,3.0,105.0,730.0,0
107.5,0.0,107.5,1000.0,0
104.5,6.0,98.5,1100.0,0
118.5,6.0,112.5,970.0,0
109.0,3.5,105.5,1100.0,0
126.0,6.0,120.0,1100.0,0
120.0,9.0,111.0,1100.0,0
122.0,1.0,121.0,990.0,0
135.0,0.0,135.0,1000.0,0
125.5,13.0,112.5,1100.0,0
127.5,0.0,127.5,1000.0,0
125.0,0.5,124.5,1000.0,0
126.0,0.5,125.5,1000.0,0
122.0,1.0,121.0,1000.0,0
124.5,3.0,121.5,980.0,0
134.0,1.0,133.0,1200.0,0
141.5,14.5,127.0,1000.0,0
135.0,3.0,132.0,1000.0,0
138.5,10.5,128.0,1100.0,0
140.0,33.0,107.0,1000.0,0
142.5,2.5,140.0,1000.0,0
148.5,6.5,142.0,830.0,0
159.0,0.0,159.0,1000.0,0
156.0,2.0,154.0,1000.0,0
152.5,2.0,150.5,760.0,0
151.5,0.0,151.5,780.0,0
161.0,0.0,161.0,930.0,0
161.0,0.0,161.0,930.0,0
141.5,1.0,140.5,1200.0,0
161.0,3.5,157.5,1100.0,0
152.0,1.5,150.5,820.0,0
144.5,0.0,144.5,700.0,0
152.5,0.0,152.5,720.0,0
150.0,0.0,150.0,950.0,0
155.5,0.0,155.5,920.0,0
151.5,0.0,151.5,790.0,0
146.5,0.0,146.5,980.0,0
155.0,0.0,155.0,820.0,0
154.0,0.0,154.0,850.0,0
150.0,0.0,150.0,800.0,0
155.0,0.0,155.0,810.0,0
149.5,0.0,149.5,820.0,0
144.5,0.0,144.5,780.0,0
142.5,0.0,142.5,820.0,0
154.0,0.0,154.0,750.0,0
147.5,0.0,147.5,720.0,0
145.0,0.0,145.0,650.0,0
150.0,0.0,150.0,760.0,0
154.0,0.0,154.0,800.0,0
153.5,0.0,153.5,800.0,0
153.0,0.0,153.0,680.0,0
136.5,0.0,136.5,710.0,0
132.5,0.0,132.5,750.0,0
142.5,0.0,142.5,680.0,0
151.5,0.0,151.5,790.0,0
160.0,0.0,160.0,720.0,0
150.0,0.0,150.0,770.0,0
148.5,0.0,148.5,730.0,0
145.5,0.0,145.5,790.0,0
153.5,0.0,153.5,820.0,0
148.0,0.0,148.0,750.0,0
144.5,0.0,144.5,730.0,0
146.5,0.0,146.5,800.0,0
145.5,0.0,145.5,730.0,0
157.5,0.0,157.5,700.0,0
137.0,0.0,137.0,820.0,0
144.0,0.0,144.0,750.0,0
140.5,0.0,140.5,900.0,0
144.0,0.0,144.0,750.0,0
147.0,0.0,147.0,780.0,0
147.5,0.0,147.5,870.0,0
154.5,1.5,153.0,1100.0,0
173.5,6.0,167.5,1100.0,0
161.0,3.5,157.5,870.0,0
151.0,0.0,151.0,830.0,0
158.0,0.0,158.0,840.0,0
147.5,0.0,147.5,920.0,0
152.5,1.0,151.5,1000.0,0
154.0,0.0,154.0,790.0,0
149.5,0.0,149.5,790.0,0
153.0,0.5,152.5,1100.0,0
139.5,1.5,138.0,1100.0,0
158.5,3.0,155.5,1100.0,0
148.0,2.0,146.0,1100.0,0
156.0,4.0,152.0,1000.0,0
152.5,1.5,151.0,1000.0,0
171.0,2.0,169.0,940.0,0
158.0,1.5,156.5,860.0,0
152.0,0.0,152.0,800.0,0
155.5,0.0,155.5,670.0,0
149.5,0.0,149.5,800.0,0
136.0,0.5,135.5,1000.0,0
133.5,1.0,132.5,1000.0,0
150.0,1.0,149.0,850.0,0
141.5,0.0,141.5,780.0,0
151.0,0.0,151.0,850.0,0
149.0,0.0,149.0,1000.0,0
151.0,6.0,145.0,1200.0,0
169.0,23.5,145.5,1300.0,0
158.0,12.5,145.5,1000.0,0
145.0,1.5,143.5,960.0,0
155.5,0.0,155.5,960.0,0
146.5,0.0,146.5,1000.0,0
154.0,1.0,153.0,830.0,0
152.5,0.0,152.5,980.0,0
160.0,2.0,158.0,1000.0,0
152.5,3.5,149.0,1200.0,0
149.0,3.0,146.0,1200.0,0
147.0,2.5,144.5,1000.0,0
148.5,1.5,147.0,940.0,0
146.0,0.5,145.5,1100.0,0
149.5,1.0,148.5,930.0,0
160.5,0.0,160.5,930.0,0
156.5,0.0,156.5,740.0,0
150.5,0.0,150.5,820.0,0
156.0,0.0,156.0,700.0,0
154.5,0.0,154.5,820.0,0
159.5,0.0,159.5,750.0,0
159.0,0.0,159.0,820.0,0
156.5,0.0,156.5,730.0,0
158.0,0.0,158.0,730.0,0
147.0,0.0,147.0,820.0,0
145.5,0.0,145.5,810.0,0
134.0,0.0,134.0,890.0,0
147.0,0.0,147.0,940.0,0
159.5,0.5,159.0,850.0,0
144.0,0.0,144.0,910.0,0
148.0,0.0,148.0,840.0,0
152.0,0.0,152.0,780.0,0
144.0,0.0,144.0,760.0,0
