RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,830.0,0
27.5,0.0,27.5,250.0,0
33.5,0.0,33.5,190.0,0
35.5,0.0,35.5,180.0,0
35.0,0.0,35.0,220.0,0
40.0,0.0,40.0,180.0,0
40.5,0.0,40.5,210.0,0
39.0,0.0,39.0,220.0,0
37.0,0.0,37.0,200.0,0
43.0,0.0,43.0,210.0,0
48.0,0.0,48.0,200.0,0
42.0,0.0,42.0,210.0,0
44.5,0.0,44.5,270.0,0
46.5,0.0,46.5,170.0,0
44.5,0.0,44.5,170.0,0
48.0,0.0,48.0,170.0,0
50.5,0.0,50.5,160.0,0
62.0,0.0,62.0,180.0,0
57.0,0.0,57.0,180.0,0
58.0,0.0,58.0,260.0,0
60.5,0.0,60.5,260.0,0
55.5,0.0,55.5,180.0,0
57.0,0.0,57.0,300.0,0
54.5,0.0,54.5,350.0,0
57.0,0.0,57.0,350.0,0
58.5,0.0,58.5,290.0,0
57.0,0.0,57.0,230.0,0
60.0,0.0,60.0,230.0,0
60.0,0.0,60.0,190.0,0
64.0,0.0,64.0,190.0,0
66.5,0.0,66.5,290.0,0
62.0,4.0,58.0,220.0,0
69.5,10.5,59.0,220.0,0
64.0,5.0,59.0,190.0,0
57.0,0.0,57.0,250.0,0
71.0,0.0,71.0,220.0,0
69.0,0.0,69.0,220.0,0
68.0,0.0,68.0,220.0,0
74.0,0.0,74.0,210.0,0
76.0,0.5,75.5,270.0,0
81.5,7.5,74.0,270.0,0
77.5,7.0,70.5,290.0,0
71.0,0.0,71.0,290.0,0
72.0,3.0,69.0,200.0,0
77.0,6.5,70.5,220.0,0
78.0,2.5,75.5,220.0,0
74.5,0.0,74.5,220.0,0
71.0,0.0,71.0,220.0,0
70.0,0.0,70.0,240.0,0
72.0,0.0,72.0,250.0,0
65.5,0.0,65.5,220.0,0
74.5,0.0,74.5,210.0,0
75.5,0.0,75.5,230.0,0
76.0,0.0,76.0,230.0,0
70.5,0.0,70.5,220.0,0
72.0,0.0,72.0,220.0,0
69.0,0.0,69.0,220.0,0
73.5,0.0,73.5,240.0,0
81.5,0.0,81.5,240.0,0
72.0,0.0,72.0,210.0,0
73.0,0.0,73.0,220.0,0
76.5,0.0,76.5,210.0,0
76.5,0.0,76.5,220.0,0
73.5,0.0,73.5,190.0,0
73.0,0.0,73.0,180.0,0
75.5,0.0,75.5,240.0,0
77.0,0.0,77.0,240.0,0
62.0,0.0,62.0,210.0,0
70.0,0.0,70.0,200.0,0
75.5,0.0,75.5,210.0,0
80.5,0.0,80.5,210.0,0
76.5,0.0,76.5,230.0,0
75.5,0.0,75.5,230.0,0
77.5,0.0,77.5,250.0,0
78.0,0.0,78.0,250.0,0
76.0,0.0,76.0,240.0,0
73.5,0.0,73.5,200.0,0
83.5,0.0,83.5,230.0,0
