timestamp,service,cpu_millicores,memory_working_set_bytes,replica_count
2026-09-22T22:22:10Z,frontend,0,34119680,1
2026-09-22T22:22:10Z,cartservice,5,95117312,1
2026-09-22T22:22:10Z,checkoutservice,4,52203520,1
2026-09-22T22:22:10Z,productcatalogservice,4,35241984,1
2026-09-22T22:22:10Z,paymentservice,5,65503232,1
2026-09-22T22:22:10Z,recommendationservice,11,104226816,1
2026-09-22T22:22:10Z,shippingservice,6,38248448,1
2026-09-22T22:22:10Z,currencyservice,4,71581696,1
2026-09-22T22:22:10Z,emailservice,10,91439104,1
2026-09-22T22:22:10Z,adservice,27,263471104,1
2026-09-22T22:22:10Z,redis-cart,6,33325056,1
2026-09-22T22:22:10Z,__master_node__,2898,4051845120,1
2026-09-22T22:22:15Z,frontend,0,34119680,1
2026-09-22T22:22:15Z,cartservice,6,95117312,1
2026-09-22T22:22:15Z,checkoutservice,5,52248576,1
2026-09-22T22:22:15Z,productcatalogservice,4,35241984,1
2026-09-22T22:22:15Z,paymentservice,4,65519616,1
2026-09-22T22:22:15Z,recommendationservice,11,104226816,1
2026-09-22T22:22:15Z,shippingservice,7,37441536,1
2026-09-22T22:22:15Z,currencyservice,5,71598080,1
2026-09-22T22:22:15Z,emailservice,9,91439104,1
2026-09-22T22:22:15Z,adservice,27,263471104,1
2026-09-22T22:22:15Z,redis-cart,6,33325056,1
2026-09-22T22:22:15Z,__master_node__,2983,4064944128,1
2026-09-22T22:22:20Z,frontend,0,34119680,1
2026-09-22T22:22:20Z,cartservice,6,95117312,1
2026-09-22T22:22:20Z,checkoutservice,5,52236288,1
2026-09-22T22:22:20Z,productcatalogservice,4,35241984,1
2026-09-22T22:22:20Z,paymentservice,4,65519616,1
2026-09-22T22:22:20Z,recommendationservice,11,104226816,1
2026-09-22T22:22:20Z,shippingservice,7,37457920,1
2026-09-22T22:22:20Z,currencyservice,5,71614464,1
2026-09-22T22:22:20Z,emailservice,9,91439104,1
2026-09-22T22:22:20Z,adservice,27,263471104,1
2026-09-22T22:22:20Z,redis-cart,6,33325056,1
2026-09-22T22:22:20Z,__master_node__,2983,4064944128,1
2026-09-22T22:22:25Z,frontend,0,34119680,1
2026-09-22T22:22:25Z,cartservice,6,95154176,1
2026-09-22T22:22:25Z,checkoutservice,4,52236288,1
2026-09-22T22:22:25Z,productcatalogservice,4,35241984,1
2026-09-22T22:22:25Z,paymentservice,5,65540096,1
2026-09-22T22:22:25Z,recommendationservice,11,104226816,1
2026-09-22T22:22:25Z,shippingservice,7,37457920,1
2026-09-22T22:22:25Z,currencyservice,4,71626752,1
2026-09-22T22:22:25Z,emailservice,10,91439104,1
2026-09-22T22:22:25Z,adservice,22,263471104,1
2026-09-22T22:22:25Z,redis-cart,6,33325056,1
2026-09-22T22:22:25Z,__master_node__,4637,4056686592,1
2026-09-22T22:22:30Z,frontend,0,34119680,1
2026-09-22T22:22:30Z,cartservice,6,95154176,1
2026-09-22T22:22:30Z,checkoutservice,4,52236288,1
2026-09-22T22:22:30Z,productcatalogservice,4,35241984,1
2026-09-22T22:22:30Z,paymentservice,5,65540096,1
2026-09-22T22:22:30Z,recommendationservice,11,104226816,1
2026-09-22T22:22:30Z,shippingservice,7,37457920,1
2026-09-22T22:22:30Z,currencyservice,4,71643136,1
2026-09-22T22:22:30Z,emailservice,10,91439104,1
2026-09-22T22:22:30Z,adservice,22,263471104,1
2026-09-22T22:22:30Z,redis-cart,6,33325056,1
2026-09-22T22:22:30Z,__master_node__,4637,4056686592,1
2026-09-22T22:22:35Z,frontend,0,34119680,1
2026-09-22T22:22:35Z,cartservice,6,95154176,1
2026-09-22T22:22:35Z,checkoutservice,4,52269056,1
2026-09-22T22:22:35Z,productcatalogservice,4,35241984,1
2026-09-22T22:22:35Z,paymentservice,4,65576960,1
2026-09-22T22:22:35Z,recommendationservice,10,104226816,1
2026-09-22T22:22:35Z,shippingservice,7,37466112,1
2026-09-22T22:22:35Z,currencyservice,4,71655424,1
2026-09-22T22:22:35Z,emailservice,10,91439104,1
2026-09-22T22:22:35Z,adservice,26,263471104,1
2026-09-22T22:22:35Z,redis-cart,6,33325056,1
2026-09-22T22:22:35Z,__master_node__,3146,4042649600,1
2026-09-22T22:22:40Z,frontend,0,34119680,1
2026-09-22T22:22:40Z,cartservice,6,95154176,1
2026-09-22T22:22:40Z,checkoutservice,4,52269056,1
