RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,100.0,0
0.5,0.0,0.5,100.0,0
1.0,0.0,1.0,79.0,0
1.0,0.0,1.0,79.0,0
2.0,0.0,2.0,73.0,0
2.0,0.0,2.0,89.0,0
2.5,0.0,2.5,89.0,0
3.0,0.0,3.0,82.0,0
3.5,0.0,3.5,86.0,0
4.0,0.0,4.0,83.0,0
4.0,0.0,4.0,100.0,0
5.0,0.0,5.0,93.0,0
5.0,0.0,5.0,120.0,0
6.0,0.0,6.0,120.0,0
6.0,0.0,6.0,110.0,0
6.5,0.0,6.5,110.0,0
7.0,0.0,7.0,110.0,0
7.5,0.0,7.5,130.0,0
8.0,0.0,8.0,120.0,0
8.0,0.0,8.0,160.0,0
9.0,0.0,9.0,120.0,0
9.0,0.0,9.0,120.0,0
10.0,0.0,10.0,110.0,0
10.0,0.0,10.0,120.0,0
10.5,0.0,10.5,200.0,0
11.0,0.0,11.0,120.0,0
11.0,0.0,11.0,120.0,0
12.0,0.0,12.0,140.0,0
12.0,0.0,12.0,210.0,0
12.5,0.0,12.5,210.0,0
13.0,0.0,13.0,220.0,0
13.5,0.0,13.5,270.0,0
14.0,0.0,14.0,230.0,0
14.0,0.0,14.0,300.0,0
15.0,0.0,15.0,230.0,0
15.0,0.0,15.0,220.0,0
16.0,0.0,16.0,300.0,0
16.0,0.0,16.0,300.0,0
16.5,0.0,16.5,290.0,0
17.0,0.0,17.0,250.0,0
17.5,0.0,17.5,250.0,0
16.5,0.0,16.5,400.0,0
21.0,0.0,21.0,300.0,0
19.0,0.0,19.0,400.0,0
19.0,0.0,19.0,310.0,0
20.0,0.0,20.0,300.0,0
19.0,0.0,19.0,380.0,0
19.0,0.0,19.0,380.0,0
20.0,0.0,20.0,380.0,0
22.0,0.0,22.0,320.0,0
17.5,0.0,17.5,410.0,0
15.0,0.0,15.0,410.0,0
22.5,0.0,22.5,370.0,0
15.0,0.0,15.0,400.0,0
18.5,0.0,18.5,410.0,0
14.0,0.0,14.0,410.0,0
28.0,0.0,28.0,320.0,0
20.0,0.0,20.0,410.0,0
20.0,0.0,20.0,320.0,0
20.0,0.0,20.0,250.0,0
20.0,0.0,20.0,340.0,0
17.5,0.0,17.5,400.0,0
20.0,0.0,20.0,400.0,0
22.5,0.0,22.5,290.0,0
20.0,0.0,20.0,310.0,0
20.0,0.0,20.0,310.0,0
20.0,0.0,20.0,370.0,0
20.0,0.0,20.0,400.0,0
17.0,0.0,17.0,490.0,0
17.0,0.0,17.0,500.0,0
20.0,0.0,20.0,420.0,0
21.5,0.0,21.5,500.0,0
17.0,0.0,17.0,390.0,0
19.5,0.0,19.5,400.0,0
19.5,0.0,19.5,400.0,0
14.0,0.0,14.0,410.0,0
22.0,0.0,22.0,400.0,0
18.0,0.0,18.0,410.0,0
18.0,0.0,18.0,410.0,0
20.5,0.0,20.5,410.0,0
21.5,0.0,21.5,410.0,0
22.0,0.0,22.0,400.0,0
18.5,0.0,18.5,510.0,0
15.5,0.0,15.5,510.0,0
22.5,0.0,22.5,420.0,0
