RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
24.0,0.0,24.0,130.0,0
40.5,0.0,40.5,200.0,0
55.0,0.0,55.0,150.0,0
53.0,0.0,53.0,150.0,0
31.0,0.0,31.0,160.0,0
36.0,0.0,36.0,180.0,0
34.0,0.0,34.0,190.0,0
42.0,0.0,42.0,160.0,0
41.5,0.0,41.5,150.0,0
29.5,0.0,29.5,210.0,0
62.5,0.0,62.5,190.0,0
50.0,0.0,50.0,190.0,0
44.5,0.0,44.5,210.0,0
43.5,0.0,43.5,210.0,0
57.5,0.0,57.5,220.0,0
51.0,0.0,51.0,180.0,0
51.5,0.0,51.5,180.0,0
45.0,0.0,45.0,220.0,0
46.5,0.0,46.5,220.0,0
55.0,0.0,55.0,230.0,0
50.0,0.0,50.0,210.0,0
60.0,0.0,60.0,220.0,0
52.0,0.0,52.0,230.0,0
46.0,0.0,46.0,230.0,0
51.5,0.0,51.5,230.0,0
63.5,0.0,63.5,230.0,0
60.5,0.0,60.5,220.0,0
51.0,0.0,51.0,230.0,0
67.0,0.0,67.0,230.0,0
61.5,0.0,61.5,210.0,0
63.0,0.0,63.0,240.0,0
72.0,0.0,72.0,240.0,0
65.0,0.0,65.0,210.0,0
67.5,0.0,67.5,250.0,0
57.0,0.0,57.0,270.0,0
71.5,0.0,71.5,250.0,0
62.5,0.0,62.5,240.0,0
71.5,0.0,71.5,230.0,0
82.0,0.0,82.0,240.0,0
60.5,0.0,60.5,250.0,0
75.5,0.0,75.5,310.0,0
76.0,0.0,76.0,310.0,0
83.0,0.0,83.0,280.0,0
93.0,0.0,93.0,220.0,0
72.0,0.0,72.0,240.0,0
69.0,0.0,69.0,200.0,0
68.0,0.0,68.0,240.0,0
78.0,0.0,78.0,240.0,0
79.5,0.0,79.5,220.0,0
69.0,0.0,69.0,230.0,0
72.0,0.0,72.0,260.0,0
81.0,0.0,81.0,260.0,0
73.5,0.0,73.5,190.0,0
56.5,0.0,56.5,260.0,0
79.5,0.0,79.5,240.0,0
74.0,0.0,74.0,250.0,0
63.5,0.0,63.5,260.0,0
77.5,0.0,77.5,260.0,0
92.0,0.0,92.0,230.0,0
71.0,0.0,71.0,230.0,0
75.0,0.0,75.0,260.0,0
82.5,0.0,82.5,230.0,0
56.0,0.0,56.0,230.0,0
76.5,0.0,76.5,230.0,0
82.5,0.0,82.5,230.0,0
90.5,0.0,90.5,220.0,0
64.5,0.0,64.5,230.0,0
80.5,0.0,80.5,260.0,0
69.0,0.0,69.0,260.0,0
74.0,0.0,74.0,240.0,0
86.5,0.0,86.5,230.0,0
68.0,0.0,68.0,240.0,0
66.5,0.0,66.5,230.0,0
84.0,0.0,84.0,230.0,0
75.5,0.0,75.5,250.0,0
65.5,0.0,65.5,260.0,0
67.5,0.0,67.5,260.0,0
84.0,0.0,84.0,250.0,0
83.0,0.0,83.0,250.0,0
49.5,0.0,49.5,260.0,0
94.5,0.0,94.5,260.0,0
70.5,0.0,70.5,260.0,0
75.0,0.0,75.0,240.0,0
77.0,0.0,77.0,280.0,0
70.0,0.0,70.0,280.0,0
67.0,0.0,67.0,240.0,0
84.5,0.0,84.5,230.0,0
78.0,0.0,78.0,240.0,0
71.0,0.0,71.0,260.0,0
87.5,0.0,87.5,270.0,0
84.5,0.0,84.5,270.0,0
82.5,0.0,82.5,270.0,0
77.5,0.0,77.5,250.0,0
71.0,0.0,71.0,200.0,0
69.5,0.0,69.5,250.0,0
76.5,0.0,76.5,230.0,0
87.0,0.0,87.0,240.0,0
65.0,0.0,65.0,240.0,0
68.5,0.0,68.5,220.0,0
85.0,0.0,85.0,220.0,0
64.0,0.0,64.0,230.0,0
77.0,0.0,77.0,250.0,0
74.0,0.0,74.0,250.0,0
87.5,0.0,87.5,230.0,0
88.5,0.0,88.5,240.0,0
71.0,0.0,71.0,210.0,0
61.5,0.0,61.5,230.0,0
74.0,0.0,74.0,250.0,0
72.0,0.0,72.0,280.0,0
82.0,0.0,82.0,280.0,0
84.5,0.0,84.5,270.0,0
71.5,0.0,71.5,270.0,0
77.5,0.0,77.5,240.0,0
90.5,0.0,90.5,210.0,0
72.5,0.0,72.5,250.0,0
63.0,0.0,63.0,250.0,0
77.5,0.0,77.5,250.0,0
89.5,0.0,89.5,210.0,0
86.5,0.0,86.5,240.0,0
68.5,0.0,68.5,240.0,0
58.5,0.0,58.5,230.0,0
70.5,0.0,70.5,260.0,0
67.0,0.0,67.0,260.0,0
74.5,0.0,74.5,260.0,0
57.5,0.0,57.5,280.0,0
62.0,0.0,62.0,280.0,0
76.0,0.0,76.0,240.0,0
110.5,0.0,110.5,190.0,0
71.0,0.0,71.0,240.0,0
63.5,0.0,63.5,240.0,0
62.5,0.0,62.5,240.0,0
74.0,0.0,74.0,240.0,0
83.0,0.0,83.0,230.0,0
78.5,0.0,78.5,280.0,0
77.0,0.0,77.0,230.0,0
70.0,0.0,70.0,230.0,0
75.5,0.0,75.5,240.0,0
88.0,0.0,88.0,240.0,0
95.5,0.0,95.5,210.0,0
84.5,0.0,84.5,200.0,0
51.0,0.0,51.0,220.0,0
92.5,0.0,92.5,220.0,0
73.0,0.0,73.0,260.0,0
77.5,0.0,77.5,260.0,0
81.5,0.0,81.5,230.0,0
84.0,0.0,84.0,220.0,0
80.0,0.0,80.0,250.0,0
88.0,0.0,88.0,250.0,0
64.0,0.0,64.0,270.0,0
60.5,0.0,60.5,270.0,0
67.0,0.0,67.0,270.0,0
91.0,0.0,91.0,260.0,0
94.5,0.0,94.5,180.0,0
59.5,0.0,59.5,290.0,0
55.5,0.0,55.5,270.0,0
78.0,0.0,78.0,250.0,0
75.0,0.0,75.0,270.0,0
80.5,0.0,80.5,230.0,0
84.0,0.0,84.0,230.0,0
81.0,0.0,81.0,240.0,0
63.5,0.0,63.5,240.0,0
65.0,0.0,65.0,200.0,0
71.5,0.0,71.5,280.0,0
67.5,0.0,67.5,250.0,0
69.5,0.0,69.5,230.0,0
61.0,0.0,61.0,230.0,0
64.5,0.0,64.5,230.0,0
75.0,0.0,75.0,220.0,0
76.0,0.0,76.0,230.0,0
66.0,0.0,66.0,230.0,0
68.0,0.0,68.0,220.0,0
68.5,0.0,68.5,220.0,0
86.5,0.0,86.5,210.0,0
66.0,0.0,66.0,230.0,0
58.5,0.0,58.5,240.0,0
92.5,0.0,92.5,200.0,0
62.5,0.0,62.5,270.0,0
73.0,0.0,73.0,270.0,0
78.0,0.0,78.0,260.0,0
81.5,0.0,81.5,260.0,0
72.5,0.0,72.5,290.0,0
81.5,0.0,81.5,290.0,0
58.5,0.0,58.5,260.0,0
80.5,0.0,80.5,250.0,0
73.0,0.0,73.0,250.0,0
78.0,0.0,78.0,250.0,0
77.0,0.0,77.0,240.0,0
90.5,0.0,90.5,200.0,0
78.0,0.0,78.0,250.0,0
72.5,0.0,72.5,230.0,0
81.5,0.0,81.5,250.0,0
54.5,0.0,54.5,250.0,0
80.5,0.0,80.5,230.0,0
79.0,0.0,79.0,230.0,0
66.0,0.0,66.0,240.0,0
83.5,0.0,83.5,240.0,0
80.5,0.0,80.5,250.0,0
85.5,0.0,85.5,240.0,0
76.0,0.0,76.0,230.0,0
83.0,0.0,83.0,230.0,0
71.5,0.0,71.5,220.0,0
73.0,0.0,73.0,220.0,0
85.0,0.0,85.0,240.0,0
74.0,0.0,74.0,270.0,0
83.0,0.0,83.0,210.0,0
69.0,0.0,69.0,200.0,0
67.5,0.0,67.5,210.0,0
71.5,0.0,71.5,220.0,0
67.5,0.0,67.5,240.0,0
76.5,0.0,76.5,240.0,0
75.0,0.0,75.0,210.0,0
75.0,0.0,75.0,230.0,0
84.5,0.0,84.5,230.0,0
101.5,0.0,101.5,210.0,0
59.5,0.0,59.5,240.0,0
57.5,0.0,57.5,240.0,0
