RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
1.0,0.0,1.0,410.0,0
62.5,0.0,62.5,470.0,0
71.5,0.0,71.5,450.0,0
68.5,0.0,68.5,510.0,0
77.0,0.0,77.0,600.0,0
83.0,0.0,83.0,470.0,0
89.0,0.0,89.0,640.0,0
88.5,0.0,88.5,530.0,0
86.0,0.0,86.0,540.0,0
85.5,0.0,85.5,520.0,0
88.0,0.0,88.0,550.0,0
91.0,0.0,91.0,540.0,0
88.5,0.0,88.5,570.0,0
90.5,0.0,90.5,680.0,0
94.5,0.0,94.5,620.0,0
99.0,0.0,99.0,640.0,0
106.5,0.0,106.5,670.0,0
102.0,0.0,102.0,550.0,0
103.0,0.0,103.0,600.0,0
104.0,0.0,104.0,650.0,0
104.5,0.0,104.5,680.0,0
107.0,0.0,107.0,660.0,0
111.5,0.0,111.5,590.0,0
114.5,0.0,114.5,630.0,0
116.0,0.0,116.0,720.0,0
135.0,0.0,135.0,660.0,0
124.5,0.0,124.5,640.0,0
121.0,0.0,121.0,670.0,0
127.5,0.0,127.5,690.0,0
127.0,0.0,127.0,720.0,0
131.5,0.0,131.5,660.0,0
125.5,0.0,125.5,640.0,0
135.0,0.0,135.0,720.0,0
129.0,0.0,129.0,700.0,0
118.0,0.0,118.0,700.0,0
126.0,0.0,126.0,740.0,0
142.5,0.0,142.5,830.0,0
136.0,0.0,136.0,790.0,0
139.0,0.0,139.0,720.0,0
142.0,0.0,142.0,770.0,0
143.5,0.0,143.5,760.0,0
136.0,0.0,136.0,710.0,0
151.0,0.0,151.0,740.0,0
158.0,0.0,158.0,810.0,0
155.5,0.0,155.5,820.0,0
149.5,0.0,149.5,750.0,0
150.0,0.0,150.0,850.0,0
162.0,0.0,162.0,750.0,0
147.0,0.0,147.0,780.0,0
142.0,0.0,142.0,780.0,0
148.0,0.0,148.0,790.0,0
155.5,0.0,155.5,750.0,0
148.5,0.0,148.5,810.0,0
147.5,0.0,147.5,710.0,0
147.0,0.0,147.0,710.0,0
153.0,0.0,153.0,930.0,0
160.0,0.0,160.0,770.0,0
157.5,0.0,157.5,750.0,0
154.5,0.0,154.5,720.0,0
146.0,0.0,146.0,700.0,0
143.5,0.0,143.5,750.0,0
147.5,0.0,147.5,780.0,0
145.0,0.0,145.0,720.0,0
144.0,0.0,144.0,780.0,0
144.0,0.0,144.0,810.0,0
144.0,0.0,144.0,780.0,0
144.5,0.0,144.5,820.0,0
150.0,0.0,150.0,720.0,0
155.0,0.0,155.0,840.0,0
161.5,0.0,161.5,740.0,0
151.0,0.0,151.0,750.0,0
153.0,0.0,153.0,820.0,0
146.5,0.0,146.5,790.0,0
159.5,0.0,159.5,800.0,0
148.5,0.0,148.5,770.0,0
153.0,0.0,153.0,860.0,0
156.0,0.0,156.0,870.0,0
144.0,0.0,144.0,890.0,0
141.0,0.0,141.0,840.0,0
149.5,0.0,149.5,840.0,0
142.0,0.0,142.0,780.0,0
148.0,0.0,148.0,820.0,0
153.5,0.0,153.5,790.0,0
151.5,0.0,151.5,750.0,0
156.0,0.0,156.0,810.0,0
156.0,0.0,156.0,790.0,0
154.0,0.0,154.0,750.0,0
144.0,0.0,144.0,860.0,0
148.5,0.0,148.5,780.0,0
146.0,0.0,146.0,850.0,0
152.5,0.0,152.5,820.0,0
153.5,0.0,153.5,790.0,0
150.0,0.0,150.0,730.0,0
168.0,0.0,168.0,770.0,0
155.5,0.0,155.5,710.0,0
147.0,0.0,147.0,770.0,0
145.5,0.0,145.5,750.0,0
144.0,0.0,144.0,760.0,0
149.5,0.0,149.5,810.0,0
150.0,0.0,150.0,770.0,0
161.5,0.0,161.5,720.0,0
156.5,0.0,156.5,790.0,0
145.0,0.0,145.0,740.0,0
147.5,0.0,147.5,740.0,0
144.5,0.0,144.5,770.0,0
148.5,0.0,148.5,820.0,0
152.0,0.0,152.0,760.0,0
141.0,0.0,141.0,830.0,0
153.5,0.0,153.5,840.0,0
156.5,0.0,156.5,830.0,0
154.5,0.0,154.5,820.0,0
146.5,0.0,146.5,790.0,0
145.0,0.0,145.0,900.0,0
157.0,0.0,157.0,880.0,0
153.5,0.0,153.5,730.0,0
137.0,0.0,137.0,730.0,0
138.0,0.0,138.0,740.0,0
140.0,0.0,140.0,760.0,0
144.5,0.0,144.5,780.0,0
147.0,0.0,147.0,780.0,0
149.5,0.0,149.5,720.0,0
135.0,0.0,135.0,790.0,0
150.0,0.0,150.0,800.0,0
152.5,0.0,152.5,770.0,0
160.5,1.0,159.5,1000.0,0
156.5,2.0,154.5,860.0,0
149.0,1.0,148.0,810.0,0
158.5,0.0,158.5,770.0,0
140.0,0.0,140.0,680.0,0
139.5,0.0,139.5,740.0,0
148.5,0.0,148.5,750.0,0
153.5,0.0,153.5,820.0,0
151.5,0.0,151.5,750.0,0
146.5,0.0,146.5,780.0,0
145.0,0.0,145.0,800.0,0
153.0,0.0,153.0,710.0,0
151.5,0.0,151.5,760.0,0
142.5,0.0,142.5,760.0,0
143.5,0.0,143.5,730.0,0
147.5,0.0,147.5,750.0,0
150.5,0.0,150.5,780.0,0
156.0,0.0,156.0,750.0,0
140.5,0.0,140.5,860.0,0
136.5,0.0,136.5,730.0,0
141.0,0.0,141.0,760.0,0
141.0,0.0,141.0,740.0,0
141.0,0.0,141.0,770.0,0
150.0,0.0,150.0,780.0,0
146.0,0.0,146.0,860.0,0
155.5,0.0,155.5,830.0,0
151.5,0.0,151.5,850.0,0
147.5,0.0,147.5,840.0,0
148.5,0.0,148.5,790.0,0
158.5,0.0,158.5,920.0,0
157.5,1.0,156.5,1000.0,0
143.0,1.0,142.0,770.0,0
153.0,0.0,153.0,700.0,0
158.0,0.0,158.0,760.0,0
153.0,0.0,153.0,720.0,0
145.0,0.0,145.0,790.0,0
150.0,0.0,150.0,870.0,0
145.5,0.0,145.5,810.0,0
167.0,0.0,167.0,810.0,0
160.0,0.0,160.0,870.0,0
153.0,0.0,153.0,740.0,0
151.0,0.0,151.0,810.0,0
161.5,0.0,161.5,900.0,0
162.0,0.0,162.0,930.0,0
148.0,1.0,147.0,890.0,0
153.5,0.0,153.5,720.0,0
154.0,0.0,154.0,840.0,0
160.5,0.0,160.5,810.0,0
157.5,0.0,157.5,740.0,0
145.0,0.0,145.0,770.0,0
138.5,0.0,138.5,770.0,0
168.5,0.0,168.5,750.0,0
