RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
20.0,0.0,20.0,390.0,0
41.5,0.0,41.5,430.0,0
50.5,0.0,50.5,420.0,0
55.5,0.0,55.5,460.0,0
53.5,0.0,53.5,580.0,0
62.5,0.0,62.5,420.0,0
63.0,0.0,63.0,510.0,0
54.5,0.0,54.5,430.0,0
56.0,0.0,56.0,430.0,0
60.0,0.0,60.0,480.0,0
64.0,0.0,64.0,380.0,0
70.5,0.0,70.5,430.0,0
61.5,0.0,61.5,500.0,0
58.5,0.0,58.5,620.0,0
67.0,0.0,67.0,570.0,0
62.5,0.0,62.5,480.0,0
70.0,0.0,70.0,490.0,0
76.5,0.0,76.5,460.0,0
71.5,0.0,71.5,490.0,0
69.0,0.0,69.0,500.0,0
73.5,0.0,73.5,560.0,0
75.5,0.0,75.5,600.0,0
81.0,0.0,81.0,500.0,0
76.0,0.0,76.0,500.0,0
72.5,0.0,72.5,510.0,0
88.5,0.0,88.5,400.0,0
78.5,0.0,78.5,490.0,0
82.0,0.0,82.0,560.0,0
80.0,0.0,80.0,590.0,0
83.5,0.0,83.5,600.0,0
87.5,0.0,87.5,540.0,0
83.0,0.0,83.0,470.0,0
80.0,0.0,80.0,540.0,0
89.0,0.0,89.0,750.0,0
85.5,0.0,85.5,510.0,0
93.0,0.0,93.0,610.0,0
76.5,0.0,76.5,570.0,0
100.5,0.0,100.5,700.0,0
81.5,0.0,81.5,710.0,0
90.0,0.0,90.0,820.0,0
117.0,0.0,117.0,530.0,0
95.5,0.0,95.5,480.0,0
98.5,0.0,98.5,510.0,0
106.5,0.0,106.5,520.0,0
99.0,0.0,99.0,600.0,0
101.0,0.0,101.0,730.0,0
91.0,0.0,91.0,490.0,0
83.0,0.0,83.0,590.0,0
117.0,0.0,117.0,670.0,0
97.5,0.0,97.5,640.0,0
103.0,0.0,103.0,620.0,0
102.0,0.0,102.0,580.0,0
100.5,0.0,100.5,640.0,0
98.0,0.0,98.0,530.0,0
99.0,0.0,99.0,550.0,0
89.5,0.0,89.5,640.0,0
82.5,0.0,82.5,640.0,0
121.0,0.0,121.0,570.0,0
100.5,0.0,100.5,560.0,0
105.0,0.0,105.0,550.0,0
92.0,0.0,92.0,550.0,0
105.5,0.0,105.5,640.0,0
99.0,0.0,99.0,610.0,0
90.0,0.0,90.0,750.0,0
90.5,0.0,90.5,750.0,0
113.0,0.0,113.0,670.0,0
93.5,0.0,93.5,700.0,0
97.0,0.0,97.0,540.0,0
94.0,0.0,94.0,540.0,0
85.0,0.0,85.0,540.0,0
108.5,0.0,108.5,580.0,0
96.0,0.0,96.0,580.0,0
86.5,0.0,86.5,720.0,0
100.0,0.0,100.0,710.0,0
106.0,0.0,106.0,480.0,0
111.5,0.0,111.5,580.0,0
93.5,0.0,93.5,690.0,0
86.0,0.0,86.0,690.0,0
106.0,0.0,106.0,690.0,0
110.5,0.0,110.5,570.0,0
92.5,0.0,92.5,620.0,0
80.0,0.0,80.0,590.0,0
130.0,0.0,130.0,510.0,0
97.0,0.0,97.0,620.0,0
93.0,0.0,93.0,620.0,0
100.0,0.0,100.0,580.0,0
98.0,0.0,98.0,520.0,0
95.0,0.0,95.0,670.0,0
94.5,0.0,94.5,640.0,0
99.0,0.0,99.0,680.0,0
86.5,0.0,86.5,680.0,0
116.0,0.0,116.0,530.0,0
97.5,0.0,97.5,530.0,0
100.0,0.0,100.0,780.0,0
94.0,0.0,94.0,450.0,0
94.0,0.0,94.0,490.0,0
108.0,0.0,108.0,490.0,0
99.5,0.0,99.5,650.0,0
100.5,0.0,100.5,650.0,0
101.0,0.0,101.0,580.0,0
96.5,0.0,96.5,440.0,0
94.5,0.0,94.5,500.0,0
99.0,0.0,99.0,480.0,0
