timestamp,target_service,upstream_rq_total,upstream_rq_retry,upstream_rq_retry_success,upstream_rq_retry_limit_exceeded
2026-09-05T17:28:12Z,cartservice,4485859,0,0,0
2026-09-05T17:28:12Z,productcatalogservice,18011906,0,0,0
2026-09-05T17:28:12Z,checkoutservice,120945,398,12,172
2026-09-05T17:28:17Z,cartservice,4485859,0,0,0
2026-09-05T17:28:17Z,productcatalogservice,18011906,0,0,0
2026-09-05T17:28:17Z,checkoutservice,120945,398,12,172
2026-09-05T17:28:22Z,cartservice,4485859,0,0,0
2026-09-05T17:28:22Z,productcatalogservice,18011906,0,0,0
2026-09-05T17:28:22Z,checkoutservice,120945,398,12,172
2026-09-05T17:28:28Z,cartservice,4485859,0,0,0
2026-09-05T17:28:28Z,productcatalogservice,18011906,0,0,0
2026-09-05T17:28:28Z,checkoutservice,120945,398,12,172
2026-09-05T17:28:33Z,cartservice,4485859,0,0,0
2026-09-05T17:28:33Z,productcatalogservice,18011906,0,0,0
2026-09-05T17:28:33Z,checkoutservice,120945,398,12,172
2026-09-05T17:28:39Z,cartservice,4485859,0,0,0
2026-09-05T17:28:39Z,productcatalogservice,18011906,0,0,0
2026-09-05T17:28:39Z,checkoutservice,120945,398,12,172
2026-09-05T17:28:44Z,cartservice,4485859,0,0,0
2026-09-05T17:28:44Z,productcatalogservice,18011906,0,0,0
2026-09-05T17:28:44Z,checkoutservice,120945,398,12,172
2026-09-05T17:28:49Z,cartservice,4485859,0,0,0
2026-09-05T17:28:49Z,productcatalogservice,18011906,0,0,0
2026-09-05T17:28:49Z,checkoutservice,120945,398,12,172
2026-09-05T17:28:55Z,cartservice,4485859,0,0,0
2026-09-05T17:28:55Z,productcatalogservice,18011906,0,0,0
2026-09-05T17:28:55Z,checkoutservice,120945,398,12,172
2026-09-05T17:29:00Z,cartservice,4485859,0,0,0
2026-09-05T17:29:00Z,productcatalogservice,18011906,0,0,0
2026-09-05T17:29:00Z,checkoutservice,120945,398,12,172
2026-09-05T17:29:05Z,cartservice,4485859,0,0,0
2026-09-05T17:29:05Z,productcatalogservice,18011906,0,0,0
2026-09-05T17:29:05Z,checkoutservice,120945,398,12,172
2026-09-05T17:29:11Z,cartservice,4485859,0,0,0
2026-09-05T17:29:11Z,productcatalogservice,18011906,0,0,0
2026-09-05T17:29:11Z,checkoutservice,120945,398,12,172
2026-09-05T17:29:16Z,cartservice,4485859,0,0,0
2026-09-05T17:29:16Z,productcatalogservice,18011906,0,0,0
2026-09-05T17:29:16Z,checkoutservice,120945,398,12,172
2026-09-05T17:29:21Z,cartservice,4485859,0,0,0
2026-09-05T17:29:21Z,productcatalogservice,18011906,0,0,0
2026-09-05T17:29:21Z,checkoutservice,120945,398,12,172
2026-09-05T17:29:27Z,cartservice,4487069,0,0,0
2026-09-05T17:29:27Z,productcatalogservice,18016371,0,0,0
2026-09-05T17:29:27Z,checkoutservice,120985,398,12,172
2026-09-05T17:29:32Z,cartservice,4488229,0,0,0
2026-09-05T17:29:32Z,productcatalogservice,18021342,0,0,0
2026-09-05T17:29:32Z,checkoutservice,121031,398,12,172
2026-09-05T17:29:38Z,cartservice,4489699,0,0,0
2026-09-05T17:29:38Z,productcatalogservice,18026714,0,0,0
2026-09-05T17:29:38Z,checkoutservice,121076,398,12,172
2026-09-05T17:29:43Z,cartservice,4491133,0,0,0
2026-09-05T17:29:43Z,productcatalogservice,18033084,0,0,0
2026-09-05T17:29:43Z,checkoutservice,121118,398,12,172
2026-09-05T17:29:48Z,cartservice,4492640,0,0,0
2026-09-05T17:29:48Z,productcatalogservice,18039433,0,0,0
2026-09-05T17:29:48Z,checkoutservice,121171,398,12,172
2026-09-05T17:29:54Z,cartservice,4494521,0,0,0
2026-09-05T17:29:54Z,productcatalogservice,18046300,0,0,0
2026-09-05T17:29:54Z,checkoutservice,121213,398,12,172
2026-09-05T17:29:59Z,cartservice,4496221,0,0,0
2026-09-05T17:29:59Z,productcatalogservice,18053787,0,0,0
2026-09-05T17:29:59Z,checkoutservice,121262,398,12,172
2026-09-05T17:30:05Z,cartservice,4498255,0,0,0
2026-09-05T17:30:05Z,productcatalogservice,18061566,0,0,0
2026-09-05T17:30:05Z,checkoutservice,121308,398,12,172
2026-09-05T17:30:10Z,cartservice,4500313,0,0,0
2026-09-05T17:30:10Z,productcatalogservice,18069917,0,0,0
2026-09-05T17:30:10Z,checkoutservice,121349,398,12,172
2026-09-05T17:30:15Z,cartservice,4502359,0,0,0
2026-09-05T17:30:15Z,productcatalogservice,18078772,0,0,0
2026-09-05T17:30:15Z,checkoutservice,121401,398,12,172
2026-09-05T17:30:21Z,cartservice,4504709,0,0,0
2026-09-05T17:30:21Z,productcatalogservice,18087404,0,0,0
2026-09-05T17:30:21Z,checkoutservice,121447,398,12,172
2026-09-05T17:30:26Z,cartservice,4506710,0,0,0
2026-09-05T17:30:26Z,productcatalogservice,18096290,0,0,0
2026-09-05T17:30:26Z,checkoutservice,121494,398,12,172
2026-09-05T17:30:31Z,cartservice,4509061,0,0,0
2026-09-05T17:30:31Z,productcatalogservice,18104727,0,0,0
2026-09-05T17:30:31Z,checkoutservice,121539,398,12,172
2026-09-05T17:30:37Z,cartservice,4511109,0,0,0
2026-09-05T17:30:37Z,productcatalogservice,18113572,0,0,0
2026-09-05T17:30:37Z,checkoutservice,121586,398,12,172
2026-09-05T17:30:42Z,cartservice,4513164,0,0,0
2026-09-05T17:30:42Z,productcatalogservice,18122280,0,0,0
2026-09-05T17:30:42Z,checkoutservice,121638,398,12,172
2026-09-05T17:30:48Z,cartservice,4515509,0,0,0
2026-09-05T17:30:48Z,productcatalogservice,18130858,0,0,0
2026-09-05T17:30:48Z,checkoutservice,121687,398,12,172
2026-09-05T17:30:53Z,cartservice,4517512,0,0,0
2026-09-05T17:30:53Z,productcatalogservice,18139534,0,0,0
2026-09-05T17:30:53Z,checkoutservice,121726,398,12,172
2026-09-05T17:30:59Z,cartservice,4519884,0,0,0
2026-09-05T17:30:59Z,productcatalogservice,18148084,0,0,0
2026-09-05T17:30:59Z,checkoutservice,121777,398,12,172
2026-09-05T17:31:04Z,cartservice,4521909,0,0,0
2026-09-05T17:31:04Z,productcatalogservice,18157044,0,0,0
2026-09-05T17:31:04Z,checkoutservice,121824,398,12,172
2026-09-05T17:31:09Z,cartservice,4524019,0,0,0
2026-09-05T17:31:09Z,productcatalogservice,18165481,0,0,0
