RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
35.0,0.0,35.0,248.0,0.0
144.0,0.0,144.0,280.0,0.0
197.5,0.0,197.5,278.0,0.0
200.0,0.0,200.0,270.0,0.0
173.0,0.0,173.0,318.0,0.0
239.5,0.0,239.5,268.0,0.0
216.0,0.0,216.0,256.0,0.0
232.0,0.0,232.0,288.0,0.0
218.0,0.0,218.0,288.0,0.0
233.0,0.0,233.0,296.0,0.0
200.0,0.0,200.0,280.0,0.0
251.5,0.0,251.5,324.0,0.0
221.0,0.0,221.0,332.0,0.0
268.5,0.0,268.5,322.0,0.0
285.5,0.0,285.5,298.0,0.0
275.5,0.0,275.5,314.0,0.0
265.5,0.0,265.5,322.0,0.0
240.5,0.0,240.5,344.0,0.0
336.5,0.0,336.5,312.0,0.0
317.0,0.0,317.0,324.0,0.0
284.0,0.0,284.0,306.0,0.0
284.5,0.0,284.5,350.0,0.0
315.0,0.0,315.0,290.0,0.0
317.0,0.0,317.0,322.0,0.0
293.0,0.0,293.0,346.0,0.0
343.5,0.0,343.5,332.0,0.0
317.0,0.0,317.0,372.0,0.0
328.5,0.0,328.5,366.0,0.0
317.0,0.0,317.0,342.0,0.0
324.0,0.0,324.0,388.0,0.0
348.0,0.0,348.0,396.0,0.0
367.0,0.0,367.0,392.0,0.0
407.5,0.0,407.5,352.0,0.0
306.0,0.0,306.0,404.0,0.0
388.0,0.0,388.0,366.0,0.0
401.0,0.0,401.0,398.0,0.0
373.5,0.0,373.5,384.0,0.0
361.5,0.0,361.5,398.0,0.0
397.0,0.0,397.0,400.0,0.0
407.5,0.0,407.5,390.0,0.0
424.5,0.0,424.5,354.0,0.0
423.0,0.0,423.0,388.0,0.0
429.0,0.0,429.0,396.0,0.0
386.0,0.0,386.0,380.0,0.0
394.5,0.0,394.5,388.0,0.0
406.5,0.0,406.5,368.0,0.0
397.0,0.0,397.0,378.0,0.0
417.0,0.0,417.0,402.0,0.0
404.0,0.0,404.0,408.0,0.0
416.0,0.0,416.0,370.0,0.0
382.0,0.0,382.0,430.0,0.0
419.0,0.0,419.0,396.0,0.0
404.0,0.0,404.0,390.0,0.0
414.0,0.0,414.0,378.0,0.0
415.0,0.0,415.0,356.0,0.0
401.5,0.0,401.5,388.0,0.0
410.0,0.0,410.0,360.0,0.0
422.0,0.0,422.0,366.0,0.0
414.0,0.0,414.0,394.0,0.0
388.0,0.0,388.0,414.0,0.0
392.5,0.0,392.5,372.0,0.0
434.0,0.0,434.0,368.0,0.0
391.5,0.0,391.5,348.0,0.0
393.0,0.0,393.0,372.0,0.0
379.5,0.0,379.5,394.0,0.0
419.5,0.0,419.5,384.0,0.0
409.0,0.0,409.0,392.0,0.0
411.0,0.0,411.0,378.0,0.0
433.5,0.0,433.5,340.0,0.0
401.5,0.0,401.5,374.0,0.0
395.5,0.0,395.5,382.0,0.0
413.0,0.0,413.0,370.0,0.0
422.5,0.0,422.5,410.0,0.0
402.5,0.0,402.5,368.0,0.0
431.0,0.0,431.0,362.0,0.0
421.0,0.0,421.0,334.0,0.0
388.0,0.0,388.0,332.0,0.0
411.0,0.0,411.0,384.0,0.0
401.0,0.0,401.0,398.0,0.0
413.5,0.0,413.5,384.0,0.0
416.5,0.0,416.5,418.0,0.0
406.0,0.0,406.0,386.0,0.0
404.0,0.0,404.0,412.0,0.0
410.5,0.0,410.5,420.0,0.0
417.5,0.0,417.5,402.0,0.0
427.5,0.0,427.5,368.0,0.0
397.0,0.0,397.0,354.0,0.0
372.5,0.0,372.5,378.0,0.0
418.5,0.0,418.5,366.0,0.0
398.0,0.0,398.0,400.0,0.0
399.5,0.0,399.5,398.0,0.0
411.5,0.0,411.5,392.0,0.0
395.0,0.0,395.0,360.0,0.0
407.0,0.0,407.0,390.0,0.0
408.5,0.0,408.5,414.0,0.0
390.0,0.0,390.0,374.0,0.0
390.5,0.0,390.5,368.0,0.0
438.0,0.0,438.0,364.0,0.0
380.0,0.0,380.0,374.0,0.0
399.0,0.0,399.0,398.0,0.0
430.0,0.0,430.0,410.0,0.0
422.0,0.0,422.0,408.0,0.0
407.5,0.0,407.5,384.0,0.0
417.0,0.0,417.0,368.0,0.0
404.0,0.0,404.0,364.0,0.0
401.0,0.0,401.0,360.0,0.0
419.0,0.0,419.0,388.0,0.0
394.0,0.0,394.0,388.0,0.0
417.0,0.0,417.0,366.0,0.0
415.0,0.0,415.0,326.0,0.0
420.0,0.0,420.0,386.0,0.0
405.0,0.0,405.0,382.0,0.0
440.5,0.0,440.5,374.0,0.0
398.0,0.0,398.0,386.0,0.0
397.0,0.0,397.0,372.0,0.0
397.5,0.0,397.5,380.0,0.0
402.5,0.0,402.5,356.0,0.0
390.5,0.0,390.5,366.0,0.0
424.5,0.0,424.5,380.0,0.0
401.0,0.0,401.0,378.0,0.0
405.5,0.0,405.5,388.0,0.0
372.0,0.0,372.0,422.0,0.0
427.0,0.0,427.0,370.0,0.0
380.5,0.0,380.5,374.0,0.0
413.5,0.0,413.5,434.0,0.0
419.5,0.0,419.5,412.0,0.0
425.0,0.0,425.0,358.0,0.0
382.0,0.0,382.0,364.0,0.0
428.5,0.0,428.5,382.0,0.0
389.5,0.0,389.5,382.0,0.0
396.5,0.0,396.5,404.0,0.0
389.5,0.0,389.5,424.0,0.0
419.5,0.0,419.5,448.0,0.0
412.0,0.0,412.0,374.0,0.0
407.5,0.0,407.5,366.0,0.0
413.5,0.0,413.5,382.0,0.0
421.5,0.0,421.5,390.0,0.0
376.5,0.0,376.5,418.0,0.0
432.5,0.0,432.5,374.0,0.0
420.0,0.0,420.0,378.0,0.0
387.0,0.0,387.0,446.0,0.0
408.5,0.0,408.5,430.0,0.0
419.5,0.0,419.5,396.0,0.0
414.0,0.0,414.0,372.0,0.0
404.0,0.0,404.0,418.0,0.0
391.0,0.0,391.0,416.0,0.0
413.0,0.0,413.0,432.0,0.0
396.0,0.0,396.0,348.0,0.0
417.5,0.5,417.0,412.0,0.0
400.5,0.5,400.0,400.0,0.0
413.0,2.0,411.0,390.0,0.0
417.0,2.5,414.5,422.0,0.0
422.0,15.0,407.0,388.0,0.0
422.5,5.5,417.0,364.0,0.0
410.0,5.5,404.5,376.0,0.0
390.0,6.5,383.5,376.0,0.0
403.0,1.0,402.0,412.0,0.0
422.0,0.0,422.0,400.0,0.0
396.0,0.0,396.0,442.0,0.0
407.0,0.0,407.0,390.0,0.0
420.5,0.0,420.5,422.0,0.0
409.5,0.0,409.5,400.0,0.0
409.0,0.0,409.0,408.0,0.0
414.5,0.0,414.5,378.0,0.0
406.5,0.0,406.5,368.0,0.0
396.0,0.0,396.0,418.0,0.0
397.0,0.0,397.0,400.0,0.0
427.5,0.0,427.5,410.0,0.0
419.5,0.0,419.5,396.0,0.0
377.0,0.0,377.0,392.0,0.0
420.0,0.0,420.0,372.0,0.0
417.0,0.0,417.0,388.0,0.0
382.5,0.0,382.5,388.0,0.0
389.0,0.0,389.0,386.0,0.0
435.5,0.0,435.5,378.0,0.0
408.5,0.0,408.5,412.0,0.0
409.5,0.0,409.5,390.0,0.0
419.5,0.0,419.5,382.0,0.0
397.0,0.0,397.0,414.0,0.0
407.5,0.0,407.5,430.0,0.0
400.5,0.0,400.5,390.0,0.0
433.5,0.0,433.5,348.0,0.0
385.0,0.0,385.0,396.0,0.0
405.0,0.0,405.0,394.0,0.0
414.0,0.0,414.0,376.0,0.0
400.0,0.0,400.0,388.0,0.0
429.0,0.0,429.0,408.0,0.0
400.0,0.0,400.0,352.0,0.0
414.0,0.0,414.0,376.0,0.0
404.0,0.0,404.0,408.0,0.0
418.5,0.0,418.5,420.0,0.0
390.0,0.0,390.0,412.0,0.0
436.0,0.0,436.0,398.0,0.0
386.5,0.0,386.5,382.0,0.0
403.5,0.0,403.5,410.0,0.0
394.0,0.0,394.0,422.0,0.0
427.0,0.0,427.0,416.0,0.0
409.0,0.0,409.0,392.0,0.0
404.5,0.0,404.5,394.0,0.0
410.0,0.0,410.0,414.0,0.0
419.5,0.0,419.5,386.0,0.0
386.0,0.0,386.0,452.0,0.0
415.5,0.0,415.5,388.0,0.0
408.5,0.0,408.5,408.0,0.0
407.5,0.0,407.5,408.0,0.0
405.0,0.0,405.0,388.0,0.0
395.5,0.0,395.5,392.0,0.0
412.5,0.0,412.5,436.0,0.0
401.0,0.0,401.0,472.0,0.0
410.0,0.0,410.0,420.0,0.0
387.5,0.0,387.5,400.0,0.0
433.5,0.0,433.5,404.0,0.0
403.5,0.0,403.5,430.0,0.0
414.0,0.0,414.0,392.0,0.0
414.0,0.0,414.0,400.0,0.0
380.0,0.0,380.0,406.0,0.0
410.0,0.0,410.0,444.0,0.0
422.5,0.0,422.5,360.0,0.0
407.5,0.0,407.5,384.0,0.0
438.0,0.0,438.0,390.0,0.0
398.5,0.0,398.5,390.0,0.0
401.0,0.0,401.0,398.0,0.0
395.0,0.0,395.0,424.0,0.0
397.0,0.0,397.0,380.0,0.0
425.0,0.0,425.0,428.0,0.0
411.0,0.0,411.0,434.0,0.0
417.5,0.0,417.5,436.0,0.0
376.5,0.0,376.5,400.0,0.0
427.0,0.0,427.0,364.0,0.0
432.0,0.0,432.0,382.0,0.0
380.0,0.0,380.0,418.0,0.0
334.0,0.0,334.0,380.0,0.0
440.0,0.0,440.0,394.0,0.0
413.0,0.0,413.0,394.0,0.0
396.5,0.0,396.5,382.0,0.0
399.0,0.0,399.0,374.0,0.0
420.5,0.0,420.5,382.0,0.0
405.5,0.0,405.5,394.0,0.0
404.5,0.0,404.5,406.0,0.0
408.5,0.0,408.5,394.0,0.0
414.5,0.0,414.5,372.0,0.0
423.0,0.0,423.0,368.0,0.0
395.0,0.0,395.0,400.0,0.0
397.5,0.0,397.5,400.0,0.0
402.5,0.0,402.5,454.0,0.0
405.5,0.0,405.5,430.0,0.0
419.0,0.0,419.0,414.0,0.0
410.5,0.0,410.5,362.0,0.0
408.0,0.0,408.0,398.0,0.0
413.5,0.0,413.5,390.0,0.0
409.5,0.0,409.5,428.0,0.0
398.0,0.0,398.0,428.0,0.0
393.0,0.0,393.0,404.0,0.0
413.5,0.0,413.5,382.0,0.0
399.5,0.0,399.5,398.0,0.0
412.0,0.0,412.0,432.0,0.0
407.0,0.0,407.0,406.0,0.0
417.5,0.0,417.5,386.0,0.0
393.0,0.0,393.0,414.0,0.0
380.0,0.0,380.0,432.0,0.0
