RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,790.0,0
42.5,0.0,42.5,790.0,0
65.5,0.0,65.5,600.0,0
132.0,0.0,132.0,410.0,0
72.5,0.0,72.5,400.0,0
77.0,0.0,77.0,380.0,0
84.5,0.0,84.5,380.0,0
80.0,0.0,80.0,400.0,0
82.0,0.0,82.0,390.0,0
87.5,0.0,87.5,400.0,0
90.0,0.0,90.0,430.0,0
91.5,0.0,91.5,420.0,0
78.0,0.0,78.0,390.0,0
81.5,0.0,81.5,410.0,0
77.5,0.0,77.5,380.0,0
79.0,0.0,79.0,350.0,0
75.5,0.0,75.5,470.0,0
88.0,0.0,88.0,440.0,0
85.5,0.0,85.5,410.0,0
86.0,0.0,86.0,420.0,0
87.5,0.0,87.5,370.0,0
86.0,0.0,86.0,400.0,0
79.5,0.0,79.5,420.0,0
82.5,0.0,82.5,390.0,0
112.0,0.0,112.0,430.0,0
99.5,0.0,99.5,400.0,0
88.5,0.0,88.5,340.0,0
99.0,0.0,99.0,520.0,0
98.5,0.0,98.5,270.0,0
97.5,0.0,97.5,280.0,0
108.5,0.0,108.5,440.0,0
114.5,0.0,114.5,310.0,0
102.0,0.0,102.0,370.0,0
98.0,2.0,96.0,460.0,0
100.0,0.0,100.0,270.0,0
94.5,0.0,94.5,400.0,0
96.5,0.0,96.5,470.0,0
105.0,5.5,99.5,400.0,0
115.0,0.0,115.0,440.0,0
120.5,1.0,119.5,360.0,0
113.0,0.0,113.0,320.0,0
107.0,0.0,107.0,300.0,0
104.0,0.0,104.0,320.0,0
107.5,0.0,107.5,290.0,0
107.5,0.0,107.5,410.0,0
117.5,4.0,113.5,460.0,0
107.5,0.0,107.5,390.0,0
103.0,1.0,102.0,270.0,0
96.5,3.0,93.5,270.0,0
108.5,0.0,108.5,260.0,0
106.0,0.0,106.0,260.0,0
101.5,0.0,101.5,300.0,0
95.0,0.0,95.0,370.0,0
110.0,0.0,110.0,350.0,0
98.0,2.0,96.0,260.0,0
104.5,1.0,103.5,310.0,0
108.5,1.0,107.5,310.0,0
87.5,0.0,87.5,270.0,0
99.5,3.0,96.5,280.0,0
102.5,3.0,99.5,270.0,0
101.0,8.5,92.5,380.0,0
86.5,2.0,84.5,460.0,0
125.5,0.0,125.5,450.0,0
107.5,0.0,107.5,270.0,0
90.0,1.0,89.0,380.0,0
100.0,5.5,94.5,280.0,0
105.0,5.5,99.5,240.0,0
108.5,0.0,108.5,270.0,0
90.0,0.0,90.0,240.0,0
100.0,0.0,100.0,280.0,0
108.5,1.5,107.0,280.0,0
112.0,2.0,110.0,270.0,0
95.0,3.0,92.0,370.0,0
112.5,5.5,107.0,360.0,0
113.5,3.5,110.0,280.0,0
112.0,3.0,109.0,260.0,0
106.0,4.0,102.0,220.0,0
114.0,4.0,110.0,240.0,0
111.5,2.0,109.5,320.0,0
107.0,4.0,103.0,310.0,0
110.5,2.0,108.5,260.0,0
