RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,270.0,0
25.0,0.0,25.0,390.0,0
46.0,0.0,46.0,430.0,0
83.0,9.0,74.0,2000.0,0
101.5,9.0,92.5,660.0,0
109.0,6.5,102.5,320.0,0
77.5,0.0,77.5,550.0,0
76.5,4.0,72.5,350.0,0
98.5,2.5,96.0,320.0,0
125.5,2.0,123.5,300.0,0
70.0,0.0,70.0,680.0,0
105.0,0.5,104.5,250.0,0
122.5,0.5,122.0,250.0,0
112.0,0.0,112.0,310.0,0
101.5,0.0,101.5,340.0,0
93.0,0.0,93.0,380.0,0
95.0,0.0,95.0,240.0,0
85.5,0.0,85.5,390.0,0
106.0,0.0,106.0,490.0,0
105.5,0.0,105.5,190.0,0
109.0,0.0,109.0,330.0,0
84.0,0.0,84.0,310.0,0
110.5,0.0,110.5,330.0,0
81.5,0.0,81.5,300.0,0
103.0,0.0,103.0,340.0,0
92.0,0.0,92.0,330.0,0
77.5,0.0,77.5,640.0,0
97.0,0.0,97.0,340.0,0
82.0,2.0,80.0,370.0,0
89.5,1.5,88.0,370.0,0
78.5,2.0,76.5,380.0,0
93.0,1.0,92.0,370.0,0
83.0,1.0,82.0,410.0,0
90.0,0.5,89.5,430.0,0
92.5,1.5,91.0,290.0,0
72.0,1.5,70.5,690.0,0
112.0,0.0,112.0,250.0,0
78.0,0.0,78.0,420.0,0
98.5,1.0,97.5,340.0,0
94.5,2.0,92.5,200.0,0
75.5,2.0,73.5,460.0,0
83.5,0.0,83.5,490.0,0
99.0,9.0,90.0,320.0,0
71.0,8.5,62.5,690.0,0
146.0,0.0,146.0,520.0,0
57.5,7.0,50.5,740.0,0
67.5,2.0,65.5,900.0,0
129.5,0.0,129.5,320.0,0
112.0,0.0,112.0,320.0,0
97.0,0.0,97.0,410.0,0
93.0,0.0,93.0,350.0,0
86.0,0.0,86.0,330.0,0
89.5,1.0,88.5,380.0,0
73.0,0.0,73.0,320.0,0
102.5,0.0,102.5,200.0,0
103.5,0.0,103.5,290.0,0
85.5,0.0,85.5,630.0,0
114.5,0.0,114.5,320.0,0
97.0,0.0,97.0,370.0,0
102.5,0.0,102.5,400.0,0
92.5,0.0,92.5,570.0,0
98.0,0.0,98.0,310.0,0
94.5,0.0,94.5,310.0,0
99.0,0.0,99.0,420.0,0
68.0,0.0,68.0,620.0,0
119.5,0.0,119.5,470.0,0
93.5,5.5,88.0,270.0,0
98.0,4.0,94.0,300.0,0
85.5,2.5,83.0,430.0,0
83.5,0.5,83.0,430.0,0
84.5,0.0,84.5,430.0,0
94.0,0.5,93.5,420.0,0
71.5,0.5,71.0,390.0,0
97.0,2.5,94.5,390.0,0
90.5,4.5,86.0,390.0,0
78.0,0.0,78.0,710.0,0
113.5,0.0,113.5,420.0,0
104.0,0.0,104.0,400.0,0
102.5,0.0,102.5,400.0,0
99.0,1.5,97.5,400.0,0
80.0,1.5,78.5,630.0,0
100.0,1.0,99.0,570.0,0
82.0,1.0,81.0,400.0,0
78.5,1.5,77.0,560.0,0
95.5,5.5,90.0,240.0,0
96.0,5.5,90.5,310.0,0
91.5,4.0,87.5,210.0,0
96.5,2.5,94.0,250.0,0
68.5,1.5,67.0,660.0,0
88.0,1.0,87.0,440.0,0
93.0,0.0,93.0,580.0,0
95.5,0.0,95.5,460.0,0
91.5,6.5,85.0,430.0,0
87.5,2.0,85.5,570.0,0
87.5,1.5,86.0,360.0,0
100.5,0.0,100.5,240.0,0
84.0,0.0,84.0,690.0,0
93.0,0.0,93.0,610.0,0
93.5,0.0,93.5,580.0,0
103.0,0.0,103.0,340.0,0
92.0,0.0,92.0,350.0,0
108.5,0.0,108.5,660.0,0
105.0,0.0,105.0,400.0,0
102.0,0.0,102.0,440.0,0
104.5,0.0,104.5,420.0,0
91.5,0.0,91.5,350.0,0
87.0,0.0,87.0,340.0,0
92.0,0.0,92.0,450.0,0
106.0,0.0,106.0,450.0,0
118.0,0.0,118.0,120.0,0
101.5,0.0,101.5,130.0,0
95.0,0.0,95.0,140.0,0
89.5,1.0,88.5,140.0,0
99.5,0.0,99.5,150.0,0
98.0,0.0,98.0,140.0,0
103.0,0.0,103.0,160.0,0
101.0,0.0,101.0,180.0,0
97.0,0.0,97.0,140.0,0
94.5,0.0,94.5,140.0,0
101.5,0.0,101.5,140.0,0
100.0,0.0,100.0,120.0,0
95.0,0.0,95.0,140.0,0
88.0,0.0,88.0,140.0,0
91.0,0.0,91.0,140.0,0
95.5,0.0,95.5,140.0,0
96.5,0.0,96.5,140.0,0
99.0,0.0,99.0,140.0,0
103.0,0.0,103.0,130.0,0
109.0,0.0,109.0,120.0,0
