RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,590.0,0
58.0,0.0,58.0,1300.0,0
114.5,35.0,79.5,1300.0,0
137.0,63.5,73.5,1600.0,0
134.0,56.5,77.5,1700.0,0
167.5,87.5,80.0,1700.0,0
170.0,46.5,123.5,1400.0,0
171.5,76.5,95.0,1300.0,0
199.5,31.5,168.0,1000.0,0
165.0,42.5,122.5,1100.0,0
177.5,60.0,117.5,1300.0,0
156.0,60.5,95.5,1400.0,0
188.0,81.0,107.0,1500.0,0
184.0,57.0,127.0,1300.0,0
139.0,9.0,130.0,1400.0,0
184.5,50.0,134.5,1600.0,0
221.5,60.5,161.0,1200.0,0
165.5,45.5,120.0,1200.0,0
181.5,68.0,113.5,1200.0,0
139.5,8.0,131.5,1200.0,0
183.5,43.5,140.0,1200.0,0
166.0,30.0,136.0,1200.0,0
179.0,22.0,157.0,1100.0,0
155.0,22.5,132.5,1300.0,0
137.0,31.0,106.0,1300.0,0
225.0,67.0,158.0,1200.0,0
176.0,54.5,121.5,1200.0,0
207.0,23.0,184.0,920.0,0
171.0,9.5,161.5,1000.0,0
190.5,9.0,181.5,990.0,0
190.0,28.0,162.0,1100.0,0
193.0,16.0,177.0,1100.0,0
168.5,13.5,155.0,1100.0,0
209.5,15.5,194.0,990.0,0
175.0,15.0,160.0,990.0,0
158.5,26.5,132.0,1200.0,0
174.0,40.5,133.5,1100.0,0
185.0,21.5,163.5,1100.0,0
190.0,18.0,172.0,1200.0,0
196.0,48.0,148.0,1000.0,0
150.5,5.5,145.0,1100.0,0
193.0,18.0,175.0,1100.0,0
174.5,24.5,150.0,1100.0,0
209.0,24.0,185.0,1000.0,0
162.0,0.5,161.5,980.0,0
153.5,8.5,145.0,1100.0,0
179.5,9.0,170.5,980.0,0
195.0,15.5,179.5,1100.0,0
175.5,20.0,155.5,1000.0,0
179.0,3.5,175.5,1100.0,0
167.5,2.0,165.5,1100.0,0
179.5,1.5,178.0,1000.0,0
213.0,10.0,203.0,1100.0,0
202.0,9.5,192.5,870.0,0
181.0,1.5,179.5,970.0,0
172.5,1.5,171.0,970.0,0
161.5,0.0,161.5,1000.0,0
188.5,0.0,188.5,760.0,0
192.0,0.0,192.0,800.0,0
173.5,0.0,173.5,780.0,0
177.0,0.0,177.0,800.0,0
172.0,0.0,172.0,800.0,0
181.0,0.0,181.0,940.0,0
183.5,0.0,183.5,940.0,0
171.5,0.0,171.5,890.0,0
170.0,2.0,168.0,1000.0,0
183.5,6.5,177.0,1100.0,0
177.5,23.5,154.0,1000.0,0
165.0,2.0,163.0,970.0,0
226.0,16.5,209.5,1100.0,0
154.5,13.0,141.5,1300.0,0
217.0,24.5,192.5,1000.0,0
188.0,13.0,175.0,950.0,0
179.0,0.5,178.5,950.0,0
174.5,0.5,174.0,900.0,0
161.5,0.0,161.5,800.0,0
179.0,0.0,179.0,790.0,0
185.5,0.5,185.0,820.0,0
173.5,0.0,173.5,890.0,0
166.5,3.0,163.5,990.0,0
178.5,7.0,171.5,980.0,0
153.5,0.0,153.5,930.0,0
178.0,0.0,178.0,940.0,0
188.0,3.0,185.0,970.0,0
192.0,6.5,185.5,1000.0,0
189.5,6.0,183.5,1000.0,0
186.0,0.0,186.0,1000.0,0
187.5,0.0,187.5,1000.0,0
171.5,0.0,171.5,1000.0,0
196.0,1.0,195.0,990.0,0
171.0,2.0,169.0,980.0,0
190.0,0.0,190.0,770.0,0
188.5,0.0,188.5,760.0,0
165.5,0.0,165.5,810.0,0
208.5,0.0,208.5,930.0,0
163.5,0.0,163.5,960.0,0
181.0,0.0,181.0,870.0,0
197.0,0.0,197.0,850.0,0
192.5,0.0,192.5,900.0,0
153.0,0.5,152.5,970.0,0
174.0,0.5,173.5,950.0,0
196.0,0.0,196.0,820.0,0
193.5,0.0,193.5,790.0,0
167.5,0.0,167.5,740.0,0
147.5,0.0,147.5,910.0,0
162.5,2.0,160.5,990.0,0
183.5,0.0,183.5,990.0,0
195.5,0.0,195.5,800.0,0
171.0,0.0,171.0,1100.0,0
195.0,10.5,184.5,860.0,0
171.0,3.0,168.0,900.0,0
174.5,0.5,174.0,960.0,0
159.5,4.5,155.0,1100.0,0
171.0,7.5,163.5,970.0,0
179.5,3.0,176.5,950.0,0
175.0,1.0,174.0,950.0,0
165.0,1.0,164.0,890.0,0
162.5,19.0,143.5,1200.0,0
197.0,26.0,171.0,1000.0,0
163.0,15.0,148.0,1100.0,0
205.0,17.0,188.0,1000.0,0
170.0,2.5,167.5,940.0,0
170.5,2.5,168.0,760.0,0
200.0,0.0,200.0,670.0,0
174.5,0.0,174.5,780.0,0
155.0,0.0,155.0,950.0,0
178.0,0.5,177.5,780.0,0
193.5,0.0,193.5,760.0,0
178.5,0.0,178.5,760.0,0
156.0,0.5,155.5,930.0,0
165.0,2.0,163.0,960.0,0
177.5,2.5,175.0,1000.0,0
180.5,3.0,177.5,920.0,0
192.5,8.0,184.5,1000.0,0
169.0,0.5,168.5,1000.0,0
199.5,0.0,199.5,810.0,0
173.0,0.0,173.0,840.0,0
174.5,0.0,174.5,830.0,0
174.0,0.0,174.0,870.0,0
170.5,2.0,168.5,810.0,0
168.5,0.0,168.5,800.0,0
202.5,0.0,202.5,790.0,0
213.5,0.0,213.5,660.0,0
175.0,0.0,175.0,620.0,0
176.5,0.0,176.5,600.0,0
182.5,0.0,182.5,600.0,0
171.5,0.0,171.5,590.0,0
184.0,0.0,184.0,560.0,0
180.5,0.0,180.5,550.0,0
175.0,0.0,175.0,590.0,0
180.0,0.0,180.0,620.0,0
183.5,0.0,183.5,770.0,0
173.5,0.0,173.5,600.0,0
187.5,0.0,187.5,640.0,0
199.5,0.0,199.5,680.0,0
180.0,0.0,180.0,690.0,0
204.5,0.0,204.5,670.0,0
190.0,0.0,190.0,700.0,0
195.5,0.0,195.5,820.0,0
174.0,0.0,174.0,660.0,0
171.0,0.0,171.0,670.0,0
162.5,0.0,162.5,680.0,0
179.5,0.0,179.5,730.0,0
180.0,0.0,180.0,730.0,0
179.0,0.0,179.0,660.0,0
182.0,0.0,182.0,610.0,0
177.5,0.0,177.5,720.0,0
174.5,0.0,174.5,690.0,0
190.0,0.0,190.0,800.0,0
190.0,0.0,190.0,620.0,0
175.5,0.0,175.5,590.0,0
174.0,0.0,174.0,540.0,0
175.0,0.0,175.0,540.0,0
170.0,0.0,170.0,500.0,0
152.0,0.0,152.0,600.0,0
170.5,0.0,170.5,640.0,0
179.5,0.0,179.5,720.0,0
177.0,0.0,177.0,720.0,0
186.5,0.0,186.5,660.0,0
176.5,0.0,176.5,820.0,0
186.5,0.5,186.0,630.0,0
187.5,0.0,187.5,720.0,0
188.0,0.0,188.0,600.0,0
175.0,0.0,175.0,650.0,0
188.5,0.0,188.5,650.0,0
187.0,0.0,187.0,540.0,0
166.5,0.0,166.5,580.0,0
156.0,0.0,156.0,670.0,0
196.0,0.0,196.0,700.0,0
184.0,0.0,184.0,640.0,0
176.5,0.0,176.5,590.0,0
176.5,0.0,176.5,620.0,0
181.5,0.0,181.5,650.0,0
167.5,0.0,167.5,760.0,0
200.0,0.5,199.5,830.0,0
171.0,0.5,170.5,690.0,0
178.0,0.0,178.0,740.0,0
187.5,0.0,187.5,690.0,0
181.5,0.0,181.5,570.0,0
196.0,0.0,196.0,530.0,0
167.5,0.0,167.5,560.0,0
157.0,0.0,157.0,600.0,0
170.5,0.0,170.5,580.0,0
171.0,0.0,171.0,580.0,0
185.5,0.0,185.5,590.0,0
191.5,0.0,191.5,570.0,0
174.5,0.0,174.5,780.0,0
176.5,0.0,176.5,780.0,0
185.0,0.0,185.0,700.0,0
187.0,0.0,187.0,650.0,0
183.5,0.0,183.5,600.0,0
178.0,0.0,178.0,600.0,0
178.5,0.0,178.5,580.0,0
174.5,0.0,174.5,580.0,0
179.0,0.0,179.0,650.0,0
179.0,0.0,179.0,710.0,0
171.5,0.0,171.5,720.0,0
175.5,0.0,175.5,740.0,0
199.5,0.0,199.5,660.0,0
179.5,0.0,179.5,650.0,0
180.5,0.0,180.5,730.0,0
170.5,0.0,170.5,870.0,0
174.0,0.5,173.5,870.0,0
198.0,1.0,197.0,720.0,0
168.5,0.0,168.5,720.0,0
177.0,0.0,177.0,720.0,0
180.0,0.0,180.0,620.0,0
172.0,0.0,172.0,690.0,0
194.0,0.0,194.0,680.0,0
189.0,0.0,189.0,530.0,0
182.0,0.0,182.0,530.0,0
148.5,0.0,148.5,620.0,0
161.5,0.0,161.5,610.0,0
176.0,0.0,176.0,660.0,0
184.0,0.0,184.0,660.0,0
200.0,0.0,200.0,570.0,0
186.5,0.0,186.5,550.0,0
161.5,0.0,161.5,630.0,0
188.0,0.0,188.0,660.0,0
212.5,0.0,212.5,570.0,0
188.5,0.0,188.5,540.0,0
181.0,0.0,181.0,550.0,0
159.0,0.0,159.0,690.0,0
190.5,0.0,190.5,680.0,0
170.5,0.0,170.5,650.0,0
174.0,0.0,174.0,640.0,0
176.5,0.0,176.5,670.0,0
179.0,0.0,179.0,720.0,0
197.0,0.0,197.0,690.0,0
191.5,0.0,191.5,580.0,0
166.5,0.0,166.5,730.0,0
187.0,0.0,187.0,850.0,0
173.0,0.0,173.0,680.0,0
170.5,0.0,170.5,680.0,0
187.5,0.0,187.5,620.0,0
195.0,0.0,195.0,580.0,0
183.5,0.0,183.5,580.0,0
175.0,0.0,175.0,560.0,0
177.0,0.0,177.0,580.0,0
177.0,0.0,177.0,500.0,0
181.0,0.0,181.0,520.0,0
191.0,0.0,191.0,550.0,0
182.5,0.0,182.5,560.0,0
168.5,0.0,168.5,620.0,0
184.5,0.0,184.5,610.0,0
174.0,0.0,174.0,600.0,0
189.0,0.0,189.0,560.0,0
162.0,0.0,162.0,760.0,0
178.5,0.0,178.5,750.0,0
200.0,0.0,200.0,640.0,0
185.0,0.0,185.0,590.0,0
176.5,0.0,176.5,610.0,0
179.5,0.0,179.5,650.0,0
184.0,0.0,184.0,610.0,0
178.5,0.0,178.5,660.0,0
180.5,0.0,180.5,640.0,0
182.0,0.0,182.0,650.0,0
174.5,0.0,174.5,650.0,0
172.0,0.0,172.0,610.0,0
199.0,0.0,199.0,500.0,0
177.5,0.0,177.5,510.0,0
165.5,0.0,165.5,560.0,0
173.0,0.0,173.0,560.0,0
185.0,0.0,185.0,550.0,0
179.0,0.0,179.0,570.0,0
172.5,0.0,172.5,640.0,0
176.0,0.0,176.0,660.0,0
170.5,0.0,170.5,630.0,0
188.0,0.0,188.0,590.0,0
196.5,0.0,196.5,550.0,0
164.5,0.0,164.5,670.0,0
154.5,0.0,154.5,750.0,0
174.5,0.0,174.5,750.0,0
183.0,3.0,180.0,930.0,0
193.0,4.5,188.5,870.0,0
172.0,3.0,169.0,910.0,0
179.0,2.0,177.0,880.0,0
184.0,2.0,182.0,900.0,0
191.5,1.5,190.0,790.0,0
194.0,0.0,194.0,730.0,0
167.5,0.0,167.5,740.0,0
198.5,0.0,198.5,620.0,0
205.5,0.0,205.5,510.0,0
188.5,0.0,188.5,480.0,0
168.0,0.0,168.0,540.0,0
162.5,0.0,162.5,650.0,0
188.0,0.0,188.0,640.0,0
183.0,0.0,183.0,730.0,0
178.0,0.0,178.0,740.0,0
176.0,0.0,176.0,750.0,0
191.0,0.0,191.0,610.0,0
177.0,0.0,177.0,610.0,0
179.0,0.0,179.0,600.0,0
191.5,0.0,191.5,570.0,0
180.0,0.0,180.0,560.0,0
173.5,0.0,173.5,550.0,0
181.0,0.0,181.0,580.0,0
184.0,0.0,184.0,590.0,0
155.5,0.0,155.5,630.0,0
164.5,0.0,164.5,630.0,0
173.0,0.0,173.0,730.0,0
182.0,0.0,182.0,740.0,0
186.0,0.0,186.0,730.0,0
184.5,0.0,184.5,700.0,0
189.0,0.0,189.0,590.0,0
192.5,0.0,192.5,590.0,0
186.0,0.0,186.0,640.0,0
184.5,0.0,184.5,680.0,0
189.0,0.0,189.0,570.0,0
176.0,0.0,176.0,600.0,0
167.5,0.0,167.5,670.0,0
171.5,0.0,171.5,660.0,0
185.0,0.0,185.0,610.0,0
179.0,0.0,179.0,690.0,0
180.0,0.0,180.0,780.0,0
180.5,0.0,180.5,610.0,0
181.0,0.0,181.0,600.0,0
173.0,0.0,173.0,600.0,0
177.5,0.0,177.5,590.0,0
185.0,0.0,185.0,600.0,0
186.5,0.0,186.5,580.0,0
176.5,0.0,176.5,590.0,0
177.0,0.0,177.0,670.0,0
190.0,0.0,190.0,730.0,0
195.5,0.0,195.5,600.0,0
185.5,0.0,185.5,600.0,0
196.0,0.0,196.0,660.0,0
191.0,0.0,191.0,650.0,0
180.0,0.0,180.0,570.0,0
188.0,0.0,188.0,560.0,0
184.0,0.0,184.0,590.0,0
168.5,0.0,168.5,770.0,0
182.5,0.0,182.5,840.0,0
189.5,0.5,189.0,780.0,0
178.5,0.5,178.0,610.0,0
191.5,0.0,191.5,660.0,0
189.0,0.0,189.0,590.0,0
176.5,0.0,176.5,590.0,0
184.0,0.0,184.0,570.0,0
190.0,0.0,190.0,560.0,0
184.0,0.0,184.0,560.0,0
181.0,0.0,181.0,570.0,0
197.5,0.0,197.5,510.0,0
182.5,0.0,182.5,590.0,0
190.5,0.0,190.5,640.0,0
185.5,0.0,185.5,560.0,0
155.0,0.0,155.0,610.0,0
179.5,0.0,179.5,600.0,0
190.5,0.0,190.5,560.0,0
184.0,0.0,184.0,520.0,0
177.0,0.0,177.0,530.0,0
174.5,0.0,174.5,510.0,0
167.0,0.0,167.0,580.0,0
171.5,0.0,171.5,660.0,0
185.5,0.0,185.5,710.0,0
182.5,0.0,182.5,720.0,0
182.5,0.0,182.5,690.0,0
177.5,0.0,177.5,720.0,0
180.5,0.0,180.5,660.0,0
187.0,0.0,187.0,670.0,0
192.0,0.0,192.0,700.0,0
190.5,0.0,190.5,680.0,0
171.5,0.0,171.5,620.0,0
185.0,0.0,185.0,580.0,0
165.0,0.0,165.0,540.0,0
175.0,0.0,175.0,610.0,0
195.0,0.0,195.0,640.0,0
192.0,0.0,192.0,620.0,0
191.5,0.0,191.5,580.0,0
190.5,0.0,190.5,520.0,0
187.5,0.0,187.5,510.0,0
174.0,0.0,174.0,520.0,0
178.5,0.0,178.5,560.0,0
181.5,0.0,181.5,560.0,0
180.0,0.0,180.0,720.0,0
179.0,0.0,179.0,730.0,0
180.0,0.0,180.0,640.0,0
187.0,0.0,187.0,620.0,0
195.5,0.0,195.5,600.0,0
195.5,0.0,195.5,540.0,0
182.5,0.0,182.5,600.0,0
173.0,0.0,173.0,580.0,0
183.0,0.0,183.0,550.0,0
173.0,0.0,173.0,730.0,0
175.5,0.0,175.5,750.0,0
197.0,0.0,197.0,760.0,0
160.5,0.0,160.5,740.0,0
170.0,0.0,170.0,640.0,0
181.0,0.0,181.0,670.0,0
179.0,0.0,179.0,660.0,0
176.0,0.0,176.0,650.0,0
181.5,0.0,181.5,600.0,0
180.0,0.0,180.0,660.0,0
191.0,0.0,191.0,740.0,0
191.5,0.0,191.5,670.0,0
181.0,0.0,181.0,580.0,0
186.0,0.0,186.0,590.0,0
188.5,0.0,188.5,580.0,0
180.0,0.0,180.0,640.0,0
179.0,0.0,179.0,690.0,0
182.5,0.0,182.5,540.0,0
187.0,0.0,187.0,560.0,0
190.0,0.0,190.0,600.0,0
191.0,0.0,191.0,670.0,0
183.0,0.0,183.0,610.0,0
186.5,0.0,186.5,570.0,0
182.0,0.0,182.0,570.0,0
193.5,0.0,193.5,580.0,0
183.0,0.0,183.0,550.0,0
179.0,0.0,179.0,560.0,0
171.0,0.0,171.0,720.0,0
162.0,0.0,162.0,760.0,0
178.0,0.0,178.0,670.0,0
183.0,0.0,183.0,560.0,0
180.5,0.0,180.5,560.0,0
176.0,0.0,176.0,540.0,0
168.0,0.0,168.0,560.0,0
181.5,0.0,181.5,570.0,0
179.5,0.0,179.5,590.0,0
167.0,0.0,167.0,590.0,0
185.0,0.0,185.0,570.0,0
173.0,0.0,173.0,550.0,0
177.5,0.0,177.5,530.0,0
169.5,0.0,169.5,530.0,0
158.5,0.0,158.5,560.0,0
182.0,0.0,182.0,540.0,0
189.5,0.0,189.5,550.0,0
185.0,0.0,185.0,540.0,0
181.5,0.0,181.5,530.0,0
171.5,0.0,171.5,610.0,0
166.0,0.0,166.0,630.0,0
