RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1400.0,0
45.0,45.0,0.0,1500.0,0
160.5,79.0,81.5,1500.0,0
244.5,118.0,126.5,1100.0,0
270.0,95.5,174.5,1100.0,0
262.0,95.0,167.0,1100.0,0
290.5,41.0,249.5,1000.0,0
272.0,1.0,271.0,1000.0,0
270.0,41.0,229.0,1000.0,0
267.0,19.0,248.0,1000.0,0
255.5,49.5,206.0,1100.0,0
266.0,69.5,196.5,1100.0,0
305.0,59.5,245.5,960.0,0
264.0,0.0,264.0,960.0,0
253.5,0.0,253.5,950.0,0
272.5,0.0,272.5,1000.0,0
259.5,113.5,146.0,1200.0,0
272.5,98.5,174.0,1000.0,0
317.0,16.0,301.0,990.0,0
250.0,47.5,202.5,1200.0,0
217.0,67.5,149.5,1100.0,0
272.5,21.5,251.0,1000.0,0
235.5,11.0,224.5,1100.0,0
267.5,52.0,215.5,1100.0,0
295.5,64.0,231.5,1200.0,0
237.5,88.5,149.0,1200.0,0
299.0,61.5,237.5,1000.0,0
240.0,28.0,212.0,1100.0,0
277.0,77.0,200.0,1100.0,0
296.5,60.0,236.5,1000.0,0
253.5,11.0,242.5,1100.0,0
258.5,79.0,179.5,1200.0,0
285.5,45.0,240.5,1300.0,0
272.0,46.0,226.0,1300.0,0
283.5,51.5,232.0,990.0,0
276.0,8.5,267.5,1000.0,0
280.0,6.0,274.0,990.0,0
263.0,5.0,258.0,990.0,0
272.0,0.0,272.0,990.0,0
274.5,0.0,274.5,980.0,0
272.5,8.5,264.0,980.0,0
278.0,3.0,275.0,960.0,0
272.5,0.5,272.0,1000.0,0
266.5,0.5,266.0,1100.0,0
252.5,65.5,187.0,1200.0,0
291.0,20.5,270.5,990.0,0
301.5,3.5,298.0,1100.0,0
259.0,1.0,258.0,960.0,0
271.0,0.0,271.0,980.0,0
227.0,11.5,215.5,1100.0,0
249.0,59.5,189.5,1100.0,0
283.0,81.5,201.5,1300.0,0
279.0,83.0,196.0,1100.0,0
288.0,1.0,287.0,960.0,0
272.5,20.0,252.5,1100.0,0
268.0,20.0,248.0,950.0,0
269.5,0.0,269.5,940.0,0
275.5,2.0,273.5,930.0,0
273.0,0.0,273.0,850.0,0
260.0,1.0,259.0,980.0,0
245.5,4.5,241.0,1000.0,0
282.0,18.0,264.0,980.0,0
294.0,14.5,279.5,970.0,0
272.0,0.0,272.0,950.0,0
269.0,0.0,269.0,940.0,0
235.0,5.0,230.0,1000.0,0
272.5,25.0,247.5,1100.0,0
215.0,67.0,148.0,1200.0,0
257.0,109.0,148.0,1400.0,0
287.5,142.5,145.0,1100.0,0
292.5,61.0,231.5,1000.0,0
224.0,16.0,208.0,1100.0,0
275.0,20.5,254.5,990.0,0
274.0,10.5,263.5,1000.0,0
273.0,9.5,263.5,990.0,0
285.0,33.0,252.0,1100.0,0
285.0,44.5,240.5,1000.0,0
288.0,61.5,226.5,1100.0,0
307.5,50.0,257.5,910.0,0
210.0,0.0,210.0,1000.0,0
260.5,36.5,224.0,1100.0,0
263.0,56.5,206.5,1300.0,0
284.5,93.0,191.5,1000.0,0
263.0,49.0,214.0,1000.0,0
279.5,32.0,247.5,990.0,0
243.5,53.5,190.0,1100.0,0
269.0,74.5,194.5,1100.0,0
267.0,37.5,229.5,1100.0,0
259.5,20.5,239.0,970.0,0
257.0,34.0,223.0,1100.0,0
247.5,80.5,167.0,1100.0,0
274.5,74.5,200.0,1000.0,0
264.0,68.5,195.5,1100.0,0
256.0,64.5,191.5,1100.0,0
275.5,49.0,226.5,1100.0,0
279.0,23.0,256.0,1100.0,0
275.0,95.5,179.5,1300.0,0
310.5,74.5,236.0,1000.0,0
260.5,2.0,258.5,1100.0,0
277.0,30.5,246.5,1100.0,0
253.0,20.5,232.5,1000.0,0
261.0,55.0,206.0,1100.0,0
290.0,47.0,243.0,940.0,0
315.0,10.5,304.5,870.0,0
248.5,0.0,248.5,920.0,0
244.0,9.5,234.5,1000.0,0
241.0,33.5,207.5,1100.0,0
285.0,56.0,229.0,1100.0,0
296.0,32.0,264.0,950.0,0
264.0,20.5,243.5,1000.0,0
279.0,31.5,247.5,1000.0,0
241.0,30.5,210.5,1100.0,0
241.5,42.0,199.5,1100.0,0
295.0,35.0,260.0,990.0,0
242.5,5.0,237.5,1000.0,0
264.0,44.0,220.0,1100.0,0
291.0,44.0,247.0,1000.0,0
296.0,14.0,282.0,1000.0,0
270.0,19.0,251.0,1000.0,0
297.0,7.0,290.0,990.0,0
315.5,4.0,311.5,910.0,0
291.5,0.0,291.5,870.0,0
286.0,0.0,286.0,820.0,0
236.0,0.0,236.0,930.0,0
287.0,0.0,287.0,930.0,0
252.0,0.0,252.0,900.0,0
262.5,0.0,262.5,930.0,0
307.0,0.0,307.0,930.0,0
260.0,11.0,249.0,970.0,0
302.0,0.0,302.0,900.0,0
255.0,0.0,255.0,970.0,0
255.5,4.0,251.5,960.0,0
315.0,4.0,311.0,870.0,0
251.5,0.0,251.5,950.0,0
262.5,6.0,256.5,990.0,0
262.5,2.5,260.0,950.0,0
319.5,0.5,319.0,930.0,0
283.5,0.0,283.5,910.0,0
262.5,0.0,262.5,910.0,0
248.0,0.0,248.0,910.0,0
261.0,0.0,261.0,910.0,0
279.5,0.0,279.5,930.0,0
294.5,0.0,294.5,930.0,0
315.5,0.0,315.5,920.0,0
265.0,0.0,265.0,940.0,0
271.5,0.0,271.5,890.0,0
278.5,0.0,278.5,890.0,0
276.0,0.0,276.0,790.0,0
260.0,0.0,260.0,670.0,0
257.5,0.0,257.5,810.0,0
269.0,0.0,269.0,890.0,0
261.5,0.0,261.5,940.0,0
278.0,17.5,260.5,1000.0,0
305.5,11.5,294.0,920.0,0
248.5,0.0,248.5,930.0,0
250.5,0.0,250.5,940.0,0
271.5,4.0,267.5,960.0,0
276.5,2.0,274.5,950.0,0
295.0,2.0,293.0,960.0,0
275.0,0.0,275.0,960.0,0
296.5,0.0,296.5,1000.0,0
257.0,1.0,256.0,920.0,0
235.5,16.0,219.5,1100.0,0
254.5,25.0,229.5,970.0,0
279.5,8.5,271.0,910.0,0
277.5,0.0,277.5,880.0,0
246.0,11.0,235.0,1100.0,0
264.0,20.5,243.5,980.0,0
333.0,9.5,323.5,910.0,0
244.0,0.0,244.0,920.0,0
240.0,0.0,240.0,1000.0,0
215.5,10.5,205.0,1100.0,0
266.0,45.0,221.0,1100.0,0
301.5,38.5,263.0,960.0,0
256.5,4.5,252.0,990.0,0
292.0,4.5,287.5,960.0,0
291.5,0.5,291.0,960.0,0
321.0,0.0,321.0,880.0,0
213.5,22.5,191.0,1200.0,0
262.5,106.0,156.5,1300.0,0
324.5,112.5,212.0,1100.0,0
181.0,8.0,173.0,1200.0,0
230.0,111.5,118.5,1300.0,0
293.5,125.0,168.5,1100.0,0
310.0,45.5,264.5,1100.0,0
215.0,3.0,212.0,1100.0,0
262.0,66.0,196.0,1200.0,0
257.0,64.5,192.5,1000.0,0
278.0,55.0,223.0,1100.0,0
301.0,26.5,274.5,910.0,0
238.0,5.0,233.0,1000.0,0
216.5,36.0,180.5,1100.0,0
294.0,49.0,245.0,1000.0,0
294.0,19.0,275.0,1000.0,0
273.5,15.0,258.5,990.0,0
252.5,12.5,240.0,1000.0,0
237.0,45.5,191.5,1100.0,0
288.0,48.0,240.0,1100.0,0
301.5,52.5,249.0,1200.0,0
212.5,116.0,96.5,1400.0,0
303.0,169.5,133.5,1100.0,0
286.0,76.5,209.5,1000.0,0
273.5,12.5,261.0,1000.0,0
285.5,43.5,242.0,1100.0,0
265.5,16.5,249.0,980.0,0
255.0,52.0,203.0,1200.0,0
226.0,97.0,129.0,1200.0,0
233.0,115.5,117.5,1200.0,0
302.5,49.0,253.5,1000.0,0
298.5,12.0,286.5,930.0,0
282.0,0.0,282.0,880.0,0
249.0,0.0,249.0,940.0,0
267.5,0.0,267.5,980.0,0
272.5,0.0,272.5,1000.0,0
295.5,12.0,283.5,950.0,0
297.0,0.0,297.0,890.0,0
246.0,0.0,246.0,920.0,0
231.5,0.0,231.5,1000.0,0
290.0,12.5,277.5,970.0,0
232.0,9.0,223.0,1000.0,0
244.0,22.0,222.0,1000.0,0
292.5,23.0,269.5,1000.0,0
297.5,10.0,287.5,980.0,0
232.5,4.5,228.0,1100.0,0
271.5,99.5,172.0,1100.0,0
234.0,74.0,160.0,1700.0,0
299.5,102.0,197.5,1500.0,0
206.5,7.5,199.0,1200.0,0
189.0,99.5,89.5,1200.0,0
281.0,155.5,125.5,1100.0,0
283.0,122.0,161.0,1100.0,0
263.0,83.5,179.5,1000.0,0
270.0,31.5,238.5,1000.0,0
284.0,23.5,260.5,970.0,0
238.0,2.5,235.5,1100.0,0
233.5,94.5,139.0,1300.0,0
314.5,133.0,181.5,1100.0,0
329.0,50.0,279.0,1100.0,0
229.0,24.0,205.0,970.0,0
222.5,19.0,203.5,1000.0,0
258.0,34.5,223.5,1100.0,0
215.0,72.5,142.5,1100.0,0
285.5,80.0,205.5,1100.0,0
283.5,47.0,236.5,1100.0,0
324.5,41.0,283.5,920.0,0
304.5,0.0,304.5,930.0,0
275.0,0.0,275.0,930.0,0
271.5,0.0,271.5,880.0,0
263.0,0.0,263.0,820.0,0
265.5,0.0,265.5,840.0,0
277.0,0.0,277.0,920.0,0
266.0,0.0,266.0,890.0,0
