RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1036.0,0.0
146.0,51.5,94.5,1056.0,0.0
393.5,107.5,286.0,786.0,0.0
555.0,154.0,401.0,798.0,0.0
536.5,176.0,360.5,830.0,0.0
532.0,159.0,373.0,780.0,0.0
582.0,68.5,513.5,746.0,0.0
564.5,29.0,535.5,700.0,0.0
546.0,68.0,478.0,740.0,0.0
567.5,44.0,523.5,754.0,0.0
571.5,77.5,494.0,818.0,0.0
541.5,135.5,406.0,736.0,0.0
611.0,98.5,512.5,764.0,0.0
572.0,21.0,551.0,774.0,0.0
521.0,18.5,502.5,842.0,0.0
575.0,24.0,551.0,832.0,0.0
540.0,188.5,351.5,848.0,0.0
552.5,165.0,387.5,782.0,0.0
601.5,77.0,524.5,858.0,0.0
550.0,134.0,416.0,818.0,0.0
530.0,139.5,390.5,794.0,0.0
527.5,37.5,490.0,714.0,0.0
521.5,38.5,483.0,736.0,0.0
547.0,97.5,449.5,856.0,0.0
608.0,111.5,496.5,702.0,0.0
521.5,127.5,394.0,882.0,0.0
606.5,117.0,489.5,702.0,0.0
514.5,58.5,456.0,912.0,0.0
568.5,125.5,443.0,906.0,0.0
613.0,88.5,524.5,644.0,0.0
544.5,18.5,526.0,692.0,0.0
565.5,123.5,442.0,766.0,0.0
590.0,72.5,517.5,902.0,0.0
561.0,70.5,490.5,934.0,0.0
577.0,73.0,504.0,664.0,0.0
583.0,25.5,557.5,660.0,0.0
552.0,16.5,535.5,652.0,0.0
527.0,25.5,501.5,702.0,0.0
565.5,24.0,541.5,726.0,0.0
587.5,28.5,559.0,694.0,0.0
564.5,25.5,539.0,688.0,0.0
580.5,12.5,568.0,614.0,0.0
556.0,7.0,549.0,692.0,0.0
582.0,13.5,568.5,700.0,0.0
558.5,91.5,467.0,774.0,0.0
595.0,50.5,544.5,702.0,0.0
633.0,19.5,613.5,662.0,0.0
553.5,7.0,546.5,872.0,0.0
539.5,27.0,512.5,860.0,0.0
502.5,47.5,455.0,730.0,0.0
544.5,97.5,447.0,770.0,0.0
597.0,110.5,486.5,712.0,0.0
551.5,93.0,458.5,776.0,0.0
636.0,22.0,614.0,658.0,0.0
582.0,32.5,549.5,656.0,0.0
542.5,30.0,512.5,694.0,0.0
566.5,13.5,553.0,716.0,0.0
594.5,28.0,566.5,666.0,0.0
567.0,6.0,561.0,556.0,0.0
552.5,5.0,547.5,672.0,0.0
521.5,8.0,513.5,684.0,0.0
582.5,37.5,545.0,686.0,0.0
600.5,38.5,562.0,700.0,0.0
576.5,14.5,562.0,608.0,0.0
560.0,8.5,551.5,644.0,0.0
516.0,17.0,499.0,714.0,0.0
556.0,50.0,506.0,722.0,0.0
504.0,128.5,375.5,758.0,0.0
560.5,158.0,402.5,820.0,0.0
576.0,195.5,380.5,744.0,0.0
591.0,99.0,492.0,700.0,0.0
497.5,41.0,456.5,732.0,0.0
581.0,41.0,540.0,656.0,0.0
568.5,31.5,537.0,718.0,0.0
569.5,26.0,543.5,702.0,0.0
568.5,50.0,518.5,754.0,0.0
570.0,74.0,496.0,780.0,0.0
574.0,135.0,439.0,980.0,0.0
594.0,104.0,490.0,690.0,0.0
496.0,32.5,463.5,736.0,0.0
558.0,80.5,477.5,758.0,0.0
543.0,115.5,427.5,852.0,0.0
548.0,124.5,423.5,802.0,0.0
576.0,82.5,493.5,766.0,0.0
592.5,69.0,523.5,694.0,0.0
515.0,89.0,426.0,806.0,0.0
559.0,133.0,426.0,824.0,0.0
553.0,70.0,483.0,820.0,0.0
547.5,71.0,476.5,746.0,0.0
544.0,87.0,457.0,786.0,0.0
523.5,132.5,391.0,820.0,0.0
559.0,130.5,428.5,764.0,0.0
562.5,125.0,437.5,816.0,0.0
562.5,121.0,441.5,778.0,0.0
572.0,92.5,479.5,788.0,0.0
575.0,48.5,526.5,722.0,0.0
563.5,171.0,392.5,800.0,0.0
603.5,105.0,498.5,722.0,0.0
563.0,19.5,543.5,750.0,0.0
576.0,42.0,534.0,726.0,0.0
540.0,38.0,502.0,754.0,0.0
498.5,85.0,413.5,832.0,0.0
591.0,89.5,501.5,796.0,0.0
