RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,74.0,0
1.0,0.0,1.0,76.0,0
2.5,0.0,2.5,82.0,0
4.5,0.0,4.5,130.0,0
6.5,0.0,6.5,130.0,0
8.0,0.0,8.0,190.0,0
9.0,0.0,9.0,190.0,0
11.0,0.0,11.0,170.0,0
12.5,0.0,12.5,170.0,0
15.5,0.0,15.5,150.0,0
17.5,0.0,17.5,170.0,0
19.0,0.0,19.0,180.0,0
20.5,0.0,20.5,200.0,0
22.0,0.0,22.0,280.0,0
24.0,0.0,24.0,280.0,0
25.5,0.0,25.5,200.0,0
27.0,0.0,27.0,210.0,0
28.5,0.0,28.5,190.0,0
30.0,0.0,30.0,220.0,0
33.0,0.0,33.0,190.0,0
33.5,0.0,33.5,260.0,0
37.0,0.0,37.0,340.0,0
36.5,0.0,36.5,490.0,0
37.0,0.0,37.0,470.0,0
37.5,0.0,37.5,510.0,0
42.0,0.0,42.0,480.0,0
41.5,0.0,41.5,1100.0,0
31.0,4.5,26.5,1600.0,0
19.5,11.0,8.5,2400.0,0
26.0,26.0,0.0,2400.0,0
24.0,24.0,0.0,2400.0,0
29.0,29.0,0.0,2300.0,0
28.5,28.5,0.0,2300.0,0
29.5,29.5,0.0,2400.0,0
31.0,31.0,0.0,2300.0,0
36.5,36.5,0.0,2400.0,0
33.5,33.5,0.0,2400.0,0
31.0,31.0,0.0,2400.0,0
34.5,34.5,0.0,2400.0,0
35.0,35.0,0.0,2400.0,0
39.0,39.0,0.0,2400.0,0
34.5,34.5,0.0,2600.0,0
34.0,34.0,0.0,2500.0,0
32.0,32.0,0.0,2500.0,0
34.0,34.0,0.0,2600.0,0
38.5,38.0,0.5,2700.0,0
50.0,47.0,3.0,2700.0,0
52.0,44.0,8.0,2400.0,0
54.5,39.5,15.0,2400.0,0
58.5,36.5,22.0,2100.0,0
48.5,30.5,18.0,2200.0,0
49.5,36.5,13.0,2200.0,0
58.0,44.0,14.0,2300.0,0
45.5,36.0,9.5,2100.0,0
48.5,43.0,5.5,2200.0,0
51.0,44.5,6.5,2200.0,0
50.0,43.5,6.5,2200.0,0
51.0,42.5,8.5,2100.0,0
52.5,43.5,9.0,2200.0,0
50.5,43.5,7.0,2200.0,0
52.0,43.0,9.0,2200.0,0
50.0,40.0,10.0,2200.0,0
42.5,35.0,7.5,2200.0,0
46.5,41.5,5.0,2200.0,0
48.0,42.0,6.0,2300.0,0
53.5,41.5,12.0,2100.0,0
53.5,39.5,14.0,2200.0,0
52.0,38.0,14.0,2300.0,0
48.5,36.5,12.0,2200.0,0
50.5,39.5,11.0,2200.0,0
49.5,38.5,11.0,2200.0,0
52.5,39.0,13.5,2100.0,0
57.0,36.5,20.5,2200.0,0
53.0,35.5,17.5,2200.0,0
51.0,39.5,11.5,2200.0,0
52.5,36.0,16.5,2200.0,0
56.0,38.5,17.5,2200.0,0
49.5,36.0,13.5,2200.0,0
49.0,45.0,4.0,2200.0,0
51.0,41.0,10.0,2200.0,0
54.5,39.0,15.5,2200.0,0
50.5,39.5,11.0,2200.0,0
49.0,38.5,10.5,2200.0,0
54.0,44.0,10.0,2200.0,0
46.5,42.0,4.5,2200.0,0
52.0,45.5,6.5,2200.0,0
53.0,44.5,8.5,2200.0,0
49.5,39.5,10.0,2200.0,0
49.0,36.0,13.0,2200.0,0
51.0,39.0,12.0,2200.0,0
53.5,43.0,10.5,2200.0,0
47.5,38.0,9.5,2200.0,0
48.0,37.0,11.0,2200.0,0
55.0,41.0,14.0,2200.0,0
54.5,41.5,13.0,2200.0,0
56.5,43.5,13.0,2200.0,0
51.5,39.5,12.0,2200.0,0
49.5,40.0,9.5,2200.0,0
49.5,43.5,6.0,2200.0,0
54.0,45.0,9.0,2200.0,0
56.0,38.0,18.0,2200.0,0
49.0,29.0,20.0,2200.0,0
44.5,30.0,14.5,2200.0,0
67.0,51.0,16.0,2200.0,0
50.0,43.0,7.0,2200.0,0
55.5,49.0,6.5,2200.0,0
49.0,37.0,12.0,2300.0,0
48.5,36.0,12.5,2200.0,0
47.5,38.5,9.0,2200.0,0
43.5,38.0,5.5,2200.0,0
51.0,43.0,8.0,2300.0,0
47.0,37.5,9.5,2200.0,0
44.5,40.0,4.5,2200.0,0
46.5,42.0,4.5,2300.0,0
53.0,41.5,11.5,2200.0,0
60.0,41.5,18.5,2200.0,0
51.0,34.0,17.0,2200.0,0
52.0,44.0,8.0,2200.0,0
54.5,46.0,8.5,2200.0,0
49.5,43.5,6.0,2200.0,0
51.5,41.0,10.5,2200.0,0
52.5,40.0,12.5,2200.0,0
54.5,44.0,10.5,2200.0,0
51.0,42.5,8.5,2200.0,0
49.5,44.5,5.0,2200.0,0
47.5,43.0,4.5,2200.0,0
50.5,39.5,11.0,2200.0,0
53.0,41.5,11.5,2200.0,0
49.5,42.0,7.5,2200.0,0
49.0,39.5,9.5,2200.0,0
42.0,33.0,9.0,2200.0,0
49.0,41.0,8.0,2200.0,0
46.0,38.5,7.5,2200.0,0
50.0,44.5,5.5,2300.0,0
46.0,40.5,5.5,2200.0,0
45.5,39.5,6.0,2200.0,0
46.0,40.5,5.5,2200.0,0
49.0,44.0,5.0,2200.0,0
51.5,44.5,7.0,2200.0,0
50.5,40.5,10.0,2200.0,0
47.5,35.5,12.0,2200.0,0
54.5,44.5,10.0,2200.0,0
53.5,43.0,10.5,2200.0,0
50.5,38.0,12.5,2200.0,0
59.0,43.5,15.5,2300.0,0
52.0,39.0,13.0,2200.0,0
49.5,38.0,11.5,2200.0,0
51.5,40.5,11.0,2200.0,0
44.5,35.0,9.5,2300.0,0
55.5,41.0,14.5,2200.0,0
57.0,42.5,14.5,2200.0,0
54.0,42.0,12.0,2200.0,0
54.0,39.5,14.5,2200.0,0
42.5,30.5,12.0,2200.0,0
47.5,37.0,10.5,2200.0,0
54.0,41.5,12.5,2200.0,0
52.5,37.5,15.0,2200.0,0
50.0,37.0,13.0,2100.0,0
48.5,38.0,10.5,2200.0,0
51.0,42.5,8.5,2300.0,0
50.5,40.5,10.0,2200.0,0
54.0,42.5,11.5,2200.0,0
50.5,39.0,11.5,2200.0,0
48.0,36.5,11.5,2200.0,0
58.0,44.5,13.5,2200.0,0
52.0,38.5,13.5,2200.0,0
49.0,39.0,10.0,2200.0,0
49.5,41.5,8.0,2300.0,0
47.0,36.5,10.5,2200.0,0
54.5,37.5,17.0,2200.0,0
56.0,44.5,11.5,2100.0,0
44.0,38.0,6.0,2200.0,0
50.0,42.0,8.0,2200.0,0
58.0,48.0,10.0,2200.0,0
53.0,41.5,11.5,2200.0,0
53.5,41.5,12.0,2200.0,0
46.0,32.5,13.5,2200.0,0
50.5,34.0,16.5,2200.0,0
56.0,42.0,14.0,2200.0,0
49.0,38.0,11.0,2300.0,0
53.5,40.5,13.0,2200.0,0
51.0,40.0,11.0,2300.0,0
