RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,57.0,0
2.5,0.0,2.5,74.0,0
7.5,0.0,7.5,120.0,0
12.5,0.0,12.5,120.0,0
17.5,0.0,17.5,140.0,0
22.5,0.0,22.5,160.0,0
30.0,0.0,30.0,230.0,0
35.0,0.0,35.0,250.0,0
40.0,0.0,40.0,250.0,0
45.5,0.0,45.5,300.0,0
51.5,0.0,51.5,250.0,0
57.0,0.0,57.0,340.0,0
62.5,0.0,62.5,330.0,0
67.5,0.0,67.5,390.0,0
72.5,0.0,72.5,390.0,0
77.5,0.0,77.5,380.0,0
82.5,0.0,82.5,380.0,0
90.0,0.0,90.0,430.0,0
95.0,0.0,95.0,460.0,0
101.0,0.0,101.0,460.0,0
107.0,0.0,107.0,440.0,0
112.5,0.0,112.5,480.0,0
117.5,0.0,117.5,500.0,0
122.5,0.0,122.5,550.0,0
127.5,0.0,127.5,620.0,0
135.0,0.0,135.0,580.0,0
140.0,0.0,140.0,710.0,0
145.5,0.0,145.5,610.0,0
151.0,0.0,151.0,590.0,0
156.0,0.0,156.0,710.0,0
162.5,0.0,162.5,690.0,0
167.5,0.0,167.5,620.0,0
172.5,0.0,172.5,670.0,0
157.5,0.0,157.5,800.0,0
190.0,0.0,190.0,800.0,0
174.5,0.0,174.5,800.0,0
211.0,0.0,211.0,780.0,0
206.0,0.0,206.0,800.0,0
192.5,0.0,192.5,820.0,0
168.5,0.0,168.5,1000.0,0
197.0,12.5,184.5,1000.0,0
222.5,13.5,209.0,1000.0,0
200.5,15.5,185.0,1100.0,0
215.5,47.5,168.0,1300.0,0
250.0,44.0,206.0,1200.0,0
220.0,44.0,176.0,1300.0,0
202.0,77.0,125.0,1200.0,0
177.0,88.5,88.5,2200.0,0
153.0,104.0,49.0,2300.0,0
147.0,113.0,34.0,2200.0,0
161.5,123.5,38.0,2200.0,0
208.0,130.0,78.0,2200.0,0
187.5,102.0,85.5,2200.0,0
133.5,106.0,27.5,2200.0,0
168.0,136.0,32.0,2200.0,0
152.5,111.5,41.0,2200.0,0
149.5,106.5,43.0,2200.0,0
160.0,123.0,37.0,2200.0,0
154.5,122.0,32.5,2200.0,0
171.5,137.5,34.0,2200.0,0
175.0,141.5,33.5,2200.0,0
139.5,120.0,19.5,2200.0,0
142.5,133.0,9.5,2200.0,0
159.0,146.0,13.0,2200.0,0
146.0,132.5,13.5,2200.0,0
179.0,159.5,19.5,2200.0,0
139.0,118.0,21.0,2200.0,0
141.0,130.5,10.5,2200.0,0
150.0,137.5,12.5,2200.0,0
160.5,139.0,21.5,2200.0,0
169.5,130.5,39.0,2200.0,0
183.5,123.5,60.0,2200.0,0
176.0,108.0,68.0,2200.0,0
144.0,101.5,42.5,2200.0,0
135.0,124.0,11.0,2200.0,0
156.0,150.5,5.5,2200.0,0
158.5,149.0,9.5,2200.0,0
153.5,141.0,12.5,2200.0,0
176.5,151.0,25.5,2200.0,0
145.5,119.5,26.0,2200.0,0
155.5,134.5,21.0,2200.0,0
168.0,147.0,21.0,2200.0,0
164.0,140.0,24.0,2200.0,0
163.0,122.5,40.5,2200.0,0
159.5,115.0,44.5,2200.0,0
190.5,136.0,54.5,2200.0,0
212.5,137.0,75.5,2200.0,0
174.0,101.0,73.0,2200.0,0
155.5,106.0,49.5,2200.0,0
141.5,115.0,26.5,2200.0,0
157.5,129.5,28.0,2200.0,0
169.5,117.0,52.5,2200.0,0
161.5,107.5,54.0,2200.0,0
175.0,119.0,56.0,2200.0,0
173.0,119.5,53.5,2200.0,0
160.5,107.5,53.0,2200.0,0
170.0,109.5,60.5,2200.0,0
173.5,119.0,54.5,2200.0,0
147.5,118.0,29.5,2200.0,0
139.0,128.5,10.5,2200.0,0
142.5,131.5,11.0,2200.0,0
149.5,141.0,8.5,2200.0,0
150.5,146.0,4.5,2200.0,0
171.0,148.5,22.5,2200.0,0
160.5,128.0,32.5,2200.0,0
140.0,120.0,20.0,2200.0,0
128.0,123.0,5.0,2200.0,0
136.5,135.5,1.0,2200.0,0
144.0,143.5,0.5,2200.0,0
138.5,137.5,1.0,2200.0,0
144.5,142.5,2.0,2200.0,0
144.5,143.5,1.0,2200.0,0
145.5,144.5,1.0,2200.0,0
148.5,147.5,1.0,2200.0,0
136.0,136.0,0.0,2200.0,0
140.0,140.0,0.0,2200.0,0
139.5,139.0,0.5,2200.0,0
151.5,151.5,0.0,2200.0,0
