timestamp,service,cpu_millicores,memory_working_set_bytes,replica_count
2026-09-24T18:44:55Z,frontend,0,89825280,4
2026-09-24T18:44:55Z,cartservice,5,90583040,1
2026-09-24T18:44:55Z,checkoutservice,3,44052480,1
2026-09-24T18:44:55Z,productcatalogservice,3,44748800,1
2026-09-24T18:44:55Z,paymentservice,3,43790336,1
2026-09-24T18:44:55Z,recommendationservice,8,119971840,1
2026-09-24T18:44:55Z,shippingservice,5,36003840,1
2026-09-24T18:44:55Z,currencyservice,3,95346688,1
2026-09-24T18:44:55Z,emailservice,9,91619328,1
2026-09-24T18:44:55Z,adservice,34,219537408,1
2026-09-24T18:44:55Z,redis-cart,4,32526336,1
2026-09-24T18:44:55Z,__master_node__,1216,2088722432,1
2026-09-24T18:45:00Z,frontend,0,89894912,4
2026-09-24T18:45:00Z,cartservice,5,90611712,1
2026-09-24T18:45:00Z,checkoutservice,3,44060672,1
2026-09-24T18:45:00Z,productcatalogservice,3,44781568,1
2026-09-24T18:45:00Z,paymentservice,3,43823104,1
2026-09-24T18:45:00Z,recommendationservice,8,119971840,1
2026-09-24T18:45:00Z,shippingservice,5,36003840,1
2026-09-24T18:45:00Z,currencyservice,3,95346688,1
2026-09-24T18:45:00Z,emailservice,9,91619328,1
2026-09-24T18:45:00Z,adservice,34,219537408,1
2026-09-24T18:45:00Z,redis-cart,4,32526336,1
2026-09-24T18:45:00Z,__master_node__,1315,2101534720,1
2026-09-24T18:45:05Z,frontend,2,89894912,4
2026-09-24T18:45:05Z,cartservice,5,90611712,1
2026-09-24T18:45:05Z,checkoutservice,3,44052480,1
2026-09-24T18:45:05Z,productcatalogservice,3,44781568,1
2026-09-24T18:45:05Z,paymentservice,3,43823104,1
2026-09-24T18:45:05Z,recommendationservice,8,119971840,1
2026-09-24T18:45:05Z,shippingservice,5,36003840,1
2026-09-24T18:45:05Z,currencyservice,3,95363072,1
2026-09-24T18:45:05Z,emailservice,8,91619328,1
2026-09-24T18:45:05Z,adservice,30,219537408,1
2026-09-24T18:45:05Z,redis-cart,4,32526336,1
2026-09-24T18:45:05Z,__master_node__,1315,2101534720,1
2026-09-24T18:45:10Z,frontend,2,89894912,4
2026-09-24T18:45:10Z,cartservice,5,90611712,1
2026-09-24T18:45:10Z,checkoutservice,3,44085248,1
2026-09-24T18:45:10Z,productcatalogservice,3,44781568,1
2026-09-24T18:45:10Z,paymentservice,3,43642880,1
2026-09-24T18:45:10Z,recommendationservice,8,119971840,1
2026-09-24T18:45:10Z,shippingservice,5,36003840,1
2026-09-24T18:45:10Z,currencyservice,3,95363072,1
2026-09-24T18:45:10Z,emailservice,8,91619328,1
2026-09-24T18:45:10Z,adservice,30,219537408,1
2026-09-24T18:45:10Z,redis-cart,4,32526336,1
2026-09-24T18:45:10Z,__master_node__,2949,2097762304,1
2026-09-24T18:45:15Z,frontend,2,89698304,4
2026-09-24T18:45:15Z,cartservice,5,90611712,1
2026-09-24T18:45:15Z,checkoutservice,4,44085248,1
2026-09-24T18:45:15Z,productcatalogservice,3,44781568,1
2026-09-24T18:45:15Z,paymentservice,4,43642880,1
2026-09-24T18:45:15Z,recommendationservice,8,119971840,1
2026-09-24T18:45:15Z,shippingservice,5,36012032,1
2026-09-24T18:45:15Z,currencyservice,3,95379456,1
2026-09-24T18:45:15Z,emailservice,7,91619328,1
2026-09-24T18:45:15Z,adservice,33,219537408,1
2026-09-24T18:45:15Z,redis-cart,4,32526336,1
2026-09-24T18:45:15Z,__master_node__,2949,2097762304,1
2026-09-24T18:45:20Z,frontend,2,89698304,4
2026-09-24T18:45:20Z,cartservice,5,90611712,1
