RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,11.6,0.0
5.0,0.0,5.0,167.6,0.0
14.0,0.0,14.0,263.2,0.0
19.5,0.0,19.5,298.6,0.0
25.5,0.0,25.5,405.6,0.0
36.5,0.0,36.5,455.2,0.0
45.0,0.0,45.0,518.6,0.0
59.5,0.0,59.5,576.0,0.0
68.5,9.0,59.5,843.0,0.0
77.5,19.0,58.5,902.0,0.0
64.5,10.0,54.5,1140.0,0.0
73.0,28.0,45.0,1242.0,0.0
84.0,37.5,46.5,1242.0,0.0
87.5,39.5,48.0,1482.0,0.0
103.0,60.5,42.5,1382.0,0.0
93.0,57.5,35.5,1562.0,0.0
91.0,55.0,36.0,1722.0,0.0
102.0,60.0,42.0,1720.0,0.0
108.0,68.0,40.0,1762.0,0.0
106.5,64.0,42.5,1884.0,0.0
102.5,60.5,42.0,1876.0,0.0
112.5,65.5,47.0,2150.0,0.0
117.0,75.5,41.5,2230.0,0.0
120.5,69.5,51.0,2140.0,0.0
113.5,60.5,53.0,2196.0,0.0
125.0,70.0,55.0,2394.0,0.0
123.5,67.0,56.5,2462.0,0.0
122.5,64.0,58.5,2522.0,0.0
125.0,60.0,65.0,2550.0,0.0
110.0,81.0,29.0,2530.0,0.0
135.5,89.0,46.5,2792.0,0.0
116.0,70.5,45.5,2772.0,0.0
124.0,84.5,39.5,2990.0,0.0
139.0,102.5,36.5,3152.0,0.0
139.0,106.5,32.5,3110.0,0.0
126.0,87.0,39.0,3190.0,0.0
131.5,94.5,37.0,3210.0,0.0
135.5,102.0,33.5,3712.0,0.0
132.0,96.0,36.0,4160.0,0.0
149.0,121.0,28.0,3580.0,0.0
122.0,106.5,15.5,3820.0,0.0
155.5,139.0,16.5,3660.0,0.0
125.0,104.0,21.0,3780.0,0.0
135.0,106.5,28.5,4318.0,0.0
133.0,110.5,22.5,4640.0,0.0
130.5,119.0,11.5,4320.0,0.0
148.0,132.5,15.5,4380.0,0.0
119.0,103.5,15.5,4480.0,0.0
119.5,104.0,15.5,4860.0,0.0
135.0,108.5,26.5,4760.0,0.0
124.0,104.0,20.0,4820.0,0.0
195.5,181.5,14.0,5080.0,0.0
116.5,105.0,11.5,4080.0,0.0
130.5,110.5,20.0,4320.0,0.0
130.5,105.5,25.0,4220.0,0.0
134.5,106.5,28.0,4520.0,0.0
142.0,116.5,25.5,4720.0,0.0
140.0,118.0,22.0,4980.0,0.0
147.0,128.5,18.5,4880.0,0.0
131.5,111.0,20.5,4780.0,0.0
144.0,117.5,26.5,4420.0,0.0
148.0,124.5,23.5,4820.0,0.0
142.5,125.0,17.5,4800.0,0.0
142.5,121.5,21.0,4880.0,0.0
142.5,113.5,29.0,4760.0,0.0
135.0,106.0,29.0,4640.0,0.0
135.0,110.5,24.5,4440.0,0.0
132.5,107.5,25.0,4760.0,0.0
147.5,117.5,30.0,4940.0,0.0
155.0,123.5,31.5,4480.0,0.0
117.5,101.5,16.0,5100.0,0.0
138.5,119.0,19.5,4580.0,0.0
157.5,137.0,20.5,4500.0,0.0
148.5,134.5,14.0,4360.0,0.0
133.5,116.5,17.0,4840.0,0.0
126.5,107.5,19.0,4860.0,0.0
126.0,107.0,19.0,4760.0,0.0
171.0,161.0,10.0,4800.0,0.0
157.0,133.0,24.0,4280.0,0.0
140.5,113.0,27.5,4160.0,0.0
129.0,102.5,26.5,4440.0,0.0
129.0,98.0,31.0,4440.0,0.0
135.0,109.5,25.5,4660.0,0.0
149.5,126.5,23.0,5320.0,0.0
172.5,160.0,12.5,4840.0,0.0
141.5,123.0,18.5,4620.0,0.0
128.5,98.5,30.0,4280.0,0.0
129.0,104.5,24.5,4340.0,0.0
144.0,117.5,26.5,4400.0,0.0
154.0,142.0,12.0,4560.0,0.0
123.5,115.0,8.5,4940.0,0.0
142.5,130.0,12.5,4680.0,0.0
158.0,144.5,13.5,4460.0,0.0
157.5,140.5,17.0,4520.0,0.0
118.5,108.5,10.0,4580.0,0.0
126.0,114.5,11.5,4540.0,0.0
152.5,137.0,15.5,4720.0,0.0
155.0,130.0,25.0,5020.0,0.0
138.5,102.0,36.5,4460.0,0.0
129.0,102.0,27.0,4980.0,0.0
140.5,117.5,23.0,4340.0,0.0
147.5,123.0,24.5,4780.0,0.0
119.0,106.0,13.0,4700.0,0.0
140.0,127.0,13.0,4800.0,0.0
125.5,110.0,15.5,4860.0,0.0
146.5,128.0,18.5,5120.0,0.0
142.0,126.0,16.0,4160.0,0.0
142.0,131.5,10.5,4600.0,0.0
151.0,134.5,16.5,4520.0,0.0
123.0,96.5,26.5,4880.0,0.0
126.5,100.5,26.0,5340.0,0.0
149.0,124.0,25.0,5300.0,0.0
152.5,132.5,20.0,5060.0,0.0
143.0,129.5,13.5,4700.0,0.0
146.0,121.5,24.5,4620.0,0.0
137.0,120.0,17.0,4340.0,0.0
132.5,121.0,11.5,4520.0,0.0
150.5,134.0,16.5,4500.0,0.0
162.0,144.5,17.5,4860.0,0.0
134.5,120.0,14.5,5040.0,0.0
107.0,98.5,8.5,4600.0,0.0
135.0,126.0,9.0,4560.0,0.0
149.0,129.5,19.5,4560.0,0.0
