top - 11:33:37 up  2:51,  0 users,  load average: 0.39, 2.27, 3.86
Tasks: 384 total,   1 running, 383 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.7 us,  1.1 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  64306.6 total,  57299.7 free,   2799.8 used,   4207.1 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  60788.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  10483 root      20   0  884684 158520  21844 S  12.5   0.2  32:15.98 cadvisor
    865 root      20   0 4087228 130792  70408 S   6.2   0.2  10:09.62 kubelet
 236832 root      20   0 4730820 189856  25696 S   6.2   0.3   5:27.99 java
 638648 1337      20   0  198420  73024  37960 S   6.2   0.1   4:38.03 envoy
 760904 idozach+  20   0    9764   4276   3532 R   6.2   0.0   0:00.01 top
      1 root      20   0  170228  13252   8284 S   0.0   0.0   0:15.21 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.04 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
      9 root      20   0       0      0      0 S   0.0   0.0   0:01.53 ksoftir+
     10 root      20   0       0      0      0 I   0.0   0.0   0:23.08 rcu_sch+
     11 root      rt   0       0      0      0 S   0.0   0.0   0:00.07 migrati+
     12 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     17 root      rt   0       0      0      0 S   0.0   0.0   0:00.80 migrati+
     18 root      20   0       0      0      0 S   0.0   0.0   0:01.39 ksoftir+
     20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:00.80 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:02.70 ksoftir+
