RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1400.0,0
0.0,0.0,0.0,1400.0,0
74.0,13.5,60.5,830.0,0
55.5,0.0,55.5,400.0,0
51.0,0.0,51.0,680.0,0
55.0,0.0,55.0,650.0,0
68.5,0.0,68.5,490.0,0
60.5,0.0,60.5,490.0,0
59.5,0.0,59.5,490.0,0
54.5,0.0,54.5,460.0,0
54.5,0.0,54.5,450.0,0
52.5,0.0,52.5,560.0,0
65.0,0.0,65.0,560.0,0
54.5,0.0,54.5,560.0,0
69.5,0.0,69.5,560.0,0
57.0,0.0,57.0,600.0,0
60.0,0.0,60.0,600.0,0
56.5,0.0,56.5,490.0,0
69.5,0.0,69.5,480.0,0
50.5,0.0,50.5,700.0,0
57.5,0.0,57.5,700.0,0
77.0,0.0,77.0,660.0,0
68.0,0.0,68.0,530.0,0
77.5,0.5,77.0,530.0,0
69.0,0.0,69.0,550.0,0
68.0,2.0,66.0,690.0,0
64.5,2.5,62.0,740.0,0
57.0,1.0,56.0,580.0,0
52.5,1.0,51.5,730.0,0
56.5,3.5,53.0,660.0,0
54.0,0.0,54.0,560.0,0
62.5,1.0,61.5,560.0,0
67.5,1.0,66.5,560.0,0
68.0,2.5,65.5,630.0,0
63.5,1.0,62.5,730.0,0
62.0,1.5,60.5,480.0,0
63.5,0.0,63.5,480.0,0
67.0,0.0,67.0,430.0,0
61.0,1.5,59.5,680.0,0
55.5,1.0,54.5,680.0,0
69.5,1.0,68.5,620.0,0
71.0,0.0,71.0,590.0,0
56.5,1.5,55.0,560.0,0
62.0,1.5,60.5,740.0,0
68.0,1.0,67.0,670.0,0
74.5,1.5,73.0,670.0,0
75.0,0.0,75.0,670.0,0
62.0,0.0,62.0,690.0,0
62.0,1.0,61.0,690.0,0
64.0,1.5,62.5,560.0,0
57.0,2.5,54.5,530.0,0
66.0,1.0,65.0,570.0,0
67.5,1.0,66.5,570.0,0
73.5,2.5,71.0,680.0,0
68.5,0.0,68.5,610.0,0
67.0,0.5,66.5,620.0,0
64.0,1.0,63.0,590.0,0
69.0,5.0,64.0,730.0,0
56.0,4.5,51.5,730.0,0
77.5,2.5,75.0,500.0,0
55.5,1.0,54.5,500.0,0
55.5,3.0,52.5,530.0,0
63.5,0.0,63.5,620.0,0
58.5,0.0,58.5,580.0,0
54.0,0.0,54.0,650.0,0
65.5,1.5,64.0,660.0,0
59.5,0.0,59.5,660.0,0
56.0,0.0,56.0,650.0,0
55.5,0.0,55.5,460.0,0
56.0,0.0,56.0,450.0,0
64.0,0.0,64.0,450.0,0
56.0,2.0,54.0,780.0,0
60.5,0.0,60.5,780.0,0
67.0,1.0,66.0,670.0,0
63.0,1.0,62.0,670.0,0
65.5,0.0,65.5,540.0,0
66.0,0.0,66.0,430.0,0
60.0,0.0,60.0,360.0,0
66.5,0.0,66.5,350.0,0
68.0,0.0,68.0,350.0,0
50.0,0.0,50.0,340.0,0
68.0,0.0,68.0,370.0,0
69.0,0.0,69.0,380.0,0
65.5,0.0,65.5,430.0,0
68.0,0.0,68.0,420.0,0
67.5,0.0,67.5,380.0,0
62.0,0.0,62.0,390.0,0
58.5,0.0,58.5,400.0,0
61.0,0.0,61.0,400.0,0
67.0,0.0,67.0,400.0,0
63.5,0.0,63.5,350.0,0
61.5,0.0,61.5,370.0,0
58.5,0.0,58.5,430.0,0
60.5,0.0,60.5,430.0,0
56.5,0.0,56.5,400.0,0
65.0,0.0,65.0,310.0,0
52.0,0.0,52.0,370.0,0
53.0,0.0,53.0,360.0,0
54.5,0.0,54.5,430.0,0
50.5,0.0,50.5,430.0,0
58.0,0.0,58.0,420.0,0
59.5,0.0,59.5,310.0,0
56.5,1.0,55.5,360.0,0
65.0,1.0,64.0,290.0,0
69.5,0.0,69.5,360.0,0
65.5,0.0,65.5,420.0,0
61.5,0.0,61.5,420.0,0
52.5,0.0,52.5,420.0,0
53.0,0.0,53.0,380.0,0
66.5,0.0,66.5,410.0,0
54.5,0.0,54.5,410.0,0
56.5,0.0,56.5,390.0,0
54.5,0.0,54.5,390.0,0
67.0,0.0,67.0,390.0,0
66.0,0.0,66.0,470.0,0
52.5,0.0,52.5,470.0,0
50.5,0.0,50.5,420.0,0
60.5,0.0,60.5,420.0,0
66.0,0.0,66.0,360.0,0
65.0,0.0,65.0,380.0,0
60.0,0.0,60.0,400.0,0
65.5,0.0,65.5,400.0,0
72.5,0.0,72.5,410.0,0
60.0,0.0,60.0,410.0,0
61.0,0.0,61.0,440.0,0
65.5,0.0,65.5,380.0,0
67.5,0.0,67.5,330.0,0
76.0,0.0,76.0,370.0,0
76.5,0.0,76.5,400.0,0
61.5,0.0,61.5,330.0,0
62.5,0.0,62.5,370.0,0
69.0,0.0,69.0,440.0,0
50.0,0.0,50.0,370.0,0
42.0,0.0,42.0,490.0,0
56.5,0.0,56.5,490.0,0
53.5,0.0,53.5,390.0,0
50.5,0.0,50.5,390.0,0
56.5,0.0,56.5,390.0,0
69.0,0.0,69.0,370.0,0
65.5,0.0,65.5,390.0,0
64.5,0.0,64.5,410.0,0
73.0,0.0,73.0,390.0,0
68.5,0.0,68.5,360.0,0
62.0,0.0,62.0,410.0,0
62.5,0.0,62.5,370.0,0
58.5,0.0,58.5,450.0,0
53.0,0.0,53.0,450.0,0
56.5,0.0,56.5,370.0,0
56.0,0.0,56.0,420.0,0
57.0,0.0,57.0,440.0,0
58.0,0.0,58.0,380.0,0
66.0,0.0,66.0,440.0,0
70.5,0.0,70.5,420.0,0
70.5,0.0,70.5,420.0,0
66.5,0.0,66.5,420.0,0
57.5,0.0,57.5,410.0,0
53.5,0.0,53.5,410.0,0
62.0,0.0,62.0,330.0,0
68.0,0.0,68.0,330.0,0
72.5,0.0,72.5,360.0,0
56.5,0.0,56.5,350.0,0
48.5,0.0,48.5,340.0,0
66.0,0.0,66.0,390.0,0
83.5,0.0,83.5,390.0,0
71.5,0.0,71.5,360.0,0
71.5,0.0,71.5,430.0,0
74.5,0.0,74.5,500.0,0
72.5,0.0,72.5,410.0,0
70.5,0.0,70.5,360.0,0
53.5,0.0,53.5,410.0,0
58.0,0.0,58.0,420.0,0
78.0,0.0,78.0,420.0,0
69.5,0.0,69.5,420.0,0
65.0,0.0,65.0,380.0,0
68.5,0.0,68.5,380.0,0
72.5,0.0,72.5,420.0,0
61.0,0.0,61.0,420.0,0
61.5,0.0,61.5,380.0,0
65.5,0.0,65.5,380.0,0
65.0,0.0,65.0,360.0,0
56.0,0.0,56.0,320.0,0
61.0,0.0,61.0,380.0,0
54.0,0.0,54.0,360.0,0
53.0,0.0,53.0,340.0,0
59.5,0.0,59.5,400.0,0
67.5,0.0,67.5,390.0,0
69.0,0.0,69.0,370.0,0
58.0,0.0,58.0,370.0,0
63.5,0.0,63.5,430.0,0
63.5,0.0,63.5,370.0,0
66.5,0.0,66.5,390.0,0
59.5,0.0,59.5,360.0,0
53.5,0.0,53.5,380.0,0
60.5,0.0,60.5,380.0,0
59.0,0.0,59.0,420.0,0
59.0,0.0,59.0,430.0,0
64.0,0.0,64.0,450.0,0
68.0,0.0,68.0,390.0,0
67.5,0.0,67.5,390.0,0
64.5,0.0,64.5,380.0,0
65.5,0.0,65.5,400.0,0
74.5,0.0,74.5,400.0,0
72.5,0.0,72.5,380.0,0
48.5,0.0,48.5,330.0,0
61.5,0.0,61.5,340.0,0
59.0,0.0,59.0,380.0,0
57.0,0.0,57.0,410.0,0
63.5,0.0,63.5,340.0,0
67.5,0.0,67.5,380.0,0
66.5,0.0,66.5,380.0,0
60.5,0.0,60.5,360.0,0
53.5,0.0,53.5,420.0,0
61.5,0.0,61.5,400.0,0
69.0,0.0,69.0,400.0,0
57.0,0.0,57.0,410.0,0
59.0,0.0,59.0,370.0,0
63.0,0.0,63.0,440.0,0
55.5,0.0,55.5,440.0,0
60.0,0.0,60.0,440.0,0
62.5,0.0,62.5,350.0,0
65.5,0.0,65.5,380.0,0
77.0,0.0,77.0,340.0,0
67.0,0.0,67.0,380.0,0
64.5,0.0,64.5,380.0,0
71.5,0.0,71.5,370.0,0
53.0,0.0,53.0,400.0,0
45.0,0.0,45.0,400.0,0
61.5,0.0,61.5,390.0,0
62.0,0.0,62.0,350.0,0
63.0,0.0,63.0,350.0,0
64.0,0.0,64.0,380.0,0
63.5,0.0,63.5,390.0,0
66.0,0.0,66.0,420.0,0
58.5,0.0,58.5,430.0,0
46.0,0.0,46.0,420.0,0
56.5,0.0,56.5,420.0,0
59.5,0.0,59.5,370.0,0
68.0,0.0,68.0,390.0,0
56.5,0.0,56.5,440.0,0
52.5,0.0,52.5,440.0,0
56.5,0.0,56.5,390.0,0
70.5,0.0,70.5,320.0,0
59.0,0.0,59.0,340.0,0
47.5,0.0,47.5,400.0,0
66.0,0.0,66.0,340.0,0
68.0,0.0,68.0,370.0,0
69.5,0.0,69.5,340.0,0
69.5,0.0,69.5,370.0,0
64.0,0.0,64.0,390.0,0
56.0,0.0,56.0,390.0,0
63.5,0.0,63.5,370.0,0
74.5,0.0,74.5,390.0,0
64.0,0.0,64.0,440.0,0
68.5,0.0,68.5,420.0,0
68.5,0.0,68.5,340.0,0
67.0,0.0,67.0,410.0,0
56.5,0.0,56.5,400.0,0
70.0,0.0,70.0,370.0,0
71.0,0.0,71.0,370.0,0
62.5,0.0,62.5,360.0,0
