RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,480.0,0
45.0,0.0,45.0,650.0,0
91.5,5.0,86.5,1200.0,0
90.5,19.5,71.0,1300.0,0
73.5,18.5,55.0,1300.0,0
105.5,45.5,60.0,1100.0,0
129.5,16.0,113.5,1100.0,0
93.0,18.0,75.0,1000.0,0
125.0,25.0,100.0,1100.0,0
113.0,27.5,85.5,1000.0,0
110.0,29.0,81.0,720.0,0
111.5,29.5,82.0,920.0,0
118.5,32.5,86.0,960.0,0
122.0,37.5,84.5,940.0,0
108.5,35.5,73.0,1000.0,0
122.0,43.0,79.0,1100.0,0
132.5,44.5,88.0,1000.0,0
121.5,43.0,78.5,1000.0,0
127.5,46.5,81.0,320.0,0
121.5,48.5,73.0,360.0,0
136.0,52.0,84.0,430.0,0
141.0,57.0,84.0,280.0,0
120.0,52.0,68.0,460.0,0
130.0,54.0,76.0,430.0,0
133.0,55.0,78.0,990.0,0
133.5,54.0,79.5,980.0,0
143.5,55.0,88.5,600.0,0
141.5,69.0,72.5,390.0,0
131.0,60.0,71.0,1000.0,0
167.5,68.5,99.0,1000.0,0
131.5,63.0,68.5,790.0,0
150.5,68.0,82.5,330.0,0
144.0,68.5,75.5,450.0,0
137.0,68.5,68.5,960.0,0
147.5,70.0,77.5,1100.0,0
152.5,75.0,77.5,1100.0,0
157.5,77.0,80.5,320.0,0
149.0,77.0,72.0,400.0,0
153.0,77.0,76.0,510.0,0
159.0,80.5,78.5,470.0,0
161.5,86.0,75.5,800.0,0
156.0,82.5,73.5,510.0,0
163.0,89.0,74.0,730.0,0
169.5,97.0,72.5,1000.0,0
159.5,87.5,72.0,420.0,0
168.0,93.0,75.0,440.0,0
169.5,94.0,75.5,810.0,0
169.0,89.5,79.5,550.0,0
173.5,93.5,80.0,840.0,0
175.5,99.5,76.0,810.0,0
174.0,99.0,75.0,410.0,0
184.5,99.5,85.0,780.0,0
184.5,104.0,80.5,560.0,0
183.0,106.5,76.5,1100.0,0
174.0,101.0,73.0,370.0,0
169.5,95.5,74.0,850.0,0
180.0,106.0,74.0,830.0,0
166.0,95.5,70.5,1100.0,0
188.5,108.5,80.0,1100.0,0
183.0,105.0,78.0,340.0,0
173.0,102.5,70.5,320.0,0
174.5,100.0,74.5,450.0,0
183.0,105.5,77.5,490.0,0
180.5,104.5,76.0,420.0,0
178.0,100.5,77.5,420.0,0
186.0,98.5,87.5,390.0,0
178.0,100.5,77.5,290.0,0
179.0,101.0,78.0,370.0,0
178.0,100.5,77.5,370.0,0
171.0,100.5,70.5,430.0,0
179.0,101.5,77.5,430.0,0
176.0,100.5,75.5,550.0,0
177.0,100.5,76.5,320.0,0
185.5,100.5,85.0,420.0,0
177.5,100.5,77.0,390.0,0
178.0,100.5,77.5,390.0,0
163.0,99.0,64.0,350.0,0
185.0,100.0,85.0,390.0,0
180.0,101.0,79.0,380.0,0
174.0,100.5,73.5,520.0,0
176.5,100.5,76.0,550.0,0
175.0,100.5,74.5,410.0,0
186.0,102.0,84.0,430.0,0
182.0,100.5,81.5,280.0,0
170.0,100.5,69.5,420.0,0
173.5,100.5,73.0,420.0,0
178.0,100.5,77.5,420.0,0
178.0,100.5,77.5,420.0,0
174.5,101.0,73.5,540.0,0
186.0,101.0,85.0,460.0,0
178.0,100.5,77.5,480.0,0
171.5,100.5,71.0,470.0,0
178.0,100.5,77.5,400.0,0
179.0,100.0,79.0,400.0,0
175.0,101.5,73.5,360.0,0
180.0,100.5,79.5,380.0,0
173.5,100.5,73.0,540.0,0
175.0,100.5,74.5,540.0,0
178.5,100.5,78.0,410.0,0
178.0,100.5,77.5,390.0,0
173.0,100.5,72.5,400.0,0
177.5,100.5,77.0,390.0,0
178.5,101.0,77.5,390.0,0
178.0,100.5,77.5,340.0,0
179.0,101.0,78.0,360.0,0
