RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
6.0,0.0,6.0,40.0,0
7.5,0.0,7.5,50.0,0
10.5,0.0,10.5,57.0,0
13.5,0.0,13.5,84.0,0
16.5,0.0,16.5,48.0,0
20.0,0.0,20.0,97.0,0
25.0,0.0,25.0,110.0,0
29.5,0.0,29.5,76.0,0
30.5,0.0,30.5,95.0,0
33.5,0.0,33.5,95.0,0
39.5,0.0,39.5,93.0,0
43.5,0.0,43.5,110.0,0
47.5,0.0,47.5,130.0,0
53.5,0.0,53.5,130.0,0
55.5,0.0,55.5,150.0,0
59.5,0.0,59.5,160.0,0
69.0,0.0,69.0,230.0,0
66.5,0.0,66.5,230.0,0
65.0,0.0,65.0,180.0,0
73.5,0.0,73.5,220.0,0
78.5,0.0,78.5,240.0,0
83.5,0.0,83.5,250.0,0
87.5,0.0,87.5,260.0,0
91.5,0.0,91.5,260.0,0
96.0,0.0,96.0,330.0,0
105.5,0.0,105.5,300.0,0
103.5,0.0,103.5,310.0,0
101.5,0.0,101.5,360.0,0
110.0,0.0,110.0,360.0,0
114.0,0.0,114.0,370.0,0
118.0,0.0,118.0,390.0,0
121.5,0.0,121.5,390.0,0
129.5,0.0,129.5,420.0,0
132.0,0.0,132.0,440.0,0
135.5,0.0,135.5,400.0,0
139.0,0.0,139.0,460.0,0
141.5,0.0,141.5,450.0,0
145.5,0.0,145.5,470.0,0
151.0,0.0,151.0,450.0,0
155.0,0.0,155.0,420.0,0
160.0,0.0,160.0,470.0,0
161.0,0.0,161.0,550.0,0
172.5,0.0,172.5,430.0,0
174.5,0.0,174.5,530.0,0
151.0,0.0,151.0,530.0,0
163.0,7.5,155.5,550.0,0
160.0,9.0,151.0,900.0,0
169.0,6.5,162.5,890.0,0
200.5,5.0,195.5,540.0,0
187.0,0.0,187.0,570.0,0
181.5,0.0,181.5,580.0,0
155.0,0.0,155.0,580.0,0
157.5,2.0,155.5,550.0,0
190.0,0.0,190.0,500.0,0
162.5,0.0,162.5,550.0,0
168.5,0.0,168.5,650.0,0
175.5,0.0,175.5,500.0,0
170.5,0.0,170.5,530.0,0
168.5,0.0,168.5,530.0,0
169.5,0.0,169.5,560.0,0
189.5,0.0,189.5,610.0,0
189.0,0.0,189.0,490.0,0
174.0,0.0,174.0,490.0,0
174.0,0.0,174.0,520.0,0
174.0,0.0,174.0,530.0,0
162.5,0.0,162.5,650.0,0
169.0,0.0,169.0,530.0,0
183.5,0.0,183.5,520.0,0
172.0,0.0,172.0,540.0,0
176.0,0.0,176.0,440.0,0
181.0,0.0,181.0,500.0,0
174.0,0.0,174.0,480.0,0
156.5,0.0,156.5,580.0,0
158.5,0.0,158.5,570.0,0
184.5,0.0,184.5,580.0,0
176.0,0.0,176.0,550.0,0
178.5,0.0,178.5,540.0,0
160.0,0.0,160.0,500.0,0
165.5,0.0,165.5,540.0,0
161.0,0.0,161.0,560.0,0
178.0,0.0,178.0,580.0,0
179.0,0.0,179.0,480.0,0
179.5,0.0,179.5,520.0,0
177.0,0.0,177.0,510.0,0
182.5,0.0,182.5,500.0,0
179.0,0.0,179.0,460.0,0
174.0,0.0,174.0,560.0,0
174.0,0.0,174.0,540.0,0
174.0,0.0,174.0,510.0,0
174.0,0.0,174.0,510.0,0
170.0,0.0,170.0,640.0,0
163.5,0.0,163.5,530.0,0
161.0,0.0,161.0,590.0,0
165.5,0.0,165.5,570.0,0
183.5,1.0,182.5,600.0,0
165.0,1.0,164.0,580.0,0
180.0,2.5,177.5,490.0,0
191.0,2.5,188.5,550.0,0
158.5,0.0,158.5,560.0,0
171.5,0.0,171.5,570.0,0
191.0,0.0,191.0,510.0,0
187.5,0.0,187.5,550.0,0
172.0,0.0,172.0,590.0,0
174.0,0.0,174.0,500.0,0
176.0,0.0,176.0,520.0,0
174.0,0.0,174.0,490.0,0
174.0,0.0,174.0,510.0,0
174.0,0.0,174.0,480.0,0
174.0,0.0,174.0,530.0,0
174.0,0.0,174.0,480.0,0
166.5,0.0,166.5,580.0,0
174.0,0.0,174.0,570.0,0
181.5,0.0,181.5,470.0,0
174.0,0.0,174.0,530.0,0
157.0,0.0,157.0,580.0,0
182.5,0.0,182.5,520.0,0
174.0,0.0,174.0,510.0,0
174.0,0.0,174.0,580.0,0
167.0,0.0,167.0,500.0,0
174.0,0.0,174.0,580.0,0
181.0,0.0,181.0,440.0,0
163.0,0.0,163.0,510.0,0
161.5,0.0,161.5,520.0,0
161.5,0.0,161.5,560.0,0
167.0,0.0,167.0,600.0,0
190.0,0.0,190.0,570.0,0
176.0,0.0,176.0,670.0,0
179.0,0.0,179.0,590.0,0
177.5,0.0,177.5,550.0,0
178.5,0.0,178.5,510.0,0
173.5,0.0,173.5,570.0,0
182.0,0.0,182.0,530.0,0
174.0,0.0,174.0,510.0,0
149.5,0.0,149.5,600.0,0
161.5,3.5,158.0,590.0,0
180.5,10.5,170.0,560.0,0
173.5,9.5,164.0,600.0,0
175.0,9.0,166.0,590.0,0
188.5,6.5,182.0,580.0,0
175.5,0.0,175.5,540.0,0
164.5,0.0,164.5,540.0,0
183.0,0.0,183.0,510.0,0
185.5,0.0,185.5,460.0,0
176.5,0.0,176.5,550.0,0
174.0,0.0,174.0,520.0,0
165.5,0.0,165.5,520.0,0
174.0,0.0,174.0,500.0,0
182.5,0.0,182.5,520.0,0
174.0,0.0,174.0,490.0,0
174.0,0.0,174.0,500.0,0
172.5,0.0,172.5,490.0,0
177.0,0.0,177.0,470.0,0
174.0,0.0,174.0,490.0,0
174.0,0.0,174.0,510.0,0
174.0,0.0,174.0,460.0,0
174.0,0.0,174.0,480.0,0
174.0,0.0,174.0,530.0,0
174.0,0.0,174.0,470.0,0
174.0,0.0,174.0,480.0,0
174.0,0.0,174.0,470.0,0
174.0,0.0,174.0,530.0,0
173.0,0.0,173.0,540.0,0
174.0,0.0,174.0,480.0,0
172.5,0.0,172.5,540.0,0
174.0,0.0,174.0,540.0,0
175.5,0.0,175.5,550.0,0
174.0,0.0,174.0,480.0,0
174.0,0.0,174.0,520.0,0
174.0,0.0,174.0,490.0,0
174.0,0.0,174.0,530.0,0
174.0,0.0,174.0,570.0,0
174.0,0.0,174.0,530.0,0
174.0,0.0,174.0,590.0,0
174.0,0.0,174.0,560.0,0
174.0,0.0,174.0,470.0,0
171.0,0.0,171.0,510.0,0
169.0,0.0,169.0,540.0,0
171.5,0.0,171.5,560.0,0
171.5,0.0,171.5,530.0,0
162.0,0.0,162.0,550.0,0
181.5,0.0,181.5,500.0,0
191.5,0.0,191.5,530.0,0
174.0,0.0,174.0,510.0,0
174.0,0.0,174.0,520.0,0
174.0,0.0,174.0,470.0,0
174.0,0.0,174.0,460.0,0
174.0,0.0,174.0,500.0,0
174.0,0.0,174.0,520.0,0
174.0,0.0,174.0,460.0,0
174.0,0.0,174.0,550.0,0
174.0,0.0,174.0,490.0,0
167.0,0.0,167.0,580.0,0
174.0,0.0,174.0,510.0,0
181.0,0.0,181.0,520.0,0
174.0,0.0,174.0,580.0,0
174.0,0.0,174.0,490.0,0
174.0,0.0,174.0,600.0,0
174.0,0.0,174.0,590.0,0
174.0,0.0,174.0,470.0,0
174.0,0.0,174.0,460.0,0
174.0,0.0,174.0,490.0,0
174.0,0.0,174.0,470.0,0
174.0,0.0,174.0,520.0,0
174.0,0.0,174.0,510.0,0
174.0,0.0,174.0,460.0,0
174.0,0.0,174.0,490.0,0
170.0,0.0,170.0,580.0,0
172.0,0.0,172.0,520.0,0
178.0,0.0,178.0,550.0,0
176.0,0.0,176.0,560.0,0
174.0,0.0,174.0,580.0,0
174.0,0.0,174.0,570.0,0
174.0,0.0,174.0,490.0,0
174.5,0.0,174.5,490.0,0
174.0,0.0,174.0,480.0,0
174.0,0.0,174.0,500.0,0
174.0,0.0,174.0,490.0,0
174.0,0.0,174.0,540.0,0
174.0,0.0,174.0,450.0,0
174.0,0.0,174.0,480.0,0
174.0,0.0,174.0,490.0,0
174.0,0.0,174.0,510.0,0
174.0,0.0,174.0,540.0,0
174.0,0.0,174.0,520.0,0
168.5,0.0,168.5,490.0,0
172.0,0.0,172.0,530.0,0
179.5,0.0,179.5,480.0,0
179.5,0.0,179.5,540.0,0
174.0,0.0,174.0,480.0,0
174.0,0.0,174.0,450.0,0
164.5,0.0,164.5,520.0,0
162.0,0.0,162.0,550.0,0
183.5,0.0,183.5,560.0,0
186.0,0.0,186.0,560.0,0
174.0,0.0,174.0,490.0,0
174.0,0.0,174.0,490.0,0
174.0,0.0,174.0,480.0,0
174.0,0.0,174.0,460.0,0
174.0,0.0,174.0,490.0,0
174.0,0.0,174.0,580.0,0
174.0,0.0,174.0,550.0,0
169.5,0.0,169.5,560.0,0
174.0,0.0,174.0,500.0,0
164.0,0.0,164.0,510.0,0
174.0,0.0,174.0,500.0,0
188.5,0.0,188.5,540.0,0
167.0,0.0,167.0,520.0,0
188.0,0.0,188.0,550.0,0
174.0,0.0,174.0,490.0,0
174.0,0.0,174.0,480.0,0
174.0,0.0,174.0,500.0,0
174.0,0.0,174.0,520.0,0
170.5,0.0,170.5,550.0,0
174.0,0.0,174.0,470.0,0
177.5,0.0,177.5,530.0,0
174.0,0.0,174.0,500.0,0
168.5,0.0,168.5,540.0,0
174.0,0.0,174.0,560.0,0
177.0,0.0,177.0,520.0,0
172.0,0.0,172.0,570.0,0
173.0,0.0,173.0,560.0,0
163.0,0.0,163.0,530.0,0
178.5,0.0,178.5,550.0,0
185.0,0.0,185.0,450.0,0
174.0,0.0,174.0,490.0,0
174.0,0.0,174.0,510.0,0
174.0,0.0,174.0,500.0,0
174.0,0.0,174.0,500.0,0
170.5,0.0,170.5,500.0,0
170.5,0.0,170.5,480.0,0
177.5,0.0,177.5,450.0,0
174.0,0.0,174.0,520.0,0
174.0,0.0,174.0,480.0,0
169.5,0.0,169.5,530.0,0
174.0,0.0,174.0,540.0,0
178.5,0.0,178.5,520.0,0
174.0,0.0,174.0,500.0,0
174.0,0.0,174.0,480.0,0
174.0,0.0,174.0,550.0,0
174.0,0.0,174.0,610.0,0
164.5,0.0,164.5,530.0,0
159.5,0.0,159.5,500.0,0
183.5,0.0,183.5,510.0,0
164.5,0.0,164.5,570.0,0
155.0,0.0,155.0,550.0,0
183.5,0.0,183.5,520.0,0
174.0,0.0,174.0,480.0,0
171.5,0.0,171.5,540.0,0
167.0,0.0,167.0,520.0,0
176.5,0.0,176.5,450.0,0
181.0,0.0,181.0,550.0,0
174.0,0.0,174.0,500.0,0
174.0,0.0,174.0,510.0,0
174.0,0.0,174.0,570.0,0
167.0,0.0,167.0,520.0,0
178.0,0.0,178.0,470.0,0
178.0,0.0,178.0,540.0,0
174.0,0.0,174.0,510.0,0
175.0,0.0,175.0,510.0,0
166.5,0.0,166.5,590.0,0
174.0,0.0,174.0,480.0,0
181.5,0.0,181.5,480.0,0
171.0,0.0,171.0,470.0,0
174.0,0.0,174.0,490.0,0
171.0,0.0,171.0,520.0,0
170.5,0.0,170.5,500.0,0
180.0,0.0,180.0,510.0,0
177.5,0.0,177.5,530.0,0
174.0,0.0,174.0,550.0,0
174.0,0.0,174.0,500.0,0
174.0,0.0,174.0,500.0,0
174.0,0.0,174.0,470.0,0
