top - 15:14:08 up 40 min,  0 users,  load average: 0.85, 3.14, 5.16
Tasks: 382 total,   1 running, 381 sleeping,   0 stopped,   0 zombie
%Cpu(s):  6.3 us,  4.8 sy,  0.0 ni, 87.4 id,  0.0 wa,  0.0 hi,  1.5 si,  0.0 st
MiB Mem :  64306.6 total,  57925.5 free,   2678.1 used,   3703.0 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  60917.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   8831 user      20   0  755020  51064  34016 S  18.8   0.1   0:11.37 metrics+
  11756 root      20   0  884428 173128  21692 S  18.8   0.3   8:56.89 cadvisor
   1182 root      20   0 5504928 136832  54152 S   6.2   0.2   6:30.02 dockerd
   1867 root      20   0 1281084  53192  33500 S   6.2   0.1   2:23.72 cri-doc+
   2295 root      20   0 1453616  23612  14192 S   6.2   0.0   0:24.69 fluent-+
   7056 1337      20   0  756520  45420  31460 S   6.2   0.1   0:04.56 pilot-a+
   8455 root      20   0 1238608  14100  10100 S   6.2   0.0   0:05.07 contain+
   8978 root      20   0 2571424  63516  45844 S   6.2   0.1   0:53.89 calico-+
 180658 idozach+  20   0    9748   4132   3400 R   6.2   0.0   0:00.01 top
      1 root      20   0  169448  13080   8572 S   0.0   0.0   0:05.49 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
      9 root      20   0       0      0      0 S   0.0   0.0   0:00.32 ksoftir+
     10 root      20   0       0      0      0 I   0.0   0.0   0:05.97 rcu_sch+
     11 root      rt   0       0      0      0 S   0.0   0.0   0:00.01 migrati+
     12 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     17 root      rt   0       0      0      0 S   0.0   0.0   0:00.76 migrati+
     18 root      20   0       0      0      0 S   0.0   0.0   0:01.03 ksoftir+
     20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
