timestamp,target_service,upstream_rq_total,upstream_rq_retry,upstream_rq_retry_success,upstream_rq_retry_limit_exceeded
2026-09-05T17:37:57Z,cartservice,4606709,0,0,0
2026-09-05T17:37:57Z,productcatalogservice,18497401,0,0,0
2026-09-05T17:37:57Z,checkoutservice,123726,398,12,172
2026-09-05T17:38:02Z,cartservice,4606709,0,0,0
2026-09-05T17:38:02Z,productcatalogservice,18497401,0,0,0
2026-09-05T17:38:02Z,checkoutservice,123726,398,12,172
2026-09-05T17:38:08Z,cartservice,4606709,0,0,0
2026-09-05T17:38:08Z,productcatalogservice,18497401,0,0,0
2026-09-05T17:38:08Z,checkoutservice,123726,398,12,172
2026-09-05T17:38:13Z,cartservice,4606709,0,0,0
2026-09-05T17:38:13Z,productcatalogservice,18497401,0,0,0
2026-09-05T17:38:13Z,checkoutservice,123726,398,12,172
2026-09-05T17:38:19Z,cartservice,4606709,0,0,0
2026-09-05T17:38:19Z,productcatalogservice,18497401,0,0,0
2026-09-05T17:38:19Z,checkoutservice,123726,398,12,172
2026-09-05T17:38:24Z,cartservice,4606709,0,0,0
2026-09-05T17:38:24Z,productcatalogservice,18497401,0,0,0
2026-09-05T17:38:24Z,checkoutservice,123726,398,12,172
2026-09-05T17:38:29Z,cartservice,4606709,0,0,0
2026-09-05T17:38:29Z,productcatalogservice,18497401,0,0,0
2026-09-05T17:38:29Z,checkoutservice,123726,398,12,172
2026-09-05T17:38:35Z,cartservice,4606709,0,0,0
2026-09-05T17:38:35Z,productcatalogservice,18497401,0,0,0
2026-09-05T17:38:35Z,checkoutservice,123726,398,12,172
2026-09-05T17:38:40Z,cartservice,4606709,0,0,0
2026-09-05T17:38:40Z,productcatalogservice,18497401,0,0,0
2026-09-05T17:38:40Z,checkoutservice,123726,398,12,172
2026-09-05T17:38:45Z,cartservice,4608023,0,0,0
2026-09-05T17:38:45Z,productcatalogservice,18502227,0,0,0
2026-09-05T17:38:45Z,checkoutservice,123756,398,12,172
2026-09-05T17:38:51Z,cartservice,4610163,0,0,0
2026-09-05T17:38:51Z,productcatalogservice,18510927,0,0,0
2026-09-05T17:38:51Z,checkoutservice,123814,398,12,172
2026-09-05T17:38:56Z,cartservice,4612811,0,0,0
2026-09-05T17:38:56Z,productcatalogservice,18520436,0,0,0
2026-09-05T17:38:56Z,checkoutservice,123867,398,12,172
2026-09-05T17:39:02Z,cartservice,4615159,0,0,0
2026-09-05T17:39:02Z,productcatalogservice,18530570,0,0,0
2026-09-05T17:39:02Z,checkoutservice,123921,398,12,172
2026-09-05T17:39:07Z,cartservice,4617864,0,0,0
2026-09-05T17:39:07Z,productcatalogservice,18540594,0,0,0
2026-09-05T17:39:07Z,checkoutservice,123968,398,12,172
2026-09-05T17:39:12Z,cartservice,4620433,0,0,0
