RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
60.0,0.0,60.0,318.0,0.0
166.0,0.0,166.0,548.0,0.0
294.5,36.5,258.0,822.0,0.0
391.5,97.0,294.5,918.0,0.0
449.5,121.5,328.0,828.0,0.0
499.0,51.5,447.5,524.0,0.0
409.0,0.0,409.0,576.0,0.0
440.0,2.0,438.0,616.0,0.0
468.5,2.0,466.5,598.0,0.0
415.5,10.0,405.5,618.0,0.0
427.5,8.5,419.0,632.0,0.0
492.5,4.5,488.0,602.0,0.0
484.5,3.5,481.0,580.0,0.0
471.5,4.5,467.0,612.0,0.0
465.0,2.5,462.5,578.0,0.0
469.5,7.0,462.5,626.0,0.0
422.0,10.0,412.0,662.0,0.0
466.5,16.0,450.5,692.0,0.0
492.0,33.0,459.0,712.0,0.0
473.0,43.0,430.0,756.0,0.0
491.0,83.0,408.0,832.0,0.0
525.0,61.0,464.0,878.0,0.0
535.5,84.5,451.0,668.0,0.0
490.0,29.5,460.5,752.0,0.0
550.0,71.5,478.5,744.0,0.0
539.5,53.0,486.5,740.0,0.0
544.5,66.0,478.5,834.0,0.0
526.5,55.5,471.0,744.0,0.0
498.0,67.5,430.5,804.0,0.0
545.5,112.0,433.5,878.0,0.0
461.5,110.5,351.0,1038.0,0.0
568.5,205.0,363.5,984.0,0.0
499.5,179.5,320.0,1004.0,0.0
532.5,149.0,383.5,1008.0,0.0
533.0,121.0,412.0,988.0,0.0
546.0,146.5,399.5,984.0,0.0
515.0,150.0,365.0,888.0,0.0
514.5,115.5,399.0,878.0,0.0
509.0,153.5,355.5,998.0,0.0
540.5,194.0,346.5,1036.0,0.0
522.0,176.5,345.5,1090.0,0.0
523.0,166.5,356.5,1086.0,0.0
558.0,196.5,361.5,886.0,0.0
543.5,122.5,421.0,932.0,0.0
555.0,121.5,433.5,988.0,0.0
540.5,82.5,458.0,1034.0,0.0
536.0,151.0,385.0,1042.0,0.0
562.5,117.5,445.0,1026.0,0.0
512.5,139.0,373.5,1026.0,0.0
535.5,115.0,420.5,1050.0,0.0
484.5,247.5,237.0,1024.0,0.0
558.5,169.5,389.0,930.0,0.0
557.5,107.0,450.5,884.0,0.0
541.5,67.0,474.5,922.0,0.0
532.5,108.0,424.5,1016.0,0.0
518.0,147.5,370.5,932.0,0.0
531.0,146.5,384.5,944.0,0.0
519.0,124.5,394.5,986.0,0.0
522.0,118.5,403.5,982.0,0.0
540.5,87.5,453.0,984.0,0.0
513.0,103.0,410.0,1082.0,0.0
552.5,143.5,409.0,882.0,0.0
521.0,84.0,437.0,904.0,0.0
534.5,102.5,432.0,1040.0,0.0
564.5,54.0,510.5,844.0,0.0
520.0,55.0,465.0,838.0,0.0
579.5,82.0,497.5,858.0,0.0
500.5,60.0,440.5,1012.0,0.0
498.0,140.0,358.0,1042.0,0.0
505.0,143.5,361.5,1016.0,0.0
520.0,152.0,368.0,954.0,0.0
579.0,96.5,482.5,844.0,0.0
531.5,57.5,474.0,914.0,0.0
483.0,127.0,356.0,1172.0,0.0
593.0,160.0,433.0,980.0,0.0
526.5,71.5,455.0,874.0,0.0
509.0,81.5,427.5,980.0,0.0
572.5,114.5,458.0,930.0,0.0
555.5,86.0,469.5,978.0,0.0
554.0,54.0,500.0,770.0,0.0
525.0,52.0,473.0,944.0,0.0
526.5,75.0,451.5,1004.0,0.0
514.0,122.0,392.0,1084.0,0.0
512.0,196.0,316.0,1068.0,0.0
565.0,152.5,412.5,860.0,0.0
511.5,113.5,398.0,890.0,0.0
505.0,235.0,270.0,942.0,0.0
522.5,241.0,281.5,922.0,0.0
532.0,156.5,375.5,820.0,0.0
517.0,160.5,356.5,846.0,0.0
554.5,166.0,388.5,828.0,0.0
502.0,145.0,357.0,878.0,0.0
496.5,192.5,304.0,900.0,0.0
529.0,193.5,335.5,880.0,0.0
524.5,214.5,310.0,910.0,0.0
544.0,167.0,377.0,850.0,0.0
570.5,114.0,456.5,792.0,0.0
521.0,71.0,450.0,810.0,0.0
498.5,137.0,361.5,944.0,0.0
478.0,227.0,251.0,970.0,0.0
522.0,222.0,300.0,926.0,0.0
495.0,178.0,317.0,940.0,0.0
520.5,215.0,305.5,992.0,0.0
469.0,269.5,199.5,1020.0,0.0
510.5,264.0,246.5,938.0,0.0
519.5,252.0,267.5,986.0,0.0
521.5,206.0,315.5,896.0,0.0
515.5,159.5,356.0,896.0,0.0
513.0,213.5,299.5,942.0,0.0
547.5,179.0,368.5,914.0,0.0
488.0,213.5,274.5,876.0,0.0
521.0,198.5,322.5,888.0,0.0
521.0,186.0,335.0,916.0,0.0
497.0,220.0,277.0,996.0,0.0
497.5,168.0,329.5,894.0,0.0
532.0,175.0,357.0,904.0,0.0
543.5,182.5,361.0,932.0,0.0
542.5,114.5,428.0,888.0,0.0
499.0,149.5,349.5,888.0,0.0
511.0,160.5,350.5,920.0,0.0
525.5,186.5,339.0,900.0,0.0
518.0,160.5,357.5,942.0,0.0
555.0,145.5,409.5,826.0,0.0
515.0,114.5,400.5,862.0,0.0
493.0,163.5,329.5,932.0,0.0
498.0,266.5,231.5,924.0,0.0
506.5,199.0,307.5,908.0,0.0
512.5,206.0,306.5,850.0,0.0
508.5,222.5,286.0,906.0,0.0
521.5,272.5,249.0,926.0,0.0
516.5,267.5,249.0,890.0,0.0
522.0,200.0,322.0,872.0,0.0
523.5,211.5,312.0,922.0,0.0
506.5,209.0,297.5,904.0,0.0
603.5,149.5,454.0,854.0,0.0
538.0,112.0,426.0,834.0,0.0
506.0,148.0,358.0,842.0,0.0
513.0,187.5,325.5,940.0,0.0
548.0,191.5,356.5,896.0,0.0
519.5,168.0,351.5,916.0,0.0
512.0,163.5,348.5,966.0,0.0
499.0,157.5,341.5,958.0,0.0
528.5,145.0,383.5,938.0,0.0
509.0,200.0,309.0,982.0,0.0
535.0,186.5,348.5,880.0,0.0
530.0,183.0,347.0,856.0,0.0
532.5,185.5,347.0,842.0,0.0
492.0,202.0,290.0,902.0,0.0
547.5,206.0,341.5,840.0,0.0
543.0,127.5,415.5,886.0,0.0
524.0,76.0,448.0,922.0,0.0
513.5,147.0,366.5,934.0,0.0
516.0,200.0,316.0,878.0,0.0
566.5,164.5,402.0,906.0,0.0
525.0,141.0,384.0,902.0,0.0
536.0,138.0,398.0,858.0,0.0
595.0,80.5,514.5,752.0,0.0
553.5,39.5,514.0,708.0,0.0
531.5,47.5,484.0,758.0,0.0
444.5,34.5,410.0,934.0,0.0
558.5,296.0,262.5,896.0,0.0
478.5,179.5,299.0,930.0,0.0
525.0,241.0,284.0,882.0,0.0
575.0,169.0,406.0,784.0,0.0
566.5,83.0,483.5,790.0,0.0
510.0,104.0,406.0,844.0,0.0
488.0,145.5,342.5,842.0,0.0
523.5,173.5,350.0,876.0,0.0
574.0,108.5,465.5,796.0,0.0
544.0,92.5,451.5,778.0,0.0
543.0,84.0,459.0,720.0,0.0
546.5,48.5,498.0,820.0,0.0
518.5,107.5,411.0,870.0,0.0
522.0,135.0,387.0,788.0,0.0
535.0,116.0,419.0,932.0,0.0
502.5,176.5,326.0,970.0,0.0
520.5,206.5,314.0,926.0,0.0
453.0,224.5,228.5,934.0,0.0
508.5,262.0,246.5,940.0,0.0
547.5,224.5,323.0,814.0,0.0
562.0,122.5,439.5,772.0,0.0
536.5,97.5,439.0,926.0,0.0
492.5,177.5,315.0,922.0,0.0
528.0,226.0,302.0,912.0,0.0
545.5,187.5,358.0,880.0,0.0
475.0,223.5,251.5,988.0,0.0
549.0,241.0,308.0,912.0,0.0
558.0,168.5,389.5,812.0,0.0
568.5,102.0,466.5,804.0,0.0
541.5,81.0,460.5,780.0,0.0
513.5,80.5,433.0,830.0,0.0
535.5,106.5,429.0,786.0,0.0
567.0,88.5,478.5,764.0,0.0
513.0,69.0,444.0,860.0,0.0
520.5,159.5,361.0,868.0,0.0
510.5,135.0,375.5,888.0,0.0
507.5,209.5,298.0,910.0,0.0
548.0,172.0,376.0,836.0,0.0
552.5,121.0,431.5,820.0,0.0
528.0,86.5,441.5,830.0,0.0
542.5,95.0,447.5,824.0,0.0
539.0,110.0,429.0,834.0,0.0
537.5,122.5,415.0,800.0,0.0
536.0,70.5,465.5,752.0,0.0
