RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
1.0,0.0,1.0,140.0,0
1.5,0.0,1.5,140.0,0
2.5,0.0,2.5,13.0,0
3.5,0.0,3.5,15.0,0
4.5,0.0,4.5,54.0,0
6.0,0.0,6.0,55.0,0
7.5,0.0,7.5,58.0,0
8.5,0.0,8.5,59.0,0
9.5,0.0,9.5,59.0,0
10.5,0.0,10.5,57.0,0
11.5,0.0,11.5,54.0,0
12.5,0.0,12.5,56.0,0
13.5,0.0,13.5,56.0,0
14.5,0.0,14.5,56.0,0
15.5,0.0,15.5,55.0,0
16.5,0.0,16.5,58.0,0
18.0,0.0,18.0,56.0,0
19.0,0.0,19.0,56.0,0
20.5,0.0,20.5,53.0,0
21.5,0.0,21.5,54.0,0
22.5,0.0,22.5,55.0,0
23.5,0.0,23.5,55.0,0
24.5,0.0,24.5,58.0,0
25.5,0.0,25.5,58.0,0
26.5,0.0,26.5,57.0,0
27.5,0.0,27.5,57.0,0
28.5,0.0,28.5,56.0,0
30.0,0.0,30.0,56.0,0
31.0,0.0,31.0,59.0,0
32.5,0.0,32.5,59.0,0
33.5,0.0,33.5,56.0,0
34.5,0.0,34.5,55.0,0
35.5,0.0,35.5,56.0,0
36.5,0.0,36.5,59.0,0
37.5,0.0,37.5,61.0,0
38.5,0.0,38.5,63.0,0
39.5,0.0,39.5,69.0,0
40.5,0.0,40.5,76.0,0
42.0,0.0,42.0,79.0,0
43.5,0.0,43.5,53.0,0
44.0,0.0,44.0,63.0,0
44.0,0.0,44.0,66.0,0
44.0,0.5,43.5,70.0,0
44.0,0.5,43.5,65.0,0
44.0,0.0,44.0,60.0,0
44.0,0.0,44.0,70.0,0
44.0,0.0,44.0,74.0,0
44.0,0.0,44.0,74.0,0
44.0,0.0,44.0,78.0,0
44.0,0.0,44.0,77.0,0
44.0,0.0,44.0,88.0,0
44.0,0.5,43.5,71.0,0
44.0,0.5,43.5,80.0,0
44.0,0.0,44.0,74.0,0
44.0,0.0,44.0,70.0,0
44.0,0.0,44.0,86.0,0
44.0,0.0,44.0,86.0,0
44.0,0.0,44.0,74.0,0
44.0,0.0,44.0,73.0,0
44.0,0.0,44.0,69.0,0
44.0,0.0,44.0,87.0,0
44.0,0.0,44.0,87.0,0
44.0,3.0,41.0,72.0,0
44.0,0.0,44.0,65.0,0
44.0,0.0,44.0,65.0,0
44.0,0.0,44.0,85.0,0
44.0,0.0,44.0,74.0,0
44.0,0.0,44.0,71.0,0
44.0,0.0,44.0,67.0,0
44.0,0.0,44.0,62.0,0
44.0,0.0,44.0,80.0,0
44.0,0.0,44.0,80.0,0
44.0,0.0,44.0,72.0,0
44.0,1.0,43.0,73.0,0
44.0,1.0,43.0,73.0,0
44.0,0.0,44.0,87.0,0
44.0,0.0,44.0,51.0,0
44.0,0.0,44.0,71.0,0
44.0,0.0,44.0,68.0,0
44.0,0.0,44.0,66.0,0
44.0,0.0,44.0,67.0,0
44.0,0.0,44.0,74.0,0
44.0,0.0,44.0,77.0,0
44.0,0.0,44.0,75.0,0
44.0,0.0,44.0,74.0,0
44.0,0.0,44.0,75.0,0
44.0,0.0,44.0,77.0,0
44.0,0.0,44.0,80.0,0
44.0,0.0,44.0,68.0,0
44.0,0.0,44.0,72.0,0
44.0,0.0,44.0,85.0,0
44.0,0.0,44.0,85.0,0
44.0,0.0,44.0,74.0,0
44.0,2.0,42.0,64.0,0
44.0,2.0,42.0,63.0,0
44.0,0.0,44.0,85.0,0
44.0,0.0,44.0,85.0,0
44.0,0.0,44.0,71.0,0
44.0,0.0,44.0,75.0,0
44.0,0.0,44.0,64.0,0
44.0,0.0,44.0,75.0,0
44.0,0.0,44.0,77.0,0
44.0,0.0,44.0,76.0,0
44.0,0.0,44.0,73.0,0
44.0,0.0,44.0,65.0,0
44.0,0.0,44.0,70.0,0
44.0,0.0,44.0,73.0,0
44.0,0.0,44.0,84.0,0
44.0,0.0,44.0,84.0,0
44.0,0.0,44.0,68.0,0
44.0,0.0,44.0,86.0,0
44.0,0.0,44.0,66.0,0
44.0,0.0,44.0,71.0,0
44.0,0.0,44.0,60.0,0
44.0,0.0,44.0,68.0,0
44.0,0.0,44.0,70.0,0
44.0,0.0,44.0,80.0,0
44.0,0.0,44.0,81.0,0
44.0,0.0,44.0,77.0,0
44.0,0.0,44.0,74.0,0
44.0,0.0,44.0,80.0,0
44.0,0.0,44.0,83.0,0
44.0,0.0,44.0,96.0,0
44.0,0.0,44.0,77.0,0
44.0,0.0,44.0,75.0,0
44.0,0.0,44.0,71.0,0
44.0,0.0,44.0,71.0,0
44.0,0.0,44.0,66.0,0
44.0,0.0,44.0,68.0,0
44.0,0.0,44.0,65.0,0
44.0,0.0,44.0,69.0,0
44.0,0.0,44.0,71.0,0
44.0,0.0,44.0,84.0,0
44.0,0.0,44.0,84.0,0
44.0,0.0,44.0,70.0,0
44.0,0.0,44.0,58.0,0
44.0,0.0,44.0,87.0,0
44.0,0.0,44.0,74.0,0
44.0,0.0,44.0,71.0,0
44.0,0.0,44.0,69.0,0
44.0,0.5,43.5,66.0,0
44.0,0.5,43.5,78.0,0
44.0,0.0,44.0,80.0,0
44.0,0.0,44.0,71.0,0
44.0,0.0,44.0,71.0,0
44.0,0.0,44.0,77.0,0
44.0,0.0,44.0,69.0,0
44.0,0.0,44.0,76.0,0
44.0,0.0,44.0,73.0,0
44.0,0.0,44.0,68.0,0
44.0,0.0,44.0,75.0,0
44.0,0.0,44.0,79.0,0
44.0,0.0,44.0,82.0,0
44.0,0.0,44.0,80.0,0
44.0,0.0,44.0,69.0,0
