RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,330.0,0
0.5,0.0,0.5,330.0,0
2.0,0.0,2.0,260.0,0
3.5,0.0,3.5,100.0,0
4.5,0.0,4.5,150.0,0
6.0,0.0,6.0,120.0,0
6.5,0.0,6.5,170.0,0
10.5,0.0,10.5,100.0,0
10.0,0.0,10.0,130.0,0
11.5,0.0,11.5,170.0,0
12.5,0.0,12.5,130.0,0
14.0,0.0,14.0,130.0,0
15.5,0.0,15.5,230.0,0
16.5,0.0,16.5,230.0,0
17.5,0.0,17.5,200.0,0
18.5,0.0,18.5,220.0,0
20.0,0.0,20.0,190.0,0
22.0,0.0,22.0,190.0,0
23.5,0.0,23.5,200.0,0
24.5,0.0,24.5,220.0,0
26.0,0.0,26.0,270.0,0
27.5,0.0,27.5,220.0,0
28.5,0.0,28.5,220.0,0
29.5,0.0,29.5,220.0,0
30.5,0.0,30.5,300.0,0
32.0,0.0,32.0,300.0,0
33.5,0.0,33.5,280.0,0
35.0,0.0,35.0,320.0,0
35.0,0.0,35.0,350.0,0
34.5,0.0,34.5,420.0,0
38.0,0.0,38.0,310.0,0
39.0,0.0,39.0,370.0,0
38.0,0.0,38.0,360.0,0
41.0,0.0,41.0,380.0,0
43.0,0.0,43.0,380.0,0
44.0,0.0,44.0,590.0,0
46.5,0.0,46.5,440.0,0
47.5,0.0,47.5,580.0,0
51.0,0.0,51.0,860.0,0
49.5,0.0,49.5,700.0,0
45.5,0.0,45.5,710.0,0
46.0,6.0,40.0,1100.0,0
43.0,15.0,28.0,1700.0,0
48.0,18.0,30.0,2100.0,0
49.5,18.5,31.0,1100.0,0
44.5,14.0,30.5,2200.0,0
43.0,13.0,30.0,2200.0,0
45.5,20.0,25.5,2100.0,0
44.5,19.5,25.0,2200.0,0
42.5,16.0,26.5,2200.0,0
47.0,19.0,28.0,2100.0,0
47.0,20.5,26.5,1700.0,0
46.5,17.0,29.5,2100.0,0
41.5,16.0,25.5,2100.0,0
42.0,18.5,23.5,2100.0,0
42.0,19.5,22.5,2100.0,0
44.5,18.0,26.5,2100.0,0
47.0,16.0,31.0,2100.0,0
43.5,13.0,30.5,2100.0,0
42.5,12.5,30.0,2100.0,0
47.0,17.5,29.5,2100.0,0
45.5,20.5,25.0,2100.0,0
48.0,24.0,24.0,2100.0,0
42.0,18.0,24.0,2100.0,0
44.0,20.0,24.0,2100.0,0
42.0,21.0,21.0,2100.0,0
45.5,23.0,22.5,2100.0,0
48.0,21.5,26.5,1600.0,0
45.0,16.5,28.5,2100.0,0
45.0,14.5,30.5,2100.0,0
42.5,13.0,29.5,2100.0,0
41.0,16.5,24.5,2200.0,0
47.0,19.5,27.5,2100.0,0
49.0,15.5,33.5,2100.0,0
45.0,15.5,29.5,1700.0,0
48.0,24.5,23.5,2100.0,0
47.5,24.0,23.5,1500.0,0
47.5,20.5,27.0,2100.0,0
48.0,15.0,33.0,2100.0,0
43.5,15.0,28.5,1600.0,0
45.0,23.0,22.0,2000.0,0
48.0,24.5,23.5,2100.0,0
48.5,22.5,26.0,2100.0,0
46.5,16.5,30.0,2100.0,0
42.0,14.0,28.0,2100.0,0
46.0,21.5,24.5,2100.0,0
47.0,22.5,24.5,1700.0,0
45.5,20.5,25.0,2000.0,0
49.5,19.0,30.5,1600.0,0
46.5,15.5,31.0,1700.0,0
38.5,15.5,23.0,2100.0,0
41.0,22.5,18.5,2100.0,0
47.5,25.0,22.5,2100.0,0
43.0,22.5,20.5,2100.0,0
40.5,23.0,17.5,2100.0,0
42.5,23.5,19.0,2200.0,0
43.5,24.0,19.5,2200.0,0
46.0,21.5,24.5,2100.0,0
49.0,14.5,34.5,2100.0,0
46.0,13.0,33.0,1700.0,0
46.5,15.0,31.5,2100.0,0
45.0,18.5,26.5,1600.0,0
46.0,18.5,27.5,2100.0,0
45.5,16.0,29.5,2100.0,0
42.0,15.0,27.0,2100.0,0
45.5,19.5,26.0,2100.0,0
48.5,18.5,30.0,2100.0,0
44.5,14.0,30.5,2100.0,0
46.0,18.0,28.0,2100.0,0
46.5,18.0,28.5,2100.0,0
48.5,19.0,29.5,2100.0,0
51.0,18.5,32.5,1600.0,0
45.0,13.5,31.5,1100.0,0
41.0,13.0,28.0,2200.0,0
38.0,18.0,20.0,2200.0,0
42.5,23.0,19.5,2100.0,0
49.5,23.5,26.0,2200.0,0
51.0,21.0,30.0,2100.0,0
46.5,13.5,33.0,1600.0,0
40.0,10.0,30.0,2100.0,0
41.5,15.0,26.5,2100.0,0
45.0,19.0,26.0,2100.0,0
46.0,21.0,25.0,2100.0,0
44.0,17.0,27.0,2100.0,0
41.5,15.5,26.0,2100.0,0
45.0,19.0,26.0,2100.0,0
48.5,21.5,27.0,2100.0,0
47.0,17.0,30.0,2100.0,0
45.0,16.5,28.5,2100.0,0
44.0,15.5,28.5,2100.0,0
47.5,16.0,31.5,2100.0,0
46.5,18.5,28.0,2100.0,0
42.0,18.5,23.5,2100.0,0
48.5,21.5,27.0,2100.0,0
50.0,15.5,34.5,2100.0,0
45.0,14.5,30.5,1500.0,0
43.0,19.5,23.5,2100.0,0
42.5,21.0,21.5,2100.0,0
47.5,18.5,29.0,2100.0,0
47.0,15.5,31.5,2100.0,0
45.0,14.5,30.5,2100.0,0
45.0,15.5,29.5,2100.0,0
46.5,18.5,28.0,2100.0,0
49.0,14.5,34.5,2100.0,0
44.0,7.5,36.5,2100.0,0
45.0,14.0,31.0,2200.0,0
44.5,16.0,28.5,2100.0,0
48.5,18.0,30.5,2100.0,0
52.5,16.0,36.5,1500.0,0
44.5,9.0,35.5,2100.0,0
47.5,13.0,34.5,2100.0,0
48.0,16.0,32.0,2100.0,0
41.5,14.0,27.5,2100.0,0
46.0,17.0,29.0,2100.0,0
46.0,18.5,27.5,2100.0,0
42.5,18.5,24.0,2100.0,0
46.0,16.5,29.5,2100.0,0
46.0,16.5,29.5,2100.0,0
50.0,18.0,32.0,2100.0,0
47.5,13.5,34.0,1700.0,0
44.0,15.0,29.0,2100.0,0
47.5,20.0,27.5,2100.0,0
50.0,21.5,28.5,1600.0,0
45.0,16.5,28.5,2100.0,0
45.0,14.5,30.5,1700.0,0
46.5,15.5,31.0,1600.0,0
46.5,17.0,29.5,2100.0,0
45.0,15.5,29.5,2100.0,0
43.0,14.5,28.5,2100.0,0
45.5,20.0,25.5,2100.0,0
44.5,14.0,30.5,2100.0,0
45.5,17.5,28.0,1700.0,0
43.5,16.5,27.0,2100.0,0
47.5,23.5,24.0,2200.0,0
47.0,19.5,27.5,2100.0,0
43.5,12.5,31.0,2100.0,0
