RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,46.0,0
7.5,0.0,7.5,48.0,0
12.5,0.0,12.5,45.0,0
17.5,0.0,17.5,55.0,0
22.5,0.0,22.5,50.0,0
35.0,0.0,35.0,51.0,0
43.0,0.0,43.0,59.0,0
49.0,0.0,49.0,51.0,0
52.0,0.0,52.0,57.0,0
56.0,0.0,56.0,63.0,0
64.5,0.0,64.5,52.0,0
73.5,0.0,73.5,61.0,0
77.5,0.0,77.5,63.0,0
81.5,0.0,81.5,68.0,0
87.5,0.0,87.5,67.0,0
93.0,0.0,93.0,60.0,0
100.0,0.0,100.0,61.0,0
110.0,0.0,110.0,67.0,0
117.5,0.0,117.5,74.0,0
122.5,0.0,122.5,80.0,0
125.0,0.0,125.0,110.0,0
132.5,0.0,132.5,120.0,0
140.5,0.0,140.5,140.0,0
143.5,0.0,143.5,180.0,0
148.5,0.0,148.5,220.0,0
153.5,0.0,153.5,270.0,0
157.0,0.0,157.0,320.0,0
153.5,0.0,153.5,510.0,0
153.5,0.0,153.5,610.0,0
154.0,24.0,130.0,1100.0,0
151.0,72.0,79.0,1600.0,0
168.5,107.0,61.5,2100.0,0
174.5,94.0,80.5,2100.0,0
165.5,84.5,81.0,2100.0,0
168.5,93.0,75.5,2100.0,0
171.0,84.0,87.0,2100.0,0
166.0,76.5,89.5,2100.0,0
170.0,73.0,97.0,2100.0,0
169.0,56.0,113.0,2100.0,0
164.5,64.0,100.5,2100.0,0
167.0,68.0,99.0,2100.0,0
176.5,70.0,106.5,2100.0,0
179.5,68.5,111.0,2100.0,0
166.5,53.5,113.0,1600.0,0
157.5,53.5,104.0,2100.0,0
170.0,68.5,101.5,2100.0,0
180.0,72.5,107.5,2100.0,0
169.0,59.5,109.5,2100.0,0
171.0,55.5,115.5,2100.0,0
167.0,51.5,115.5,2100.0,0
158.5,54.5,104.0,2100.0,0
168.5,71.0,97.5,2100.0,0
172.5,79.5,93.0,2100.0,0
172.5,75.0,97.5,2100.0,0
168.0,75.0,93.0,2100.0,0
164.5,80.5,84.0,2100.0,0
168.5,92.0,76.5,2100.0,0
163.5,88.5,75.0,2100.0,0
161.5,83.5,78.0,2100.0,0
168.5,79.0,89.5,2100.0,0
171.0,74.0,97.0,2100.0,0
169.0,71.0,98.0,2100.0,0
168.0,67.5,100.5,2100.0,0
171.0,66.0,105.0,2100.0,0
170.0,60.0,110.0,2100.0,0
167.5,54.5,113.0,2100.0,0
178.0,70.0,108.0,2100.0,0
181.0,77.0,104.0,1600.0,0
177.5,65.5,112.0,2100.0,0
168.0,49.5,118.5,2100.0,0
164.5,49.5,115.0,2100.0,0
161.0,70.0,91.0,2100.0,0
152.0,85.0,67.0,2100.0,0
157.5,84.0,73.5,2100.0,0
175.0,88.5,86.5,2100.0,0
167.5,80.0,87.5,2100.0,0
153.5,77.5,76.0,2100.0,0
169.0,95.0,74.0,2100.0,0
171.0,75.0,96.0,2100.0,0
176.5,71.5,105.0,2100.0,0
174.0,67.0,107.0,2100.0,0
161.5,60.0,101.5,2100.0,0
156.5,64.5,92.0,2100.0,0
170.5,79.5,91.0,2100.0,0
172.0,77.0,95.0,2100.0,0
170.5,65.0,105.5,2100.0,0
165.0,58.5,106.5,2100.0,0
157.0,60.0,97.0,2100.0,0
178.0,76.5,101.5,2100.0,0
171.0,75.5,95.5,2100.0,0
169.0,80.5,88.5,2100.0,0
177.0,80.5,96.5,2100.0,0
168.5,71.0,97.5,2100.0,0
167.0,88.5,78.5,2100.0,0
167.5,89.0,78.5,2100.0,0
172.0,82.0,90.0,2100.0,0
171.5,78.5,93.0,2100.0,0
171.0,78.5,92.5,2100.0,0
165.0,82.0,83.0,2100.0,0
164.5,86.5,78.0,2100.0,0
171.5,91.0,80.5,2100.0,0
168.5,77.5,91.0,2100.0,0
158.0,68.5,89.5,2100.0,0
164.0,81.0,83.0,2100.0,0
178.0,87.5,90.5,2100.0,0
175.5,71.0,104.5,2100.0,0
171.5,58.0,113.5,2100.0,0
163.5,53.5,110.0,2100.0,0
167.5,64.0,103.5,2100.0,0
174.5,66.5,108.0,2100.0,0
173.5,62.0,111.5,2100.0,0
174.5,54.5,120.0,1700.0,0
167.0,53.5,113.5,2100.0,0
164.0,64.0,100.0,2100.0,0
168.0,76.5,91.5,2100.0,0
168.5,86.5,82.0,2100.0,0
168.5,86.5,82.0,2100.0,0
168.5,87.5,81.0,2100.0,0
165.0,79.5,85.5,2100.0,0
170.5,91.0,79.5,2100.0,0
170.5,89.0,81.5,2100.0,0
169.5,79.0,90.5,2100.0,0
169.5,73.0,96.5,2100.0,0
165.0,78.5,86.5,2200.0,0
158.5,80.5,78.0,2100.0,0
160.0,85.0,75.0,2100.0,0
161.0,93.0,68.0,2100.0,0
168.5,102.0,66.5,2100.0,0
166.5,96.0,70.5,2100.0,0
159.0,93.5,65.5,2100.0,0
167.5,95.5,72.0,2100.0,0
167.5,93.5,74.0,2100.0,0
171.0,97.5,73.5,2100.0,0
170.0,57.0,113.0,2000.0,0
165.5,57.0,108.5,2100.0,0
174.5,82.5,92.0,2100.0,0
173.0,81.0,92.0,2100.0,0
169.5,64.0,105.5,2100.0,0
170.5,63.0,107.5,2100.0,0
168.0,64.5,103.5,2100.0,0
164.0,71.0,93.0,2100.0,0
177.0,85.5,91.5,2100.0,0
180.0,77.5,102.5,1600.0,0
166.0,58.5,107.5,2100.0,0
161.0,57.0,104.0,2100.0,0
159.5,64.0,95.5,2100.0,0
