RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,150.0,0
4.0,0.0,4.0,43.0,0
6.0,0.0,6.0,52.0,0
10.0,0.0,10.0,52.0,0
14.0,0.0,14.0,55.0,0
18.0,0.0,18.0,60.0,0
24.0,0.0,24.0,52.0,0
30.0,0.0,30.0,60.0,0
34.0,0.0,34.0,54.0,0
38.0,0.0,38.0,81.0,0
44.0,0.0,44.0,60.0,0
50.0,0.0,50.0,57.0,0
54.0,0.0,54.0,51.0,0
58.0,0.0,58.0,68.0,0
60.5,0.0,60.5,89.0,0
65.0,0.0,65.0,64.0,0
71.5,0.0,71.5,150.0,0
73.5,0.0,73.5,160.0,0
78.0,0.0,78.0,160.0,0
84.5,0.0,84.5,200.0,0
91.5,0.0,91.5,180.0,0
95.5,0.0,95.5,220.0,0
98.0,0.0,98.0,180.0,0
102.0,0.0,102.0,210.0,0
104.0,0.0,104.0,240.0,0
109.0,0.0,109.0,180.0,0
110.5,0.0,110.5,230.0,0
111.5,0.0,111.5,230.0,0
121.5,0.0,121.5,260.0,0
125.0,0.0,125.0,260.0,0
126.5,0.0,126.5,260.0,0
139.0,0.0,139.0,270.0,0
143.5,0.0,143.5,300.0,0
146.0,0.0,146.0,310.0,0
150.5,0.0,150.5,400.0,0
146.5,0.0,146.5,420.0,0
159.0,0.0,159.0,430.0,0
175.5,0.0,175.5,430.0,0
170.0,0.0,170.0,430.0,0
171.5,0.0,171.5,460.0,0
181.0,0.0,181.0,460.0,0
173.0,0.0,173.0,580.0,0
192.5,0.0,192.5,570.0,0
191.5,4.0,187.5,610.0,0
190.5,8.0,182.5,590.0,0
192.5,5.5,187.0,560.0,0
202.5,1.5,201.0,550.0,0
190.5,1.5,189.0,700.0,0
174.5,8.0,166.5,630.0,0
190.5,7.0,183.5,590.0,0
201.5,0.5,201.0,540.0,0
199.0,0.0,199.0,470.0,0
189.5,0.0,189.5,440.0,0
186.5,0.0,186.5,440.0,0
189.5,0.0,189.5,470.0,0
194.0,0.0,194.0,500.0,0
196.0,0.0,196.0,460.0,0
190.5,0.0,190.5,480.0,0
183.5,0.0,183.5,520.0,0
193.5,1.5,192.0,610.0,0
194.5,2.0,192.5,630.0,0
184.5,0.5,184.0,550.0,0
189.0,0.0,189.0,560.0,0
199.5,0.5,199.0,570.0,0
202.5,0.5,202.0,670.0,0
188.0,0.5,187.5,670.0,0
188.0,2.0,186.0,600.0,0
194.0,2.0,192.0,670.0,0
184.0,2.0,182.0,580.0,0
187.5,3.0,184.5,600.0,0
196.5,3.0,193.5,860.0,0
196.5,6.0,190.5,650.0,0
191.5,4.0,187.5,540.0,0
186.0,0.0,186.0,640.0,0
190.5,2.0,188.5,640.0,0
190.5,10.0,180.5,990.0,0
163.5,28.5,135.0,1100.0,0
