RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,130.0,0
3.5,0.0,3.5,130.0,0
4.5,0.0,4.5,150.0,0
5.5,0.0,5.5,330.0,0
13.5,0.0,13.5,260.0,0
16.5,0.0,16.5,330.0,0
19.0,0.0,19.0,330.0,0
20.0,0.0,20.0,430.0,0
20.0,0.0,20.0,420.0,0
20.0,0.0,20.0,410.0,0
20.0,0.0,20.0,390.0,0
20.0,0.0,20.0,590.0,0
20.0,0.0,20.0,450.0,0
20.0,0.0,20.0,550.0,0
20.0,0.0,20.0,550.0,0
20.0,0.0,20.0,480.0,0
20.0,0.0,20.0,540.0,0
20.0,0.0,20.0,490.0,0
20.0,0.0,20.0,470.0,0
20.0,0.0,20.0,540.0,0
20.5,0.5,20.0,450.0,0
21.0,1.5,19.5,440.0,0
20.5,2.0,18.5,440.0,0
19.0,1.0,18.0,460.0,0
20.5,2.0,18.5,290.0,0
19.5,1.0,18.5,300.0,0
20.0,1.5,18.5,340.0,0
19.5,0.0,19.5,410.0,0
20.5,2.0,18.5,480.0,0
20.0,2.0,18.0,470.0,0
19.5,0.0,19.5,570.0,0
20.0,0.0,20.0,570.0,0
20.0,0.5,19.5,820.0,0
19.0,0.0,19.0,930.0,0
11.5,7.0,4.5,1100.0,0
21.5,8.5,13.0,1100.0,0
21.5,8.0,13.5,1000.0,0
26.5,5.5,21.0,600.0,0
20.0,1.0,19.0,850.0,0
20.0,1.0,19.0,600.0,0
20.0,1.5,18.5,840.0,0
20.0,1.5,18.5,610.0,0
20.0,1.0,19.0,800.0,0
20.0,1.5,18.5,910.0,0
20.0,1.5,18.5,810.0,0
20.0,1.5,18.5,740.0,0
20.0,1.0,19.0,610.0,0
20.0,1.5,18.5,700.0,0
20.0,1.0,19.0,690.0,0
20.0,1.0,19.0,710.0,0
20.0,1.5,18.5,810.0,0
20.0,1.5,18.5,700.0,0
20.0,1.5,18.5,620.0,0
20.0,1.0,19.0,610.0,0
20.0,1.5,18.5,570.0,0
20.0,1.5,18.5,610.0,0
20.0,1.5,18.5,540.0,0
20.0,1.5,18.5,610.0,0
20.0,1.5,18.5,630.0,0
20.0,1.0,19.0,700.0,0
20.0,1.0,19.0,690.0,0
20.0,1.5,18.5,580.0,0
20.0,1.5,18.5,640.0,0
20.0,1.0,19.0,610.0,0
20.0,1.0,19.0,700.0,0
20.0,1.0,19.0,780.0,0
20.0,1.5,18.5,690.0,0
20.0,1.0,19.0,920.0,0
20.0,1.0,19.0,720.0,0
20.0,1.0,19.0,720.0,0
20.0,1.0,19.0,730.0,0
20.0,1.5,18.5,680.0,0
20.0,2.0,18.0,730.0,0
20.0,1.5,18.5,760.0,0
20.0,1.5,18.5,730.0,0
20.0,1.0,19.0,740.0,0
20.0,1.0,19.0,780.0,0
20.0,1.5,18.5,880.0,0
20.0,1.5,18.5,790.0,0
20.0,1.0,19.0,830.0,0
20.0,2.0,18.0,840.0,0
20.0,1.5,18.5,740.0,0
20.0,1.5,18.5,690.0,0
20.0,1.5,18.5,790.0,0
20.0,1.0,19.0,840.0,0
20.0,1.5,18.5,770.0,0
20.0,1.0,19.0,810.0,0
20.0,1.5,18.5,740.0,0
20.0,1.5,18.5,630.0,0
20.0,1.0,19.0,630.0,0
20.0,2.0,18.0,750.0,0
20.0,1.0,19.0,710.0,0
20.0,1.5,18.5,770.0,0
20.0,1.5,18.5,850.0,0
20.0,1.0,19.0,740.0,0
20.0,2.0,18.0,860.0,0
20.0,1.5,18.5,870.0,0
16.0,1.5,14.5,990.0,0
20.0,1.0,19.0,960.0,0
24.0,1.5,22.5,920.0,0
16.0,1.5,14.5,1000.0,0
16.5,5.0,11.5,1100.0,0
24.0,11.5,12.5,1100.0,0
27.5,8.5,19.0,920.0,0
20.0,1.5,18.5,740.0,0
14.5,1.0,13.5,960.0,0
21.0,1.5,19.5,910.0,0
13.5,1.5,12.0,900.0,0
19.5,1.5,18.0,960.0,0
19.0,1.0,18.0,960.0,0
19.0,1.5,17.5,940.0,0
32.0,1.0,31.0,770.0,0
20.0,1.5,18.5,740.0,0
20.0,1.5,18.5,750.0,0
20.0,1.0,19.0,740.0,0
20.0,1.5,18.5,840.0,0
20.0,1.5,18.5,910.0,0
20.0,1.5,18.5,900.0,0
19.0,1.5,17.5,980.0,0
20.0,1.0,19.0,950.0,0
26.5,1.5,25.0,830.0,0
16.0,1.0,15.0,890.0,0
22.0,1.5,20.5,870.0,0
20.0,1.0,19.0,790.0,0
20.0,1.5,18.5,840.0,0
12.5,1.5,11.0,960.0,0
25.5,1.5,24.0,890.0,0
18.5,1.5,17.0,920.0,0
14.5,1.0,13.5,1100.0,0
17.0,10.0,7.0,1200.0,0
19.5,15.5,4.0,1200.0,0
21.5,6.0,15.5,980.0,0
16.5,5.0,11.5,1100.0,0
21.0,9.5,11.5,1100.0,0
22.0,9.5,12.5,1100.0,0
22.0,6.5,15.5,1000.0,0
16.0,1.0,15.0,1000.0,0
20.0,7.5,12.5,1100.0,0
21.5,6.0,15.5,970.0,0
21.5,1.5,20.0,970.0,0
20.5,2.0,18.5,930.0,0
19.0,1.5,17.5,990.0,0
23.0,2.0,21.0,980.0,0
22.0,1.5,20.5,930.0,0
18.5,1.0,17.5,980.0,0
23.0,2.0,21.0,840.0,0
19.0,1.0,18.0,900.0,0
20.0,1.5,18.5,920.0,0
20.5,1.5,19.0,820.0,0
22.0,2.0,20.0,850.0,0
21.0,1.0,20.0,750.0,0
18.0,1.5,16.5,880.0,0
19.5,1.5,18.0,880.0,0
19.5,1.0,18.5,820.0,0
20.5,1.5,19.0,850.0,0
17.5,1.0,16.5,850.0,0
20.0,1.5,18.5,940.0,0
22.5,1.5,21.0,750.0,0
21.0,1.0,20.0,720.0,0
18.0,1.5,16.5,840.0,0
18.5,1.0,17.5,830.0,0
23.5,1.5,22.0,770.0,0
22.0,1.5,20.5,690.0,0
20.0,1.5,18.5,740.0,0
18.5,1.0,17.5,710.0,0
20.0,1.5,18.5,750.0,0
21.0,1.5,19.5,730.0,0
20.0,1.0,19.0,730.0,0
19.5,1.5,18.0,790.0,0
21.5,1.0,20.5,690.0,0
20.5,1.5,19.0,800.0,0
18.5,1.5,17.0,770.0,0
17.0,1.0,16.0,810.0,0
28.0,2.0,26.0,620.0,0
19.5,1.0,18.5,560.0,0
19.5,1.5,18.0,690.0,0
20.0,1.5,18.5,690.0,0
20.0,1.5,18.5,740.0,0
17.0,1.0,16.0,790.0,0
18.5,1.5,17.0,800.0,0
20.0,1.5,18.5,850.0,0
18.0,1.0,17.0,850.0,0
21.5,1.5,20.0,810.0,0
20.5,1.0,19.5,770.0,0
21.5,1.5,20.0,750.0,0
21.0,1.5,19.5,680.0,0
19.5,1.0,18.5,630.0,0
21.0,1.5,19.5,610.0,0
19.0,1.5,17.5,690.0,0
20.0,1.5,18.5,620.0,0
20.5,1.0,19.5,750.0,0
18.5,1.5,17.0,730.0,0
16.5,1.0,15.5,830.0,0
21.0,1.5,19.5,770.0,0
22.0,1.5,20.5,750.0,0
17.0,1.0,16.0,940.0,0
19.0,1.5,17.5,880.0,0
20.5,1.0,19.5,800.0,0
23.0,1.5,21.5,830.0,0
20.5,1.5,19.0,850.0,0
20.5,1.5,19.0,760.0,0
16.5,1.5,15.0,830.0,0
20.0,1.5,18.5,860.0,0
20.5,1.5,19.0,820.0,0
21.0,1.0,20.0,800.0,0
19.0,1.5,17.5,810.0,0
19.0,1.0,18.0,800.0,0
20.0,1.5,18.5,880.0,0
20.0,1.5,18.5,880.0,0
18.5,1.0,17.5,860.0,0
22.5,1.5,21.0,810.0,0
21.0,1.0,20.0,760.0,0
20.5,1.5,19.0,760.0,0
19.5,1.5,18.0,760.0,0
20.5,1.5,19.0,700.0,0
19.0,1.5,17.5,870.0,0
19.0,1.5,17.5,880.0,0
19.0,1.5,17.5,880.0,0
22.0,1.0,21.0,700.0,0
20.0,1.5,18.5,880.0,0
19.0,1.0,18.0,770.0,0
20.5,1.5,19.0,720.0,0
19.5,1.5,18.0,650.0,0
20.0,1.5,18.5,710.0,0
20.0,1.5,18.5,710.0,0
21.0,1.0,20.0,620.0,0
20.5,1.5,19.0,620.0,0
16.0,1.0,15.0,730.0,0
20.0,1.5,18.5,800.0,0
21.0,1.5,19.5,740.0,0
21.0,1.5,19.5,790.0,0
20.0,1.5,18.5,790.0,0
20.0,1.5,18.5,710.0,0
20.0,1.5,18.5,740.0,0
19.5,1.0,18.5,740.0,0
20.5,1.5,19.0,710.0,0
20.0,1.5,18.5,700.0,0
18.5,1.5,17.0,870.0,0
19.5,1.5,18.0,870.0,0
23.0,1.0,22.0,690.0,0
20.5,1.5,19.0,700.0,0
19.0,1.5,17.5,740.0,0
20.0,1.5,18.5,720.0,0
19.5,1.0,18.5,730.0,0
20.5,1.5,19.0,810.0,0
17.5,1.5,16.0,860.0,0
19.5,1.0,18.5,860.0,0
18.5,1.5,17.0,910.0,0
24.0,1.0,23.0,820.0,0
20.0,1.5,18.5,820.0,0
20.0,1.5,18.5,810.0,0
19.0,1.0,18.0,760.0,0
20.5,1.5,19.0,780.0,0
19.0,1.5,17.5,800.0,0
20.0,1.5,18.5,800.0,0
18.0,1.0,17.0,920.0,0
20.5,1.5,19.0,890.0,0
21.0,1.0,20.0,860.0,0
21.0,1.5,19.5,860.0,0
22.0,1.5,20.5,780.0,0
19.5,1.5,18.0,760.0,0
19.5,1.5,18.0,780.0,0
18.0,1.0,17.0,860.0,0
19.0,1.5,17.5,860.0,0
22.0,1.0,21.0,790.0,0
20.0,1.5,18.5,830.0,0
19.5,1.5,18.0,830.0,0
22.0,1.5,20.5,770.0,0
22.0,1.5,20.5,840.0,0
16.5,1.5,15.0,930.0,0
23.0,1.5,21.5,790.0,0
22.5,1.0,21.5,810.0,0
20.0,1.5,18.5,810.0,0
20.0,1.5,18.5,820.0,0
20.0,1.5,18.5,850.0,0
23.0,1.5,21.5,680.0,0
20.5,1.0,19.5,670.0,0
20.0,1.5,18.5,650.0,0
20.5,1.5,19.0,700.0,0
18.0,1.5,16.5,840.0,0
22.5,1.5,21.0,730.0,0
21.5,1.0,20.5,700.0,0
19.0,1.5,17.5,780.0,0
19.5,1.5,18.0,780.0,0
20.5,1.5,19.0,800.0,0
19.0,1.0,18.0,750.0,0
21.0,1.5,19.5,720.0,0
20.0,1.5,18.5,880.0,0
19.5,1.0,18.5,880.0,0
19.0,2.0,17.0,880.0,0
17.5,1.0,16.5,970.0,0
19.0,1.5,17.5,960.0,0
22.0,1.5,20.5,890.0,0
18.5,1.0,17.5,890.0,0
22.5,1.5,21.0,760.0,0
20.0,1.0,19.0,790.0,0
18.5,1.5,17.0,930.0,0
20.5,1.5,19.0,960.0,0
22.0,1.5,20.5,960.0,0
17.5,1.0,16.5,800.0,0
20.5,1.5,19.0,790.0,0
22.0,1.5,20.5,780.0,0
20.5,1.0,19.5,820.0,0
21.5,1.5,20.0,820.0,0
18.5,1.5,17.0,880.0,0
20.0,1.5,18.5,810.0,0
19.0,1.5,17.5,880.0,0
20.5,1.0,19.5,890.0,0
19.5,1.5,18.0,910.0,0
20.0,1.5,18.5,1000.0,0
20.5,3.0,17.5,820.0,0
21.0,1.5,19.5,700.0,0
20.0,1.0,19.0,670.0,0
20.5,1.5,19.0,700.0,0
19.0,1.5,17.5,730.0,0
20.0,1.5,18.5,770.0,0
21.0,1.5,19.5,730.0,0
20.5,1.0,19.5,720.0,0
21.0,1.5,19.5,730.0,0
19.0,1.5,17.5,790.0,0
21.5,1.5,20.0,780.0,0
16.5,1.5,15.0,910.0,0
20.0,1.5,18.5,870.0,0
23.0,1.5,21.5,790.0,0
18.5,1.0,17.5,780.0,0
18.5,1.5,17.0,920.0,0
20.5,2.0,18.5,1000.0,0
21.0,2.5,18.5,930.0,0
21.5,1.5,20.0,830.0,0
20.0,1.0,19.0,820.0,0
22.0,1.5,20.5,790.0,0
20.0,1.0,19.0,760.0,0
19.0,1.5,17.5,750.0,0
19.5,1.5,18.0,750.0,0
22.0,2.0,20.0,750.0,0
19.5,1.0,18.5,780.0,0
20.0,1.5,18.5,800.0,0
17.0,1.5,15.5,820.0,0
20.0,1.0,19.0,800.0,0
17.0,2.0,15.0,970.0,0
19.5,1.5,18.0,1000.0,0
20.5,2.0,18.5,980.0,0
19.5,3.0,16.5,1000.0,0
21.5,2.5,19.0,1000.0,0
22.0,1.5,20.5,880.0,0
22.5,1.5,21.0,870.0,0
20.0,1.5,18.5,800.0,0
20.0,1.0,19.0,920.0,0
20.5,1.5,19.0,920.0,0
19.5,1.0,18.5,790.0,0
20.5,1.5,19.0,810.0,0
20.5,1.5,19.0,770.0,0
19.0,1.0,18.0,840.0,0
23.0,2.0,21.0,830.0,0
20.0,1.5,18.5,790.0,0
22.5,1.5,21.0,740.0,0
20.0,1.0,19.0,710.0,0
17.5,1.5,16.0,1000.0,0
17.5,2.5,15.0,1000.0,0
23.0,1.0,22.0,720.0,0
21.0,1.5,19.5,700.0,0
18.0,1.0,17.0,840.0,0
18.0,1.5,16.5,880.0,0
18.0,1.5,16.5,880.0,0
22.0,1.5,20.5,780.0,0
19.0,1.5,17.5,810.0,0
18.0,1.5,16.5,880.0,0
19.0,1.5,17.5,970.0,0
20.0,1.5,18.5,1000.0,0
20.0,3.5,16.5,1000.0,0
22.5,2.5,20.0,920.0,0
21.5,1.5,20.0,870.0,0
20.5,1.5,19.0,900.0,0
20.5,1.0,19.5,810.0,0
13.0,2.0,11.0,910.0,0
21.5,1.0,20.5,970.0,0
18.0,1.5,16.5,1100.0,0
18.5,4.5,14.0,1100.0,0
20.0,4.0,16.0,930.0,0
20.5,1.5,19.0,800.0,0
20.0,1.5,18.5,790.0,0
24.5,1.5,23.0,700.0,0
20.5,1.0,19.5,760.0,0
18.5,1.5,17.0,760.0,0
19.0,1.0,18.0,810.0,0
19.5,1.5,18.0,770.0,0
20.0,1.5,18.5,780.0,0
16.5,1.0,15.5,880.0,0
19.0,1.5,17.5,880.0,0
17.0,1.0,16.0,930.0,0
20.5,1.5,19.0,890.0,0
20.0,2.0,18.0,950.0,0
20.0,2.0,18.0,940.0,0
20.5,1.5,19.0,940.0,0
20.5,1.5,19.0,980.0,0
19.5,1.5,18.0,900.0,0
19.0,1.0,18.0,890.0,0
22.5,1.5,21.0,820.0,0
24.0,1.5,22.5,800.0,0
20.0,1.5,18.5,770.0,0
19.5,1.5,18.0,720.0,0
20.0,1.0,19.0,710.0,0
21.0,1.5,19.5,710.0,0
19.0,1.5,17.5,720.0,0
19.5,1.5,18.0,830.0,0
18.0,1.5,16.5,760.0,0
21.5,1.5,20.0,830.0,0
20.0,1.5,18.5,830.0,0
17.5,1.0,16.5,910.0,0
21.0,1.5,19.5,770.0,0
20.0,1.0,19.0,830.0,0
22.5,1.5,21.0,700.0,0
20.0,1.5,18.5,700.0,0
19.5,1.0,18.5,680.0,0
18.5,1.5,17.0,770.0,0
18.0,1.0,17.0,770.0,0
20.0,1.5,18.5,760.0,0
22.5,1.5,21.0,690.0,0
17.0,1.5,15.5,790.0,0
17.0,1.5,15.5,830.0,0
19.5,1.5,18.0,870.0,0
19.0,1.5,17.5,910.0,0
21.0,1.0,20.0,910.0,0
19.5,1.5,18.0,800.0,0
20.0,1.0,19.0,880.0,0
19.0,1.5,17.5,930.0,0
19.0,1.5,17.5,1200.0,0
19.5,6.5,13.0,1200.0,0
20.0,3.0,17.0,920.0,0
19.5,1.0,18.5,820.0,0
20.5,1.5,19.0,790.0,0
21.0,1.5,19.5,790.0,0
19.5,1.5,18.0,870.0,0
19.5,1.0,18.5,900.0,0
21.0,1.5,19.5,900.0,0
20.0,1.5,18.5,1000.0,0
19.0,3.5,15.5,1000.0,0
20.5,5.5,15.0,1000.0,0
19.5,1.0,18.5,890.0,0
22.0,1.5,20.5,840.0,0
20.5,1.5,19.0,870.0,0
18.0,1.0,17.0,1000.0,0
20.0,2.5,17.5,1000.0,0
19.0,1.0,18.0,1100.0,0
19.0,4.0,15.0,1300.0,0
16.5,14.0,2.5,1500.0,0
15.5,15.5,0.0,1400.0,0
15.5,12.0,3.5,1100.0,0
22.5,14.5,8.0,1200.0,0
21.5,10.5,11.0,1000.0,0
19.5,2.0,17.5,1100.0,0
20.5,2.5,18.0,1100.0,0
20.5,15.5,5.0,1100.0,0
19.5,9.5,10.0,1000.0,0
17.5,2.5,15.0,1000.0,0
20.5,3.5,17.0,1100.0,0
20.5,10.0,10.5,1200.0,0
18.5,7.0,11.5,1100.0,0
18.0,7.5,10.5,1100.0,0
19.0,13.5,5.5,1200.0,0
19.5,15.5,4.0,1200.0,0
21.0,12.0,9.0,1100.0,0
21.0,7.0,14.0,1200.0,0
17.0,11.0,6.0,1200.0,0
18.0,9.5,8.5,1100.0,0
18.0,7.5,10.5,1100.0,0
20.5,9.0,11.5,1100.0,0
15.0,5.0,10.0,1200.0,0
20.0,12.5,7.5,1100.0,0
20.0,8.0,12.0,1000.0,0
20.5,4.5,16.0,1100.0,0
19.5,6.5,13.0,1100.0,0
21.0,1.0,20.0,1100.0,0
20.0,8.0,12.0,940.0,0
20.0,2.0,18.0,1000.0,0
20.5,2.5,18.0,1000.0,0
19.5,4.5,15.0,1200.0,0
19.0,16.0,3.0,1200.0,0
22.0,12.0,10.0,1000.0,0
20.0,3.5,16.5,1000.0,0
19.5,5.0,14.5,1000.0,0
20.0,4.5,15.5,1000.0,0
17.0,8.0,9.0,1200.0,0
16.0,10.5,5.5,1200.0,0
15.0,8.5,6.5,1100.0,0
19.5,13.0,6.5,1200.0,0
21.5,10.0,11.5,1200.0,0
19.0,0.0,19.0,950.0,0
19.5,1.0,18.5,970.0,0
20.5,1.5,19.0,960.0,0
21.5,1.5,20.0,1000.0,0
19.0,2.5,16.5,1000.0,0
19.0,2.0,17.0,1300.0,0
17.0,16.0,1.0,1300.0,0
19.0,10.5,8.5,1100.0,0
19.5,5.5,14.0,1100.0,0
18.5,9.0,9.5,1200.0,0
21.0,6.0,15.0,1100.0,0
20.0,3.5,16.5,940.0,0
18.0,5.0,13.0,1200.0,0
