RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
28.0,0.0,28.0,140.0,0
27.5,0.0,27.5,260.0,0
59.0,0.0,59.0,350.0,0
77.0,0.0,77.0,300.0,0
74.5,0.0,74.5,290.0,0
71.0,0.0,71.0,300.0,0
71.5,0.0,71.5,280.0,0
77.5,0.0,77.5,290.0,0
86.5,0.0,86.5,290.0,0
59.5,0.0,59.5,300.0,0
90.0,0.0,90.0,290.0,0
79.5,0.0,79.5,230.0,0
75.5,0.0,75.5,230.0,0
92.5,0.0,92.5,230.0,0
59.5,0.0,59.5,260.0,0
93.0,0.0,93.0,250.0,0
93.5,0.0,93.5,170.0,0
72.0,0.0,72.0,220.0,0
91.0,11.0,80.0,230.0,0
104.0,13.0,91.0,210.0,0
92.0,9.0,83.0,230.0,0
79.0,5.5,73.5,250.0,0
87.0,6.0,81.0,230.0,0
105.0,7.5,97.5,200.0,0
97.0,15.5,81.5,180.0,0
85.0,15.0,70.0,210.0,0
87.5,13.5,74.0,270.0,0
98.5,23.0,75.5,260.0,0
103.0,20.0,83.0,260.0,0
121.5,17.5,104.0,200.0,0
120.0,14.5,105.5,190.0,0
88.0,2.0,86.0,260.0,0
112.5,0.0,112.5,250.0,0
103.0,0.0,103.0,260.0,0
119.0,0.0,119.0,240.0,0
151.0,0.0,151.0,200.0,0
107.0,3.5,103.5,220.0,0
92.5,3.5,89.0,260.0,0
102.5,0.0,102.5,260.0,0
102.5,5.0,97.5,250.0,0
110.5,0.0,110.5,220.0,0
98.0,0.0,98.0,240.0,0
104.5,0.0,104.5,220.0,0
93.5,0.0,93.5,290.0,0
97.5,0.0,97.5,250.0,0
110.0,0.0,110.0,250.0,0
115.0,0.0,115.0,230.0,0
103.0,0.0,103.0,260.0,0
103.0,0.0,103.0,230.0,0
117.0,0.0,117.0,180.0,0
103.5,0.0,103.5,220.0,0
117.5,0.0,117.5,210.0,0
96.5,0.0,96.5,240.0,0
115.5,0.0,115.5,180.0,0
113.0,0.0,113.0,200.0,0
117.0,0.0,117.0,200.0,0
118.0,0.0,118.0,210.0,0
108.0,0.0,108.0,190.0,0
85.5,0.0,85.5,240.0,0
100.5,0.0,100.5,230.0,0
104.5,0.0,104.5,170.0,0
98.5,0.0,98.5,210.0,0
104.5,0.0,104.5,200.0,0
115.0,0.0,115.0,180.0,0
83.5,0.0,83.5,220.0,0
96.5,0.0,96.5,250.0,0
105.5,0.0,105.5,240.0,0
120.5,0.0,120.5,210.0,0
83.0,0.0,83.0,230.0,0
95.0,0.0,95.0,230.0,0
99.0,0.0,99.0,210.0,0
89.0,0.0,89.0,280.0,0
114.0,0.0,114.0,280.0,0
126.5,0.0,126.5,230.0,0
115.0,0.0,115.0,200.0,0
110.0,0.0,110.0,190.0,0
102.0,0.0,102.0,210.0,0
114.0,0.0,114.0,190.0,0
113.5,0.0,113.5,140.0,0
90.5,0.0,90.5,210.0,0
102.0,0.0,102.0,160.0,0
110.5,0.0,110.5,180.0,0
118.5,0.0,118.5,180.0,0
123.5,0.0,123.5,150.0,0
125.0,0.0,125.0,140.0,0
122.0,0.0,122.0,160.0,0
112.0,0.0,112.0,170.0,0
103.0,0.0,103.0,230.0,0
99.5,0.0,99.5,140.0,0
112.0,0.0,112.0,160.0,0
109.5,0.0,109.5,160.0,0
116.5,0.0,116.5,220.0,0
97.0,0.0,97.0,150.0,0
106.5,0.0,106.5,130.0,0
106.5,0.0,106.5,150.0,0
113.0,0.0,113.0,170.0,0
104.0,0.0,104.0,170.0,0
123.0,0.0,123.0,180.0,0
99.5,0.0,99.5,140.0,0
76.0,0.0,76.0,290.0,0
123.0,0.0,123.0,290.0,0
130.0,0.0,130.0,140.0,0
109.0,0.0,109.0,140.0,0
98.0,0.0,98.0,170.0,0
102.5,0.0,102.5,160.0,0
111.0,0.0,111.0,160.0,0
107.0,0.0,107.0,170.0,0
96.5,0.0,96.5,180.0,0
111.5,0.0,111.5,170.0,0
121.5,0.0,121.5,160.0,0
99.0,0.0,99.0,180.0,0
98.0,0.0,98.0,180.0,0
108.5,0.0,108.5,140.0,0
122.5,0.0,122.5,120.0,0
102.5,0.0,102.5,150.0,0
116.5,0.0,116.5,180.0,0
108.0,0.0,108.0,110.0,0
110.0,0.0,110.0,150.0,0
113.0,0.0,113.0,110.0,0
111.0,0.0,111.0,190.0,0
96.5,0.0,96.5,250.0,0
100.0,0.0,100.0,250.0,0
118.0,0.0,118.0,180.0,0
103.0,0.0,103.0,150.0,0
98.5,0.0,98.5,190.0,0
106.5,0.0,106.5,190.0,0
115.0,0.0,115.0,160.0,0
107.5,0.0,107.5,250.0,0
96.0,0.0,96.0,190.0,0
109.0,0.0,109.0,150.0,0
