RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,260.0,0
31.0,0.0,31.0,310.0,0
59.0,0.0,59.0,340.0,0
74.5,0.0,74.5,320.0,0
80.0,0.0,80.0,290.0,0
72.0,0.0,72.0,320.0,0
77.0,0.0,77.0,290.0,0
89.5,0.0,89.5,350.0,0
84.5,0.0,84.5,310.0,0
73.0,0.0,73.0,310.0,0
82.5,0.0,82.5,310.0,0
89.0,0.0,89.0,240.0,0
74.5,0.0,74.5,260.0,0
71.0,0.0,71.0,300.0,0
79.0,0.0,79.0,300.0,0
109.5,6.5,103.0,310.0,0
115.5,11.0,104.5,250.0,0
64.5,9.5,55.0,270.0,0
80.0,1.5,78.5,290.0,0
89.0,8.0,81.0,240.0,0
100.5,20.0,80.5,300.0,0
102.5,6.0,96.5,260.0,0
102.0,20.0,82.0,280.0,0
105.5,9.5,96.0,260.0,0
120.0,16.5,103.5,230.0,0
85.0,19.0,66.0,290.0,0
101.0,17.0,84.0,300.0,0
101.0,20.5,80.5,310.0,0
100.0,19.0,81.0,310.0,0
109.5,19.5,90.0,270.0,0
102.0,2.0,100.0,240.0,0
105.0,0.0,105.0,300.0,0
103.0,0.0,103.0,300.0,0
113.0,0.0,113.0,310.0,0
110.5,0.0,110.5,290.0,0
140.0,0.0,140.0,250.0,0
95.0,1.5,93.5,270.0,0
103.5,1.5,102.0,320.0,0
103.5,0.0,103.5,320.0,0
136.0,10.0,126.0,280.0,0
97.0,0.0,97.0,280.0,0
91.5,0.0,91.5,270.0,0
109.5,0.0,109.5,290.0,0
103.0,0.0,103.0,360.0,0
103.0,0.0,103.0,320.0,0
83.5,0.0,83.5,310.0,0
101.5,0.0,101.5,310.0,0
118.5,0.0,118.5,290.0,0
114.0,0.0,114.0,280.0,0
123.5,0.0,123.5,240.0,0
104.5,0.0,104.5,300.0,0
103.5,0.0,103.5,270.0,0
122.0,0.0,122.0,290.0,0
108.5,0.0,108.5,290.0,0
121.5,0.0,121.5,240.0,0
108.0,0.0,108.0,260.0,0
90.5,0.0,90.5,270.0,0
116.5,0.0,116.5,250.0,0
100.0,0.0,100.0,280.0,0
115.0,0.0,115.0,280.0,0
108.0,0.0,108.0,290.0,0
122.5,0.0,122.5,290.0,0
111.5,0.0,111.5,290.0,0
114.5,0.0,114.5,250.0,0
107.5,0.0,107.5,270.0,0
108.5,0.0,108.5,280.0,0
97.0,0.0,97.0,330.0,0
110.5,0.0,110.5,290.0,0
116.0,0.0,116.0,260.0,0
123.5,0.0,123.5,260.0,0
104.0,0.0,104.0,280.0,0
117.0,0.0,117.0,330.0,0
100.5,0.0,100.5,330.0,0
115.0,0.0,115.0,290.0,0
108.0,0.0,108.0,250.0,0
117.5,0.0,117.5,230.0,0
113.0,0.0,113.0,220.0,0
137.0,0.0,137.0,230.0,0
117.0,0.0,117.0,210.0,0
99.5,0.0,99.5,230.0,0
100.0,0.0,100.0,230.0,0
109.0,0.0,109.0,250.0,0
106.5,0.0,106.5,250.0,0
121.0,0.0,121.0,210.0,0
117.0,0.0,117.0,210.0,0
109.0,0.0,109.0,220.0,0
102.0,0.0,102.0,200.0,0
87.5,0.0,87.5,240.0,0
105.0,0.0,105.0,190.0,0
113.0,0.0,113.0,220.0,0
116.5,0.0,116.5,180.0,0
116.5,0.0,116.5,230.0,0
109.0,0.0,109.0,310.0,0
137.5,0.0,137.5,200.0,0
106.5,0.0,106.5,270.0,0
121.0,0.0,121.0,270.0,0
110.5,0.0,110.5,240.0,0
121.0,0.0,121.0,220.0,0
84.0,0.0,84.0,300.0,0
93.0,0.0,93.0,300.0,0
127.5,0.0,127.5,290.0,0
126.5,0.0,126.5,200.0,0
107.0,0.0,107.0,200.0,0
82.0,0.0,82.0,290.0,0
105.5,0.0,105.5,280.0,0
119.5,0.0,119.5,220.0,0
103.0,0.0,103.0,220.0,0
105.5,0.0,105.5,220.0,0
104.5,0.0,104.5,210.0,0
115.0,0.0,115.0,200.0,0
109.0,0.0,109.0,200.0,0
107.5,0.0,107.5,240.0,0
113.0,0.0,113.0,190.0,0
111.5,0.0,111.5,210.0,0
112.5,0.0,112.5,200.0,0
105.5,0.0,105.5,210.0,0
102.5,0.0,102.5,210.0,0
116.5,0.0,116.5,210.0,0
115.5,0.0,115.5,210.0,0
100.5,0.0,100.5,210.0,0
88.0,0.0,88.0,290.0,0
103.5,0.0,103.5,290.0,0
121.5,0.0,121.5,210.0,0
106.0,0.0,106.0,220.0,0
93.0,0.0,93.0,210.0,0
106.5,0.0,106.5,200.0,0
106.5,0.0,106.5,200.0,0
86.5,0.0,86.5,310.0,0
102.0,0.0,102.0,300.0,0
129.0,0.0,129.0,200.0,0
100.5,0.0,100.5,210.0,0
111.5,0.0,111.5,220.0,0
109.5,0.0,109.5,250.0,0
119.5,0.0,119.5,200.0,0
114.5,0.0,114.5,190.0,0
105.5,0.0,105.5,180.0,0
108.5,0.0,108.5,230.0,0
102.5,0.0,102.5,240.0,0
118.0,0.0,118.0,230.0,0
108.5,0.0,108.5,180.0,0
105.0,0.0,105.0,320.0,0
120.5,0.0,120.5,230.0,0
103.0,0.0,103.0,180.0,0
112.5,0.0,112.5,200.0,0
94.5,0.0,94.5,290.0,0
95.0,0.0,95.0,280.0,0
127.5,0.0,127.5,200.0,0
97.0,0.0,97.0,270.0,0
87.0,0.0,87.0,290.0,0
115.5,0.0,115.5,280.0,0
99.5,0.0,99.5,290.0,0
104.5,0.0,104.5,220.0,0
116.0,0.0,116.0,320.0,0
126.5,0.0,126.5,190.0,0
108.5,0.0,108.5,210.0,0
80.5,0.0,80.5,290.0,0
78.5,0.0,78.5,310.0,0
141.0,0.0,141.0,200.0,0
108.5,0.0,108.5,200.0,0
93.0,0.0,93.0,240.0,0
89.5,0.0,89.5,300.0,0
106.5,0.0,106.5,270.0,0
119.5,0.0,119.5,210.0,0
100.5,0.0,100.5,260.0,0
119.0,0.0,119.0,280.0,0
118.0,0.0,118.0,240.0,0
96.0,0.0,96.0,240.0,0
104.5,0.0,104.5,240.0,0
119.0,0.0,119.0,220.0,0
100.5,0.0,100.5,210.0,0
102.0,0.0,102.0,220.0,0
116.0,0.0,116.0,210.0,0
120.5,0.0,120.5,210.0,0
102.0,0.0,102.0,220.0,0
120.5,0.0,120.5,240.0,0
129.0,0.0,129.0,220.0,0
106.0,0.0,106.0,290.0,0
107.0,0.0,107.0,280.0,0
109.5,0.0,109.5,280.0,0
115.5,0.0,115.5,190.0,0
86.0,0.0,86.0,250.0,0
105.0,0.0,105.0,240.0,0
106.5,0.0,106.5,250.0,0
104.5,0.0,104.5,250.0,0
98.0,0.0,98.0,240.0,0
101.0,0.0,101.0,290.0,0
136.0,0.0,136.0,280.0,0
117.0,0.0,117.0,250.0,0
105.0,0.0,105.0,260.0,0
114.0,0.0,114.0,250.0,0
111.5,0.0,111.5,200.0,0
