RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
39.0,0.0,39.0,332.0,0.0
215.5,0.0,215.5,436.0,0.0
358.5,0.0,358.5,490.0,0.0
416.0,0.0,416.0,530.0,0.0
428.0,0.0,428.0,502.0,0.0
426.5,2.0,424.5,520.0,0.0
444.0,4.0,440.0,592.0,0.0
462.0,27.0,435.0,604.0,0.0
470.5,22.5,448.0,606.0,0.0
409.0,68.5,340.5,626.0,0.0
488.0,31.0,457.0,556.0,0.0
476.5,15.0,461.5,462.0,0.0
461.5,13.0,448.5,490.0,0.0
476.5,9.5,467.0,564.0,0.0
465.0,26.0,439.0,540.0,0.0
531.0,27.0,504.0,504.0,0.0
535.0,38.5,496.5,452.0,0.0
460.5,40.5,420.0,468.0,0.0
503.5,48.0,455.5,498.0,0.0
523.0,54.5,468.5,454.0,0.0
519.5,58.0,461.5,504.0,0.0
543.0,70.0,473.0,470.0,0.0
542.5,77.5,465.0,484.0,0.0
586.5,88.0,498.5,428.0,0.0
573.5,89.5,484.0,470.0,0.0
529.0,96.0,433.0,464.0,0.0
561.5,100.5,461.0,464.0,0.0
553.5,102.5,451.0,498.0,0.0
560.0,95.5,464.5,470.0,0.0
599.5,117.0,482.5,474.0,0.0
582.5,74.5,508.0,398.0,0.0
555.0,66.5,488.5,458.0,0.0
582.0,58.0,524.0,556.0,0.0
589.5,51.0,538.5,542.0,0.0
603.0,42.5,560.5,548.0,0.0
660.5,42.5,618.0,500.0,0.0
574.5,44.5,530.0,510.0,0.0
564.0,49.0,515.0,558.0,0.0
561.0,53.5,507.5,634.0,0.0
628.0,73.0,555.0,506.0,0.0
606.0,71.0,535.0,538.0,0.0
576.5,52.0,524.5,486.0,0.0
597.5,49.0,548.5,550.0,0.0
578.5,56.5,522.0,610.0,0.0
579.5,65.5,514.0,624.0,0.0
564.5,51.5,513.0,598.0,0.0
603.5,56.0,547.5,580.0,0.0
598.0,44.0,554.0,528.0,0.0
613.5,51.0,562.5,498.0,0.0
623.0,49.5,573.5,498.0,0.0
592.5,47.0,545.5,448.0,0.0
597.5,51.5,546.0,458.0,0.0
595.0,46.0,549.0,484.0,0.0
615.5,70.0,545.5,516.0,0.0
600.0,29.5,570.5,482.0,0.0
600.0,35.5,564.5,468.0,0.0
574.5,46.0,528.5,494.0,0.0
620.0,52.5,567.5,450.0,0.0
577.0,43.0,534.0,486.0,0.0
587.5,39.0,548.5,454.0,0.0
607.5,55.0,552.5,444.0,0.0
587.0,50.5,536.5,486.0,0.0
596.5,45.0,551.5,538.0,0.0
620.5,54.5,566.0,438.0,0.0
561.0,44.0,517.0,434.0,0.0
576.5,40.5,536.0,498.0,0.0
587.0,54.5,532.5,570.0,0.0
607.5,40.5,567.0,478.0,0.0
579.0,40.0,539.0,444.0,0.0
609.5,59.5,550.0,486.0,0.0
587.5,56.0,531.5,480.0,0.0
584.0,43.5,540.5,484.0,0.0
583.5,35.5,548.0,518.0,0.0
614.0,38.5,575.5,468.0,0.0
595.5,50.5,545.0,438.0,0.0
607.5,42.0,565.5,450.0,0.0
587.5,42.0,545.5,430.0,0.0
630.0,44.0,586.0,448.0,0.0
616.0,50.0,566.0,440.0,0.0
584.0,62.0,522.0,486.0,0.0
592.0,57.5,534.5,384.0,0.0
603.0,55.5,547.5,492.0,0.0
600.0,46.0,554.0,474.0,0.0
613.5,32.0,581.5,444.0,0.0
608.0,30.5,577.5,460.0,0.0
593.0,33.5,559.5,476.0,0.0
608.5,55.0,553.5,446.0,0.0
575.0,55.5,519.5,462.0,0.0
588.0,50.0,538.0,430.0,0.0
604.0,44.5,559.5,422.0,0.0
603.5,45.0,558.5,406.0,0.0
604.5,42.0,562.5,424.0,0.0
597.5,56.0,541.5,452.0,0.0
614.0,44.5,569.5,478.0,0.0
580.0,37.5,542.5,470.0,0.0
593.0,33.5,559.5,484.0,0.0
584.5,38.5,546.0,476.0,0.0
632.5,52.5,580.0,448.0,0.0
561.5,45.5,516.0,460.0,0.0
531.0,35.0,496.0,460.0,0.0
630.0,45.0,585.0,450.0,0.0
647.5,55.0,592.5,450.0,0.0
597.5,51.5,546.0,466.0,0.0
564.5,57.5,507.0,468.0,0.0
584.5,49.0,535.5,464.0,0.0
622.5,52.0,570.5,432.0,0.0
594.0,52.0,542.0,468.0,0.0
586.5,54.0,532.5,450.0,0.0
611.0,55.0,556.0,464.0,0.0
609.0,47.5,561.5,460.0,0.0
601.5,53.5,548.0,458.0,0.0
584.0,47.0,537.0,482.0,0.0
600.5,41.0,559.5,430.0,0.0
612.5,42.0,570.5,422.0,0.0
578.0,34.5,543.5,450.0,0.0
598.0,47.0,551.0,452.0,0.0
592.0,50.0,542.0,428.0,0.0
600.0,40.0,560.0,434.0,0.0
612.5,49.5,563.0,426.0,0.0
579.0,39.0,540.0,446.0,0.0
546.5,28.5,518.0,482.0,0.0
597.0,54.0,543.0,486.0,0.0
615.0,47.5,567.5,456.0,0.0
606.0,62.0,544.0,460.0,0.0
572.5,56.0,516.5,478.0,0.0
594.0,48.0,546.0,462.0,0.0
607.0,47.0,560.0,444.0,0.0
573.0,51.5,521.5,502.0,0.0
589.0,56.5,532.5,476.0,0.0
622.0,51.5,570.5,468.0,0.0
576.5,45.5,531.0,450.0,0.0
607.0,40.0,567.0,450.0,0.0
583.0,32.5,550.5,470.0,0.0
621.0,54.5,566.5,456.0,0.0
618.5,41.5,577.0,412.0,0.0
604.0,41.0,563.0,388.0,0.0
590.0,38.5,551.5,450.0,0.0
583.5,37.5,546.0,460.0,0.0
590.5,41.0,549.5,468.0,0.0
621.5,50.5,571.0,474.0,0.0
589.0,49.5,539.5,460.0,0.0
620.0,55.5,564.5,492.0,0.0
602.0,48.5,553.5,476.0,0.0
594.0,54.0,540.0,446.0,0.0
573.0,45.5,527.5,438.0,0.0
578.5,46.0,532.5,428.0,0.0
611.0,52.5,558.5,416.0,0.0
574.5,54.0,520.5,468.0,0.0
560.5,54.5,506.0,488.0,0.0
613.0,61.5,551.5,458.0,0.0
594.0,61.5,532.5,490.0,0.0
585.0,41.5,543.5,496.0,0.0
591.5,41.0,550.5,490.0,0.0
628.0,51.5,576.5,462.0,0.0
610.0,43.5,566.5,436.0,0.0
591.0,47.5,543.5,452.0,0.0
559.5,54.5,505.0,454.0,0.0
638.0,42.0,596.0,398.0,0.0
604.5,49.0,555.5,424.0,0.0
592.0,51.0,541.0,456.0,0.0
577.0,47.0,530.0,504.0,0.0
599.5,51.5,548.0,468.0,0.0
609.0,56.0,553.0,446.0,0.0
575.0,34.5,540.5,474.0,0.0
620.5,53.5,567.0,436.0,0.0
608.0,55.5,552.5,426.0,0.0
562.0,46.5,515.5,452.0,0.0
598.5,42.5,556.0,458.0,0.0
622.0,49.5,572.5,464.0,0.0
596.0,57.5,538.5,462.0,0.0
586.0,40.5,545.5,558.0,0.0
605.0,45.5,559.5,492.0,0.0
618.0,61.5,556.5,466.0,0.0
589.0,59.0,530.0,506.0,0.0
593.5,35.5,558.0,510.0,0.0
599.5,34.5,565.0,522.0,0.0
603.5,57.0,546.5,544.0,0.0
595.0,50.5,544.5,576.0,0.0
602.5,58.5,544.0,488.0,0.0
630.0,60.0,570.0,460.0,0.0
583.0,50.5,532.5,464.0,0.0
595.0,52.5,542.5,442.0,0.0
576.5,44.0,532.5,420.0,0.0
602.5,51.0,551.5,434.0,0.0
567.0,39.0,528.0,434.0,0.0
584.5,48.5,536.0,484.0,0.0
629.0,51.5,577.5,492.0,0.0
595.0,45.5,549.5,492.0,0.0
595.5,47.0,548.5,440.0,0.0
627.5,63.5,564.0,502.0,0.0
605.5,57.5,548.0,492.0,0.0
548.5,62.5,486.0,498.0,0.0
565.5,56.5,509.0,508.0,0.0
628.5,45.0,583.5,464.0,0.0
591.0,50.0,541.0,442.0,0.0
600.5,53.5,547.0,460.0,0.0
574.0,50.0,524.0,448.0,0.0
599.0,46.0,553.0,476.0,0.0
617.0,44.0,573.0,462.0,0.0
603.5,55.0,548.5,436.0,0.0
585.0,50.0,535.0,410.0,0.0
594.0,44.0,550.0,464.0,0.0
